dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2015-09-30,2015-11-09,2015-09-30,2016-Q1,67927000.000000,,2025-05-02,4116000.000000,414155000.000000,,247502000.000000,166653000.000000,,1.500000,-6155000.000000,208332000.000000,208332000.000000,16420000.000000,5082000.000000,1.378000,0.918000,0.000000,0.000000,0.000000,0.000000,143266000.000000,4534000.000000,0.000000,,0.000000,6521000.000000,11055000.000000,0.109000,11055000.000000,6521000.000000,6513000.000000,0.030000,0.030000,0.030000,215979000.000000,,215979000.000000,,,,8249000.000000,0.057000,1.000000,85402000.000000,0.839000,26515000.000000,8000.000000,-267000.000000,,0.000000,15057000.000000,15057000.000000,0.000000,198176000.000000,179575000.000000,18601000.000000,21238000.000000,-1025000.000000,1211000.000000,0.000000,0.000000,-534000.000000,8002000.000000,15182000.000000,14404000.000000,-634000.000000,5082000.000000,5082000.000000,5082000.000000,0.000000,0.000000,0.050000,78790000.000000,6612000.000000,38241000.000000,0.000000,,,,42029000.000000,0.000000,,,,13115000.000000,19984000.000000,101822000.000000,101822000.000000,45460000.000000,,,,,14096000.000000,33330000.000000,1.000000,208675129.000000,144008000.000000,145513000.000000,0.707000,387640000.000000,91449000.000000,1431000.000000,4974000.000000,2.692000
ARQ,2015-09-30,2015-12-07,2015-09-30,2016-Q1,67927000.000000,,2025-05-02,4116000.000000,414155000.000000,,247502000.000000,166653000.000000,,1.500000,-6155000.000000,208332000.000000,208332000.000000,16420000.000000,5082000.000000,1.378000,0.918000,0.000000,0.000000,0.000000,0.000000,143266000.000000,4534000.000000,0.000000,,0.000000,6521000.000000,11055000.000000,0.109000,11055000.000000,6521000.000000,6513000.000000,0.030000,0.030000,0.030000,215979000.000000,,215979000.000000,,,,8249000.000000,0.057000,1.000000,85402000.000000,0.839000,26515000.000000,8000.000000,-267000.000000,,0.000000,15057000.000000,15057000.000000,0.000000,198176000.000000,179575000.000000,18601000.000000,21238000.000000,-1025000.000000,1211000.000000,0.000000,0.000000,-534000.000000,8002000.000000,15182000.000000,14404000.000000,-634000.000000,5082000.000000,5082000.000000,5082000.000000,0.000000,0.000000,0.050000,78790000.000000,6612000.000000,38241000.000000,0.000000,,,,42029000.000000,0.000000,,,,13115000.000000,19984000.000000,101822000.000000,101822000.000000,45460000.000000,,,,,14096000.000000,33330000.000000,1.000000,208675129.000000,144008000.000000,145513000.000000,0.707000,387640000.000000,91449000.000000,1431000.000000,4974000.000000,2.692000
ARQ,2015-12-31,2016-02-04,2015-12-31,2016-Q2,523052000.000000,5008203096.000000,2025-05-02,0.000000,915731000.000000,,713908000.000000,201823000.000000,,4.395000,-3133000.000000,570268000.000000,570268000.000000,18473000.000000,5065000.000000,3.741000,0.300000,0.000000,0.000000,0.000000,0.000000,150817000.000000,5372000.000000,0.000000,0.000000,0.000000,3309000.000000,8681000.000000,0.079000,8681000.000000,3309000.000000,3260000.000000,0.030000,0.030000,0.030000,704634000.000000,,704634000.000000,4437935096.000000,,,28766000.000000,0.179000,1.000000,91233000.000000,0.832000,24512000.000000,49000.000000,130095000.000000,,0.000000,111718000.000000,111718000.000000,0.000000,211097000.000000,190856000.000000,20241000.000000,361936000.000000,0.000000,435483000.000000,,,430088000.000000,-100336000.000000,-97203000.000000,31899000.000000,285000.000000,5065000.000000,5065000.000000,5065000.000000,0.000000,0.000000,0.046000,87866000.000000,3367000.000000,41999000.000000,0.000000,7.108000,,,41202000.000000,0.000000,24.000000,,,18273000.000000,25049000.000000,109706000.000000,109706000.000000,47846000.000000,,,,,15052000.000000,40020000.000000,1.000000,208675129.000000,160328000.000000,165730000.000000,0.684000,891219000.000000,137154000.000000,-1805000.000000,5584000.000000,5.559000
ARQ,2015-12-31,2016-02-10,2015-12-31,2016-Q2,523052000.000000,4186023088.000000,2025-05-02,0.000000,915731000.000000,,713908000.000000,201823000.000000,,4.395000,-3133000.000000,570268000.000000,570268000.000000,18473000.000000,5065000.000000,3.741000,0.300000,0.000000,0.000000,0.000000,0.000000,150817000.000000,5372000.000000,0.000000,0.000000,0.000000,3309000.000000,8681000.000000,0.079000,8681000.000000,3309000.000000,3260000.000000,0.030000,0.030000,0.030000,704634000.000000,,704634000.000000,3615755088.000000,,,28766000.000000,0.179000,1.000000,91233000.000000,0.832000,24512000.000000,49000.000000,130095000.000000,,0.000000,111718000.000000,111718000.000000,0.000000,211097000.000000,190856000.000000,20241000.000000,361936000.000000,0.000000,435483000.000000,,,430088000.000000,-100336000.000000,-97203000.000000,31899000.000000,285000.000000,5065000.000000,5065000.000000,5065000.000000,0.000000,0.000000,0.046000,87866000.000000,3367000.000000,41999000.000000,0.000000,5.941000,,,41202000.000000,0.000000,20.060000,,,18273000.000000,25049000.000000,109706000.000000,109706000.000000,47846000.000000,,,,,15052000.000000,40020000.000000,1.000000,208675129.000000,160328000.000000,165730000.000000,0.684000,891219000.000000,137154000.000000,-1805000.000000,5584000.000000,5.559000
ARQ,2016-03-31,2016-05-05,2016-03-31,2016-Q3,532581000.000000,4803701470.000000,2025-05-02,0.000000,946372000.000000,,750205000.000000,196167000.000000,,3.319000,-7531000.000000,312894000.000000,312894000.000000,19764000.000000,-1072000.000000,3.447000,0.339000,0.000000,0.000000,0.000000,0.000000,166089000.000000,5678000.000000,0.000000,0.000000,0.000000,-4178000.000000,1500000.000000,0.013000,1500000.000000,-4178000.000000,-4183000.000000,-0.010000,-0.010000,-0.010000,706705000.000000,,706705000.000000,4490807470.000000,,,40713000.000000,0.191000,1.000000,98178000.000000,0.832000,22733000.000000,5000.000000,393121000.000000,,0.000000,410381000.000000,410381000.000000,0.000000,239667000.000000,217624000.000000,22043000.000000,-257374000.000000,0.000000,764000.000000,,,764000.000000,-306753000.000000,-299222000.000000,48244000.000000,371000.000000,-1072000.000000,-1072000.000000,-1072000.000000,0.000000,0.000000,-0.009000,103113000.000000,-4935000.000000,54473000.000000,0.000000,6.797000,,,48231000.000000,0.000000,23.020000,,,17497000.000000,23977000.000000,117942000.000000,117942000.000000,54170000.000000,,,,,21246000.000000,48943000.000000,1.000000,208675129.000000,212920000.000000,212920000.000000,0.554000,923639000.000000,121198000.000000,-3111000.000000,5114000.000000,4.338000
ARQ,2016-03-31,2016-05-12,2016-03-31,2016-Q3,532581000.000000,4503209284.000000,2025-05-02,0.000000,946372000.000000,,750205000.000000,196167000.000000,,3.319000,-7531000.000000,312894000.000000,312894000.000000,19764000.000000,-1072000.000000,3.447000,0.339000,0.000000,0.000000,0.000000,0.000000,166089000.000000,5678000.000000,0.000000,0.000000,0.000000,-4178000.000000,1500000.000000,0.013000,1500000.000000,-4178000.000000,-4183000.000000,-0.010000,-0.010000,-0.010000,706705000.000000,,706705000.000000,4190315284.000000,,,40713000.000000,0.191000,1.000000,98178000.000000,0.832000,22733000.000000,5000.000000,393121000.000000,,0.000000,410381000.000000,410381000.000000,0.000000,239667000.000000,217624000.000000,22043000.000000,-257374000.000000,0.000000,764000.000000,,,764000.000000,-306753000.000000,-299222000.000000,48244000.000000,371000.000000,-1072000.000000,-1072000.000000,-1072000.000000,0.000000,0.000000,-0.009000,103113000.000000,-4935000.000000,54473000.000000,0.000000,6.372000,,,48231000.000000,0.000000,21.580000,,,17497000.000000,23977000.000000,117942000.000000,117942000.000000,54170000.000000,,,,,21246000.000000,48943000.000000,1.000000,208675129.000000,212920000.000000,212920000.000000,0.554000,923639000.000000,121198000.000000,-3111000.000000,5114000.000000,4.338000
ARQ,2016-06-30,2016-08-04,2016-06-30,2016-Q4,542038000.000000,6268600875.000000,2025-05-02,0.000000,990973000.000000,,778538000.000000,212435000.000000,,3.411000,-17394000.000000,259709000.000000,259709000.000000,21126000.000000,-4702000.000000,3.292000,0.354000,0.000000,0.000000,0.000000,0.000000,181068000.000000,6342000.000000,0.000000,0.000000,0.000000,-10488000.000000,-4146000.000000,-0.032000,-4146000.000000,-10488000.000000,-10497000.000000,-0.020000,-0.020000,-0.020000,731663000.000000,,731663000.000000,6008891875.000000,-1243.000000,351.603000,17601000.000000,0.082000,1.000000,106462000.000000,0.834000,20715000.000000,9000.000000,474049000.000000,,0.000000,483405000.000000,483405000.000000,0.000000,259310000.000000,236500000.000000,22810000.000000,-53185000.000000,0.000000,2466000.000000,,,2466000.000000,-90423000.000000,-73029000.000000,34995000.000000,-223000.000000,-4702000.000000,-4702000.000000,-4702000.000000,0.000000,0.000000,-0.037000,117852000.000000,-11390000.000000,57886000.000000,0.000000,8.568000,1433.478000,1502.000000,58762000.000000,0.000000,30.040000,13.715000,12.013000,15233000.000000,19275000.000000,127588000.000000,127588000.000000,60830000.000000,,,,,25086000.000000,57022000.000000,1.000000,208675129.000000,214505000.000000,214505000.000000,0.595000,970258000.000000,133424000.000000,-5795000.000000,6925000.000000,4.523000
ARQ,2016-06-30,2016-08-18,2016-06-30,2016-Q4,542038000.000000,6428009787.000000,2025-05-02,0.000000,990973000.000000,,778538000.000000,212435000.000000,,3.415000,-17394000.000000,259709000.000000,259709000.000000,21126000.000000,-4702000.000000,3.292000,0.354000,0.000000,0.000000,0.000000,0.000000,181068000.000000,6342000.000000,0.000000,0.000000,0.000000,-10488000.000000,-4146000.000000,-0.032000,-4146000.000000,-10488000.000000,-10497000.000000,-0.030000,-0.030000,-0.030000,731663000.000000,,731663000.000000,6168300787.000000,-1275.000000,360.930000,17601000.000000,0.082000,1.000000,106462000.000000,0.834000,20715000.000000,9000.000000,474049000.000000,,0.000000,483405000.000000,483405000.000000,0.000000,259310000.000000,236500000.000000,22810000.000000,-53185000.000000,0.000000,2466000.000000,,,2466000.000000,-90423000.000000,-73029000.000000,34995000.000000,-223000.000000,-4702000.000000,-4702000.000000,-4702000.000000,0.000000,0.000000,-0.037000,117852000.000000,-11390000.000000,57886000.000000,0.000000,8.785000,1469.931000,1485.500000,58762000.000000,0.000000,29.710000,14.064000,11.881000,15233000.000000,19275000.000000,127588000.000000,127588000.000000,60830000.000000,,,,,25086000.000000,57022000.000000,1.000000,216358458.000000,214276000.000000,193481000.000000,0.595000,970258000.000000,133424000.000000,-5795000.000000,6925000.000000,4.528000
ARQ,2016-09-30,2016-10-27,2016-09-30,2017-Q1,560805000.000000,6125107946.000000,2025-05-02,0.000000,1048247000.000000,,798004000.000000,250243000.000000,,3.573000,-2391000.000000,266745000.000000,266745000.000000,22562000.000000,-2637000.000000,3.364000,0.343000,0.000000,0.000000,0.000000,0.000000,188916000.000000,8042000.000000,0.000000,0.000000,0.000000,-3869000.000000,4173000.000000,0.031000,4173000.000000,-3869000.000000,-3876000.000000,-0.010000,-0.010000,-0.010000,780770000.000000,,780770000.000000,5858362946.000000,-385.000000,573.899000,26071000.000000,0.119000,1.000000,114225000.000000,0.835000,42604000.000000,7000.000000,501699000.000000,,0.000000,487599000.000000,487599000.000000,0.000000,267477000.000000,237199000.000000,30278000.000000,7036000.000000,-18480000.000000,3717000.000000,,,3717000.000000,-25533000.000000,-5004000.000000,28462000.000000,390000.000000,-2637000.000000,-2637000.000000,-2637000.000000,0.000000,0.000000,-0.019000,119353000.000000,-5128000.000000,48572000.000000,0.000000,7.845000,-1830.576000,-1415.500000,54557000.000000,0.000000,28.310000,12.449000,12.572000,14898000.000000,16638000.000000,136787000.000000,136787000.000000,67458000.000000,,,,,30523000.000000,51895000.000000,1.000000,216358458.000000,218504000.000000,218504000.000000,0.626000,1005643000.000000,154939000.000000,-1239000.000000,13103000.000000,4.602000
ARQ,2016-09-30,2016-11-03,2016-09-30,2017-Q1,560805000.000000,5828696859.000000,2025-05-02,0.000000,1048247000.000000,,798004000.000000,250243000.000000,,3.573000,-2391000.000000,266745000.000000,266745000.000000,22562000.000000,-2637000.000000,3.364000,0.343000,0.000000,0.000000,0.000000,0.000000,188916000.000000,8042000.000000,0.000000,0.000000,0.000000,-3869000.000000,4173000.000000,0.031000,4173000.000000,-3869000.000000,-3876000.000000,-0.010000,-0.010000,-0.010000,780770000.000000,,780770000.000000,5561951859.000000,-365.000000,544.862000,26071000.000000,0.119000,1.000000,114225000.000000,0.835000,42604000.000000,7000.000000,501699000.000000,,0.000000,487599000.000000,487599000.000000,0.000000,267477000.000000,237199000.000000,30278000.000000,7036000.000000,-18480000.000000,3717000.000000,,,3717000.000000,-25533000.000000,-5004000.000000,28462000.000000,390000.000000,-2637000.000000,-2637000.000000,-2637000.000000,0.000000,0.000000,-0.019000,119353000.000000,-5128000.000000,48572000.000000,0.000000,7.465000,-1741.989000,-1347.000000,54557000.000000,0.000000,26.940000,11.846000,11.964000,14898000.000000,16638000.000000,136787000.000000,136787000.000000,67458000.000000,,,,,30523000.000000,51895000.000000,1.000000,216358458.000000,218504000.000000,218504000.000000,0.626000,1005643000.000000,154939000.000000,-1239000.000000,13103000.000000,4.602000
