dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2017-12-31,2018-06-18,2017-12-31,2017-Q4,3683000.000000,,2025-05-08,0.000000,7022000.000000,,6308000.000000,714000.000000,,-124.167000,,5963000.000000,5963000.000000,,,2.403000,-0.158000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-23135000.000000,,-23135000.000000,,,,,,1.000000,,,0.000000,,-1566000.000000,,0.000000,0.000000,0.000000,0.000000,3657000.000000,2625000.000000,1032000.000000,,,,,,,,,,,,,,,,,,,527000.000000,,,,,349000.000000,,,,,0.000000,-23474000.000000,,,,,,,,,,1.000000,1859474.000000,186322.000000,,,7022000.000000,0.000000,,0.000000,37.687000
ARQ,2018-06-30,2018-08-09,2018-06-30,2018-Q2,146516000.000000,911036054.000000,2025-05-08,0.000000,158730000.000000,,156147000.000000,2583000.000000,,504.302000,,155015000.000000,155015000.000000,0.000000,-10507000.000000,16.213000,0.070000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,-10507000.000000,,,,-10507000.000000,-10507000.000000,-35.760000,-35.760000,-35.760000,148318000.000000,,148318000.000000,756021054.000000,,,,,1.000000,0.000000,,0.000000,0.000000,-5916000.000000,,0.000000,0.000000,0.000000,0.000000,10412000.000000,9631000.000000,781000.000000,,,,,,,,,,,-10507000.000000,-10507000.000000,-10507000.000000,0.000000,0.000000,,9547000.000000,-9547000.000000,4193000.000000,0.000000,6.142000,,,2050000.000000,0.000000,456.720000,,,0.000000,-44127000.000000,0.000000,0.000000,7407000.000000,,,,,,2140000.000000,1.000000,1994736.000000,294106.000000,294106.000000,0.000000,158730000.000000,0.000000,0.000000,0.000000,539.704000
ARQ,2018-09-30,2018-11-13,2018-09-30,2018-Q3,134651000.000000,717717865.000000,2025-05-08,0.000000,143272000.000000,,140078000.000000,3194000.000000,,69.284000,-915000.000000,138577000.000000,138577000.000000,0.000000,-11591000.000000,25.811000,0.045000,0.000000,0.000000,0.000000,0.000000,0.000000,130000.000000,0.000000,0.000000,0.000000,-11591000.000000,-11461000.000000,,-11461000.000000,-11591000.000000,-11591000.000000,-5.880000,-5.880000,-5.880000,137109000.000000,,137109000.000000,579140865.000000,,,-12900000.000000,-6.519000,1.000000,0.000000,,0.000000,0.000000,-732000.000000,,0.000000,0.000000,0.000000,0.000000,6163000.000000,5427000.000000,736000.000000,-16438000.000000,0.000000,-1255000.000000,0.000000,0.000000,-3255000.000000,-1198000.000000,0.000000,-11985000.000000,0.000000,-11591000.000000,-11591000.000000,-11591000.000000,0.000000,0.000000,,12232000.000000,-12232000.000000,1582000.000000,0.000000,5.235000,,,2306000.000000,0.000000,359.520000,,,0.000000,-55718000.000000,0.000000,0.000000,9232000.000000,,,,,551000.000000,3000000.000000,1.000000,1996322.000000,1978928.000000,1978928.000000,0.000000,143272000.000000,0.000000,0.000000,0.000000,72.399000
ARQ,2018-12-31,2019-03-25,2018-12-31,2018-Q4,119414000.000000,428033515.000000,2025-05-08,0.000000,133479000.000000,,130020000.000000,3459000.000000,,109.130000,-493000.000000,126302000.000000,126302000.000000,0.000000,-16021000.000000,12.259000,0.092000,0.000000,0.000000,0.000000,0.000000,0.000000,184000.000000,0.000000,0.000000,0.000000,-16021000.000000,-15837000.000000,,-15837000.000000,-16021000.000000,-16021000.000000,-4.080000,-4.080000,-4.080000,122184000.000000,,122184000.000000,301731515.000000,-7.000000,-6.562000,-11927000.000000,-10.653000,1.000000,0.000000,,0.000000,0.000000,-3429000.000000,,0.000000,0.000000,0.000000,0.000000,11295000.000000,10606000.000000,689000.000000,-11807000.000000,0.000000,-155000.000000,0.000000,0.000000,-139000.000000,-234000.000000,0.000000,-11434000.000000,0.000000,-16021000.000000,-16021000.000000,-16021000.000000,0.000000,0.000000,,16676000.000000,-16676000.000000,2784000.000000,0.000000,3.503000,-8.807000,-4.912000,2634000.000000,0.000000,213.360000,,,0.000000,-71739000.000000,0.000000,0.000000,12809000.000000,,,,,1079000.000000,3867000.000000,1.000000,2006156.000000,1119623.000000,1119623.000000,0.000000,133479000.000000,0.000000,0.000000,0.000000,119.218000
ARQ,2019-03-31,2019-05-13,2019-03-31,2019-Q1,103744000.000000,462656999.000000,2025-05-08,0.000000,117368000.000000,,113679000.000000,3689000.000000,,53.632000,-340000.000000,108476000.000000,108476000.000000,0.000000,-17103000.000000,11.442000,0.099000,0.000000,0.000000,0.000000,0.000000,0.000000,190000.000000,0.000000,0.000000,0.000000,-17103000.000000,-16913000.000000,,-16913000.000000,-17103000.000000,-17103000.000000,-8.640000,-8.640000,-8.640000,106788000.000000,,106788000.000000,354180999.000000,-6.000000,,-18078000.000000,-9.079000,1.000000,0.000000,,0.000000,0.000000,-1043000.000000,,0.000000,0.000000,0.000000,0.000000,10580000.000000,9935000.000000,645000.000000,-17826000.000000,0.000000,252000.000000,0.000000,0.000000,252000.000000,-340000.000000,0.000000,-17738000.000000,0.000000,-17103000.000000,-17103000.000000,-17103000.000000,0.000000,0.000000,,17700000.000000,-17700000.000000,3458000.000000,0.000000,4.332000,-8.378000,-4.230000,2864000.000000,0.000000,229.920000,,,0.000000,-88842000.000000,0.000000,0.000000,12446000.000000,,,,,1455000.000000,5254000.000000,1.000000,2012252.000000,1991141.000000,1991141.000000,0.000000,117368000.000000,0.000000,0.000000,0.000000,58.945000
ARQ,2019-06-30,2019-08-08,2019-06-30,2019-Q2,89423000.000000,634531169.000000,2025-05-08,0.000000,101989000.000000,,98188000.000000,3801000.000000,,46.228000,-401000.000000,90348000.000000,90348000.000000,0.000000,-16055000.000000,11.202000,0.101000,0.000000,0.000000,0.000000,0.000000,0.000000,200000.000000,0.000000,0.000000,0.000000,-16055000.000000,-15855000.000000,,-15855000.000000,-16055000.000000,-16055000.000000,-8.040000,-8.040000,-8.040000,92634000.000000,,92634000.000000,544183169.000000,-9.000000,-9.060000,-18366000.000000,-9.165000,1.000000,0.000000,,0.000000,0.000000,2876000.000000,,0.000000,0.000000,0.000000,0.000000,9355000.000000,8765000.000000,590000.000000,-18128000.000000,0.000000,238000.000000,0.000000,0.000000,238000.000000,-401000.000000,0.000000,-17965000.000000,0.000000,-16055000.000000,-16055000.000000,-16055000.000000,0.000000,0.000000,,16612000.000000,-16612000.000000,2572000.000000,0.000000,6.850000,-10.442000,-9.027000,2741000.000000,0.000000,240.480000,,,0.000000,-104897000.000000,0.000000,0.000000,12267000.000000,,,,,1663000.000000,4345000.000000,1.000000,2638603.000000,2003855.000000,2003855.000000,0.000000,101989000.000000,0.000000,0.000000,0.000000,50.896000
ARQ,2019-09-30,2019-11-07,2019-09-30,2019-Q3,203797000.000000,460767959.000000,2025-05-08,0.000000,217205000.000000,,213707000.000000,3498000.000000,,81.894000,-78000.000000,206362000.000000,206362000.000000,0.000000,-17145000.000000,21.565000,0.051000,0.000000,0.000000,0.000000,0.000000,0.000000,215000.000000,0.000000,0.000000,0.000000,-17145000.000000,-16930000.000000,,-16930000.000000,-17145000.000000,-17145000.000000,-6.840000,-6.840000,-6.840000,206760000.000000,,206760000.000000,254405959.000000,-4.000000,-3.882000,-13460000.000000,-5.331000,1.000000,0.000000,,0.000000,0.000000,933000.000000,,0.000000,0.000000,0.000000,0.000000,10445000.000000,9910000.000000,535000.000000,116014000.000000,0.000000,129474000.000000,0.000000,0.000000,129474000.000000,-78000.000000,0.000000,-13382000.000000,0.000000,-17145000.000000,-17145000.000000,-17145000.000000,0.000000,0.000000,,18064000.000000,-18064000.000000,1408000.000000,0.000000,2.229000,-6.947000,-6.326000,2673000.000000,0.000000,174.600000,,,0.000000,-122042000.000000,0.000000,0.000000,13042000.000000,,,,,1797000.000000,5022000.000000,1.000000,2638992.000000,2524716.000000,2524716.000000,0.000000,217205000.000000,0.000000,0.000000,0.000000,86.031000
ARQ,2019-12-31,2020-03-16,2019-12-31,2019-Q4,181684000.000000,363187390.000000,2025-05-08,0.000000,200514000.000000,,195701000.000000,4813000.000000,,70.473000,-766000.000000,187043000.000000,187043000.000000,0.000000,-22662000.000000,13.962000,0.078000,0.000000,0.000000,0.000000,0.000000,0.000000,245000.000000,0.000000,0.000000,0.000000,-22662000.000000,-22417000.000000,,-22417000.000000,-22662000.000000,-22662000.000000,-8.760000,-8.760000,-8.760000,186013000.000000,,186013000.000000,176144390.000000,-2.000000,-2.443000,-19349000.000000,-7.331000,1.000000,0.000000,,0.000000,0.000000,-546000.000000,,0.000000,0.000000,0.000000,0.000000,14501000.000000,14017000.000000,484000.000000,-19319000.000000,0.000000,30000.000000,0.000000,0.000000,30000.000000,-766000.000000,0.000000,-18583000.000000,0.000000,-22662000.000000,-22662000.000000,-22662000.000000,0.000000,0.000000,,23433000.000000,-23433000.000000,3949000.000000,0.000000,1.952000,-4.978000,-3.789000,3696000.000000,0.000000,120.960000,,,0.000000,-144704000.000000,0.000000,0.000000,17219000.000000,,,,,1885000.000000,6214000.000000,1.000000,3002541.000000,2639484.000000,2639484.000000,0.000000,200514000.000000,0.000000,0.000000,0.000000,75.967000
ARQ,2020-03-31,2020-05-07,2020-03-31,2020-Q1,252574000.000000,525757347.000000,2025-05-08,0.000000,269728000.000000,,265347000.000000,4381000.000000,,91.434000,-577000.000000,257695000.000000,257695000.000000,0.000000,-25973000.000000,20.774000,0.051000,0.000000,0.000000,0.000000,0.000000,0.000000,283000.000000,0.000000,0.000000,0.000000,-25973000.000000,-25690000.000000,,-25690000.000000,-25973000.000000,-25973000.000000,-9.240000,-9.240000,-9.240000,256525000.000000,,256525000.000000,268062347.000000,-3.000000,-3.314000,-23011000.000000,-8.202000,1.000000,0.000000,,0.000000,0.000000,-740000.000000,,0.000000,0.000000,0.000000,0.000000,13203000.000000,12773000.000000,430000.000000,70652000.000000,0.000000,93663000.000000,0.000000,0.000000,93663000.000000,-577000.000000,0.000000,-22434000.000000,0.000000,-25973000.000000,-25973000.000000,-25973000.000000,0.000000,0.000000,,26589000.000000,-26589000.000000,2135000.000000,0.000000,2.050000,-6.425000,-5.325000,3407000.000000,0.000000,175.080000,,,0.000000,-170677000.000000,0.000000,0.000000,18274000.000000,,,,,2822000.000000,8315000.000000,1.000000,3002955.000000,2805567.000000,2805567.000000,0.000000,269728000.000000,0.000000,0.000000,0.000000,96.140000
ARQ,2020-06-30,2020-08-06,2020-06-30,2020-Q2,235609000.000000,614786746.000000,2025-05-08,0.000000,255568000.000000,,251020000.000000,4548000.000000,,79.697000,-488000.000000,244380000.000000,244380000.000000,0.000000,-28828000.000000,16.288000,0.066000,0.000000,0.000000,0.000000,0.000000,0.000000,301000.000000,0.000000,0.000000,0.000000,-28828000.000000,-28527000.000000,,-28527000.000000,-28828000.000000,-28828000.000000,-9.600000,-9.600000,-9.600000,239787000.000000,,239787000.000000,370406746.000000,-4.000000,-3.959000,-21506000.000000,-7.148000,1.000000,0.000000,,0.000000,0.000000,-4223000.000000,,0.000000,0.000000,0.000000,0.000000,15781000.000000,15411000.000000,370000.000000,-13315000.000000,0.000000,8191000.000000,0.000000,0.000000,8191000.000000,-488000.000000,0.000000,-21018000.000000,0.000000,-28828000.000000,-28828000.000000,-28828000.000000,0.000000,0.000000,,28857000.000000,-28857000.000000,2619000.000000,0.000000,2.564000,-6.498000,-5.878000,3580000.000000,0.000000,202.440000,,,0.000000,-199505000.000000,0.000000,0.000000,20866000.000000,,,,,3899000.000000,7991000.000000,1.000000,3036884.000000,3008743.000000,3008743.000000,0.000000,255568000.000000,0.000000,0.000000,0.000000,84.942000
