dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2024-03-31,2024-05-20,2024-03-31,2024-Q1,57039000.000000,,2025-05-06,-51000.000000,469272000.000000,,266563000.000000,202709000.000000,,-23.245000,-6108000.000000,80792000.000000,80792000.000000,68123000.000000,-64743000.000000,1.272000,-0.549000,485201000.000000,6542000.000000,478659000.000000,485201000.000000,69358000.000000,10863000.000000,0.000000,,0.000000,-51494000.000000,-40631000.000000,-0.279000,-40631000.000000,-51494000.000000,-64732000.000000,-1.470000,-1.470000,-1.470000,-1474425000.000000,,-1474425000.000000,,,,-107486000.000000,-1.695000,1.000000,77697000.000000,0.533000,92342000.000000,13238000.000000,571815000.000000,,30129000.000000,48221000.000000,17456000.000000,30765000.000000,808895000.000000,209524000.000000,599371000.000000,-85815000.000000,0.000000,0.000000,0.000000,0.000000,-1378000.000000,16990000.000000,23098000.000000,-101378000.000000,-49000.000000,-64743000.000000,-93056000.000000,-93056000.000000,0.000000,0.000000,-0.638000,130971000.000000,-53274000.000000,43997000.000000,0.000000,,,,78752000.000000,28313000.000000,,,,107795000.000000,-1489467000.000000,145820000.000000,145820000.000000,51407000.000000,,,,,0.000000,79564000.000000,1.000000,154004262.000000,63430000.000000,63430000.000000,2.299000,376930000.000000,0.000000,11000.000000,0.000000,5.942000
ARQ,2024-03-31,2024-06-13,2024-03-31,2024-Q1,57039000.000000,,2025-05-06,-51000.000000,469272000.000000,,266563000.000000,202709000.000000,,-23.245000,-6108000.000000,80792000.000000,80792000.000000,68123000.000000,-64743000.000000,1.272000,-0.549000,485201000.000000,6542000.000000,478659000.000000,485201000.000000,69358000.000000,10863000.000000,0.000000,,0.000000,-51494000.000000,-40631000.000000,-0.279000,-40631000.000000,-51494000.000000,-64732000.000000,-1.470000,-1.470000,-1.470000,-1474425000.000000,,-1474425000.000000,,,,-107486000.000000,-1.695000,1.000000,77697000.000000,0.533000,92342000.000000,13238000.000000,571815000.000000,,30129000.000000,48221000.000000,17456000.000000,30765000.000000,808895000.000000,209524000.000000,599371000.000000,-85815000.000000,0.000000,0.000000,0.000000,0.000000,-1378000.000000,16990000.000000,23098000.000000,-101378000.000000,-49000.000000,-64743000.000000,-93056000.000000,-93056000.000000,0.000000,0.000000,-0.638000,130971000.000000,-53274000.000000,43997000.000000,0.000000,,,,78752000.000000,28313000.000000,,,,107795000.000000,-1489467000.000000,145820000.000000,145820000.000000,51407000.000000,,,,,0.000000,79564000.000000,1.000000,154318712.000000,63430000.000000,63430000.000000,2.299000,376930000.000000,0.000000,11000.000000,0.000000,5.942000
ARQ,2024-06-30,2024-08-06,2024-06-30,2024-Q2,489802000.000000,6273055643.000000,2025-05-06,-94000.000000,864611000.000000,,671366000.000000,193245000.000000,,1.193000,-8008000.000000,479672000.000000,479672000.000000,90456000.000000,-552212000.000000,3.698000,7.800000,475567000.000000,5828000.000000,469739000.000000,475567000.000000,56691000.000000,10737000.000000,0.000000,0.000000,0.000000,-538822000.000000,-528085000.000000,-3.182000,-528085000.000000,-538822000.000000,-552117000.000000,-6.860000,-6.860000,-6.860000,98251000.000000,,98251000.000000,6268950643.000000,,,-105088000.000000,-1.277000,1.000000,75513000.000000,0.455000,89597000.000000,13295000.000000,589345000.000000,,32690000.000000,40309000.000000,12055000.000000,28254000.000000,766360000.000000,181564000.000000,584796000.000000,398880000.000000,0.000000,381951000.000000,0.000000,-5625000.000000,504009000.000000,-8008000.000000,0.000000,-97080000.000000,-41000.000000,-552212000.000000,-564420000.000000,-564420000.000000,0.000000,0.000000,-3.401000,609005000.000000,-533492000.000000,28646000.000000,0.000000,63.847000,,,74533000.000000,12208000.000000,40.650000,,,118106000.000000,-2061980000.000000,165969000.000000,165969000.000000,145933000.000000,,,,,488313000.000000,463072000.000000,1.000000,154318712.000000,82325000.000000,82325000.000000,2.016000,775014000.000000,0.000000,95000.000000,0.000000,9.414000
ARQ,2024-09-30,2024-11-04,2024-09-30,2024-Q3,426792000.000000,7793561308.000000,2025-05-06,10208000.000000,971728000.000000,,679412000.000000,292316000.000000,,0.324000,-43000.000000,388878000.000000,388878000.000000,75090000.000000,-75840000.000000,2.689000,17.086000,471545000.000000,5894000.000000,465651000.000000,471545000.000000,126698000.000000,10858000.000000,0.000000,0.000000,0.000000,-62041000.000000,-51183000.000000,-0.283000,-51183000.000000,-62041000.000000,-75802000.000000,-0.460000,-0.460000,-0.460000,53728000.000000,,53728000.000000,7876228308.000000,,,48621000.000000,0.294000,1.000000,105839000.000000,0.585000,87654000.000000,13761000.000000,714121000.000000,,36138000.000000,208574000.000000,78317000.000000,130257000.000000,918000000.000000,252620000.000000,665380000.000000,-90794000.000000,-95186000.000000,0.000000,0.000000,0.000000,-8123000.000000,-131412000.000000,-36183000.000000,48664000.000000,77000.000000,-75840000.000000,-75840000.000000,-75840000.000000,0.000000,0.000000,-0.419000,159455000.000000,-53616000.000000,49027000.000000,0.000000,145.056000,,,73533000.000000,0.000000,49.500000,,,145616000.000000,-2137820000.000000,180929000.000000,180929000.000000,58028000.000000,,,,,21038000.000000,101427000.000000,1.000000,157445683.000000,165612000.000000,165612000.000000,1.092000,884074000.000000,0.000000,38000.000000,0.000000,5.338000
ARQ,2024-12-31,2025-02-24,2024-12-31,2024-Q4,376533000.000000,11980837539.000000,2025-05-06,94000.000000,926116000.000000,,667603000.000000,258513000.000000,,0.470000,-7962000.000000,341835000.000000,341835000.000000,78616000.000000,-13014000.000000,2.294000,15.438000,468094000.000000,6459000.000000,461635000.000000,468094000.000000,124078000.000000,10834000.000000,0.000000,0.000000,0.000000,467000.000000,11301000.000000,0.056000,11301000.000000,467000.000000,-12892000.000000,0.810000,0.810000,0.810000,56339000.000000,,56339000.000000,12107096539.000000,-19.000000,-19.893000,-47213000.000000,-0.394000,1.000000,122064000.000000,0.608000,85059000.000000,13359000.000000,676246000.000000,,38386000.000000,207064000.000000,107309000.000000,99755000.000000,869777000.000000,291070000.000000,578707000.000000,-47043000.000000,0.000000,0.000000,0.000000,0.000000,-179000.000000,-7962000.000000,0.000000,-39251000.000000,349000.000000,-13014000.000000,-13014000.000000,-13014000.000000,0.000000,0.000000,-0.065000,172764000.000000,-50700000.000000,53804000.000000,0.000000,212.656000,-16.053000,-11.167000,72818000.000000,0.000000,69.570000,17.278000,12.025000,154819000.000000,-2150834000.000000,200680000.000000,200680000.000000,61476000.000000,,,,,24787000.000000,111288000.000000,1.000000,172212700.000000,119849000.000000,119849000.000000,1.674000,841057000.000000,0.000000,122000.000000,0.000000,7.018000
ARQ,2025-03-31,2025-05-06,2025-03-31,2025-Q1,237500000.000000,9034936827.000000,2025-05-06,4692000.000000,1543137000.000000,,573970000.000000,969167000.000000,,1.913000,-3372000.000000,153326000.000000,153326000.000000,100534000.000000,-68037000.000000,1.706000,3.731000,857751000.000000,9420000.000000,848331000.000000,857751000.000000,111888000.000000,22442000.000000,0.000000,0.000000,0.000000,-96214000.000000,-73772000.000000,-0.288000,-73772000.000000,-96214000.000000,-114217000.000000,-0.400000,-0.400000,-0.400000,326194000.000000,,326194000.000000,9739361827.000000,-14.000000,-15.177000,-108996000.000000,-0.639000,1.000000,155203000.000000,0.607000,725318000.000000,18003000.000000,1185774000.000000,,50485000.000000,176147000.000000,67183000.000000,108964000.000000,1216943000.000000,336470000.000000,880473000.000000,-188509000.000000,-380762000.000000,0.000000,294000000.000000,0.000000,293042000.000000,-375818000.000000,8316000.000000,-105624000.000000,-109000.000000,-68037000.000000,-68037000.000000,-68037000.000000,0.000000,0.000000,-0.266000,223892000.000000,-68689000.000000,88732000.000000,0.000000,27.698000,-12.526000,-7.553000,133162000.000000,0.000000,52.190000,11.247000,11.077000,262613000.000000,-2218871000.000000,255737000.000000,255737000.000000,69265000.000000,,,,,22974000.000000,154627000.000000,1.000000,173116245.000000,170506000.000000,170506000.000000,1.500000,817819000.000000,0.000000,-46180000.000000,0.000000,4.796000
ART,2024-03-31,2024-05-20,2024-03-31,2024-Q1,57039000.000000,,2025-05-06,-51000.000000,469272000.000000,,266563000.000000,202709000.000000,,-23.245000,,80792000.000000,80792000.000000,,,1.272000,-0.549000,485201000.000000,6542000.000000,478659000.000000,485201000.000000,69358000.000000,,0.000000,,0.000000,,,,,,,,,,-1474425000.000000,,-1474425000.000000,,,,,,1.000000,,,92342000.000000,,571815000.000000,,30129000.000000,48221000.000000,17456000.000000,30765000.000000,808895000.000000,209524000.000000,599371000.000000,,,,,,,,,,,,,,,,,,,43997000.000000,,,,,78752000.000000,,,,,107795000.000000,-1489467000.000000,,,,,,,,,,1.000000,154004262.000000,63430000.000000,,,376930000.000000,0.000000,,0.000000,5.942000
ART,2024-03-31,2024-06-13,2024-03-31,2024-Q1,57039000.000000,,2025-05-06,-51000.000000,469272000.000000,,266563000.000000,202709000.000000,,-23.245000,,80792000.000000,80792000.000000,,,1.272000,-0.549000,485201000.000000,6542000.000000,478659000.000000,485201000.000000,69358000.000000,,0.000000,,0.000000,,,,,,,,,,-1474425000.000000,,-1474425000.000000,,,,,,1.000000,,,92342000.000000,,571815000.000000,,30129000.000000,48221000.000000,17456000.000000,30765000.000000,808895000.000000,209524000.000000,599371000.000000,,,,,,,,,,,,,,,,,,,43997000.000000,,,,,78752000.000000,,,,,107795000.000000,-1489467000.000000,,,,,,,,,,1.000000,154318712.000000,63430000.000000,,,376930000.000000,0.000000,,0.000000,5.942000
ART,2024-06-30,2024-08-06,2024-06-30,2024-Q2,489802000.000000,6273055643.000000,2025-05-06,-94000.000000,864611000.000000,,671366000.000000,193245000.000000,,1.193000,,479672000.000000,479672000.000000,,,3.698000,7.800000,475567000.000000,5828000.000000,469739000.000000,475567000.000000,56691000.000000,,0.000000,0.000000,0.000000,,,,,,,,,,98251000.000000,,98251000.000000,6268950643.000000,,,,,1.000000,,,89597000.000000,,589345000.000000,,32690000.000000,40309000.000000,12055000.000000,28254000.000000,766360000.000000,181564000.000000,584796000.000000,,,,,,,,,,,,,,,,,,,28646000.000000,,63.847000,,,74533000.000000,,40.650000,,,118106000.000000,-2061980000.000000,,,,,,,,,,1.000000,154318712.000000,82325000.000000,,,775014000.000000,0.000000,,0.000000,9.414000
ART,2024-09-30,2024-11-04,2024-09-30,2024-Q3,426792000.000000,7793561308.000000,2025-05-06,10208000.000000,971728000.000000,,679412000.000000,292316000.000000,,0.324000,,388878000.000000,388878000.000000,,,2.689000,17.086000,471545000.000000,5894000.000000,465651000.000000,471545000.000000,126698000.000000,,0.000000,0.000000,0.000000,,,,,,,,,,53728000.000000,,53728000.000000,7876228308.000000,,,,,1.000000,,,87654000.000000,,714121000.000000,,36138000.000000,208574000.000000,78317000.000000,130257000.000000,918000000.000000,252620000.000000,665380000.000000,,,,,,,,,,,,,,,,,,,49027000.000000,,145.056000,,,73533000.000000,,49.500000,,,145616000.000000,-2137820000.000000,,,,,,,,,,1.000000,157445683.000000,165612000.000000,,,884074000.000000,0.000000,,0.000000,5.338000
