dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2001-09-30,2001-12-12,2001-10-31,2002-Q2,3234976.000000,17096710.000000,2025-05-15,0.000000,4225298.000000,,3584317.000000,640981.000000,,424808.965000,,3496526.000000,3496526.000000,0.000000,-521778.000000,10.260000,0.090000,118799.000000,118799.000000,0.000000,118799.000000,0.000000,,0.000000,0.000000,0.000000,-518628.000000,,,,-518628.000000,-521778.000000,-57600.000000,-57600.000000,-57600.000000,3875957.000000,,3875957.000000,13718983.000000,,,,,1.000000,0.000000,,238527.000000,3150.000000,259703.000000,,0.000000,0.000000,0.000000,0.000000,349341.000000,349341.000000,0.000000,,,,,,,,,,,-521778.000000,-521778.000000,-521778.000000,0.000000,0.000000,,556734.000000,-556734.000000,151088.000000,0.000000,4.411000,,,402454.000000,0.000000,1870128.000000,,,0.000000,-14024728.000000,0.000000,0.000000,350444.000000,,,,,,206290.000000,1.000000,9.000000,9.000000,9.000000,0.000000,3986771.000000,0.000000,0.000000,0.000000,436954.296000
ARQ,2001-12-31,2002-03-15,2002-01-31,2002-Q3,2734391.000000,26302631.000000,2025-05-15,0.000000,3792577.000000,,3132479.000000,660098.000000,,371307.044000,-37695.000000,2908046.000000,2908046.000000,0.000000,-481467.000000,7.869000,0.117000,177979.000000,177979.000000,0.000000,177979.000000,0.000000,28467.000000,0.000000,0.000000,0.000000,-477407.000000,-448940.000000,,-448940.000000,-477407.000000,-481467.000000,-48000.000000,-48000.000000,-48000.000000,3394489.000000,,3394489.000000,23572564.000000,,,-637769.000000,-69762.525000,1.000000,0.000000,,238356.000000,4060.000000,426066.000000,,0.000000,0.000000,0.000000,0.000000,398088.000000,398088.000000,0.000000,-588480.000000,0.000000,0.000000,59180.000000,0.000000,59180.000000,-47586.000000,0.000000,-600074.000000,0.000000,-481467.000000,-481467.000000,-481467.000000,0.000000,0.000000,,501117.000000,-501117.000000,140655.000000,0.000000,7.749000,,,421742.000000,0.000000,2877120.000000,,,0.000000,-14506196.000000,0.000000,0.000000,328719.000000,,,,,0.000000,172398.000000,1.000000,9.000000,9.000000,9.000000,0.000000,3554221.000000,0.000000,0.000000,0.000000,388779.370000
ARQ,2002-03-31,2002-07-26,2002-04-30,2002-Q4,2352474.000000,16813218.000000,2025-05-15,0.000000,3275820.000000,,2531552.000000,744268.000000,,336712.189000,-147358.000000,2442015.000000,2442015.000000,0.000000,-1967198.000000,14.137000,0.058000,105569.000000,105569.000000,0.000000,105569.000000,0.000000,29512.000000,0.000000,0.000000,0.000000,-1964909.000000,-1935397.000000,,-1935397.000000,-1964909.000000,-1967198.000000,-211200.000000,-211200.000000,-211200.000000,3096742.000000,,3096742.000000,14476772.000000,-4.000000,-4.303000,-547700.000000,-59552.028000,1.000000,0.000000,,258654.000000,2289.000000,501642.000000,,0.000000,0.000000,0.000000,0.000000,179078.000000,179078.000000,0.000000,-466031.000000,0.000000,120399.000000,-72410.000000,0.000000,47989.000000,-113678.000000,0.000000,-400342.000000,0.000000,-1967198.000000,-1967198.000000,-1967198.000000,0.000000,0.000000,,1984962.000000,-1984962.000000,41174.000000,0.000000,5.429000,-4.821000,-4.745000,485614.000000,0.000000,1822176.000000,,,0.000000,-16473393.000000,0.000000,0.000000,317338.000000,,,,,1549050.000000,1667624.000000,1.000000,9.000000,9.000000,9.000000,0.000000,3017166.000000,0.000000,0.000000,0.000000,328059.802000
ARQ,2002-06-30,2002-09-12,2002-07-31,2003-Q1,1949248.000000,16370765.000000,2025-05-15,0.000000,2828599.000000,,2081299.000000,747300.000000,,292245.367000,-28347.000000,2020701.000000,2020701.000000,0.000000,-400194.000000,15.761000,0.049000,50430.000000,50430.000000,0.000000,50430.000000,0.000000,34206.000000,0.000000,0.000000,0.000000,-398656.000000,-364450.000000,,-364450.000000,-398656.000000,-400194.000000,-48000.000000,-48000.000000,-48000.000000,2696548.000000,,2696548.000000,14400494.000000,-4.000000,,-357284.000000,-38721.578000,1.000000,0.000000,,255815.000000,1538.000000,470462.000000,,0.000000,0.000000,0.000000,0.000000,132051.000000,132051.000000,0.000000,-421314.000000,0.000000,0.000000,-55139.000000,0.000000,-55139.000000,-37238.000000,0.000000,-328937.000000,0.000000,-400194.000000,-400194.000000,-400194.000000,0.000000,0.000000,,416883.000000,-416883.000000,59034.000000,0.000000,6.071000,-4.857000,-4.864000,491485.000000,0.000000,1774224.000000,,,0.000000,-16873587.000000,0.000000,0.000000,176289.000000,,,,,0.000000,240594.000000,1.000000,9.000000,9.000000,9.000000,0.000000,2572784.000000,0.000000,0.000000,0.000000,278832.123000
ARQ,2002-09-30,2002-12-13,2002-10-31,2003-Q2,944721.000000,15049927.000000,2025-05-15,0.000000,1783170.000000,,1058152.000000,725018.000000,,180923.069000,-4170.000000,1035062.000000,1035062.000000,0.000000,-1027176.000000,9.329000,0.068000,19776.000000,19776.000000,0.000000,19776.000000,0.000000,34552.000000,0.000000,0.000000,0.000000,-1026368.000000,-991816.000000,,-991816.000000,-1026368.000000,-1027176.000000,-115200.000000,-115200.000000,-115200.000000,1669739.000000,,1669739.000000,14034641.000000,-4.000000,-3.752000,-947252.000000,-102638.639000,1.000000,0.000000,,252036.000000,808.000000,402417.000000,,0.000000,0.000000,0.000000,0.000000,113431.000000,113431.000000,0.000000,-985639.000000,0.000000,367.000000,-30654.000000,0.000000,-30287.000000,-12270.000000,0.000000,-943082.000000,0.000000,-1027176.000000,-1027176.000000,-1027176.000000,0.000000,0.000000,,1039679.000000,-1039679.000000,71151.000000,0.000000,9.013000,-3.883000,-3.860000,472982.000000,0.000000,1630368.000000,,,0.000000,-17900763.000000,0.000000,0.000000,837257.000000,,,,,0.000000,202422.000000,1.000000,9.000000,9.000000,9.000000,0.000000,1531134.000000,0.000000,0.000000,0.000000,165904.648000
ARQ,2002-12-31,2003-03-12,2003-01-31,2003-Q3,545708.000000,12860343.000000,2025-05-15,0.000000,1317387.000000,,627254.000000,690133.000000,,133821.440000,-196628.000000,524429.000000,524429.000000,0.000000,-464498.000000,7.692000,0.066000,0.000000,0.000000,0.000000,0.000000,0.000000,11992.000000,0.000000,0.000000,0.000000,-464342.000000,-452350.000000,,-452350.000000,-464342.000000,-464498.000000,-48000.000000,-48000.000000,-48000.000000,1235841.000000,,1235841.000000,12335914.000000,-3.000000,-3.295000,-422135.000000,-45710.341000,1.000000,0.000000,,245282.000000,156.000000,466130.000000,,0.000000,0.000000,0.000000,0.000000,81546.000000,81546.000000,0.000000,64101.000000,0.000000,416511.000000,86414.000000,0.000000,502925.000000,-213317.000000,0.000000,-225507.000000,0.000000,-464498.000000,-464498.000000,-464498.000000,0.000000,0.000000,,473633.000000,-473633.000000,74192.000000,0.000000,10.406000,-3.333000,-3.292000,444851.000000,0.000000,1390608.000000,,,0.000000,-18365261.000000,0.000000,0.000000,243214.000000,,,,,0.000000,230419.000000,1.000000,9.000000,9.000000,9.000000,0.000000,1072105.000000,0.000000,0.000000,0.000000,116091.500000
ARQ,2003-03-31,2003-07-18,2003-04-30,2003-Q4,236869.000000,20487856.000000,2025-05-15,0.000000,914905.000000,,251402.000000,663503.000000,,97379.624000,191273.000000,178442.000000,178442.000000,0.000000,-335469.000000,17.299000,0.016000,0.000000,0.000000,0.000000,0.000000,0.000000,56299.000000,0.000000,0.000000,0.000000,-335469.000000,-279170.000000,,-279170.000000,-335469.000000,-335469.000000,-86400.000000,-86400.000000,-86400.000000,900372.000000,,900372.000000,20309414.000000,-9.000000,-9.728000,-404963.000000,-43798.724000,1.000000,0.000000,,237579.000000,0.000000,484351.000000,,0.000000,0.000000,0.000000,0.000000,14533.000000,14533.000000,0.000000,-920721.000000,0.000000,-416511.000000,-106190.000000,0.000000,-522701.000000,198216.000000,0.000000,-596236.000000,0.000000,-335469.000000,-335469.000000,-335469.000000,0.000000,0.000000,,343198.000000,-343198.000000,12235.000000,0.000000,22.755000,-9.198000,-7.692000,425924.000000,0.000000,2215382.400000,,,0.000000,-18700730.000000,0.000000,0.000000,176279.000000,,,,,0.000000,166919.000000,1.000000,9.000000,9.000000,9.000000,0.000000,677326.000000,0.000000,0.000000,0.000000,73256.111000
ARQ,2003-06-30,2003-09-19,2003-07-31,2004-Q1,-192068.000000,21731894.000000,2025-05-15,0.000000,1515167.000000,,874012.000000,641155.000000,,48555.195000,-5309.000000,813676.000000,813676.000000,0.000000,-451910.000000,0.820000,2.374000,0.000000,0.000000,0.000000,0.000000,0.000000,32370.000000,1017482.000000,0.000000,0.000000,-451910.000000,-419540.000000,,-419540.000000,-451910.000000,-451910.000000,-48000.000000,-48000.000000,-48000.000000,449087.000000,,449087.000000,20918218.000000,-9.000000,-9.762000,-378161.000000,-40886.690000,1.000000,0.000000,,231897.000000,0.000000,-596486.000000,,0.000000,0.000000,0.000000,0.000000,1066080.000000,1066080.000000,0.000000,635234.000000,0.000000,625.000000,0.000000,0.000000,1018107.000000,-10021.000000,0.000000,-372852.000000,0.000000,-451910.000000,-451910.000000,-451910.000000,0.000000,0.000000,,459377.000000,-459377.000000,46300.000000,0.000000,48.391000,-9.535000,-7.895000,409258.000000,0.000000,2349648.000000,,,0.000000,-19152640.000000,0.000000,0.000000,233080.000000,,,,,0.000000,226297.000000,1.000000,9.000000,9.000000,9.000000,0.000000,1283270.000000,0.000000,0.000000,0.000000,138746.892000
ARQ,2003-09-30,2003-12-19,2003-10-31,2004-Q2,490275.000000,61567491.000000,2025-05-15,0.000000,1166014.000000,,542027.000000,623987.000000,,119517.537000,-10785.000000,472795.000000,472795.000000,0.000000,-460426.000000,10.474000,0.046000,0.000000,0.000000,0.000000,0.000000,0.000000,33457.000000,0.000000,0.000000,0.000000,-460426.000000,-426969.000000,,-426969.000000,-460426.000000,-460426.000000,-48000.000000,-48000.000000,-48000.000000,1114262.000000,,1114262.000000,61094696.000000,-36.000000,-38.716000,-443494.000000,-47569.881000,1.000000,0.000000,,226871.000000,0.000000,414596.000000,,0.000000,0.000000,0.000000,0.000000,51752.000000,51752.000000,0.000000,-340881.000000,0.000000,1125601.000000,0.000000,0.000000,108119.000000,-16291.000000,0.000000,-432709.000000,0.000000,-460426.000000,-460426.000000,-460426.000000,0.000000,0.000000,,467633.000000,-467633.000000,42771.000000,0.000000,55.254000,-35.956000,-26.224000,397116.000000,0.000000,6041952.000000,,,0.000000,-19613066.000000,0.000000,0.000000,265630.000000,,,,,0.000000,202003.000000,1.000000,10.000000,9.000000,9.000000,0.000000,939143.000000,0.000000,0.000000,0.000000,100733.991000
ARQ,2003-12-31,2004-03-16,2004-01-31,2004-Q3,496021.000000,57901465.000000,2025-05-15,0.000000,1485989.000000,,829776.000000,656213.000000,,112336.356000,-69428.000000,722541.000000,722541.000000,0.000000,-813331.000000,2.486000,0.290000,0.000000,0.000000,0.000000,0.000000,0.000000,40584.000000,100000.000000,0.000000,0.000000,-813331.000000,-772747.000000,,-772747.000000,-813331.000000,-813331.000000,-76800.000000,-76800.000000,-76800.000000,1152234.000000,,1152234.000000,57178924.000000,-28.000000,-30.119000,-522872.000000,-50977.089000,1.000000,0.000000,,219662.000000,0.000000,210031.000000,,0.000000,0.000000,0.000000,0.000000,333755.000000,333755.000000,0.000000,249746.000000,0.000000,675999.000000,0.000000,0.000000,775999.000000,-72809.000000,0.000000,-453444.000000,0.000000,-813331.000000,-813331.000000,-813331.000000,0.000000,0.000000,,815523.000000,-815523.000000,291710.000000,0.000000,50.251000,-28.092000,-21.090000,436551.000000,0.000000,5466528.000000,,,0.000000,-20426397.000000,0.000000,0.000000,501488.000000,,,,,73333.000000,314035.000000,1.000000,11.000000,10.000000,10.000000,0.000000,1266327.000000,0.000000,0.000000,0.000000,123459.784000
