dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2002-12-31,2003-03-04,2002-12-31,2002-Q4,1377200000.000000,9598438042.000000,2025-05-07,17300000.000000,4626800000.000000,,2901400000.000000,1725400000.000000,,3.458000,,809900000.000000,809900000.000000,,,1.904000,1.526000,1899900000.000000,738500000.000000,1161400000.000000,1899900000.000000,0.000000,,0.000000,0.002000,0.015000,,,,,,,,,,1829400000.000000,,1829400000.000000,10688438042.000000,21.000000,17.337000,,,1.000000,,,736500000.000000,,3456100000.000000,,781100000.000000,549200000.000000,235700000.000000,313500000.000000,2792500000.000000,1524200000.000000,1268300000.000000,,,,,,,,,,,,,,,,,,,785700000.000000,,5.247000,23.394000,23.942000,675400000.000000,,18.555000,3.811000,3.897000,855800000.000000,1345700000.000000,,,,,,,,,,1.000000,517296580.000000,529000000.000000,,,3890300000.000000,0.000000,,43700000.000000,7.354000
ARQ,2003-12-31,2004-03-15,2003-12-31,2003-Q4,2021500000.000000,17340418746.000000,2025-05-07,184000000.000000,5915900000.000000,,3716400000.000000,2199500000.000000,,6.128000,,1057300000.000000,1057300000.000000,,,2.193000,0.796000,1459600000.000000,644200000.000000,815400000.000000,1459600000.000000,0.000000,,0.000000,0.002000,0.020000,,,,,,,,,,3289400000.000000,,3289400000.000000,17742718746.000000,20.000000,17.651000,,,1.000000,,,927000000.000000,,3696300000.000000,,1004600000.000000,767200000.000000,322100000.000000,445100000.000000,2619800000.000000,1694900000.000000,924900000.000000,,,,,,,,,,,,,,,,,,,1050700000.000000,,5.272000,25.095000,24.300000,827400000.000000,,31.225000,5.293000,5.116000,1031800000.000000,1960300000.000000,,,,,,,,,,1.000000,555337670.000000,536800000.000000,,,4988900000.000000,0.000000,,34600000.000000,9.294000
ARQ,2004-12-31,2005-03-17,2004-12-31,2004-Q4,1997600000.000000,18900061245.000000,2025-05-07,377800000.000000,9632000000.000000,,4201500000.000000,5430500000.000000,,8.795000,,784100000.000000,784100000.000000,,,1.906000,0.785000,2288800000.000000,560400000.000000,1728400000.000000,2288800000.000000,0.000000,,0.000000,0.005000,0.060000,,,,,,,,,,5388900000.000000,,5388900000.000000,20404761245.000000,36.000000,35.604000,,,1.000000,,,3308700000.000000,,5624100000.000000,,1286300000.000000,1100400000.000000,256800000.000000,843600000.000000,4232200000.000000,2203900000.000000,2028300000.000000,,,,,,,,,,,,,,,,,,,1643500000.000000,,3.507000,56.962000,55.833000,1278200000.000000,,30.150000,3.938000,3.849000,1475900000.000000,2171400000.000000,,,,,,,,,,1.000000,626867703.000000,612700000.000000,,,6323300000.000000,0.000000,,212300000.000000,10.320000
ARQ,2005-12-31,2006-03-20,2005-12-31,2005-Q4,3245200000.000000,27502456094.000000,2025-05-07,145600000.000000,10387400000.000000,,5505300000.000000,4882100000.000000,,9.771000,,1275600000.000000,1275600000.000000,,,2.436000,0.718000,2148800000.000000,375500000.000000,1773300000.000000,2148800000.000000,0.000000,,0.000000,0.005000,0.060000,,,,,,,,,,6042300000.000000,,6042300000.000000,28375656094.000000,22.000000,18.244000,,,1.000000,,,3110600000.000000,,5889900000.000000,,1114200000.000000,1346100000.000000,935500000.000000,410600000.000000,4337100000.000000,2260100000.000000,2077000000.000000,,,,,,,,,,,,,,,,,,,1884600000.000000,,4.552000,25.648000,24.584000,1360900000.000000,,42.530000,5.238000,5.009000,1768700000.000000,3081600000.000000,,,,,,,,,,1.000000,646660148.000000,618400000.000000,,,7276800000.000000,0.000000,,219300000.000000,11.767000
ARQ,2006-12-31,2007-02-28,2006-12-31,2006-Q4,3569000000.000000,28208760499.000000,2025-05-07,651000000.000000,20471000000.000000,,7640000000.000000,12831000000.000000,,14.738000,,1332000000.000000,1332000000.000000,,,1.877000,0.834000,5327000000.000000,742000000.000000,4585000000.000000,5327000000.000000,0.000000,,0.000000,0.008000,0.080000,,,,,,,,,,11142000000.000000,,11142000000.000000,32203760499.000000,40.000000,26.246000,,,1.000000,,,10025000000.000000,,10370000000.000000,,1879000000.000000,1325000000.000000,712000000.000000,613000000.000000,9294000000.000000,4071000000.000000,5223000000.000000,,,,,,,,,,,,,,,,,,,3329000000.000000,,2.532000,51.664000,49.389000,2193000000.000000,,35.560000,3.355000,3.197000,2922000000.000000,3398000000.000000,,,,,,,,,,1.000000,793272230.000000,756000000.000000,,,10446000000.000000,0.000000,,486000000.000000,13.817000
ARQ,2007-12-31,2008-02-29,2007-12-31,2007-Q4,4488000000.000000,39669264596.000000,2025-05-07,1365000000.000000,23412000000.000000,,9859000000.000000,13553000000.000000,,17.870000,,1488000000.000000,1488000000.000000,,,1.836000,0.703000,5188000000.000000,1841000000.000000,3347000000.000000,5188000000.000000,0.000000,,0.000000,0.007000,0.100000,,,,,,,,,,13724000000.000000,,13724000000.000000,43369264596.000000,18.000000,14.893000,,,1.000000,,,10326000000.000000,,11415000000.000000,,2440000000.000000,2019000000.000000,1387000000.000000,632000000.000000,9652000000.000000,5371000000.000000,4281000000.000000,,,,,,,,,,,,,,,,,,,1383000000.000000,,2.891000,20.322000,19.319000,2515000000.000000,,49.070000,4.217000,4.006000,3546000000.000000,5041000000.000000,,,,,,,,,,1.000000,808421940.000000,768000000.000000,,,13086000000.000000,0.000000,,785000000.000000,17.039000
ARQ,2008-12-31,2009-02-27,2008-12-31,2008-Q4,2945000000.000000,39619292248.000000,2025-05-07,390000000.000000,32904000000.000000,,11426000000.000000,21478000000.000000,,20.897000,,1854000000.000000,1854000000.000000,,,1.347000,1.015000,8443000000.000000,2906000000.000000,5537000000.000000,8443000000.000000,0.000000,,0.000000,0.009000,0.110000,,,,,,,,,,16300000000.000000,,16300000000.000000,46208292248.000000,41.000000,28.331000,,,1.000000,,,16878000000.000000,,14134000000.000000,,3396000000.000000,478000000.000000,53000000.000000,425000000.000000,16544000000.000000,8481000000.000000,8063000000.000000,,,,,,,,,,,,,,,,,,,2244000000.000000,,2.431000,62.393000,55.037000,3699000000.000000,,44.580000,3.574000,3.137000,4653000000.000000,5288000000.000000,,,,,,,,,,1.000000,888723469.000000,780000000.000000,,,16026000000.000000,0.000000,,2344000000.000000,20.546000
ARQ,2009-12-31,2010-02-22,2009-12-31,2009-Q4,4539000000.000000,55283961053.000000,2025-05-07,555000000.000000,33810000000.000000,,12141000000.000000,21669000000.000000,,22.044000,,1995000000.000000,1995000000.000000,,,1.597000,0.757000,5612000000.000000,1301000000.000000,4311000000.000000,5612000000.000000,0.000000,,0.000000,0.009000,0.160000,,,,,,,,,,19222000000.000000,,19222000000.000000,58900961053.000000,25.000000,17.980000,,,1.000000,,,16727000000.000000,,13098000000.000000,,3332000000.000000,787000000.000000,253000000.000000,534000000.000000,14551000000.000000,7602000000.000000,6949000000.000000,,,,,,,,,,,,,,,,,,,2680000000.000000,,2.876000,27.642000,26.144000,3766000000.000000,,59.870000,3.978000,3.756000,5019000000.000000,6662000000.000000,,,,,,,,,,1.000000,923400051.000000,872000000.000000,,,17083000000.000000,642000000.000000,,2468000000.000000,19.591000
ARQ,2010-12-31,2011-02-15,2010-12-31,2010-Q4,2348000000.000000,48468710966.000000,2025-05-07,350000000.000000,38152000000.000000,,12042000000.000000,26110000000.000000,,24.494000,,1248000000.000000,1248000000.000000,,,1.242000,0.736000,6881000000.000000,2771000000.000000,4110000000.000000,6881000000.000000,0.000000,,0.000000,0.014000,0.220000,,,,,,,,,,21947000000.000000,,21947000000.000000,54101710966.000000,14.000000,11.234000,,,1.000000,,,20983000000.000000,,13108000000.000000,,3866000000.000000,668000000.000000,36000000.000000,632000000.000000,16150000000.000000,9694000000.000000,6456000000.000000,,,,,,,,,,,,,,,,,,,2525000000.000000,,2.208000,14.551000,13.898000,4357000000.000000,,51.700000,3.007000,2.873000,5476000000.000000,9325000000.000000,,,,,,,,,,1.000000,937499245.000000,896000000.000000,,,17169000000.000000,1554000000.000000,,2125000000.000000,19.162000
ARQ,2011-12-31,2012-02-17,2011-12-31,2011-Q4,606000000.000000,42059637662.000000,2025-05-07,-589000000.000000,50142000000.000000,,14453000000.000000,35689000000.000000,,24.938000,,1096000000.000000,1096000000.000000,,,1.044000,1.252000,14516000000.000000,4280000000.000000,10236000000.000000,14516000000.000000,0.000000,,0.000000,0.013000,0.000000,,,,,,,,,,22195000000.000000,,22195000000.000000,55479637662.000000,18.000000,13.505000,,,1.000000,,,28609000000.000000,,21106000000.000000,,5012000000.000000,991000000.000000,0.000000,991000000.000000,27799000000.000000,13847000000.000000,13952000000.000000,,,,,,,,,,,,,,,,,,,3743000000.000000,,1.895000,15.245000,14.403000,5947000000.000000,,44.650000,2.297000,2.170000,6213000000.000000,11284000000.000000,,,,,,,,,,1.000000,941985166.000000,890000000.000000,,,21533000000.000000,2274000000.000000,,3716000000.000000,24.194000
