dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-03-31,1996-12-31,1996-Q4,2012689.000000,,2025-05-10,0.000000,2377242.000000,,2294481.000000,82761.000000,,2136.671000,,2269532.000000,2269532.000000,,,8.142000,0.134000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,2095450.000000,,2095450.000000,,,,,,1.000000,,,0.000000,,-174082.000000,,0.000000,0.000000,0.000000,0.000000,281792.000000,281792.000000,0.000000,,,,,,,,,,,,,,,,,,,0.000000,,,,,0.000000,,,,,0.000000,-8438660.000000,,,,,,,,,,1.000000,1036.000000,981.000000,,,2377242.000000,0.000000,,0.000000,2424.006000
ARQ,1997-03-31,1997-05-15,1997-03-31,1997-Q1,,,2025-05-10,,,,,,,,-9343.000000,,,0.000000,-931652.000000,,,,,,,,11546.000000,,,0.000000,-931652.000000,-920106.000000,,-920106.000000,-931652.000000,-931652.000000,-900.000000,-900.000000,-900.000000,,,,,,,-831054.000000,-802.184000,1.000000,0.000000,,,0.000000,,,,,,,,,,-831036.000000,0.000000,18.000000,0.000000,0.000000,18.000000,-9343.000000,0.000000,-821711.000000,0.000000,-931652.000000,-931652.000000,-931652.000000,0.000000,0.000000,,954504.000000,-954504.000000,,0.000000,,,,,0.000000,,,,,,0.000000,0.000000,215556.000000,,,,,92642.000000,738948.000000,1.000000,1036.000000,1036.000000,1036.000000,0.000000,,,0.000000,,
ARQ,1997-06-30,1997-08-15,1997-06-30,1997-Q2,1988899.000000,,2025-05-10,0.000000,2538897.000000,,2353286.000000,185611.000000,,2062.050000,-115394.000000,2310163.000000,2310163.000000,0.000000,-1784927.000000,6.458000,0.168000,0.000000,0.000000,0.000000,0.000000,0.000000,10340.000000,0.000000,,0.000000,-1784927.000000,-1774587.000000,-775.606000,-1774587.000000,-1784927.000000,-1784927.000000,-1800.000000,,-1800.000000,2174510.000000,,2174510.000000,,,,-1129333.000000,-1070.927000,1.000000,2288.000000,1.000000,0.000000,0.000000,-135653.000000,,0.000000,0.000000,0.000000,0.000000,364387.000000,364387.000000,0.000000,871667.000000,0.000000,0.000000,0.000000,0.000000,2001000.000000,-115394.000000,0.000000,-1013939.000000,0.000000,-1784927.000000,-1906041.000000,-1906041.000000,0.000000,0.000000,-833.060000,1809436.000000,-1807148.000000,0.000000,0.000000,,,,185611.000000,121114.000000,,,,0.000000,-11276353.000000,2288.000000,2288.000000,1072625.000000,,,,,701980.000000,736811.000000,1.000000,1073.000000,1055.000000,,2.170000,2538897.000000,0.000000,0.000000,0.000000,2407.592000
ARQ,1997-09-30,1997-11-13,1997-09-30,1997-Q3,9684914.000000,,2025-05-10,0.000000,10184858.000000,,9967809.000000,217049.000000,,9231.024000,-56938.000000,9939494.000000,9939494.000000,0.000000,-981832.000000,35.235000,0.029000,0.000000,0.000000,0.000000,0.000000,0.000000,25504.000000,0.000000,,0.000000,-981832.000000,-956328.000000,,-956328.000000,-981832.000000,-981832.000000,-2559.375000,,-2559.375000,9901963.000000,,9901963.000000,,,,-1072751.000000,-1000.063000,1.000000,0.000000,,0.000000,0.000000,-37531.000000,,0.000000,0.000000,0.000000,0.000000,282895.000000,282895.000000,0.000000,7629331.000000,0.000000,0.000000,0.000000,0.000000,8702082.000000,-56938.000000,0.000000,-1015813.000000,0.000000,-981832.000000,-2757311.000000,-2757311.000000,0.000000,0.000000,,1062315.000000,-1062315.000000,0.000000,0.000000,,,,217049.000000,1775479.000000,,,,0.000000,-12137071.000000,0.000000,0.000000,507194.000000,,,,,7200.000000,555121.000000,1.000000,1073.000000,1073.000000,,0.000000,10184858.000000,0.000000,0.000000,0.000000,9494.751000
ARQ,1997-12-31,1998-03-23,1997-12-31,1997-Q4,8152179.000000,,2025-05-10,0.000000,8795706.000000,,8544745.000000,250961.000000,,7823.206000,-61478.000000,8543495.000000,8543495.000000,0.000000,-1452985.000000,21.766000,0.047000,0.000000,0.000000,0.000000,0.000000,0.000000,27563.000000,0.000000,,0.000000,-1452985.000000,-1425422.000000,,-1425422.000000,-1452985.000000,-1452985.000000,-3037.500000,,-3037.500000,8403140.000000,,8403140.000000,,,,-1306083.000000,-1215.945000,1.000000,0.000000,,0.000000,0.000000,-140355.000000,,0.000000,0.000000,0.000000,0.000000,392566.000000,392566.000000,0.000000,-1395999.000000,0.000000,-18.000000,0.000000,0.000000,-89916.000000,-61478.000000,0.000000,-1244605.000000,0.000000,-1452985.000000,-3259696.000000,-3259696.000000,0.000000,0.000000,,1572660.000000,-1572660.000000,0.000000,0.000000,,,,250961.000000,1806711.000000,,,,0.000000,-13590056.000000,0.000000,0.000000,765209.000000,,,,,-773022.000000,807451.000000,1.000000,1090.000000,1074.000000,,0.000000,8795706.000000,0.000000,0.000000,0.000000,8188.679000
ARQ,1998-03-31,1998-05-12,1998-03-31,1998-Q1,6829529.000000,,2025-05-10,0.000000,7413760.000000,,7072367.000000,341393.000000,,6194.132000,-128365.000000,6999535.000000,6999535.000000,0.000000,-1272233.000000,29.124000,0.034000,0.000000,0.000000,0.000000,0.000000,0.000000,37933.000000,0.000000,,0.000000,-1272233.000000,-1234300.000000,,-1234300.000000,-1272233.000000,-1272233.000000,-1968.750000,,-1968.750000,7170922.000000,,7170922.000000,,,,-1549458.000000,-1338.398000,1.000000,0.000000,,0.000000,0.000000,171387.000000,,0.000000,0.000000,0.000000,0.000000,242838.000000,242838.000000,0.000000,-1543960.000000,0.000000,5498.000000,0.000000,0.000000,5498.000000,-128365.000000,0.000000,-1421093.000000,0.000000,-1272233.000000,-2288935.000000,-2288935.000000,0.000000,0.000000,,1380719.000000,-1380719.000000,0.000000,0.000000,,,,341393.000000,1016702.000000,,,,0.000000,-14862290.000000,0.000000,0.000000,756726.000000,,,,,34518.000000,623993.000000,1.000000,1226.000000,1158.000000,,0.000000,7413760.000000,0.000000,0.000000,0.000000,6403.892000
ARQ,1998-06-30,1998-07-29,1998-06-30,1998-Q2,7880022.000000,,2025-05-10,0.000000,8825775.000000,,8477857.000000,347918.000000,,6283.619000,-49397.000000,8315159.000000,8315159.000000,0.000000,1022554.000000,14.181000,0.073000,0.000000,0.000000,0.000000,0.000000,0.000000,42872.000000,0.000000,,0.000000,1022554.000000,1065426.000000,0.426000,1065426.000000,1022554.000000,1022554.000000,393.750000,140.625000,393.750000,8227940.000000,,8227940.000000,,,,1315678.000000,1004.774000,1.000000,2500000.000000,1.000000,0.000000,0.000000,-87219.000000,,0.000000,0.000000,0.000000,0.000000,597835.000000,597835.000000,0.000000,1315624.000000,0.000000,-54.000000,0.000000,0.000000,-54.000000,-49397.000000,0.000000,1365075.000000,0.000000,1022554.000000,517014.000000,517014.000000,0.000000,0.000000,0.207000,1624246.000000,875754.000000,0.000000,0.000000,,,,347918.000000,505540.000000,,,,100000.000000,-13839735.000000,2500000.000000,2500000.000000,651532.000000,,,,,34518.000000,972714.000000,1.000000,1395.000000,1309.000000,3719.000000,1909.232000,8825775.000000,0.000000,0.000000,0.000000,6740.181000
ARQ,1998-09-30,1998-11-05,1998-09-30,1998-Q3,6794586.000000,,2025-05-10,0.000000,7676279.000000,,7371234.000000,305045.000000,,5533.967000,0.000000,7025389.000000,7025389.000000,0.000000,-1213045.000000,12.783000,0.081000,0.000000,0.000000,0.000000,0.000000,0.000000,42873.000000,0.000000,,0.000000,-1213045.000000,-1170172.000000,,-1170172.000000,-1213045.000000,-1213045.000000,-1040.625000,-1040.625000,-1040.625000,7099631.000000,,7099631.000000,,,,-1314505.000000,-1024.620000,1.000000,0.000000,,0.000000,0.000000,74242.000000,,0.000000,0.000000,0.000000,0.000000,576648.000000,576648.000000,0.000000,-1289770.000000,0.000000,24735.000000,0.000000,0.000000,24735.000000,0.000000,0.000000,-1314505.000000,0.000000,-1213045.000000,-1319054.000000,-1319054.000000,0.000000,0.000000,,1319349.000000,-1319349.000000,0.000000,0.000000,,,,305045.000000,106009.000000,,,,293480.000000,-15052780.000000,0.000000,0.000000,476744.000000,,,,,60000.000000,842605.000000,1.000000,1588.000000,1283.000000,1283.000000,0.000000,7676279.000000,0.000000,0.000000,0.000000,5983.448000
ARQ,1998-12-31,1999-03-25,1998-12-31,1998-Q4,5601791.000000,,2025-05-10,0.000000,6520965.000000,,6258792.000000,262173.000000,,4246.883000,-3.000000,5835669.000000,5835669.000000,0.000000,-1290804.000000,9.526000,0.112000,0.000000,0.000000,0.000000,0.000000,0.000000,42875.000000,0.000000,,0.000000,-1290804.000000,-1247929.000000,,-1247929.000000,-1290804.000000,-1290804.000000,-562.500000,,-562.500000,5863964.000000,,5863964.000000,,,,-1217541.000000,-881.785000,1.000000,0.000000,,0.000000,0.000000,28295.000000,,0.000000,0.000000,0.000000,0.000000,657001.000000,657001.000000,0.000000,-1189720.000000,0.000000,27821.000000,0.000000,0.000000,27821.000000,-3.000000,0.000000,-1217538.000000,0.000000,-1290804.000000,-1290804.000000,-1290804.000000,0.000000,0.000000,,1380549.000000,-1380549.000000,0.000000,0.000000,,,,262173.000000,0.000000,,,,381015.000000,-16343584.000000,0.000000,0.000000,1151353.000000,,,,,-54636.000000,229196.000000,1.000000,1622.000000,1381.000000,,0.000000,6520965.000000,0.000000,0.000000,0.000000,4722.705000
ARQ,1999-03-31,1999-05-03,1999-03-31,1999-Q1,4760402.000000,,2025-05-10,0.000000,5573391.000000,,5336797.000000,236594.000000,,3073.261000,-4696.000000,5002900.000000,5002900.000000,0.000000,-866968.000000,9.259000,0.115000,0.000000,0.000000,0.000000,0.000000,0.000000,30275.000000,0.000000,,0.000000,-866968.000000,-836693.000000,,-836693.000000,-866968.000000,-866968.000000,-534.375000,,-534.375000,4996996.000000,,4996996.000000,,,,-832769.000000,-512.171000,1.000000,0.000000,,0.000000,0.000000,-5904.000000,,0.000000,0.000000,0.000000,0.000000,576395.000000,576395.000000,0.000000,-832769.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4696.000000,0.000000,-828073.000000,0.000000,-866968.000000,-866968.000000,-866968.000000,0.000000,0.000000,,931189.000000,-931189.000000,0.000000,0.000000,,,,236594.000000,0.000000,,,,302026.000000,-17210552.000000,0.000000,0.000000,560339.000000,,,,,0.000000,370850.000000,1.000000,1651.000000,1626.000000,,0.000000,5573391.000000,0.000000,0.000000,0.000000,3427.756000
