dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-04-25,1997-01-25,1997-Q4,480046000.000000,3585749805.000000,2025-04-02,0.000000,2561212000.000000,,1662342000.000000,898870000.000000,,0.389000,,474732000.000000,474732000.000000,,,1.406000,1.272000,271550000.000000,27140000.000000,244410000.000000,271550000.000000,0.000000,,0.000000,0.006000,0.002000,,,,,,,,,,1127186000.000000,,1127186000.000000,3382567805.000000,6.000000,4.977000,,,1.000000,,,216127000.000000,,959607000.000000,,1059505000.000000,0.000000,0.000000,0.000000,1434026000.000000,1182296000.000000,251730000.000000,,,,,,,,,,,,,,,,,,,533945000.000000,,3.181000,10.263000,11.250000,640484000.000000,,1.406000,0.536000,0.610000,57275000.000000,468593000.000000,,,,,,,,,,1.000000,2549866528.000000,2900000288.000000,,,2345085000.000000,0.000000,,7320000.000000,0.809000
ARQ,1997-03-31,1997-06-10,1997-04-26,1998-Q1,521950000.000000,3867410176.000000,2025-04-02,0.000000,2788531000.000000,,1889538000.000000,898993000.000000,,0.458000,-33763000.000000,397127000.000000,397127000.000000,1202619000.000000,48461000.000000,1.382000,1.387000,273129000.000000,28866000.000000,244263000.000000,273129000.000000,0.000000,29899000.000000,0.000000,0.007000,0.003000,83793000.000000,113692000.000000,0.073000,113692000.000000,83793000.000000,82938000.000000,0.017000,0.017000,0.017000,1167995000.000000,,1167995000.000000,3743412176.000000,,,-125167000.000000,-0.049000,1.000000,357531000.000000,0.229000,214560000.000000,855000.000000,1082385000.000000,,1384397000.000000,0.000000,0.000000,0.000000,1620536000.000000,1367588000.000000,252948000.000000,-77605000.000000,0.000000,2139000.000000,1576000.000000,-10604000.000000,-6889000.000000,-33763000.000000,0.000000,-91404000.000000,0.000000,48461000.000000,45836000.000000,45836000.000000,0.000000,0.000000,0.029000,273738000.000000,83793000.000000,713699000.000000,0.176000,3.311000,,,643247000.000000,2625000.000000,1.516000,,,91528000.000000,506450000.000000,1560150000.000000,1560150000.000000,0.000000,,,,,0.000000,273738000.000000,1.000000,2551693312.000000,2551693312.000000,,0.611000,2573971000.000000,0.000000,34477000.000000,51736000.000000,1.009000
ARQ,1997-06-30,1997-09-09,1997-07-26,1998-Q2,503363000.000000,4857210832.000000,2025-04-02,0.000000,2573992000.000000,,1652660000.000000,921332000.000000,,0.447000,-47203000.000000,138232000.000000,138232000.000000,1323261000.000000,52578000.000000,1.438000,1.202000,268944000.000000,25682000.000000,243262000.000000,268944000.000000,0.000000,30734000.000000,0.000000,0.006000,0.003000,91323000.000000,122057000.000000,0.072000,122057000.000000,91323000.000000,89778000.000000,0.018000,0.018000,0.018000,1168892000.000000,,1168892000.000000,4987922832.000000,,,-170466000.000000,-0.065000,1.000000,375111000.000000,0.221000,213079000.000000,1545000.000000,1342328000.000000,,1421529000.000000,0.000000,0.000000,0.000000,1405100000.000000,1149297000.000000,255803000.000000,-258895000.000000,-28805000.000000,-43250000.000000,-4189000.000000,-12185000.000000,-59624000.000000,-76008000.000000,0.000000,-123263000.000000,0.000000,52578000.000000,47977000.000000,47977000.000000,0.000000,0.000000,0.028000,283788000.000000,91323000.000000,576964000.000000,0.167000,4.155000,,,660923000.000000,4601000.000000,1.859000,,,75691000.000000,546344000.000000,1698372000.000000,1698372000.000000,0.000000,,,,,0.000000,283788000.000000,1.000000,2612281456.000000,2612281456.000000,,0.650000,2360913000.000000,0.000000,37200000.000000,16561000.000000,0.904000
ARQ,1997-09-30,1997-12-09,1997-10-25,1998-Q3,447693000.000000,5800350275.000000,2025-04-02,0.000000,2668758000.000000,,1730185000.000000,938573000.000000,,0.437000,-64099000.000000,143602000.000000,143602000.000000,1414336000.000000,105165000.000000,1.349000,1.364000,245376000.000000,2199000.000000,243177000.000000,245376000.000000,0.000000,31830000.000000,0.000000,0.005000,0.003000,184380000.000000,216210000.000000,0.115000,216210000.000000,184380000.000000,180726000.000000,0.037000,0.037000,0.037000,1129054000.000000,,1129054000.000000,5902124275.000000,,,163054000.000000,0.063000,1.000000,473362000.000000,0.251000,211568000.000000,3654000.000000,1276472000.000000,,1459607000.000000,0.000000,0.000000,0.000000,1539704000.000000,1282492000.000000,257212000.000000,5370000.000000,11312000.000000,-133861000.000000,-23571000.000000,-11564000.000000,-168996000.000000,-52787000.000000,0.000000,227153000.000000,0.000000,105165000.000000,106009000.000000,106009000.000000,0.000000,0.000000,0.056000,287205000.000000,186157000.000000,646906000.000000,0.081000,5.137000,,,692802000.000000,-844000.000000,2.246000,,,110117000.000000,639944000.000000,1887698000.000000,1887698000.000000,0.000000,,,,,0.000000,287205000.000000,1.000000,2582237184.000000,2582237184.000000,,0.731000,2457190000.000000,0.000000,75561000.000000,71142000.000000,0.952000
ARQ,1997-09-30,1998-01-20,1997-10-25,1998-Q3,447693000.000000,5819717053.000000,2025-04-02,0.000000,2668758000.000000,,1730185000.000000,938573000.000000,,0.437000,-64099000.000000,143602000.000000,143602000.000000,1414336000.000000,105165000.000000,1.349000,1.364000,245376000.000000,2199000.000000,243177000.000000,245376000.000000,0.000000,31830000.000000,0.000000,0.005000,0.003000,184380000.000000,216210000.000000,0.115000,216210000.000000,184380000.000000,180726000.000000,0.037000,0.037000,0.037000,1129054000.000000,,1129054000.000000,5921491053.000000,,,163054000.000000,0.063000,1.000000,473362000.000000,0.251000,211568000.000000,3654000.000000,1276472000.000000,,1459607000.000000,0.000000,0.000000,0.000000,1539704000.000000,1282492000.000000,257212000.000000,5370000.000000,11312000.000000,-133861000.000000,-23571000.000000,-11564000.000000,-168996000.000000,-52787000.000000,0.000000,227153000.000000,0.000000,105165000.000000,101722000.000000,101722000.000000,0.000000,0.000000,0.054000,287205000.000000,186157000.000000,646906000.000000,0.081000,5.155000,,,692802000.000000,3443000.000000,2.254000,,,110117000.000000,639944000.000000,1887698000.000000,1887698000.000000,0.000000,,,,,0.000000,287205000.000000,1.000000,2582237184.000000,2582237184.000000,,0.731000,2457190000.000000,0.000000,75561000.000000,71142000.000000,0.952000
ARQ,1997-12-31,1998-04-29,1998-01-31,1998-Q4,464974000.000000,6887502115.000000,2025-04-02,0.000000,2609632000.000000,,1682631000.000000,927001000.000000,,0.453000,-47317000.000000,404369000.000000,404369000.000000,1736325000.000000,98611000.000000,1.382000,1.242000,244384000.000000,23360000.000000,221024000.000000,244384000.000000,0.000000,32428000.000000,0.000000,0.005000,0.003000,165500000.000000,197928000.000000,0.088000,197928000.000000,165500000.000000,167052000.000000,0.042000,0.037000,0.042000,1164092000.000000,,1164092000.000000,6727517115.000000,13.000000,10.352000,325664000.000000,0.127000,1.000000,506524000.000000,0.226000,204220000.000000,-1552000.000000,1027770000.000000,,1190170000.000000,0.000000,0.000000,0.000000,1445540000.000000,1217657000.000000,227883000.000000,260767000.000000,-15697000.000000,-54755000.000000,-995000.000000,-9147000.000000,-64897000.000000,-47317000.000000,0.000000,372981000.000000,0.000000,98611000.000000,93325000.000000,93325000.000000,0.000000,0.000000,0.042000,341024000.000000,165500000.000000,582791000.000000,0.071000,5.917000,23.495000,23.646000,686136000.000000,5286000.000000,2.696000,0.932000,0.938000,60735000.000000,729408000.000000,2242849000.000000,2242849000.000000,0.000000,,,,,0.000000,341024000.000000,1.000000,2555066864.000000,2571792368.000000,,0.872000,2405412000.000000,0.000000,68441000.000000,6859000.000000,0.935000
ARQ,1998-03-31,1998-06-16,1998-05-02,1999-Q1,444386000.000000,7621410069.000000,2025-04-02,0.000000,2767616000.000000,,1847110000.000000,920506000.000000,,0.450000,-39341000.000000,327391000.000000,327391000.000000,1330261000.000000,87767000.000000,1.317000,1.425000,250697000.000000,29751000.000000,220946000.000000,250697000.000000,0.000000,32573000.000000,0.000000,0.004000,0.004000,145751000.000000,178324000.000000,0.100000,178324000.000000,145751000.000000,145793000.000000,0.034000,0.033000,0.034000,1141276000.000000,,1141276000.000000,7544716069.000000,13.000000,10.559000,16325000.000000,0.006000,1.000000,445586000.000000,0.251000,202785000.000000,-42000.000000,1085413000.000000,,1381321000.000000,0.000000,0.000000,0.000000,1626340000.000000,1402724000.000000,223616000.000000,-76978000.000000,0.000000,-97162000.000000,6309000.000000,-10788000.000000,-101641000.000000,-31003000.000000,0.000000,55666000.000000,0.000000,87767000.000000,86517000.000000,86517000.000000,0.000000,0.000000,0.049000,299835000.000000,145751000.000000,739880000.000000,0.118000,6.678000,23.127000,22.929000,694876000.000000,1250000.000000,3.004000,1.002000,1.002000,90691000.000000,806387000.000000,1775847000.000000,1775847000.000000,0.000000,,,,,0.000000,299835000.000000,1.000000,2537298400.000000,2537298400.000000,,0.700000,2564831000.000000,0.000000,58026000.000000,87768000.000000,1.011000
ARQ,1998-06-30,1998-09-14,1998-08-01,1999-Q2,406072000.000000,7513181169.000000,2025-04-02,0.000000,2612488000.000000,,1673093000.000000,939395000.000000,,0.447000,-54894000.000000,58017000.000000,58017000.000000,1418490000.000000,84876000.000000,1.320000,1.325000,249924000.000000,29282000.000000,220642000.000000,249924000.000000,0.000000,33012000.000000,0.000000,0.005000,0.004000,142414000.000000,175426000.000000,0.094000,175426000.000000,142414000.000000,140989000.000000,0.033000,0.031000,0.033000,1123873000.000000,,1123873000.000000,7705088169.000000,12.000000,10.034000,-167869000.000000,-0.067000,1.000000,445746000.000000,0.239000,201235000.000000,1425000.000000,1336139000.000000,,1469956000.000000,0.000000,0.000000,0.000000,1488615000.000000,1267021000.000000,221594000.000000,-269374000.000000,0.000000,-89984000.000000,-776000.000000,-10745000.000000,-101505000.000000,-54894000.000000,0.000000,-112975000.000000,0.000000,84876000.000000,83638000.000000,83638000.000000,0.000000,0.000000,0.045000,303332000.000000,142414000.000000,639188000.000000,0.121000,6.685000,20.573000,20.445000,715323000.000000,1238000.000000,2.985000,0.967000,0.967000,81493000.000000,745841000.000000,1864236000.000000,1864236000.000000,0.000000,,,,,0.000000,303332000.000000,1.000000,2516978616.000000,2516978616.000000,,0.741000,2411253000.000000,0.000000,56113000.000000,33313000.000000,0.958000
ARQ,1998-09-30,1998-12-15,1998-10-31,1999-Q3,381997000.000000,8202072366.000000,2025-04-02,0.000000,2787117000.000000,,1819782000.000000,967335000.000000,,0.437000,-58077000.000000,155691000.000000,155691000.000000,1480501000.000000,124619000.000000,1.266000,1.469000,243196000.000000,22618000.000000,220578000.000000,243196000.000000,0.000000,34744000.000000,0.000000,0.004000,0.004000,214498000.000000,249242000.000000,0.123000,249242000.000000,214498000.000000,212991000.000000,0.050000,0.050000,0.050000,1128754000.000000,,1128754000.000000,8289577366.000000,12.000000,10.350000,223170000.000000,0.086000,1.000000,546077000.000000,0.269000,199742000.000000,1507000.000000,1237095000.000000,,1501362000.000000,0.000000,0.000000,0.000000,1658363000.000000,1437785000.000000,220578000.000000,97674000.000000,0.000000,-108361000.000000,-6732000.000000,-10403000.000000,-125496000.000000,-58077000.000000,0.000000,281247000.000000,0.000000,124619000.000000,123641000.000000,123641000.000000,9048000.000000,0.000000,0.061000,322531000.000000,223546000.000000,709302000.000000,0.080000,7.266000,21.187000,20.079000,739929000.000000,978000.000000,3.172000,1.037000,1.037000,104392000.000000,773393000.000000,2026578000.000000,2026578000.000000,0.000000,,,,,0.000000,322531000.000000,1.000000,2585365600.000000,2585365600.000000,,0.784000,2587375000.000000,7072000.000000,88372000.000000,83134000.000000,1.001000
ARQ,1998-12-31,1999-04-29,1999-01-30,1999-Q4,436259000.000000,10497414463.000000,2025-04-02,-1529000.000000,2747846000.000000,,1743105000.000000,1004741000.000000,,0.480000,-55430000.000000,461244000.000000,461244000.000000,1728163000.000000,126892000.000000,1.334000,1.251000,221038000.000000,694000.000000,220344000.000000,221038000.000000,0.000000,36202000.000000,0.000000,0.004000,0.004000,193987000.000000,230189000.000000,0.101000,230189000.000000,193987000.000000,195191000.000000,0.049000,0.045000,0.049000,1220656000.000000,,1220656000.000000,10257208463.000000,15.000000,12.311000,363401000.000000,0.143000,1.000000,554277000.000000,0.243000,198317000.000000,-1204000.000000,1002477000.000000,,1186068000.000000,0.000000,0.000000,0.000000,1527190000.000000,1306846000.000000,220344000.000000,305553000.000000,0.000000,-27049000.000000,-22161000.000000,-9721000.000000,-58931000.000000,-54347000.000000,0.000000,418831000.000000,0.000000,126892000.000000,126835000.000000,126835000.000000,0.000000,0.000000,0.056000,360290000.000000,193987000.000000,617159000.000000,0.082000,8.600000,24.956000,24.720000,756602000.000000,57000.000000,4.079000,1.321000,1.306000,67345000.000000,900044000.000000,2282440000.000000,2282440000.000000,0.000000,,,,,0.000000,360290000.000000,1.000000,2573684208.000000,2544584648.000000,,0.897000,2549529000.000000,22386000.000000,68299000.000000,0.000000,1.002000
