dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2023-12-31,2024-07-02,2023-12-31,2023-Q4,1068000000.000000,,2025-05-08,-23000000.000000,7121000000.000000,,1554000000.000000,5567000000.000000,,48.327000,,901000000.000000,901000000.000000,,,3.198000,1.867000,2820000000.000000,9000000.000000,2811000000.000000,2820000000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,2457000000.000000,,2457000000.000000,,,,,,1.000000,,,0.000000,,8554000000.000000,,375000000.000000,0.000000,0.000000,0.000000,4587000000.000000,486000000.000000,4101000000.000000,,,,,,,,,,,,,,,,,,,344000000.000000,,,,,3839000000.000000,,,,,137000000.000000,134000000.000000,,,,,,,,,,1.000000,50841161.000000,50841161.000000,,,7121000000.000000,0.000000,,407000000.000000,140.064000
ARQ,2024-03-31,2024-07-03,2024-03-31,2024-Q1,1637000000.000000,,2025-05-08,-27000000.000000,7265000000.000000,,2097000000.000000,5168000000.000000,,45.930000,273000000.000000,1080000000.000000,1080000000.000000,366000000.000000,319000000.000000,4.559000,1.666000,2628000000.000000,9000000.000000,2619000000.000000,2628000000.000000,0.000000,74000000.000000,0.000000,,0.000000,422000000.000000,496000000.000000,0.974000,496000000.000000,422000000.000000,363000000.000000,5.000000,5.000000,5.000000,2701000000.000000,,2701000000.000000,,,,446000000.000000,7.584000,1.000000,143000000.000000,0.281000,0.000000,59000000.000000,8353000000.000000,,279000000.000000,0.000000,0.000000,0.000000,4499000000.000000,460000000.000000,4039000000.000000,179000000.000000,1000000.000000,-30000000.000000,0.000000,0.000000,-259000000.000000,265000000.000000,0.000000,173000000.000000,0.000000,294000000.000000,294000000.000000,294000000.000000,0.000000,25000000.000000,0.578000,-206000000.000000,349000000.000000,177000000.000000,0.000000,,,,3359000000.000000,0.000000,,,,126000000.000000,428000000.000000,509000000.000000,509000000.000000,0.000000,,,,,0.000000,43000000.000000,1.000000,50841161.000000,58807000.000000,60716000.000000,8.655000,7265000000.000000,0.000000,69000000.000000,460000000.000000,123.540000
ARQ,2024-06-30,2024-08-13,2024-06-30,2024-Q2,1520000000.000000,6471573990.000000,2025-05-08,-29000000.000000,7082000000.000000,,1953000000.000000,5129000000.000000,,43.720000,-362000000.000000,1115000000.000000,1115000000.000000,-340000000.000000,458000000.000000,4.510000,1.796000,2626000000.000000,9000000.000000,2617000000.000000,2626000000.000000,0.000000,70000000.000000,0.000000,0.000000,0.000000,628000000.000000,698000000.000000,1.427000,698000000.000000,628000000.000000,566000000.000000,7.900000,7.900000,7.900000,2511000000.000000,,2511000000.000000,7982573990.000000,6.000000,4.663000,-385000000.000000,-6.703000,1.000000,829000000.000000,1.695000,0.000000,62000000.000000,8160000000.000000,,280000000.000000,0.000000,0.000000,0.000000,4510000000.000000,433000000.000000,4077000000.000000,35000000.000000,1068000000.000000,-652000000.000000,0.000000,0.000000,-656000000.000000,714000000.000000,0.000000,-23000000.000000,0.000000,454000000.000000,454000000.000000,454000000.000000,0.000000,4000000.000000,0.928000,-519000000.000000,1348000000.000000,212000000.000000,0.000000,2.577000,7.337000,8.381000,3250000000.000000,0.000000,126.890000,2.763000,3.149000,151000000.000000,448000000.000000,489000000.000000,489000000.000000,0.000000,,,,,0.000000,-40000000.000000,1.000000,51001450.000000,57434000.000000,59775000.000000,8.514000,7082000000.000000,0.000000,112000000.000000,495000000.000000,123.307000
ARQ,2024-09-30,2024-11-14,2024-09-30,2024-Q3,1265000000.000000,10335854951.000000,2025-05-08,-5000000.000000,6848000000.000000,,1673000000.000000,5175000000.000000,,46.874000,-58000000.000000,1132000000.000000,1132000000.000000,372000000.000000,168000000.000000,4.100000,1.845000,2625000000.000000,9000000.000000,2616000000.000000,2625000000.000000,0.000000,72000000.000000,0.000000,0.000000,0.000000,245000000.000000,317000000.000000,0.488000,317000000.000000,245000000.000000,179000000.000000,3.300000,3.300000,3.300000,2387000000.000000,,2387000000.000000,11828854951.000000,,,38000000.000000,0.746000,1.000000,278000000.000000,0.428000,0.000000,66000000.000000,7933000000.000000,,297000000.000000,0.000000,0.000000,0.000000,4403000000.000000,408000000.000000,3995000000.000000,17000000.000000,299000000.000000,-305000000.000000,0.000000,0.000000,-325000000.000000,246000000.000000,0.000000,96000000.000000,0.000000,168000000.000000,168000000.000000,168000000.000000,0.000000,0.000000,0.258000,120000000.000000,158000000.000000,210000000.000000,0.000000,4.330000,,,3228000000.000000,0.000000,203.240000,,,97000000.000000,412000000.000000,650000000.000000,650000000.000000,0.000000,,,,,0.000000,38000000.000000,1.000000,50855417.000000,50924000.000000,53169000.000000,12.764000,6848000000.000000,0.000000,11000000.000000,452000000.000000,134.475000
ARQ,2024-12-31,2025-02-28,2024-12-31,2024-Q4,585000000.000000,9557779184.000000,2025-05-08,-12000000.000000,6106000000.000000,,1040000000.000000,5066000000.000000,,27.792000,-42000000.000000,365000000.000000,365000000.000000,311000000.000000,68000000.000000,2.286000,3.402000,3004000000.000000,17000000.000000,2987000000.000000,3004000000.000000,0.000000,69000000.000000,0.000000,0.000000,0.000000,39000000.000000,108000000.000000,0.231000,108000000.000000,39000000.000000,-12000000.000000,1.960000,1.960000,1.960000,1387000000.000000,,1387000000.000000,12196779184.000000,9.000000,7.534000,-32000000.000000,-0.641000,1.000000,156000000.000000,0.334000,0.000000,51000000.000000,8290000000.000000,,302000000.000000,0.000000,0.000000,0.000000,4719000000.000000,455000000.000000,4264000000.000000,-767000000.000000,-12000000.000000,-1003000000.000000,188000000.000000,0.000000,-723000000.000000,-54000000.000000,0.000000,10000000.000000,0.000000,82000000.000000,82000000.000000,82000000.000000,0.000000,-14000000.000000,0.176000,141000000.000000,15000000.000000,266000000.000000,0.000000,6.891000,9.577000,11.302000,3154000000.000000,0.000000,207.950000,4.519000,5.334000,123000000.000000,-326000000.000000,467000000.000000,467000000.000000,0.000000,,,,,0.000000,42000000.000000,1.000000,45961910.000000,49907000.000000,52676000.000000,9.357000,6106000000.000000,0.000000,-94000000.000000,362000000.000000,122.348000
ARQ,2025-03-31,2025-05-08,2025-03-31,2025-Q1,324000000.000000,10403990806.000000,2025-05-08,-10000000.000000,5865000000.000000,,846000000.000000,5019000000.000000,,25.737000,-64000000.000000,320000000.000000,320000000.000000,381000000.000000,-135000000.000000,1.621000,3.970000,2992000000.000000,17000000.000000,2975000000.000000,2992000000.000000,0.000000,72000000.000000,0.000000,0.000000,0.000000,-113000000.000000,-41000000.000000,-0.105000,-41000000.000000,-113000000.000000,-187000000.000000,-2.940000,-2.940000,-2.940000,1180000000.000000,,1180000000.000000,13075990806.000000,16.000000,12.085000,55000000.000000,1.200000,1.000000,9000000.000000,0.023000,0.000000,74000000.000000,8015000000.000000,,219000000.000000,0.000000,0.000000,0.000000,4685000000.000000,522000000.000000,4163000000.000000,-45000000.000000,0.000000,-83000000.000000,-4000000.000000,0.000000,-96000000.000000,-68000000.000000,0.000000,119000000.000000,0.000000,-135000000.000000,-135000000.000000,-135000000.000000,0.000000,0.000000,-0.346000,113000000.000000,-104000000.000000,203000000.000000,0.000000,8.817000,18.285000,22.369000,3138000000.000000,0.000000,228.610000,5.212000,5.251000,100000000.000000,-528000000.000000,390000000.000000,390000000.000000,0.000000,,,,,0.000000,34000000.000000,1.000000,45509780.000000,45849000.000000,45849000.000000,8.506000,5865000000.000000,0.000000,-52000000.000000,294000000.000000,127.920000
ART,2023-12-31,2024-07-02,2023-12-31,2023-Q4,1068000000.000000,,2025-05-08,-23000000.000000,7121000000.000000,,1554000000.000000,5567000000.000000,,48.327000,,901000000.000000,901000000.000000,,,3.198000,1.867000,2820000000.000000,9000000.000000,2811000000.000000,2820000000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,2457000000.000000,,2457000000.000000,,,,,,1.000000,,,0.000000,,8554000000.000000,,375000000.000000,0.000000,0.000000,0.000000,4587000000.000000,486000000.000000,4101000000.000000,,,,,,,,,,,,,,,,,,,344000000.000000,,,,,3839000000.000000,,,,,137000000.000000,134000000.000000,,,,,,,,,,1.000000,50841161.000000,50841161.000000,,,7121000000.000000,0.000000,,407000000.000000,140.064000
ART,2024-03-31,2024-07-03,2024-03-31,2024-Q1,1637000000.000000,,2025-05-08,-27000000.000000,7265000000.000000,,2097000000.000000,5168000000.000000,,45.930000,,1080000000.000000,1080000000.000000,,,4.559000,1.666000,2628000000.000000,9000000.000000,2619000000.000000,2628000000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,2701000000.000000,,2701000000.000000,,,,,,1.000000,,,0.000000,,8353000000.000000,,279000000.000000,0.000000,0.000000,0.000000,4499000000.000000,460000000.000000,4039000000.000000,,,,,,,,,,,,,,,,,,,177000000.000000,,,,,3359000000.000000,,,,,126000000.000000,428000000.000000,,,,,,,,,,1.000000,50841161.000000,58807000.000000,,,7265000000.000000,0.000000,,460000000.000000,123.540000
ART,2024-06-30,2024-08-13,2024-06-30,2024-Q2,1520000000.000000,6471573990.000000,2025-05-08,-29000000.000000,7082000000.000000,,1953000000.000000,5129000000.000000,,43.204000,-250000000.000000,1115000000.000000,1115000000.000000,187000000.000000,920000000.000000,4.510000,1.796000,2626000000.000000,9000000.000000,2617000000.000000,2626000000.000000,0.000000,301000000.000000,0.000000,0.000000,0.000000,1411000000.000000,1712000000.000000,0.731000,1712000000.000000,1411000000.000000,1114000000.000000,15.140000,15.140000,15.140000,2511000000.000000,,2511000000.000000,7982573990.000000,6.000000,4.663000,302000000.000000,5.196000,1.000000,2155000000.000000,0.920000,0.000000,297000000.000000,8160000000.000000,,280000000.000000,0.000000,0.000000,0.000000,4510000000.000000,433000000.000000,4077000000.000000,361000000.000000,1072000000.000000,-682000000.000000,0.000000,0.000000,-999000000.000000,808000000.000000,0.000000,552000000.000000,0.000000,882000000.000000,882000000.000000,882000000.000000,0.000000,38000000.000000,0.377000,-520000000.000000,2675000000.000000,212000000.000000,0.000000,2.577000,7.337000,8.381000,3250000000.000000,0.000000,126.890000,2.763000,3.149000,151000000.000000,448000000.000000,2342000000.000000,2342000000.000000,0.000000,,,,0.602000,0.000000,10000000.000000,1.000000,51001450.000000,58119000.000000,60269000.000000,40.297000,7082000000.000000,0.000000,232000000.000000,495000000.000000,121.853000
ART,2024-09-30,2024-11-14,2024-09-30,2024-Q3,1265000000.000000,10335854951.000000,2025-05-08,-5000000.000000,6848000000.000000,7079000000.000000,1673000000.000000,5175000000.000000,,46.874000,,1132000000.000000,1132000000.000000,,,4.100000,1.845000,2625000000.000000,9000000.000000,2616000000.000000,2625000000.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,2387000000.000000,2514000000.000000,2387000000.000000,11828854951.000000,,,,,1.000000,,,0.000000,,7933000000.000000,8250000000.000000,297000000.000000,0.000000,0.000000,0.000000,4403000000.000000,408000000.000000,3995000000.000000,,,,,,,,,,,,,,,,,,,210000000.000000,,4.330000,,,3228000000.000000,,203.240000,,,97000000.000000,412000000.000000,,,,,,,,,,1.000000,50855417.000000,50924000.000000,,,6848000000.000000,0.000000,,452000000.000000,134.475000
ART,2024-12-31,2025-02-28,2024-12-31,2024-Q4,585000000.000000,9557779184.000000,2025-05-08,-12000000.000000,6106000000.000000,6825250000.000000,1040000000.000000,5066000000.000000,0.310000,25.565000,-189000000.000000,365000000.000000,365000000.000000,1389000000.000000,1013000000.000000,2.286000,3.402000,3004000000.000000,17000000.000000,2987000000.000000,3004000000.000000,0.000000,285000000.000000,0.000000,0.000000,0.000000,1334000000.000000,1619000000.000000,0.765000,1619000000.000000,1334000000.000000,1096000000.000000,18.400000,18.400000,18.400000,1387000000.000000,2246500000.000000,1387000000.000000,12196779184.000000,9.000000,7.534000,67000000.000000,1.235000,1.000000,726000000.000000,0.343000,0.000000,238000000.000000,8290000000.000000,8184000000.000000,302000000.000000,0.000000,0.000000,0.000000,4719000000.000000,455000000.000000,4264000000.000000,-536000000.000000,1356000000.000000,-1990000000.000000,188000000.000000,0.000000,-1963000000.000000,1171000000.000000,0.000000,256000000.000000,0.000000,998000000.000000,998000000.000000,998000000.000000,0.000000,15000000.000000,0.472000,-384000000.000000,1110000000.000000,266000000.000000,0.000000,6.891000,9.577000,11.302000,3154000000.000000,0.000000,207.950000,4.519000,5.334000,123000000.000000,-326000000.000000,2115000000.000000,2115000000.000000,0.000000,0.146000,0.444000,0.163000,0.631000,0.000000,163000000.000000,1.000000,45961910.000000,54254000.000000,56486000.000000,38.983000,6106000000.000000,0.000000,98000000.000000,362000000.000000,112.545000
ART,2025-03-31,2025-05-08,2025-03-31,2025-Q1,324000000.000000,10403990806.000000,2025-05-08,-10000000.000000,5865000000.000000,6475250000.000000,846000000.000000,5019000000.000000,0.308000,25.737000,-526000000.000000,320000000.000000,320000000.000000,724000000.000000,559000000.000000,1.621000,3.970000,2992000000.000000,17000000.000000,2975000000.000000,2992000000.000000,0.000000,283000000.000000,0.000000,0.000000,0.000000,799000000.000000,1082000000.000000,0.542000,1082000000.000000,799000000.000000,546000000.000000,10.220000,10.220000,10.220000,1180000000.000000,1866250000.000000,1180000000.000000,13075990806.000000,16.000000,12.085000,-324000000.000000,-7.067000,1.000000,1272000000.000000,0.637000,0.000000,253000000.000000,8015000000.000000,8099500000.000000,219000000.000000,0.000000,0.000000,0.000000,4685000000.000000,522000000.000000,4163000000.000000,-760000000.000000,1355000000.000000,-2043000000.000000,184000000.000000,0.000000,-1800000000.000000,838000000.000000,0.000000,202000000.000000,0.000000,569000000.000000,569000000.000000,569000000.000000,0.000000,-10000000.000000,0.285000,-145000000.000000,1417000000.000000,203000000.000000,0.000000,8.817000,18.285000,22.369000,3138000000.000000,0.000000,228.610000,5.212000,5.251000,100000000.000000,-528000000.000000,1996000000.000000,1996000000.000000,0.000000,0.088000,0.305000,0.099000,0.400000,0.000000,74000000.000000,1.000000,45509780.000000,45849000.000000,45849000.000000,43.534000,5865000000.000000,0.000000,-23000000.000000,294000000.000000,127.920000
ARY,2024-12-31,2025-02-28,2024-12-31,2024-FY,585000000.000000,9557779184.000000,2025-05-08,-12000000.000000,6106000000.000000,6825250000.000000,1040000000.000000,5066000000.000000,0.310000,25.565000,-189000000.000000,365000000.000000,365000000.000000,1389000000.000000,1013000000.000000,2.286000,3.402000,3004000000.000000,17000000.000000,2987000000.000000,3004000000.000000,0.000000,285000000.000000,0.000000,0.000000,0.000000,1334000000.000000,1619000000.000000,0.765000,1619000000.000000,1334000000.000000,1096000000.000000,18.400000,18.400000,18.400000,1387000000.000000,2246500000.000000,1387000000.000000,12196779184.000000,9.000000,7.534000,67000000.000000,1.235000,1.000000,726000000.000000,0.343000,0.000000,238000000.000000,8290000000.000000,8184000000.000000,302000000.000000,0.000000,0.000000,0.000000,4719000000.000000,455000000.000000,4264000000.000000,-536000000.000000,1356000000.000000,-1990000000.000000,188000000.000000,0.000000,-1963000000.000000,1171000000.000000,0.000000,256000000.000000,0.000000,998000000.000000,998000000.000000,998000000.000000,0.000000,15000000.000000,0.472000,-384000000.000000,1110000000.000000,266000000.000000,0.000000,6.891000,9.577000,11.302000,3154000000.000000,0.000000,207.950000,4.519000,5.334000,123000000.000000,-326000000.000000,2115000000.000000,2115000000.000000,0.000000,0.146000,0.444000,0.163000,0.631000,0.000000,163000000.000000,1.000000,45961910.000000,54254000.000000,56486000.000000,38.983000,6106000000.000000,0.000000,98000000.000000,362000000.000000,112.545000
MRQ,2023-09-30,2023-09-30,2023-09-30,2023-Q3,,,2025-05-08,,,,,,,,-69000000.000000,,,396000000.000000,-76000000.000000,,,,,,,,62000000.000000,,,0.000000,-25000000.000000,37000000.000000,0.072000,37000000.000000,-25000000.000000,-93000000.000000,-1.300000,-1.300000,-1.300000,,,,,,,112000000.000000,1.897000,1.000000,120000000.000000,0.233000,,68000000.000000,,,,,,,,,,49000000.000000,-9000000.000000,0.000000,0.000000,0.000000,-62000000.000000,-70000000.000000,0.000000,181000000.000000,0.000000,-77000000.000000,-77000000.000000,-77000000.000000,0.000000,1000000.000000,-0.149000,113000000.000000,7000000.000000,,0.000000,,,,,0.000000,,,,,,516000000.000000,516000000.000000,0.000000,,,,,0.000000,37000000.000000,1.000000,,59029000.000000,59029000.000000,8.741000,,,-16000000.000000,,
MRQ,2023-12-31,2023-12-31,2023-12-31,2023-Q4,1068000000.000000,,2025-05-08,-23000000.000000,7121000000.000000,,1554000000.000000,5567000000.000000,,41.624000,-58000000.000000,901000000.000000,901000000.000000,300000000.000000,188000000.000000,3.198000,1.867000,2820000000.000000,9000000.000000,2811000000.000000,2820000000.000000,0.000000,68000000.000000,0.000000,,0.000000,305000000.000000,373000000.000000,0.708000,373000000.000000,305000000.000000,230000000.000000,3.080000,3.080000,3.080000,2457000000.000000,,2457000000.000000,,,,164000000.000000,2.778000,1.000000,227000000.000000,0.431000,0.000000,75000000.000000,8554000000.000000,,375000000.000000,0.000000,0.000000,0.000000,4587000000.000000,486000000.000000,4101000000.000000,137000000.000000,-15000000.000000,0.000000,-15000000.000000,0.000000,-22000000.000000,-63000000.000000,0.000000,222000000.000000,0.000000,182000000.000000,182000000.000000,182000000.000000,0.000000,6000000.000000,0.345000,122000000.000000,105000000.000000,344000000.000000,0.000000,,,,3839000000.000000,0.000000,,,,137000000.000000,134000000.000000,527000000.000000,527000000.000000,0.000000,,,,,0.000000,38000000.000000,1.000000,50841161.000000,59029000.000000,59892333.000000,8.928000,7121000000.000000,0.000000,48000000.000000,407000000.000000,120.636000
MRQ,2024-03-31,2024-03-31,2024-03-31,2024-Q1,1637000000.000000,,2025-05-08,-27000000.000000,7265000000.000000,,2097000000.000000,5168000000.000000,,45.930000,273000000.000000,1080000000.000000,1080000000.000000,366000000.000000,319000000.000000,4.559000,1.666000,2628000000.000000,9000000.000000,2619000000.000000,2628000000.000000,0.000000,74000000.000000,0.000000,,0.000000,422000000.000000,496000000.000000,0.974000,496000000.000000,422000000.000000,363000000.000000,5.000000,5.000000,5.000000,2701000000.000000,,2701000000.000000,,,,446000000.000000,7.584000,1.000000,143000000.000000,0.281000,0.000000,59000000.000000,8353000000.000000,,279000000.000000,0.000000,0.000000,0.000000,4499000000.000000,460000000.000000,4039000000.000000,179000000.000000,0.000000,-30000000.000000,-2000000.000000,0.000000,-259000000.000000,265000000.000000,0.000000,173000000.000000,0.000000,294000000.000000,294000000.000000,294000000.000000,0.000000,25000000.000000,0.578000,-206000000.000000,349000000.000000,177000000.000000,0.000000,,,,3359000000.000000,0.000000,,,,126000000.000000,428000000.000000,509000000.000000,509000000.000000,0.000000,,,,,0.000000,43000000.000000,1.000000,50841161.000000,58807000.000000,60716000.000000,8.655000,7265000000.000000,0.000000,69000000.000000,460000000.000000,123.540000
MRQ,2024-06-30,2024-06-30,2024-06-30,2024-Q2,1520000000.000000,,2025-05-08,-29000000.000000,7082000000.000000,,1953000000.000000,5129000000.000000,,43.720000,-362000000.000000,1115000000.000000,1115000000.000000,-340000000.000000,458000000.000000,4.510000,1.796000,2626000000.000000,9000000.000000,2617000000.000000,2626000000.000000,0.000000,70000000.000000,0.000000,,0.000000,628000000.000000,698000000.000000,1.427000,698000000.000000,628000000.000000,566000000.000000,7.900000,7.900000,7.900000,2511000000.000000,,2511000000.000000,,,,-385000000.000000,-6.703000,1.000000,829000000.000000,1.695000,0.000000,62000000.000000,8160000000.000000,,280000000.000000,0.000000,0.000000,0.000000,4510000000.000000,433000000.000000,4077000000.000000,35000000.000000,1068000000.000000,-652000000.000000,0.000000,0.000000,-656000000.000000,714000000.000000,0.000000,-23000000.000000,0.000000,454000000.000000,454000000.000000,454000000.000000,0.000000,4000000.000000,0.928000,-519000000.000000,1348000000.000000,212000000.000000,0.000000,,,,3250000000.000000,0.000000,,,,151000000.000000,448000000.000000,489000000.000000,489000000.000000,0.000000,,,,,0.000000,-40000000.000000,1.000000,50841161.000000,57434000.000000,59775000.000000,8.514000,7082000000.000000,0.000000,112000000.000000,495000000.000000,123.307000
MRQ,2024-09-30,2024-09-30,2024-09-30,2024-Q3,1265000000.000000,9090498448.000000,2025-05-08,-5000000.000000,6848000000.000000,,1673000000.000000,5175000000.000000,,46.874000,-58000000.000000,1132000000.000000,1132000000.000000,372000000.000000,168000000.000000,4.100000,1.845000,2625000000.000000,9000000.000000,2616000000.000000,2625000000.000000,0.000000,72000000.000000,0.000000,0.000000,0.000000,245000000.000000,317000000.000000,0.488000,317000000.000000,245000000.000000,179000000.000000,3.300000,3.300000,3.300000,2387000000.000000,,2387000000.000000,10601498448.000000,7.000000,5.627000,38000000.000000,0.746000,1.000000,278000000.000000,0.428000,0.000000,66000000.000000,7933000000.000000,,297000000.000000,0.000000,0.000000,0.000000,4403000000.000000,408000000.000000,3995000000.000000,17000000.000000,299000000.000000,-305000000.000000,0.000000,0.000000,-325000000.000000,246000000.000000,0.000000,96000000.000000,0.000000,168000000.000000,168000000.000000,168000000.000000,0.000000,0.000000,0.258000,120000000.000000,158000000.000000,210000000.000000,0.000000,3.808000,8.279000,9.245000,3228000000.000000,0.000000,178.240000,4.180000,4.173000,97000000.000000,412000000.000000,650000000.000000,650000000.000000,0.000000,,,,,0.000000,38000000.000000,1.000000,51001450.000000,50924000.000000,53169000.000000,12.764000,6848000000.000000,0.000000,11000000.000000,452000000.000000,134.475000
MRQ,2024-12-31,2024-12-31,2024-12-31,2024-Q4,585000000.000000,10245840863.000000,2025-05-08,-12000000.000000,6106000000.000000,,1040000000.000000,5066000000.000000,,27.792000,-42000000.000000,365000000.000000,365000000.000000,311000000.000000,68000000.000000,2.286000,3.402000,3004000000.000000,17000000.000000,2987000000.000000,3004000000.000000,0.000000,69000000.000000,0.000000,0.000000,0.000000,39000000.000000,108000000.000000,0.231000,108000000.000000,39000000.000000,-12000000.000000,1.960000,1.960000,1.960000,1387000000.000000,,1387000000.000000,11738840863.000000,9.000000,7.251000,-32000000.000000,-0.641000,1.000000,156000000.000000,0.334000,0.000000,51000000.000000,8290000000.000000,,302000000.000000,0.000000,0.000000,0.000000,4719000000.000000,455000000.000000,4264000000.000000,-767000000.000000,-12000000.000000,-1003000000.000000,188000000.000000,0.000000,-723000000.000000,-54000000.000000,0.000000,10000000.000000,0.000000,82000000.000000,82000000.000000,82000000.000000,0.000000,-14000000.000000,0.176000,141000000.000000,15000000.000000,266000000.000000,0.000000,7.387000,10.266000,10.949000,3154000000.000000,0.000000,201.470000,4.844000,5.168000,123000000.000000,-326000000.000000,467000000.000000,467000000.000000,0.000000,,,,,0.000000,42000000.000000,1.000000,50855417.000000,49907000.000000,52676000.000000,9.357000,6106000000.000000,0.000000,-94000000.000000,362000000.000000,122.348000
