dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-03-20,1996-12-28,1996-Q4,2218617000.000000,5134950327.000000,2025-05-02,7895000.000000,5141244000.000000,,3131829000.000000,2009415000.000000,,12.396000,,414404000.000000,414404000.000000,,,3.429000,1.931000,1611154000.000000,153787000.000000,1457367000.000000,1611154000.000000,45715000.000000,,0.000000,0.000000,0.000000,,,,,,,,,,1754369000.000000,,1754369000.000000,6331700327.000000,21.000000,15.190000,,,1.000000,,,1082935000.000000,,4341847000.000000,,432960000.000000,1526282000.000000,1431881000.000000,94401000.000000,3386875000.000000,913212000.000000,2473663000.000000,,,,,,,,,,,,,,,,,,,203643000.000000,,2.927000,26.910000,25.370000,704447000.000000,,34.250000,1.751000,1.653000,693700000.000000,795312000.000000,,,,,,,,,,1.000000,149925557.000000,141525000.000000,,,4058309000.000000,129802000.000000,,143260000.000000,28.676000
ARQ,1997-03-31,1997-05-06,1997-03-29,1997-Q1,1837615000.000000,5030168715.000000,2025-05-02,-14706000.000000,5343588000.000000,,2967872000.000000,2375716000.000000,,11.711000,-20430000.000000,341753000.000000,341753000.000000,430802000.000000,52058000.000000,2.626000,2.041000,1708735000.000000,284225000.000000,1424510000.000000,1708735000.000000,56444000.000000,0.000000,0.000000,0.000000,0.000000,80455000.000000,80455000.000000,0.105000,80455000.000000,80455000.000000,80455000.000000,0.350000,0.320000,0.350000,1757448000.000000,,1757448000.000000,6397150715.000000,,,11701000.000000,0.078000,1.000000,332703000.000000,0.436000,1420377000.000000,0.000000,4159936000.000000,,511100000.000000,1244056000.000000,1174930000.000000,69126000.000000,3586140000.000000,1130257000.000000,2455883000.000000,-72651000.000000,-349038000.000000,62816000.000000,-16210000.000000,0.000000,-7158000.000000,-93728000.000000,273798000.000000,32131000.000000,-3896000.000000,52058000.000000,52058000.000000,52058000.000000,0.000000,0.000000,0.068000,271671000.000000,61032000.000000,206639000.000000,0.000000,2.862000,,,753986000.000000,0.000000,33.500000,,,751677000.000000,847370000.000000,763505000.000000,763505000.000000,78541000.000000,,,,,0.000000,185330000.000000,1.000000,150154290.000000,150070000.000000,175925000.000000,5.088000,3923211000.000000,144860000.000000,28397000.000000,245905000.000000,26.143000
ARQ,1997-06-30,1997-08-06,1997-06-28,1997-Q2,1795935000.000000,5558582779.000000,2025-05-02,-18903000.000000,5304637000.000000,,2808149000.000000,2496488000.000000,,11.599000,-19296000.000000,288738000.000000,288738000.000000,481859000.000000,56158000.000000,2.774000,2.045000,1708600000.000000,170332000.000000,1538268000.000000,1708600000.000000,53523000.000000,0.000000,0.000000,0.000000,0.000000,98184000.000000,98184000.000000,0.112000,98184000.000000,98184000.000000,98184000.000000,0.370000,0.350000,0.370000,1741890000.000000,,1741890000.000000,6978444779.000000,,,5713000.000000,0.038000,1.000000,393157000.000000,0.449000,1506048000.000000,0.000000,4206237000.000000,,535307000.000000,1077715000.000000,1004232000.000000,73483000.000000,3562747000.000000,1012214000.000000,2550533000.000000,-53015000.000000,-253629000.000000,39166000.000000,96690000.000000,0.000000,24617000.000000,-96383000.000000,174943000.000000,25009000.000000,-6258000.000000,56158000.000000,56158000.000000,56158000.000000,0.000000,0.000000,0.064000,292524000.000000,100633000.000000,217697000.000000,0.000000,3.191000,,,764467000.000000,0.000000,37.000000,,,805397000.000000,903528000.000000,875016000.000000,875016000.000000,81480000.000000,,,,,0.000000,213167000.000000,1.000000,150231967.000000,150174000.000000,175861000.000000,5.827000,3798589000.000000,130979000.000000,42026000.000000,242804000.000000,25.295000
ARQ,1997-09-30,1997-11-05,1997-09-27,1997-Q3,2061357000.000000,5977456000.000000,2025-05-02,-32580000.000000,5588131000.000000,,3070179000.000000,2517952000.000000,,11.898000,-27317000.000000,493287000.000000,493287000.000000,500739000.000000,61859000.000000,3.043000,2.124000,1943226000.000000,173523000.000000,1769703000.000000,1943226000.000000,51785000.000000,99223000.000000,0.000000,0.000000,0.000000,109809000.000000,209032000.000000,0.230000,209032000.000000,109809000.000000,109809000.000000,0.410000,0.380000,0.410000,1788736000.000000,,1788736000.000000,7427395000.000000,,,58010000.000000,0.386000,1.000000,409111000.000000,0.450000,1529856000.000000,0.000000,4499392000.000000,,521605000.000000,1112480000.000000,1036917000.000000,75563000.000000,3799395000.000000,1008822000.000000,2790573000.000000,204549000.000000,-34191000.000000,32632000.000000,247608000.000000,0.000000,195182000.000000,-77227000.000000,-19304000.000000,85327000.000000,1267000.000000,61859000.000000,61859000.000000,61859000.000000,0.000000,0.000000,0.068000,292375000.000000,116736000.000000,212033000.000000,0.000000,3.342000,,,759404000.000000,0.000000,39.500000,,,839452000.000000,965387000.000000,909850000.000000,909850000.000000,84097000.000000,,,,,0.000000,205761000.000000,1.000000,151328000.000000,150345000.000000,176255000.000000,6.052000,4058275000.000000,138367000.000000,47950000.000000,246079000.000000,26.993000
ARQ,1997-12-31,1998-03-12,1998-01-03,1997-Q4,2001963000.000000,6118641141.000000,2025-05-02,-35807000.000000,5795869000.000000,,3094198000.000000,2701671000.000000,,13.102000,-28929000.000000,593580000.000000,593580000.000000,559865000.000000,69253000.000000,2.833000,1.901000,1875351000.000000,176912000.000000,1698439000.000000,1875351000.000000,54999000.000000,36515000.000000,0.000000,0.000000,0.000000,125593000.000000,162108000.000000,0.161000,162108000.000000,125593000.000000,125593000.000000,0.440000,0.360000,0.440000,1997909000.000000,,1997909000.000000,7400412141.000000,18.000000,13.461000,97622000.000000,0.640000,1.000000,450084000.000000,0.446000,1692211000.000000,0.000000,4293194000.000000,,543589000.000000,992424000.000000,929118000.000000,63306000.000000,3797960000.000000,1092235000.000000,2705725000.000000,100293000.000000,-149026000.000000,30241000.000000,60190000.000000,0.000000,25109000.000000,-52490000.000000,139901000.000000,126551000.000000,1123000.000000,69253000.000000,69253000.000000,69253000.000000,0.000000,0.000000,0.069000,322699000.000000,127385000.000000,251677000.000000,0.000000,3.063000,25.566000,24.484000,789046000.000000,0.000000,38.440000,1.720000,1.647000,866774000.000000,1034640000.000000,1009949000.000000,1009949000.000000,93187000.000000,,,,,0.000000,236434000.000000,1.000000,159173807.000000,152489000.000000,176082000.000000,6.623000,4103658000.000000,118182000.000000,56340000.000000,148725000.000000,26.911000
ARQ,1997-12-31,1998-04-03,1998-01-03,1997-Q4,2001963000.000000,6546818682.000000,2025-05-02,-35807000.000000,5795869000.000000,,3094198000.000000,2701671000.000000,,13.102000,-28929000.000000,593580000.000000,593580000.000000,559865000.000000,69253000.000000,2.833000,1.901000,1875351000.000000,176912000.000000,1698439000.000000,1875351000.000000,54999000.000000,36515000.000000,0.000000,0.000000,0.000000,125593000.000000,162108000.000000,0.161000,162108000.000000,125593000.000000,125593000.000000,0.440000,0.360000,0.440000,1997909000.000000,,1997909000.000000,7828589682.000000,19.000000,14.240000,97622000.000000,0.640000,1.000000,450084000.000000,0.446000,1692211000.000000,0.000000,4293194000.000000,,543589000.000000,992424000.000000,929118000.000000,63306000.000000,3797960000.000000,1092235000.000000,2705725000.000000,100293000.000000,-149026000.000000,30241000.000000,60190000.000000,0.000000,25109000.000000,-52490000.000000,139901000.000000,126551000.000000,1123000.000000,69253000.000000,69253000.000000,69253000.000000,0.000000,0.000000,0.069000,322699000.000000,127385000.000000,251677000.000000,0.000000,3.277000,27.355000,26.197000,789046000.000000,0.000000,41.130000,1.840000,1.763000,866774000.000000,1034640000.000000,1009949000.000000,1009949000.000000,93187000.000000,,,,,0.000000,236434000.000000,1.000000,159173807.000000,152489000.000000,176082000.000000,6.623000,4103658000.000000,118182000.000000,56340000.000000,148725000.000000,26.911000
ARQ,1998-03-31,1998-05-18,1998-04-04,1998-Q1,2311295000.000000,5726249901.000000,2025-05-02,-40183000.000000,6110904000.000000,,3365481000.000000,2745423000.000000,,12.760000,-32064000.000000,595664000.000000,595664000.000000,533694000.000000,65493000.000000,3.192000,2.010000,2068184000.000000,136346000.000000,1931838000.000000,2068184000.000000,64983000.000000,38059000.000000,0.000000,0.000000,0.000000,107067000.000000,145126000.000000,0.154000,145126000.000000,107067000.000000,107067000.000000,0.410000,0.370000,0.410000,2030522000.000000,,2030522000.000000,7198769901.000000,16.000000,11.716000,37658000.000000,0.237000,1.000000,410569000.000000,0.435000,1707840000.000000,0.000000,4821398000.000000,,561639000.000000,1276930000.000000,1194587000.000000,82343000.000000,4080382000.000000,1054186000.000000,3026196000.000000,2084000.000000,-5625000.000000,124791000.000000,205844000.000000,0.000000,249306000.000000,-317626000.000000,-283080000.000000,69722000.000000,682000.000000,65493000.000000,65493000.000000,65493000.000000,0.000000,0.000000,0.069000,318172000.000000,92397000.000000,249103000.000000,0.000000,2.820000,22.655000,22.049000,796683000.000000,0.000000,35.940000,1.531000,1.530000,847708000.000000,1100133000.000000,944263000.000000,944263000.000000,92148000.000000,,,,,0.000000,226024000.000000,1.000000,159328044.000000,159131000.000000,176580000.000000,5.934000,4403064000.000000,118384000.000000,41574000.000000,236036000.000000,27.669000
ARQ,1998-06-30,1998-08-13,1998-07-04,1998-Q2,2515617000.000000,3570156506.000000,2025-05-02,-43948000.000000,6436209000.000000,,3555566000.000000,2880643000.000000,,14.202000,-33168000.000000,610950000.000000,610950000.000000,520351000.000000,61785000.000000,3.419000,1.727000,2029295000.000000,119120000.000000,1910175000.000000,2029295000.000000,60120000.000000,40541000.000000,0.000000,0.000000,0.000000,112098000.000000,152639000.000000,0.161000,152639000.000000,112098000.000000,112098000.000000,0.370000,0.340000,0.370000,2359933000.000000,,2359933000.000000,4988501506.000000,11.000000,7.458000,29320000.000000,0.176000,1.000000,427448000.000000,0.451000,1807433000.000000,0.000000,5007172000.000000,,599120000.000000,1405579000.000000,1310377000.000000,95202000.000000,4076276000.000000,1039949000.000000,3036327000.000000,15286000.000000,-116060000.000000,349269000.000000,-32530000.000000,0.000000,234372000.000000,-278264000.000000,-128134000.000000,62488000.000000,-3310000.000000,61785000.000000,61785000.000000,61785000.000000,0.000000,0.000000,0.065000,321964000.000000,105484000.000000,248104000.000000,0.000000,1.513000,13.817000,13.190000,816221000.000000,0.000000,21.500000,0.937000,0.937000,868700000.000000,1161918000.000000,947799000.000000,947799000.000000,94035000.000000,,,,,0.000000,223817000.000000,1.000000,166053791.000000,166169000.000000,183330000.000000,5.704000,4628776000.000000,119649000.000000,50313000.000000,236743000.000000,27.856000
ARQ,1998-09-30,1998-11-12,1998-10-03,1998-Q3,2146798000.000000,2879663792.000000,2025-05-02,-7022000.000000,6244127000.000000,,3269275000.000000,2974852000.000000,,13.597000,-31270000.000000,416084000.000000,416084000.000000,554474000.000000,17582000.000000,2.913000,1.811000,1985108000.000000,122252000.000000,1862856000.000000,1985108000.000000,60495000.000000,41155000.000000,0.000000,0.000000,0.000000,55764000.000000,96919000.000000,0.099000,96919000.000000,55764000.000000,55764000.000000,0.110000,0.100000,0.110000,2221274000.000000,,2221274000.000000,4448687792.000000,11.000000,7.990000,55380000.000000,0.339000,1.000000,422695000.000000,0.433000,1880069000.000000,0.000000,4810605000.000000,,619315000.000000,1232124000.000000,1135876000.000000,96248000.000000,4022853000.000000,1122477000.000000,2900376000.000000,-194866000.000000,-55993000.000000,-507309000.000000,-12100000.000000,0.000000,-359125000.000000,69556000.000000,167654000.000000,86650000.000000,8053000.000000,17582000.000000,17582000.000000,17582000.000000,0.000000,0.000000,0.018000,369162000.000000,53533000.000000,250612000.000000,0.000000,1.296000,13.449000,13.632000,825020000.000000,0.000000,18.130000,0.742000,0.763000,915477000.000000,1179500000.000000,977169000.000000,977169000.000000,93177000.000000,,,,,0.000000,234246000.000000,1.000000,158834186.000000,163362000.000000,163936000.000000,5.982000,4364058000.000000,134259000.000000,38182000.000000,265090000.000000,26.714000
ARQ,1998-12-31,1999-03-23,1999-01-02,1998-Q4,2163006000.000000,2174339502.000000,2025-05-02,-17544000.000000,6331645000.000000,,3301329000.000000,3030316000.000000,,13.889000,-35133000.000000,396670000.000000,396670000.000000,578374000.000000,37041000.000000,2.900000,1.816000,2125665000.000000,134071000.000000,1991594000.000000,2125665000.000000,60582000.000000,42522000.000000,0.000000,0.000000,0.000000,77652000.000000,120174000.000000,0.120000,120174000.000000,77652000.000000,77652000.000000,0.230000,0.260000,0.230000,2248124000.000000,,2248124000.000000,3903334502.000000,11.000000,7.581000,74468000.000000,0.460000,1.000000,419991000.000000,0.421000,1915649000.000000,0.000000,5006668000.000000,,599707000.000000,1246122000.000000,1150585000.000000,95537000.000000,4083521000.000000,1138323000.000000,2945198000.000000,-19414000.000000,-63609000.000000,-149611000.000000,129150000.000000,0.000000,-22375000.000000,-105982000.000000,-14720000.000000,109601000.000000,-658000.000000,37041000.000000,37041000.000000,37041000.000000,0.000000,0.000000,0.037000,340135000.000000,79856000.000000,272503000.000000,0.000000,0.967000,11.953000,12.277000,832962000.000000,0.000000,13.750000,0.562000,0.575000,962646000.000000,1216541000.000000,998365000.000000,998365000.000000,87983000.000000,,,,,0.000000,253553000.000000,1.000000,158133782.000000,161866000.000000,178449000.000000,6.168000,4415996000.000000,143352000.000000,40611000.000000,195027000.000000,27.282000
