dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2008-03-31,2008-05-15,2008-03-31,2008-Q1,,,2025-05-14,0.000000,4999.000000,,4999.000000,0.000000,,,0.000000,4999.000000,4999.000000,0.000000,-9045.000000,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,,0.000000,-9045.000000,-9045.000000,,-9045.000000,-9045.000000,-9045.000000,0.000000,0.000000,0.000000,4999.000000,,4999.000000,,,,-9045000.000000,,1.000000,0.000000,,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,,-9045000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9045000.000000,0.000000,-9045.000000,-9045.000000,-9045.000000,0.000000,0.000000,,9045.000000,-9045.000000,0.000000,,,,,0.000000,0.000000,,,,0.000000,-10001.000000,0.000000,0.000000,0.000000,,,,,0.000000,45.000000,1.000000,,0.000000,0.000000,,4999.000000,0.000000,0.000000,0.000000,
ARQ,2008-06-30,2008-08-14,2008-06-30,2008-Q2,-291.000000,,2025-05-14,0.000000,21909.000000,,21909.000000,0.000000,,,0.000000,21909.000000,21909.000000,0.000000,-5289.000000,0.987000,-76.289000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,-5289.000000,-5289.000000,,-5289.000000,-5289.000000,-5289.000000,0.000000,0.000000,0.000000,-291.000000,,-291.000000,,,,-4742000.000000,,1.000000,0.000000,,0.000000,0.000000,-22200.000000,,0.000000,0.000000,0.000000,0.000000,22200.000000,22200.000000,0.000000,16258000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4742000.000000,0.000000,-5289.000000,-5289.000000,-5289.000000,0.000000,0.000000,,5289.000000,-5289.000000,22200.000000,,,,,0.000000,0.000000,,,,0.000000,-15291.000000,0.000000,0.000000,0.000000,,,,,0.000000,2589.000000,1.000000,,0.000000,0.000000,,21909.000000,0.000000,0.000000,0.000000,
ARQ,2008-09-30,2008-11-05,2008-09-30,2008-Q3,-3943000.000000,,2025-05-14,0.000000,39057000.000000,,39057000.000000,0.000000,,,0.000000,39057000.000000,39057000.000000,0.000000,-3652.000000,0.908000,-10.905000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,-3652.000000,-3652.000000,,-3652.000000,-3652.000000,-3652.000000,0.000000,0.000000,0.000000,-3943000.000000,,-3943000.000000,,,,-4840000.000000,,1.000000,0.000000,,0.000000,0.000000,-43000000.000000,,0.000000,0.000000,0.000000,0.000000,43000000.000000,43000000.000000,0.000000,17160000.000000,0.000000,0.000000,0.000000,0.000000,22000000.000000,0.000000,0.000000,-4840000.000000,0.000000,-3652.000000,-3652.000000,-3652.000000,0.000000,0.000000,,3652.000000,-3652.000000,43000000.000000,,,,,0.000000,0.000000,,,,0.000000,-18943000.000000,0.000000,0.000000,0.000000,,,,,0.000000,2412.000000,1.000000,,0.000000,0.000000,,39057000.000000,0.000000,0.000000,0.000000,
ARQ,2008-12-31,2009-03-17,2008-12-31,2008-Q4,42909000.000000,,2025-05-14,0.000000,45909000.000000,,45909000.000000,0.000000,,,0.000000,45357000.000000,45357000.000000,0.000000,-3148.000000,15.303000,0.070000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,-3148.000000,-3148.000000,,-3148.000000,-3148.000000,-3148.000000,0.000000,0.000000,0.000000,42909000.000000,,42909000.000000,,,,-4941000.000000,,1.000000,0.000000,,0.000000,0.000000,-2448000.000000,,0.000000,0.000000,0.000000,0.000000,3000000.000000,3000000.000000,0.000000,2059000.000000,0.000000,50000000.000000,0.000000,0.000000,7000000.000000,0.000000,0.000000,-4941000.000000,0.000000,-3148.000000,-3148.000000,-3148.000000,0.000000,0.000000,,3148.000000,-3148.000000,0.000000,,,,,0.000000,0.000000,,,,552000.000000,-22091000.000000,0.000000,0.000000,0.000000,,,,,0.000000,1877.000000,1.000000,,0.000000,0.000000,,45909000.000000,0.000000,0.000000,0.000000,
ARQ,2009-03-31,2009-05-12,2009-03-31,2009-Q1,,,2025-05-14,0.000000,32045000.000000,,32045000.000000,0.000000,,,0.000000,32045000.000000,32045000.000000,0.000000,-10864.000000,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,,0.000000,-10864.000000,-10864.000000,,-10864.000000,-10864.000000,-10864.000000,0.000000,0.000000,0.000000,32045000.000000,,32045000.000000,,,,-9064000.000000,,1.000000,0.000000,,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,,-9064000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9064000.000000,0.000000,-10864.000000,-10864.000000,-10864.000000,0.000000,0.000000,,10864.000000,-10864.000000,0.000000,,,,,0.000000,0.000000,,,,0.000000,-32955000.000000,0.000000,0.000000,0.000000,,,,,0.000000,864.000000,1.000000,,0.000000,0.000000,,32045000.000000,0.000000,0.000000,0.000000,
ARQ,2009-06-30,2009-08-05,2009-06-30,2009-Q2,,,2025-05-14,0.000000,18138000.000000,,18138000.000000,0.000000,,,0.000000,18138000.000000,18138000.000000,0.000000,-13908.000000,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,,0.000000,-13908.000000,-13908.000000,,-13908.000000,-13908.000000,-13908.000000,0.000000,0.000000,0.000000,18138000.000000,,18138000.000000,,,,-13924000.000000,,1.000000,0.000000,,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,,-13924000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-13924000.000000,0.000000,-13908.000000,-13908.000000,-13908.000000,0.000000,0.000000,,13908.000000,-13908.000000,0.000000,,,,,0.000000,0.000000,,,,0.000000,-46862000.000000,0.000000,0.000000,0.000000,,,,,0.000000,1738.000000,1.000000,,0.000000,0.000000,,18138000.000000,0.000000,0.000000,0.000000,
ARQ,2009-09-30,2009-11-05,2009-09-30,2009-Q3,,,2025-05-14,0.000000,15525000.000000,,15525000.000000,0.000000,,,0.000000,15525000.000000,15525000.000000,0.000000,-2613.000000,,0.000000,0.000000,,,0.000000,0.000000,0.000000,0.000000,,0.000000,-2613.000000,-2613.000000,,-2613.000000,-2613.000000,-2613.000000,0.000000,0.000000,0.000000,15525000.000000,,15525000.000000,,,,-2613000.000000,,1.000000,0.000000,,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,,,-2613000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2613000.000000,0.000000,-2613.000000,-2613.000000,-2613.000000,0.000000,0.000000,,2613.000000,-2613.000000,0.000000,,,,,0.000000,0.000000,,,,0.000000,-49475000.000000,0.000000,0.000000,0.000000,,,,,0.000000,1313.000000,1.000000,,0.000000,0.000000,,15525000.000000,0.000000,0.000000,0.000000,
ARQ,2009-12-31,2010-02-16,2009-12-31,2009-Q4,12043000.000000,,2025-05-14,0.000000,13031000.000000,,13031000.000000,0.000000,,,0.000000,13031000.000000,13031000.000000,0.000000,-3482.000000,13.189000,0.082000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,-3482.000000,-3482.000000,,-3482.000000,-3482.000000,-3482.000000,-128000000.000000,-128000000.000000,-128000000.000000,12043000.000000,,12043000.000000,,,,-2268000.000000,,1.000000,0.000000,,0.000000,0.000000,-988000.000000,,0.000000,0.000000,0.000000,0.000000,988000.000000,988000.000000,0.000000,-2268000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2268000.000000,0.000000,-3482.000000,-3482.000000,-3482.000000,0.000000,0.000000,,3482.000000,-3482.000000,988000.000000,0.000000,,,,0.000000,0.000000,,,,0.000000,-52957000.000000,0.000000,0.000000,17000.000000,,,,,0.000000,2182.000000,1.000000,,0.000000,0.000000,,13031000.000000,0.000000,0.000000,0.000000,
ARQ,2010-03-31,2010-05-04,2010-03-31,2010-Q1,6221.000000,,2025-05-14,0.000000,6534.000000,,6534.000000,0.000000,,,0.000000,6534.000000,6534.000000,0.000000,-5822.000000,20.875000,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,-5822.000000,-5822.000000,,-5822.000000,-5822.000000,-5822.000000,0.000000,0.000000,0.000000,6221.000000,,6221.000000,,,,-6497000.000000,,1.000000,0.000000,,0.000000,0.000000,-313.000000,,0.000000,0.000000,0.000000,0.000000,313.000000,313.000000,0.000000,-6497000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-6497000.000000,0.000000,-5822.000000,-5822.000000,-5822.000000,0.000000,0.000000,,5822.000000,-5822.000000,313.000000,,,,,0.000000,0.000000,,,,0.000000,-58779.000000,0.000000,0.000000,0.000000,,,,,0.000000,1622.000000,1.000000,,0.000000,0.000000,,6534.000000,0.000000,0.000000,0.000000,
ARQ,2010-06-30,2010-08-09,2010-06-30,2010-Q2,3819.000000,,2025-05-14,0.000000,4124.000000,,4124.000000,0.000000,,,0.000000,4124.000000,4124.000000,0.000000,-2402.000000,13.521000,0.080000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,-2402.000000,-2402.000000,,-2402.000000,-2402.000000,-2402.000000,0.000000,0.000000,0.000000,3819.000000,,3819.000000,,,,-8482000.000000,,1.000000,0.000000,,0.000000,0.000000,-305.000000,,0.000000,0.000000,0.000000,0.000000,305.000000,305.000000,0.000000,-8482000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8482000.000000,0.000000,-2402.000000,-2402.000000,-2402.000000,0.000000,0.000000,,2402.000000,-2402.000000,305.000000,,,,,0.000000,0.000000,,,,0.000000,-61181.000000,0.000000,0.000000,0.000000,,,,,0.000000,902.000000,1.000000,,0.000000,0.000000,,4124.000000,0.000000,0.000000,0.000000,
