dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-12-31,2021-09-13,2020-12-31,2020-Q4,536658000.000000,,2025-05-09,228000.000000,775956000.000000,,673064000.000000,102892000.000000,,-2.355000,,581824000.000000,581824000.000000,,,4.934000,-0.845000,171709000.000000,0.000000,171709000.000000,171709000.000000,58213000.000000,,0.000000,,0.000000,,,,,,,,,,-470976000.000000,,-470976000.000000,,,,,,1.000000,,,52777000.000000,,176658000.000000,,19330000.000000,2086000.000000,872000.000000,1214000.000000,398039000.000000,136406000.000000,261633000.000000,,,,,,,,,,,,,,,,,,,30554000.000000,,,,,34056000.000000,,,,,32633000.000000,-615866000.000000,,,,,,,,,,1.000000,499332681.000000,199982965.000000,,,723179000.000000,0.000000,,0.000000,3.616000
ARQ,2021-06-30,2021-09-20,2021-06-30,2021-Q2,282219000.000000,,2025-05-09,114000.000000,696160000.000000,,534815000.000000,161345000.000000,,-1.232000,,376149000.000000,376149000.000000,,,2.117000,-0.752000,0.000000,0.000000,0.000000,0.000000,61961000.000000,,0.000000,,0.000000,,,,,,,,,,-615146000.000000,,-615146000.000000,,,,,,1.000000,,,103560000.000000,,-36145000.000000,,33963000.000000,2120000.000000,448000.000000,1672000.000000,462413000.000000,252596000.000000,209817000.000000,,,,,,,,,,,,,,,,,,,25312000.000000,,,,,32908000.000000,,,,,48015000.000000,-850516000.000000,,,,,,,,,,1.000000,499332681.000000,499332681.000000,,,592600000.000000,0.000000,,0.000000,1.187000
ARQ,2021-09-30,2021-11-09,2021-09-30,2021-Q3,1210136000.000000,30663338272.000000,2025-05-09,45000.000000,1657253000.000000,,1496915000.000000,160338000.000000,,4.217000,-3875000.000000,1301619000.000000,1301619000.000000,403125000.000000,-252497000.000000,5.220000,0.642000,0.000000,0.000000,0.000000,0.000000,59697000.000000,6673000.000000,0.000000,0.000000,0.000000,-252121000.000000,-245448000.000000,-0.505000,-245448000.000000,-252121000.000000,-252368000.000000,-1.050000,-1.050000,-1.050000,1009474000.000000,,1009474000.000000,29361719272.000000,,,-21123000.000000,-0.088000,1.000000,83254000.000000,0.171000,91926000.000000,247000.000000,-23071000.000000,,38665000.000000,3103000.000000,409000.000000,2694000.000000,647779000.000000,286779000.000000,361000000.000000,936055000.000000,0.000000,951738000.000000,0.000000,0.000000,957256000.000000,-3884000.000000,0.000000,-17248000.000000,-69000.000000,-252497000.000000,-252497000.000000,-252497000.000000,0.000000,0.000000,-0.519000,136955000.000000,-53701000.000000,33696000.000000,0.000000,30.376000,,,42381000.000000,0.000000,60.750000,,,52730000.000000,-1103013000.000000,486379000.000000,486379000.000000,39700000.000000,,,,,36352000.000000,97255000.000000,1.000000,504746309.000000,239358805.000000,239358805.000000,2.032000,1565327000.000000,0.000000,129000.000000,0.000000,6.540000
ARQ,2021-12-31,2022-03-01,2021-12-31,2021-Q4,1133000000.000000,9970847735.000000,2025-05-09,-1000000.000000,1735000000.000000,,1485000000.000000,250000000.000000,,3.767000,-2718000.000000,809000000.000000,809000000.000000,438901000.000000,147000.000000,4.219000,0.590000,99000000.000000,22000000.000000,77000000.000000,99000000.000000,56000000.000000,5383000.000000,0.000000,0.000000,0.000000,367000.000000,5750000.000000,0.011000,5750000.000000,367000.000000,770000.000000,0.540000,0.540000,0.540000,1091000000.000000,,1091000000.000000,9260847735.000000,-19.000000,-20.264000,-34688000.000000,-0.120000,1.000000,75972000.000000,0.148000,90000000.000000,-403000.000000,583000000.000000,,42000000.000000,465000000.000000,457000000.000000,8000000.000000,644000000.000000,352000000.000000,292000000.000000,-490277000.000000,142000.000000,5516000.000000,-472000.000000,0.000000,3086000.000000,-460576000.000000,-459000000.000000,-31970000.000000,-817000.000000,147000.000000,147000.000000,147000.000000,0.000000,0.000000,0.000000,193447000.000000,-117475000.000000,40000000.000000,0.000000,9.139000,-20.474000,-11.661000,120000000.000000,0.000000,19.590000,5.848000,3.327000,55000000.000000,-1102000000.000000,514873000.000000,514873000.000000,50022000.000000,,,,,44790000.000000,143425000.000000,1.000000,508976403.000000,289584001.000000,289584001.000000,1.778000,1645000000.000000,0.000000,623000.000000,0.000000,5.681000
ARQ,2022-03-31,2022-05-13,2022-03-31,2022-Q1,1073000000.000000,7673084468.000000,2025-05-09,-3000000.000000,1734000000.000000,,1477000000.000000,257000000.000000,,2.262000,-3000000.000000,757000000.000000,757000000.000000,446000000.000000,-23000000.000000,3.656000,0.517000,95000000.000000,18000000.000000,77000000.000000,95000000.000000,50000000.000000,6000000.000000,0.000000,0.000000,0.000000,-23000000.000000,-17000000.000000,-0.032000,-17000000.000000,-23000000.000000,-23000000.000000,-0.050000,-0.200000,-0.050000,1143000000.000000,,1143000000.000000,7011084468.000000,,,-50000000.000000,-0.099000,1.000000,89000000.000000,0.166000,89000000.000000,0.000000,579000000.000000,,44000000.000000,453000000.000000,453000000.000000,0.000000,591000000.000000,404000000.000000,187000000.000000,-21000000.000000,0.000000,4000000.000000,0.000000,0.000000,29000000.000000,-3000000.000000,0.000000,-47000000.000000,0.000000,-23000000.000000,-23000000.000000,-23000000.000000,0.000000,0.000000,-0.043000,190000000.000000,-101000000.000000,29000000.000000,0.000000,6.713000,,,121000000.000000,0.000000,14.990000,,,56000000.000000,-1125000000.000000,535000000.000000,535000000.000000,62000000.000000,,,,,53000000.000000,128000000.000000,1.000000,511880218.000000,505378195.000000,507037246.000000,1.059000,1645000000.000000,0.000000,0.000000,0.000000,3.255000
ARQ,2022-06-30,2022-08-12,2022-06-30,2022-Q2,1029000000.000000,10145710055.000000,2025-05-09,-5000000.000000,1750000000.000000,,1486000000.000000,264000000.000000,,2.257000,-9000000.000000,697000000.000000,697000000.000000,562000000.000000,-54000000.000000,3.252000,0.522000,92000000.000000,14000000.000000,78000000.000000,92000000.000000,52000000.000000,6000000.000000,0.000000,0.000000,0.000000,-55000000.000000,-49000000.000000,-0.073000,-49000000.000000,-55000000.000000,-54000000.000000,-0.110000,-0.110000,-0.110000,1150000000.000000,,1150000000.000000,9540710055.000000,-29.000000,-31.210000,-30000000.000000,-0.059000,1.000000,113000000.000000,0.167000,87000000.000000,-1000000.000000,601000000.000000,,62000000.000000,482000000.000000,482000000.000000,0.000000,600000000.000000,457000000.000000,143000000.000000,-47000000.000000,0.000000,3000000.000000,0.000000,0.000000,13000000.000000,-39000000.000000,-30000000.000000,-21000000.000000,0.000000,-54000000.000000,-54000000.000000,-54000000.000000,0.000000,0.000000,-0.080000,212000000.000000,-99000000.000000,37000000.000000,0.000000,8.822000,-30.805000,-29.313000,119000000.000000,0.000000,19.640000,4.588000,4.526000,68000000.000000,-1179000000.000000,675000000.000000,675000000.000000,67000000.000000,,,,,57000000.000000,145000000.000000,1.000000,516584015.000000,509532418.000000,509532418.000000,1.325000,1663000000.000000,0.000000,0.000000,0.000000,3.264000
ARQ,2022-09-30,2022-11-14,2022-09-30,2022-Q3,945000000.000000,10805314745.000000,2025-05-09,-4000000.000000,1741000000.000000,,1402000000.000000,339000000.000000,,2.178000,-11000000.000000,644000000.000000,644000000.000000,601000000.000000,-98000000.000000,3.068000,0.556000,94000000.000000,13000000.000000,81000000.000000,94000000.000000,48000000.000000,6000000.000000,0.000000,0.000000,0.000000,-105000000.000000,-99000000.000000,-0.132000,-99000000.000000,-105000000.000000,-102000000.000000,-0.190000,-0.190000,-0.190000,1119000000.000000,,1119000000.000000,10255314745.000000,-56.000000,-64.398000,-80000000.000000,-0.156000,1.000000,151000000.000000,0.201000,138000000.000000,-3000000.000000,596000000.000000,,95000000.000000,409000000.000000,409000000.000000,0.000000,622000000.000000,457000000.000000,165000000.000000,-59000000.000000,-46000000.000000,5000000.000000,0.000000,0.000000,-6000000.000000,17000000.000000,74000000.000000,-69000000.000000,-1000000.000000,-98000000.000000,-98000000.000000,-98000000.000000,0.000000,0.000000,-0.130000,236000000.000000,-85000000.000000,28000000.000000,0.000000,9.656000,-61.797000,109.211000,128000000.000000,0.000000,20.750000,4.362000,4.304000,78000000.000000,-1277000000.000000,752000000.000000,752000000.000000,74000000.000000,,,,,57000000.000000,162000000.000000,1.000000,520738060.000000,513719867.000000,513719867.000000,1.464000,1603000000.000000,0.000000,-4000000.000000,0.000000,3.120000
ARQ,2022-12-31,2023-03-01,2022-12-31,2022-Q4,911000000.000000,9698946154.000000,2025-05-09,-2000000.000000,1761000000.000000,,1407000000.000000,354000000.000000,,2.118000,-10000000.000000,547000000.000000,547000000.000000,610000000.000000,-100000000.000000,2.837000,0.604000,94000000.000000,14000000.000000,80000000.000000,94000000.000000,46000000.000000,6000000.000000,0.000000,0.000000,0.000000,-104000000.000000,-98000000.000000,-0.128000,-98000000.000000,-104000000.000000,-98000000.000000,-0.200000,-0.180000,-0.200000,1098000000.000000,,1098000000.000000,9245946154.000000,-32.000000,-35.023000,-29000000.000000,-0.056000,1.000000,158000000.000000,0.206000,136000000.000000,-6000000.000000,676000000.000000,,110000000.000000,502000000.000000,474000000.000000,28000000.000000,663000000.000000,496000000.000000,167000000.000000,-89000000.000000,0.000000,3000000.000000,0.000000,0.000000,2000000.000000,-73000000.000000,-63000000.000000,-19000000.000000,1000000.000000,-100000000.000000,-100000000.000000,-100000000.000000,0.000000,0.000000,-0.130000,257000000.000000,-99000000.000000,30000000.000000,0.000000,8.833000,-35.269000,-34.093000,138000000.000000,0.000000,18.410000,3.551000,3.450000,77000000.000000,-1377000000.000000,768000000.000000,768000000.000000,79000000.000000,,,,,61000000.000000,178000000.000000,1.000000,526830318.000000,518496133.000000,518971368.000000,1.481000,1625000000.000000,0.000000,2000000.000000,0.000000,3.134000
ARQ,2023-03-31,2023-05-10,2023-03-31,2023-Q1,870000000.000000,11203811309.000000,2025-05-09,0.000000,1795000000.000000,,1408000000.000000,387000000.000000,,2.095000,-10000000.000000,451000000.000000,451000000.000000,645000000.000000,-81000000.000000,2.617000,0.635000,92000000.000000,15000000.000000,77000000.000000,92000000.000000,49000000.000000,6000000.000000,0.000000,0.000000,0.000000,-89000000.000000,-83000000.000000,-0.101000,-83000000.000000,-89000000.000000,-81000000.000000,-0.150000,-0.160000,-0.150000,1098000000.000000,,1098000000.000000,10844811309.000000,-31.000000,-32.963000,-65000000.000000,-0.124000,1.000000,174000000.000000,0.212000,144000000.000000,-8000000.000000,754000000.000000,,112000000.000000,535000000.000000,499000000.000000,36000000.000000,697000000.000000,538000000.000000,159000000.000000,-49000000.000000,-9000000.000000,11000000.000000,0.000000,0.000000,48000000.000000,-42000000.000000,-22000000.000000,-55000000.000000,0.000000,-81000000.000000,-81000000.000000,-81000000.000000,0.000000,0.000000,-0.099000,266000000.000000,-92000000.000000,36000000.000000,0.000000,10.204000,-33.645000,-32.492000,145000000.000000,0.000000,21.120000,3.717000,3.673000,97000000.000000,-1458000000.000000,819000000.000000,819000000.000000,85000000.000000,,,,,63000000.000000,181000000.000000,1.000000,530483490.000000,524099376.000000,524876023.000000,1.563000,1651000000.000000,0.000000,0.000000,0.000000,3.150000
ARQ,2023-06-30,2023-08-09,2023-06-30,2023-Q2,871000000.000000,12415971433.000000,2025-05-09,-2000000.000000,1795000000.000000,,1455000000.000000,340000000.000000,,2.039000,-11000000.000000,488000000.000000,488000000.000000,770000000.000000,-98000000.000000,2.491000,0.664000,33000000.000000,8000000.000000,25000000.000000,33000000.000000,53000000.000000,8000000.000000,0.000000,0.000000,0.000000,-97000000.000000,-89000000.000000,-0.091000,-89000000.000000,-97000000.000000,-97000000.000000,-0.190000,-0.190000,-0.190000,1079000000.000000,,1079000000.000000,11960971433.000000,-30.000000,-32.415000,39000000.000000,0.074000,1.000000,208000000.000000,0.213000,143000000.000000,0.000000,613000000.000000,,107000000.000000,545000000.000000,502000000.000000,43000000.000000,716000000.000000,584000000.000000,132000000.000000,36000000.000000,0.000000,4000000.000000,0.000000,0.000000,-2000000.000000,-12000000.000000,-1000000.000000,50000000.000000,0.000000,-98000000.000000,-98000000.000000,-98000000.000000,0.000000,0.000000,-0.100000,288000000.000000,-80000000.000000,42000000.000000,0.000000,11.507000,-32.934000,-31.753000,86000000.000000,0.000000,23.180000,3.743000,3.698000,115000000.000000,-1556000000.000000,978000000.000000,978000000.000000,92000000.000000,,,,,72000000.000000,196000000.000000,1.000000,535632935.000000,529226266.000000,529226266.000000,1.848000,1652000000.000000,0.000000,1000000.000000,0.000000,3.122000
