dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2018-12-31,2019-05-07,2018-12-31,2018-Q4,6148000.000000,140219115.000000,2025-05-08,0.000000,10526000.000000,,8824000.000000,1702000.000000,,-250.209000,,7202000.000000,7202000.000000,,,3.297000,-1.096000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,-109494000.000000,,-109494000.000000,133017115.000000,-6.000000,-6.498000,,,1.000000,,,0.000000,,648000.000000,,0.000000,0.000000,0.000000,0.000000,120020000.000000,2676000.000000,117344000.000000,,,,,,,,,,,,,,,,,,,603000.000000,,-1.281000,-5.482000,-0.135000,149000.000000,,7.890000,,,0.000000,-109498000.000000,,,,,,,,,,1.000000,17771751.000000,437610.000000,,,10526000.000000,184000.000000,,0.000000,24.053000
ARQ,2019-03-31,2019-06-14,2019-03-31,2019-Q1,11099000.000000,134651004.000000,2025-05-08,0.000000,17185000.000000,,14764000.000000,2421000.000000,,-260.004000,-9000.000000,12946000.000000,12946000.000000,0.000000,-4802000.000000,4.028000,-1.149000,421000.000000,88000.000000,333000.000000,421000.000000,0.000000,9000.000000,0.000000,0.000000,0.000000,-4806000.000000,-4797000.000000,,-4797000.000000,-4806000.000000,-4806000.000000,-13.850000,-13.850000,-13.850000,-115476000.000000,,-115476000.000000,122126004.000000,,,-4105000.000000,-9.243000,1.000000,0.000000,,0.000000,0.000000,995000.000000,,0.000000,0.000000,0.000000,0.000000,132661000.000000,3665000.000000,128996000.000000,5744000.000000,0.000000,24000.000000,0.000000,0.000000,9849000.000000,-9000.000000,0.000000,-4096000.000000,0.000000,-4802000.000000,-6152000.000000,-6152000.000000,0.000000,0.000000,,4812000.000000,-4812000.000000,498000.000000,0.000000,-1.166000,,,517000.000000,1350000.000000,7.550000,,,0.000000,-115480000.000000,0.000000,0.000000,3338000.000000,,,,,146000.000000,1474000.000000,1.000000,17834570.000000,444132.000000,444132.000000,0.000000,17185000.000000,150000.000000,-4000.000000,0.000000,38.693000
ARQ,2019-06-30,2019-08-12,2019-06-30,2019-Q2,67503000.000000,87389393.000000,2025-05-08,0.000000,75116000.000000,,74608000.000000,508000.000000,,6.404000,0.000000,71387000.000000,71387000.000000,0.000000,-7346000.000000,10.501000,0.109000,399000.000000,91000.000000,308000.000000,399000.000000,0.000000,10000.000000,0.000000,0.000000,0.000000,-7351000.000000,-7341000.000000,,-7341000.000000,-7351000.000000,-7351000.000000,-0.630000,-0.630000,-0.630000,67703000.000000,,67703000.000000,16401393.000000,,,-5061000.000000,-0.479000,1.000000,0.000000,,0.000000,0.000000,-2977000.000000,,0.000000,0.000000,0.000000,0.000000,7413000.000000,7105000.000000,308000.000000,58441000.000000,0.000000,64039000.000000,-675000.000000,0.000000,63502000.000000,0.000000,0.000000,-5061000.000000,0.000000,-7346000.000000,-6700000.000000,-6700000.000000,0.000000,0.000000,,7417000.000000,-7417000.000000,2663000.000000,0.000000,1.291000,,,489000.000000,-646000.000000,4.900000,,,0.000000,-100317000.000000,0.000000,0.000000,5528000.000000,,,,,237000.000000,1889000.000000,1.000000,17834570.000000,10571736.000000,10571736.000000,0.000000,75116000.000000,251000.000000,-5000.000000,0.000000,7.105000
ARQ,2019-09-30,2019-11-14,2019-09-30,2019-Q3,60514000.000000,69554823.000000,2025-05-08,0.000000,66022000.000000,,65544000.000000,478000.000000,,3.404000,0.000000,63515000.000000,63515000.000000,0.000000,-7365000.000000,13.031000,0.088000,378000.000000,95000.000000,283000.000000,378000.000000,0.000000,11000.000000,0.000000,0.000000,0.000000,-7370000.000000,-7359000.000000,,-7359000.000000,-7370000.000000,-7370000.000000,-0.410000,-0.410000,-0.410000,60709000.000000,,60709000.000000,6417823.000000,,,-7734000.000000,-0.434000,1.000000,0.000000,,0.000000,0.000000,-2145000.000000,,0.000000,0.000000,0.000000,0.000000,5313000.000000,5030000.000000,283000.000000,-7872000.000000,0.000000,-138000.000000,0.000000,0.000000,-138000.000000,0.000000,0.000000,-7734000.000000,0.000000,-7365000.000000,-7365000.000000,-7365000.000000,0.000000,0.000000,,7650000.000000,-7650000.000000,489000.000000,0.000000,1.146000,,,459000.000000,0.000000,3.900000,,,0.000000,-107682000.000000,0.000000,0.000000,5650000.000000,,,,,371000.000000,2000000.000000,1.000000,17834570.000000,17834570.000000,17834570.000000,0.000000,66022000.000000,203000.000000,-5000.000000,0.000000,3.702000
ARQ,2019-12-31,2020-03-16,2019-12-31,2019-Q4,54353000.000000,66123452.000000,2025-05-08,0.000000,60001000.000000,,59552000.000000,449000.000000,,4.648000,0.000000,57313000.000000,57313000.000000,0.000000,-6537000.000000,11.455000,0.100000,356000.000000,99000.000000,257000.000000,356000.000000,0.000000,9000.000000,0.000000,0.000000,0.000000,-6541000.000000,-6532000.000000,,-6532000.000000,-6541000.000000,-6541000.000000,-0.190000,-0.190000,-0.190000,54545000.000000,,54545000.000000,9166452.000000,0.000000,-0.352000,-6202000.000000,-0.528000,1.000000,0.000000,,0.000000,0.000000,-2155000.000000,,0.000000,0.000000,0.000000,0.000000,5456000.000000,5199000.000000,257000.000000,-6202000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-6202000.000000,0.000000,-6537000.000000,-6537000.000000,-6537000.000000,0.000000,0.000000,,6766000.000000,-6766000.000000,1599000.000000,0.000000,1.212000,-2.472000,-1.626000,430000.000000,0.000000,3.708000,,,0.000000,-114219000.000000,0.000000,0.000000,4823000.000000,,,,,373000.000000,1943000.000000,1.000000,17834570.000000,11735781.000000,11735781.000000,0.000000,60001000.000000,558000.000000,-4000.000000,0.000000,5.113000
ARQ,2020-03-31,2020-05-07,2020-03-31,2020-Q1,46614000.000000,47529129.000000,2025-05-08,0.000000,54238000.000000,,53820000.000000,418000.000000,,2.624000,0.000000,52640000.000000,52640000.000000,0.000000,-8473000.000000,7.469000,0.159000,332000.000000,102000.000000,230000.000000,332000.000000,0.000000,10000.000000,0.000000,0.000000,0.000000,-8482000.000000,-8472000.000000,,-8472000.000000,-8482000.000000,-8482000.000000,-0.480000,-0.480000,-0.480000,46802000.000000,,46802000.000000,-4778871.000000,0.000000,0.161000,-4673000.000000,-0.262000,1.000000,0.000000,,0.000000,0.000000,-5276000.000000,,0.000000,0.000000,0.000000,0.000000,7436000.000000,7206000.000000,230000.000000,-4673000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4673000.000000,0.000000,-8473000.000000,-8473000.000000,-8473000.000000,0.000000,0.000000,,8639000.000000,-8639000.000000,2193000.000000,0.000000,1.016000,-1.635000,-1.558000,399000.000000,0.000000,2.665000,,,0.000000,-122692000.000000,0.000000,0.000000,6019000.000000,,,,,730000.000000,2620000.000000,1.000000,17834570.000000,17834570.000000,17834570.000000,0.000000,54238000.000000,125000.000000,-9000.000000,0.000000,3.041000
ARQ,2020-06-30,2020-08-13,2020-06-30,2020-Q2,39573000.000000,103239153.000000,2025-05-08,0.000000,47009000.000000,,46343000.000000,666000.000000,,2.245000,-12000.000000,44180000.000000,44180000.000000,0.000000,-7384000.000000,6.845000,0.174000,308000.000000,106000.000000,202000.000000,308000.000000,0.000000,11000.000000,0.000000,0.000000,0.000000,-7399000.000000,-7388000.000000,,-7388000.000000,-7399000.000000,-7399000.000000,-0.410000,-0.410000,-0.410000,40037000.000000,,40037000.000000,59367153.000000,-2.000000,-1.995000,-8448000.000000,-0.474000,1.000000,0.000000,,0.000000,0.000000,-3633000.000000,,0.000000,0.000000,0.000000,0.000000,6972000.000000,6770000.000000,202000.000000,-8460000.000000,0.000000,30000.000000,0.000000,0.000000,-12000.000000,-12000.000000,0.000000,-8436000.000000,0.000000,-7384000.000000,-7384000.000000,-7384000.000000,0.000000,0.000000,,7413000.000000,-7413000.000000,3160000.000000,0.000000,2.579000,-3.469000,-3.799000,380000.000000,0.000000,5.660000,,,0.000000,-130076000.000000,0.000000,0.000000,4921000.000000,,,,,589000.000000,2492000.000000,1.000000,18240133.000000,17835952.000000,17835952.000000,0.000000,47009000.000000,102000.000000,-15000.000000,0.000000,2.636000
ARQ,2020-09-30,2020-11-12,2020-09-30,2020-Q3,49106000.000000,64332765.000000,2025-05-08,0.000000,55879000.000000,,55209000.000000,670000.000000,,1.964000,-15000.000000,53293000.000000,53293000.000000,0.000000,-7378000.000000,9.046000,0.569000,14268000.000000,110000.000000,14158000.000000,14268000.000000,0.000000,13000.000000,0.000000,0.000000,0.000000,-7241000.000000,-7228000.000000,,-7228000.000000,-7241000.000000,-7389000.000000,-0.410000,-0.410000,-0.410000,35618000.000000,,35618000.000000,25307765.000000,-1.000000,-0.854000,-6982000.000000,-0.385000,1.000000,0.000000,,0.000000,148000.000000,10751000.000000,,0.000000,0.000000,0.000000,0.000000,20261000.000000,6103000.000000,14158000.000000,9113000.000000,0.000000,2449000.000000,13947000.000000,0.000000,16095000.000000,-15000.000000,0.000000,-6967000.000000,0.000000,-7378000.000000,-7378000.000000,-7378000.000000,0.000000,0.000000,,7244000.000000,-7244000.000000,1258000.000000,0.000000,1.806000,-2.161000,-2.349000,360000.000000,0.000000,3.500000,,,0.000000,-137454000.000000,0.000000,0.000000,4828000.000000,,,,,588000.000000,2416000.000000,1.000000,18380790.000000,18134886.000000,18134886.000000,0.000000,55879000.000000,59000.000000,-11000.000000,0.000000,3.081000
ARQ,2020-12-31,2021-03-25,2020-12-31,2020-Q4,40714000.000000,50184306.000000,2025-05-08,0.000000,47131000.000000,,46269000.000000,862000.000000,,1.480000,-5000.000000,45001000.000000,45001000.000000,0.000000,-9523000.000000,8.329000,0.728000,14407000.000000,113000.000000,14294000.000000,14407000.000000,0.000000,13000.000000,0.000000,0.000000,0.000000,-9198000.000000,-9185000.000000,,-9185000.000000,-9198000.000000,-9506000.000000,-0.510000,-0.510000,-0.510000,27282000.000000,,27282000.000000,19590306.000000,-1.000000,-0.607000,-8929000.000000,-0.485000,1.000000,0.000000,,0.000000,308000.000000,10982000.000000,,0.000000,0.000000,0.000000,0.000000,19849000.000000,5555000.000000,14294000.000000,-8292000.000000,0.000000,702000.000000,-31000.000000,0.000000,637000.000000,-5000.000000,0.000000,-8924000.000000,0.000000,-9523000.000000,-9523000.000000,-9523000.000000,0.000000,0.000000,,9193000.000000,-9193000.000000,2016000.000000,0.000000,1.839000,-1.532000,-1.392000,330000.000000,0.000000,2.520000,,,0.000000,-146977000.000000,0.000000,0.000000,6560000.000000,,,,,510000.000000,2633000.000000,1.000000,19914407.000000,18428449.000000,18428449.000000,0.000000,47131000.000000,265000.000000,17000.000000,0.000000,2.558000
ARQ,2021-03-31,2021-05-13,2021-03-31,2021-Q1,36821000.000000,40053969.000000,2025-05-08,0.000000,42864000.000000,,42159000.000000,705000.000000,,1.220000,0.000000,41570000.000000,41570000.000000,0.000000,-8371000.000000,7.898000,0.810000,14531000.000000,690000.000000,13841000.000000,14531000.000000,0.000000,13000.000000,0.000000,0.000000,0.000000,-8092000.000000,-8079000.000000,,-8079000.000000,-8092000.000000,-8386000.000000,-0.430000,-0.430000,-0.430000,23685000.000000,,23685000.000000,13014969.000000,0.000000,-0.408000,-7578000.000000,-0.390000,1.000000,0.000000,,0.000000,294000.000000,10487000.000000,,0.000000,0.000000,0.000000,0.000000,19179000.000000,5338000.000000,13841000.000000,-3431000.000000,0.000000,4178000.000000,0.000000,0.000000,4147000.000000,0.000000,0.000000,-7578000.000000,0.000000,-8371000.000000,-8371000.000000,-8371000.000000,0.000000,0.000000,,8089000.000000,-8089000.000000,801000.000000,0.000000,1.691000,-1.227000,-1.142000,295000.000000,0.000000,2.010000,,,0.000000,-155348000.000000,0.000000,0.000000,5589000.000000,,,,,718000.000000,2500000.000000,1.000000,19927348.000000,19417038.000000,19417038.000000,0.000000,42864000.000000,0.000000,-15000.000000,0.000000,2.208000
