dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2002-12-31,2003-04-30,2002-12-31,2002-Q4,63587302000.000000,31174712411.000000,2025-05-15,750846000.000000,370015511000.000000,,94747405000.000000,275268106000.000000,,59.358000,,61656795000.000000,1769550300.000000,,,3.041000,0.251000,39000000000.000000,4000000000.000000,35000000000.000000,1119300179.000000,0.000000,,1395066000.000000,0.000000,0.000000,,,,,,,,,,295853207000.000000,,8490988399.000000,30524462291.000000,36.000000,12.246000,,,34.843000,,,2612926000.000000,,313585687000.000000,,10340336000.000000,35038735000.000000,60240000.000000,34978495000.000000,74162304000.000000,31160103000.000000,43002201000.000000,,,,,,,,,,,,,,,,,,,21320615000.000000,,3.672000,50.264000,40.788000,217192263000.000000,,6.255000,6.748000,6.748000,16386004000.000000,40792197000.000000,,,,,,,,,,0.200000,24921156614.000000,24921156614.000000,,,367402585000.000000,13032567000.000000,,0.000000,73.713000
ARQ,2002-12-31,2003-06-23,2002-12-31,2002-Q4,62175400000.000000,37729968545.000000,2025-05-15,750700000.000000,390542400000.000000,,102537200000.000000,288005200000.000000,,59.493000,,67790200000.000000,1961523239.000000,,,2.540000,0.320000,46781300000.000000,729800000.000000,46051500000.000000,1353626440.000000,0.000000,,1395100000.000000,0.000000,0.000000,,,,,,,,,,295853200000.000000,,8560572579.000000,37122071746.000000,41.000000,13.370000,,,34.560000,,,10158800000.000000,,319012900000.000000,,11201500000.000000,10805500000.000000,170000000.000000,10635500000.000000,94689200000.000000,40361800000.000000,54327400000.000000,,,,,,,,,,,,,,,,,,,25328500000.000000,,4.407000,60.339000,61.426000,246498300000.000000,,7.570000,8.034000,8.016000,16725100000.000000,40792300000.000000,,,,,,,,,,0.200000,24921156614.000000,24864702290.000000,,,380383600000.000000,13174900000.000000,,0.000000,76.491000
ARQ,2003-06-30,2003-08-29,2003-06-30,2003-Q2,89045594000.000000,47385562865.000000,2025-05-15,747455000.000000,362852489000.000000,,111019415000.000000,251833074000.000000,,59.841000,,66546050000.000000,1949405030.000000,,,5.052000,0.217000,35000000000.000000,0.000000,35000000000.000000,1025292651.000000,0.000000,,1225310000.000000,0.000000,0.000000,,,,,,,,,,298261570000.000000,,8737297027.000000,46461450486.000000,,,,,34.137000,,,2438731000.000000,,306893887000.000000,,11355534000.000000,38988168000.000000,3866181000.000000,35121987000.000000,64590919000.000000,21973821000.000000,42617098000.000000,,,,,,,,,,,,,,,,,,,15304620000.000000,,5.423000,,,195794289000.000000,,9.507000,,,9789468000.000000,39929224000.000000,,,,,,,,,,0.200000,24921156614.000000,24921156614.000000,,,360413758000.000000,12497560000.000000,,0.000000,72.311000
ARQ,2003-09-30,2003-10-30,2003-09-30,2003-Q3,107986441000.000000,45655869144.000000,2025-05-15,3480000.000000,382191479000.000000,,135173278000.000000,247018201000.000000,,62.792000,-8181485000.000000,82730782000.000000,2438447454.000000,33430197000.000000,31256331000.000000,4.972000,0.221000,35000000000.000000,0.000000,35000000000.000000,1031607085.000000,0.000000,15450553000.000000,838864000.000000,0.000000,0.000000,32885909000.000000,48336462000.000000,0.881000,1424692476.000000,969295335.000000,33460191000.000000,3.470000,3.470000,0.102000,312971421000.000000,,9224672440.000000,44249028776.000000,,,25752651000.000000,5.167000,33.928000,21447074000.000000,0.391000,2351634000.000000,-574282000.000000,304922226000.000000,,11813455000.000000,47569318000.000000,12900362000.000000,34668956000.000000,69220058000.000000,27186837000.000000,42033221000.000000,16184732000.000000,,,0.000000,,-386446000.000000,-17362958000.000000,-8188177000.000000,33934136000.000000,0.000000,31256331000.000000,31256331000.000000,921264358.000000,0.000000,0.000000,0.570000,4959703000.000000,16487371000.000000,18867825000.000000,0.000000,4.949000,,,192293825000.000000,0.000000,9.160000,,,24923467000.000000,55097739000.000000,54877271000.000000,1617479474.000000,3068136000.000000,,,,,,1891567000.000000,0.200000,24921156614.000000,24921156614.000000,,0.325000,379839845000.000000,10958310000.000000,2203860000.000000,0.000000,76.208000
ARQ,2003-12-31,2004-03-31,2003-12-31,2003-Q4,127988288000.000000,41995354525.000000,2025-05-15,225373000.000000,396416862000.000000,,158526272000.000000,237890590000.000000,,66.051000,-12813273000.000000,98288002000.000000,2977598335.000000,35072342000.000000,16002351000.000000,5.191000,0.204000,35000000000.000000,5000000000.000000,30000000000.000000,1060311937.000000,0.000000,15495375000.000000,763489000.000000,0.000000,0.000000,19221154000.000000,34716529000.000000,0.601000,1051724288.000000,582297686.000000,17568065000.000000,3.470000,3.470000,0.105000,329214309000.000000,,9973424614.000000,40078068127.000000,25.000000,11.483000,18670320000.000000,3.746000,33.009000,22707263000.000000,0.393000,2264536000.000000,1653089000.000000,300326340000.000000,,10907158000.000000,51606114000.000000,13640761000.000000,37965353000.000000,67202553000.000000,30537984000.000000,36664569000.000000,15557220000.000000,,,0.000000,,-75375000.000000,-15850998000.000000,-2802481000.000000,31483593000.000000,0.000000,16002351000.000000,16002351000.000000,484785251.000000,0.000000,0.000000,0.277000,6081775000.000000,16625488000.000000,17701900000.000000,0.000000,4.211000,29.333000,27.458000,188286752000.000000,0.000000,8.426000,6.866000,6.866000,-3142047000.000000,71100090000.000000,57779605000.000000,1750411568.000000,4055395000.000000,,,,,,2026380000.000000,0.200000,24921156614.000000,24921156614.000000,,0.351000,394152326000.000000,9392596000.000000,1565714000.000000,0.000000,79.080000
ARQ,2004-03-31,2004-04-28,2004-03-31,2004-Q1,137635563000.000000,41231071253.000000,2025-05-15,-728208000.000000,421037521000.000000,,175716905000.000000,245320616000.000000,,69.537000,-16283545000.000000,106507988000.000000,3207869697.000000,34783992000.000000,18789202000.000000,4.614000,0.215000,35000000000.000000,5000000000.000000,30000000000.000000,1054150412.000000,0.000000,15088680000.000000,656128000.000000,0.000000,0.000000,18765605000.000000,33854285000.000000,0.589000,1019643099.000000,565193435.000000,18435433000.000000,3.672000,3.672000,0.111000,346586042000.000000,,10438680537.000000,39077351968.000000,,,16418062000.000000,3.294000,33.202000,22729213000.000000,0.395000,2177439000.000000,330172000.000000,309270752000.000000,,11014523000.000000,59658935000.000000,21680473000.000000,37978462000.000000,74451479000.000000,38081342000.000000,36370137000.000000,8219986000.000000,,-476870000.000000,0.000000,,-584231000.000000,-23897390000.000000,-7438051000.000000,32701607000.000000,0.000000,18789202000.000000,18789202000.000000,565904143.000000,0.000000,0.000000,0.327000,5188564000.000000,17540649000.000000,25271314000.000000,0.000000,3.950000,,,195932438000.000000,0.000000,8.272000,,,-3908323000.000000,89889292000.000000,57513205000.000000,1732216249.000000,2860983000.000000,,,,,,2327581000.000000,0.200000,24921156614.000000,24921156614.000000,,0.348000,418860082000.000000,9746457000.000000,-353769000.000000,0.000000,84.037000
ARQ,2004-06-30,2004-08-31,2004-06-30,2004-Q2,124768591000.000000,34672264911.000000,2025-05-15,53123000.000000,439826848000.000000,,173815349000.000000,266011499000.000000,,70.335000,-22645618000.000000,82142400000.000000,2414991916.000000,36730069000.000000,23409600000.000000,3.544000,0.253000,35000000000.000000,5000000000.000000,30000000000.000000,1029002282.000000,0.000000,15997763000.000000,599091000.000000,0.012000,0.083000,23393334000.000000,39391097000.000000,0.607000,1158100820.000000,687765545.000000,23120525000.000000,4.516000,4.516000,0.133000,351073754000.000000,,10321591261.000000,33286275277.000000,12.000000,6.895000,13440222000.000000,2.693000,34.014000,28139172000.000000,0.434000,2090341000.000000,272809000.000000,341547349000.000000,,11725188000.000000,91614562000.000000,42398068000.000000,49216494000.000000,88753094000.000000,49046758000.000000,39706336000.000000,,,,,,,-53499165000.000000,-30539826000.000000,36085840000.000000,,23409600000.000000,23409600000.000000,688243767.000000,0.000000,0.000000,0.361000,6005671000.000000,22133501000.000000,15966709000.000000,0.625000,3.359000,13.183000,16.404000,200281787000.000000,0.000000,6.946000,4.994000,4.994000,30790703000.000000,69045214000.000000,64869241000.000000,1907159915.000000,2964190000.000000,,,,,,3041481000.000000,0.200000,24957314420.000000,24957314420.000000,,0.382000,437736507000.000000,10313929000.000000,-289075000.000000,0.000000,87.697000
ARQ,2004-09-30,2004-11-01,2004-09-30,2004-Q3,133449580000.000000,34947806089.000000,2025-05-15,296378000.000000,462507692000.000000,,177681922000.000000,284825770000.000000,,75.982000,-16410875000.000000,78289897000.000000,2340807173.000000,37595584000.000000,27933179000.000000,4.017000,0.219000,35000000000.000000,5000000000.000000,30000000000.000000,1046472842.000000,0.000000,15370296000.000000,524268000.000000,0.012000,0.000000,28403788000.000000,43774084000.000000,0.628000,1308811146.000000,849251222.000000,28128997000.000000,5.612000,5.566000,0.168000,379262790000.000000,,11339663139.000000,33653471759.000000,12.000000,7.050000,21747910000.000000,4.357000,33.446000,32139453000.000000,0.461000,2003244000.000000,274791000.000000,372982209000.000000,,12628465000.000000,105698462000.000000,47512529000.000000,58185933000.000000,83244902000.000000,44232342000.000000,39012560000.000000,,,,,,,-29094866000.000000,-12268190000.000000,38158785000.000000,,27933179000.000000,27933179000.000000,835180378.000000,0.000000,0.000000,0.401000,6018743000.000000,26120710000.000000,22618578000.000000,0.000000,3.082000,13.570000,14.154000,207155918000.000000,0.000000,7.002000,4.657000,4.657000,36342788000.000000,91535211000.000000,69735037000.000000,2085023497.000000,3122766000.000000,,,,,,2895977000.000000,0.200000,24957314420.000000,24957314420.000000,,0.418000,460504448000.000000,10267174000.000000,195818000.000000,0.000000,92.258000
ARQ,2004-12-31,2005-04-29,2004-12-31,2004-Q4,113028459000.000000,39540159058.000000,2025-05-15,-2226427000.000000,487553210000.000000,,173667311000.000000,313885899000.000000,,79.930000,-19117384000.000000,65531818000.000000,2098392909.000000,36722198000.000000,22184134000.000000,2.864000,0.222000,30000000000.000000,10500000000.000000,19500000000.000000,960629343.000000,0.000000,16615401000.000000,412393000.000000,0.010000,0.000000,22568595000.000000,39183996000.000000,0.613000,1254709878.000000,722668486.000000,22093629000.000000,4.370000,4.416000,0.140000,398965299000.000000,,12775259100.000000,38402395492.000000,13.000000,7.678000,17616602000.000000,3.529000,31.230000,27152746000.000000,0.425000,1916146000.000000,474966000.000000,389466394000.000000,,14171945000.000000,128681636000.000000,55388773000.000000,73292863000.000000,88587911000.000000,60638852000.000000,27949059000.000000,-12758079000.000000,,3624000.000000,-5000000000.000000,0.000000,-5108251000.000000,-44383814000.000000,-23859582000.000000,36733986000.000000,0.000000,22184134000.000000,22184134000.000000,710357669.000000,0.000000,0.000000,0.347000,6124828000.000000,21027918000.000000,40841416000.000000,0.000000,3.095000,13.376000,13.614000,227976400000.000000,0.000000,7.922000,4.824000,4.824000,12632903000.000000,113730016000.000000,63874944000.000000,2045338183.000000,3568495000.000000,,,,,,2556333000.000000,0.200000,24957314420.000000,24957314420.000000,,0.410000,485637064000.000000,10494003000.000000,-90505000.000000,0.000000,97.294000
ARQ,2005-03-31,2005-05-05,2005-03-31,2005-Q1,121853539000.000000,42225566066.000000,2025-05-15,-2725918000.000000,480673812000.000000,,159744397000.000000,320929415000.000000,,82.174000,-38040759000.000000,60218990000.000000,1937071152.000000,34004376000.000000,16818397000.000000,4.216000,0.157000,30000000000.000000,10500000000.000000,19500000000.000000,965013438.000000,0.000000,16668655000.000000,370876000.000000,0.010000,0.000000,17628676000.000000,34297331000.000000,0.616000,1103246177.000000,567063641.000000,16265341000.000000,3.220000,3.220000,0.104000,415353480000.000000,,13360722988.000000,41253508352.000000,14.000000,8.187000,-2084676000.000000,-0.412000,31.088000,21648841000.000000,0.389000,1829049000.000000,1363335000.000000,410734915000.000000,,13428985000.000000,129522583000.000000,52645366000.000000,76877217000.000000,65320332000.000000,37890858000.000000,27429474000.000000,-5312828000.000000,,34866000.000000,,,-6651000.000000,-41262260000.000000,-2935645000.000000,35956083000.000000,0.000000,16818397000.000000,16818397000.000000,540999304.000000,0.000000,0.000000,0.302000,5572265000.000000,16076576000.000000,19128167000.000000,0.000000,3.160000,14.530000,14.657000,229853709000.000000,0.000000,8.354000,5.165000,5.165000,-1096113000.000000,130548413000.000000,55653217000.000000,1790203409.000000,3348555000.000000,,,,,,2223710000.000000,0.200000,25272733728.000000,25272733728.000000,,0.354000,478844763000.000000,11047059000.000000,-553056000.000000,0.000000,94.735000
