dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2015-12-31,2016-09-06,2015-12-31,2015-Q4,80902000.000000,,2025-05-08,0.000000,210231000.000000,,199802000.000000,10429000.000000,,0.137000,,4047000.000000,4047000.000000,,,1.680000,12.154000,46420000.000000,502000.000000,45918000.000000,46420000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,14142000.000000,,14142000.000000,,,,,,1.000000,,,0.000000,,133704000.000000,,0.000000,0.000000,0.000000,0.000000,171885000.000000,118900000.000000,52985000.000000,,,,,,,,,,,,,,,,,,,108461000.000000,,,,,6625000.000000,,,,,191943000.000000,13103000.000000,,,,,,,,,,1.000000,382285540.000000,102900000.000000,,,210231000.000000,1171000.000000,,0.000000,2.043000
ARQ,2016-06-30,2016-09-19,2016-06-30,2016-Q2,105394000.000000,,2025-05-08,0.000000,294951000.000000,,279926000.000000,15025000.000000,,-0.074000,,37610000.000000,37610000.000000,,,1.604000,-8.484000,57244000.000000,621000.000000,56623000.000000,57244000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-28290000.000000,,-28290000.000000,,,,,,1.000000,,,0.000000,,140053000.000000,,0.000000,0.000000,0.000000,0.000000,240000000.000000,174532000.000000,65468000.000000,,,,,,,,,,,,,,,,,,,164296000.000000,,,,,7701000.000000,,,,,236737000.000000,-28742000.000000,,,,,,,,,,1.000000,382285540.000000,382285540.000000,,,294951000.000000,1171000.000000,,0.000000,0.772000
ARQ,2016-09-30,2016-11-10,2016-09-30,2016-Q3,182590000.000000,903764828.000000,2025-05-08,0.000000,419720000.000000,,403512000.000000,16208000.000000,,1.154000,-2184000.000000,123968000.000000,123968000.000000,10422000.000000,3644000.000000,1.826000,1.880000,52053000.000000,721000.000000,51332000.000000,52053000.000000,0.000000,959000.000000,0.000000,0.000000,0.000000,7639000.000000,8598000.000000,0.162000,8598000.000000,7639000.000000,6292000.000000,0.008000,0.006000,0.008000,145734000.000000,,145734000.000000,831849828.000000,,,14157000.000000,0.112000,1.000000,42534000.000000,0.803000,0.000000,1347000.000000,126883000.000000,,0.000000,0.000000,0.000000,0.000000,273986000.000000,220922000.000000,53064000.000000,86358000.000000,0.000000,78368000.000000,-5191000.000000,0.000000,72201000.000000,-2184000.000000,0.000000,16341000.000000,0.000000,972000.000000,972000.000000,972000.000000,0.000000,2672000.000000,0.018000,27483000.000000,15051000.000000,206194000.000000,0.000000,6.201000,,,10545000.000000,0.000000,2.343000,,,274008000.000000,-25098000.000000,52956000.000000,52956000.000000,7292000.000000,,,,,656000.000000,20191000.000000,1.000000,385729760.000000,126290000.000000,170640000.000000,0.419000,419720000.000000,1171000.000000,5320000.000000,0.000000,3.323000
ARQ,2016-12-31,2017-02-16,2016-12-31,2016-Q4,172267000.000000,1307019546.000000,2025-05-08,0.000000,537596000.000000,,516403000.000000,21193000.000000,,0.899000,-3909000.000000,133400000.000000,133400000.000000,13259000.000000,10280000.000000,1.501000,2.270000,25847000.000000,0.000000,25847000.000000,25847000.000000,0.000000,1186000.000000,0.000000,0.000000,0.000000,23375000.000000,24561000.000000,0.339000,24561000.000000,23375000.000000,22964000.000000,0.177000,0.177000,0.177000,164380000.000000,,164380000.000000,1199466546.000000,-3998.000000,342.901000,32135000.000000,0.176000,1.000000,59151000.000000,0.817000,0.000000,411000.000000,85907000.000000,,0.000000,0.000000,0.000000,0.000000,373216000.000000,344136000.000000,29080000.000000,9432000.000000,0.000000,4279000.000000,-25224000.000000,0.000000,-22703000.000000,-3909000.000000,0.000000,36044000.000000,0.000000,10280000.000000,10280000.000000,10280000.000000,0.000000,0.000000,0.142000,35114000.000000,24037000.000000,321163000.000000,0.000000,7.951000,-48.903000,-22.849000,14779000.000000,0.000000,3.336000,6.441000,3.005000,377240000.000000,-14818000.000000,72410000.000000,72410000.000000,9619000.000000,,,,,4008000.000000,25495000.000000,1.000000,391792430.000000,182800000.000000,182800000.000000,0.396000,537596000.000000,1778000.000000,12684000.000000,0.000000,2.941000
ARQ,2016-12-31,2017-02-21,2016-12-31,2016-Q4,172267000.000000,1371273505.000000,2025-05-08,0.000000,537596000.000000,,516403000.000000,21193000.000000,,0.899000,-3909000.000000,133400000.000000,133400000.000000,13259000.000000,10280000.000000,1.501000,2.270000,25847000.000000,0.000000,25847000.000000,25847000.000000,0.000000,1186000.000000,0.000000,0.000000,0.000000,23375000.000000,24561000.000000,0.339000,24561000.000000,23375000.000000,22964000.000000,0.177000,0.177000,0.177000,164380000.000000,,164380000.000000,1263720505.000000,-4212.000000,361.269000,32135000.000000,0.176000,1.000000,59151000.000000,0.817000,0.000000,411000.000000,85907000.000000,,0.000000,0.000000,0.000000,0.000000,373216000.000000,344136000.000000,29080000.000000,9432000.000000,0.000000,4279000.000000,-25224000.000000,0.000000,-22703000.000000,-3909000.000000,0.000000,36044000.000000,0.000000,10280000.000000,10280000.000000,10280000.000000,0.000000,0.000000,0.142000,35114000.000000,24037000.000000,321163000.000000,0.000000,8.342000,-51.307000,-23.973000,14779000.000000,0.000000,3.500000,6.758000,3.153000,377240000.000000,-14818000.000000,72410000.000000,72410000.000000,9619000.000000,,,,,4008000.000000,25495000.000000,1.000000,391792430.000000,182800000.000000,182800000.000000,0.396000,537596000.000000,1778000.000000,12684000.000000,0.000000,2.941000
ARQ,2017-03-31,2017-05-11,2017-03-31,2017-Q1,179786000.000000,1593812330.000000,2025-05-08,0.000000,455267000.000000,,432681000.000000,22586000.000000,,0.439000,-4249000.000000,106573000.000000,106573000.000000,12549000.000000,4909000.000000,1.711000,1.648000,25847000.000000,0.000000,25847000.000000,25847000.000000,0.000000,1493000.000000,0.000000,0.000000,0.000000,1508000.000000,3001000.000000,0.056000,3001000.000000,1508000.000000,1144000.000000,0.013000,0.011000,0.013000,171931000.000000,,171931000.000000,1513086330.000000,,,-26989000.000000,-0.069000,1.000000,40803000.000000,0.765000,0.000000,364000.000000,121646000.000000,,0.000000,0.000000,0.000000,0.000000,283336000.000000,252895000.000000,30441000.000000,-26827000.000000,0.000000,275000.000000,-113000.000000,0.000000,162000.000000,-4249000.000000,0.000000,-22740000.000000,0.000000,4909000.000000,4909000.000000,4909000.000000,0.000000,0.000000,0.092000,38867000.000000,1936000.000000,231524000.000000,0.000000,9.270000,,,16057000.000000,0.000000,3.989000,,,315283000.000000,-9909000.000000,53352000.000000,53352000.000000,10461000.000000,,,,,2322000.000000,28406000.000000,1.000000,399551850.000000,391670000.000000,435570000.000000,0.136000,455267000.000000,1778000.000000,-3765000.000000,0.000000,1.162000
ARQ,2017-06-30,2017-08-11,2017-06-30,2017-Q2,203809000.000000,2220538627.000000,2025-05-08,0.000000,541258000.000000,,515318000.000000,25940000.000000,,0.495000,-4269000.000000,115859000.000000,115859000.000000,15151000.000000,18849000.000000,1.654000,1.730000,27000000.000000,0.000000,27000000.000000,27000000.000000,0.000000,1696000.000000,0.000000,0.000000,0.000000,18804000.000000,20500000.000000,0.282000,20500000.000000,18804000.000000,18391000.000000,0.047000,0.043000,0.047000,198229000.000000,,198229000.000000,2131679627.000000,42.000000,37.622000,6500000.000000,0.016000,1.000000,57653000.000000,0.792000,0.000000,413000.000000,140890000.000000,,0.000000,0.000000,0.000000,0.000000,343029000.000000,311509000.000000,31520000.000000,9286000.000000,0.000000,3143000.000000,-328000.000000,0.000000,2786000.000000,-4269000.000000,0.000000,10769000.000000,0.000000,18849000.000000,18849000.000000,18849000.000000,0.000000,0.000000,0.259000,37959000.000000,19694000.000000,290399000.000000,0.000000,11.202000,63.426000,22.224000,17144000.000000,0.000000,5.445000,8.828000,8.669000,382209000.000000,8940000.000000,72804000.000000,72804000.000000,12135000.000000,,,,,4191000.000000,25824000.000000,1.000000,407812420.000000,400460000.000000,439440000.000000,0.182000,541258000.000000,1778000.000000,-458000.000000,0.000000,1.352000
ARQ,2017-09-30,2017-11-13,2017-09-30,2017-Q3,220025000.000000,1988214174.000000,2025-05-08,0.000000,642631000.000000,,615962000.000000,26669000.000000,,0.529000,-2318000.000000,132798000.000000,132798000.000000,17397000.000000,10229000.000000,1.556000,1.985000,27000000.000000,0.000000,27000000.000000,27000000.000000,0.000000,1968000.000000,0.000000,0.000000,0.000000,16567000.000000,18535000.000000,0.233000,18535000.000000,16567000.000000,16054000.000000,0.025000,0.023000,0.025000,215259000.000000,,215259000.000000,1882416174.000000,31.000000,28.266000,16684000.000000,0.041000,1.000000,62016000.000000,0.781000,0.000000,513000.000000,140896000.000000,,0.000000,0.000000,0.000000,0.000000,427372000.000000,395937000.000000,31435000.000000,16939000.000000,0.000000,644000.000000,-389000.000000,0.000000,255000.000000,-2318000.000000,0.000000,19002000.000000,0.000000,10229000.000000,10229000.000000,10229000.000000,0.000000,0.000000,0.129000,43608000.000000,18408000.000000,370532000.000000,0.000000,9.236000,44.914000,18.475000,17396000.000000,0.000000,4.840000,7.152000,7.087000,470452000.000000,19169000.000000,79413000.000000,79413000.000000,13181000.000000,,,,,5893000.000000,30427000.000000,1.000000,410745620.000000,407000000.000000,442450000.000000,0.195000,642631000.000000,1778000.000000,5825000.000000,0.000000,1.579000
ARQ,2017-12-31,2018-02-28,2017-12-31,2017-Q4,247281000.000000,2354488651.000000,2025-05-08,0.000000,797164000.000000,,765813000.000000,31351000.000000,,0.597000,-2228000.000000,155950000.000000,155950000.000000,21133000.000000,16811000.000000,1.477000,2.246000,27000000.000000,0.000000,27000000.000000,27000000.000000,0.000000,2052000.000000,0.000000,0.000000,0.000000,28537000.000000,30589000.000000,0.298000,30589000.000000,28537000.000000,28036000.000000,0.041000,0.038000,0.041000,245583000.000000,,245583000.000000,2225538651.000000,34.000000,30.644000,21965000.000000,0.053000,1.000000,81515000.000000,0.794000,0.000000,501000.000000,149682000.000000,,0.000000,0.000000,0.000000,0.000000,551581000.000000,518532000.000000,33049000.000000,23152000.000000,-3000000.000000,5500000.000000,-325000.000000,0.000000,4187000.000000,-5228000.000000,0.000000,24193000.000000,0.000000,16811000.000000,16811000.000000,16811000.000000,0.000000,0.000000,0.164000,52197000.000000,29318000.000000,490377000.000000,0.000000,9.587000,46.350000,44.651000,17405000.000000,0.000000,5.626000,7.639000,7.349000,599565000.000000,35980000.000000,102648000.000000,102648000.000000,17029000.000000,,,,,8911000.000000,35168000.000000,1.000000,418501360.000000,411170000.000000,444670000.000000,0.250000,797164000.000000,3359000.000000,11225000.000000,0.000000,1.939000
ARQ,2018-03-31,2018-05-10,2018-03-31,2018-Q1,236781000.000000,2221099018.000000,2025-05-08,0.000000,739056000.000000,,706522000.000000,32534000.000000,,0.632000,-2656000.000000,138952000.000000,138952000.000000,22897000.000000,9070000.000000,1.504000,1.811000,0.000000,0.000000,0.000000,0.000000,0.000000,2251000.000000,0.000000,0.000000,0.000000,9386000.000000,11637000.000000,0.136000,11637000.000000,9386000.000000,9230000.000000,0.022000,0.020000,0.022000,262931000.000000,,262931000.000000,2082147018.000000,28.000000,25.623000,9151000.000000,0.022000,1.000000,62771000.000000,0.733000,0.000000,156000.000000,130363000.000000,,0.000000,0.000000,0.000000,0.000000,476125000.000000,469741000.000000,6384000.000000,-16998000.000000,0.000000,1212000.000000,-27000000.000000,0.000000,-26149000.000000,-2656000.000000,0.000000,11807000.000000,0.000000,9070000.000000,9070000.000000,9070000.000000,0.000000,0.000000,0.106000,52841000.000000,9930000.000000,440684000.000000,0.000000,8.447000,40.414000,39.059000,18046000.000000,0.000000,5.273000,6.522000,6.446000,556733000.000000,45050000.000000,85668000.000000,85668000.000000,17701000.000000,,,,,7283000.000000,35140000.000000,1.000000,421221130.000000,416290000.000000,445430000.000000,0.206000,739056000.000000,3359000.000000,160000.000000,0.000000,1.775000
