dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2013-09-30,2013-11-04,2013-09-30,2013-Q3,331997000.000000,,2022-07-26,-343000.000000,992803000.000000,,498165000.000000,494638000.000000,,-0.328000,,155704000.000000,155704000.000000,,,2.998000,-1.673000,160478000.000000,70778000.000000,89700000.000000,160478000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-178661000.000000,,-178661000.000000,,,,,,1.000000,,,183127000.000000,,648282000.000000,,0.000000,165371000.000000,165371000.000000,0.000000,298928000.000000,166168000.000000,132760000.000000,,,,,,,,,,,,,,,,,,,9408000.000000,,,,,284024000.000000,,,,,147542000.000000,-483155000.000000,,,,,,,,,,1.000000,544696816.000000,544696816.000000,,,809676000.000000,0.000000,,12156000.000000,1.486000
ARQ,2013-12-31,2014-03-06,2013-12-31,2013-Q4,2349249000.000000,32260771826.000000,2022-07-26,-323000.000000,3366240000.000000,,2574679000.000000,791561000.000000,,15.566000,-29116000.000000,841010000.000000,841010000.000000,112651000.000000,-511471000.000000,11.421000,0.141000,197646000.000000,87126000.000000,110520000.000000,197646000.000000,0.000000,33224000.000000,0.000000,0.000000,0.000000,-512401000.000000,-479177000.000000,-1.975000,-479177000.000000,-512401000.000000,-514788000.000000,-2.390000,-2.390000,-2.390000,2950006000.000000,,2950006000.000000,31617407826.000000,-49.000000,-59.724000,-31984000.000000,-0.169000,1.000000,130024000.000000,0.536000,441104000.000000,2387000.000000,2056342000.000000,,0.000000,1393044000.000000,1393044000.000000,0.000000,416234000.000000,225430000.000000,190804000.000000,685555000.000000,-36000000.000000,2020321000.000000,-21203000.000000,0.000000,1985606000.000000,-1297183000.000000,-1228761000.000000,-2868000.000000,-249000.000000,-511471000.000000,-511471000.000000,-511471000.000000,0.000000,0.000000,-2.108000,639700000.000000,-509676000.000000,27994000.000000,0.000000,10.936000,-49.992000,-16.079000,332662000.000000,0.000000,54.830000,48.520000,15.628000,247328000.000000,-994626000.000000,242675000.000000,242675000.000000,394848000.000000,,,,,521197000.000000,244852000.000000,1.000000,588378111.000000,189510000.000000,189510000.000000,1.281000,2925136000.000000,0.000000,-3317000.000000,59500000.000000,15.435000
ARQ,2014-03-31,2014-05-08,2014-03-31,2014-Q1,2244129000.000000,18854444879.000000,2022-07-26,-296000.000000,3356209000.000000,,2505380000.000000,850829000.000000,,5.151000,-49620000.000000,960755000.000000,960755000.000000,85503000.000000,-132362000.000000,9.590000,0.143000,192787000.000000,90253000.000000,102534000.000000,192787000.000000,0.000000,39951000.000000,0.000000,0.000000,0.000000,-128573000.000000,-88622000.000000,-0.354000,-88622000.000000,-128573000.000000,-131140000.000000,-0.230000,-0.230000,-0.230000,2936846000.000000,,2936846000.000000,18086476879.000000,,,-6937000.000000,-0.012000,1.000000,164989000.000000,0.659000,434928000.000000,2567000.000000,1892062000.000000,,0.000000,1215840000.000000,1215840000.000000,0.000000,419363000.000000,261251000.000000,158112000.000000,119173000.000000,0.000000,1350000.000000,-21521000.000000,0.000000,-36473000.000000,112963000.000000,174721000.000000,42683000.000000,572000.000000,-132362000.000000,-132362000.000000,-132362000.000000,0.000000,0.000000,-0.528000,294360000.000000,-129371000.000000,19714000.000000,0.000000,6.420000,,,383272000.000000,0.000000,31.960000,,,237860000.000000,-1126988000.000000,250492000.000000,250492000.000000,149391000.000000,,,,,126369000.000000,144969000.000000,1.000000,589938826.000000,570205000.000000,570205000.000000,0.439000,2921281000.000000,0.000000,1222000.000000,29574000.000000,5.123000
ARQ,2014-06-30,2014-08-11,2014-06-30,2014-Q2,2093511000.000000,26621109496.000000,2022-07-26,199000.000000,3584817000.000000,,2463886000.000000,1120931000.000000,,5.115000,-44457000.000000,844976000.000000,844976000.000000,100027000.000000,-144642000.000000,6.652000,0.177000,201673000.000000,99744000.000000,101929000.000000,201673000.000000,0.000000,45631000.000000,0.000000,0.000000,0.000000,-148131000.000000,-102500000.000000,-0.328000,-102500000.000000,-148131000.000000,-150241000.000000,-0.240000,-0.240000,-0.240000,3046593000.000000,,3046593000.000000,25977806496.000000,,,37240000.000000,0.063000,1.000000,212139000.000000,0.680000,620098000.000000,2110000.000000,1951041000.000000,,0.000000,1252055000.000000,1252055000.000000,0.000000,538224000.000000,370375000.000000,167849000.000000,-117517000.000000,-132896000.000000,35781000.000000,-21365000.000000,0.000000,13388000.000000,-212602000.000000,-35671000.000000,81697000.000000,1738000.000000,-144642000.000000,-144642000.000000,-144642000.000000,0.000000,0.000000,-0.463000,362050000.000000,-149911000.000000,23084000.000000,0.000000,8.738000,,,467634000.000000,0.000000,43.270000,,,287082000.000000,-1271630000.000000,312166000.000000,312166000.000000,177095000.000000,,,,,158411000.000000,184955000.000000,1.000000,615232482.000000,595607000.000000,595607000.000000,0.524000,2964719000.000000,0.000000,-5599000.000000,31929000.000000,4.978000
ARQ,2014-09-30,2014-11-06,2014-09-30,2014-Q3,3731409000.000000,25913448067.000000,2022-07-26,-1220000.000000,5448654000.000000,,4173885000.000000,1274769000.000000,,5.737000,-38762000.000000,2252795000.000000,2252795000.000000,124166000.000000,-175464000.000000,9.433000,0.546000,1525752000.000000,110527000.000000,1415225000.000000,1525752000.000000,0.000000,60155000.000000,0.000000,0.000000,0.000000,-169510000.000000,-109355000.000000,-0.303000,-109355000.000000,-169510000.000000,-175305000.000000,-0.290000,-0.290000,-0.290000,3525038000.000000,,3525038000.000000,25186405067.000000,-26.000000,-32.305000,-124664000.000000,-0.203000,1.000000,237100000.000000,0.656000,737984000.000000,5795000.000000,3541151000.000000,,0.000000,1394887000.000000,1394887000.000000,0.000000,1923616000.000000,442476000.000000,1481140000.000000,1413662000.000000,-32281000.000000,284250000.000000,1767810000.000000,0.000000,1635635000.000000,-136071000.000000,-65715000.000000,-85902000.000000,-5843000.000000,-175464000.000000,-175464000.000000,-175464000.000000,0.000000,0.000000,-0.486000,398531000.000000,-161431000.000000,30619000.000000,0.000000,7.351000,-26.883000,-12.965000,503958000.000000,0.000000,40.840000,22.213000,21.509000,324731000.000000,-1447094000.000000,361266000.000000,361266000.000000,183342000.000000,,,,,169602000.000000,215189000.000000,1.000000,634511461.000000,614395000.000000,614395000.000000,0.588000,4710670000.000000,0.000000,159000.000000,29420000.000000,7.667000
ARQ,2014-12-31,2015-03-02,2014-12-31,2014-Q4,3862059000.000000,31193328582.000000,2022-07-26,-10024000.000000,5583082000.000000,,4255853000.000000,1327229000.000000,,5.758000,-68791000.000000,1510724000.000000,1510724000.000000,136613000.000000,-125352000.000000,10.807000,0.540000,1607290000.000000,112320000.000000,1494970000.000000,1607290000.000000,0.000000,62428000.000000,0.000000,0.000000,0.000000,-98152000.000000,-35724000.000000,-0.075000,-35724000.000000,-98152000.000000,-121665000.000000,-0.200000,-0.200000,-0.200000,3626403000.000000,,3626403000.000000,31289894582.000000,-57.000000,-93.069000,-25473000.000000,-0.040000,1.000000,342465000.000000,0.715000,727581000.000000,23513000.000000,4558273000.000000,,0.000000,2111154000.000000,2111154000.000000,0.000000,1956679000.000000,393794000.000000,1562885000.000000,-739072000.000000,0.000000,38951000.000000,60941000.000000,0.000000,79172000.000000,-861562000.000000,-792758000.000000,43318000.000000,-2999000.000000,-125352000.000000,-125352000.000000,-125352000.000000,0.000000,0.000000,-0.262000,440618000.000000,-98153000.000000,53241000.000000,0.000000,8.602000,-53.985000,-50.156000,557019000.000000,0.000000,48.150000,22.233000,20.763000,418454000.000000,-1572446000.000000,479078000.000000,479078000.000000,181715000.000000,,,,,177215000.000000,258903000.000000,1.000000,647836523.000000,629794000.000000,629794000.000000,0.761000,4855501000.000000,0.000000,3687000.000000,24706000.000000,7.710000
ARQ,2015-03-31,2015-05-11,2015-03-31,2015-Q1,3799796000.000000,24429623425.000000,2022-07-26,-42956000.000000,5643417000.000000,,4194091000.000000,1449326000.000000,,5.757000,-67735000.000000,1607405000.000000,1607405000.000000,143475000.000000,-162442000.000000,10.637000,0.531000,1600754000.000000,105948000.000000,1494806000.000000,1600754000.000000,0.000000,67864000.000000,0.000000,0.000000,0.000000,-137491000.000000,-69627000.000000,-0.160000,-69627000.000000,-137491000.000000,-161810000.000000,-0.250000,-0.250000,-0.250000,3687097000.000000,,3687097000.000000,24422972425.000000,-44.000000,-76.994000,24446000.000000,0.038000,1.000000,292464000.000000,0.671000,802016000.000000,24319000.000000,4440455000.000000,,0.000000,1949803000.000000,1949803000.000000,0.000000,1956320000.000000,394295000.000000,1562025000.000000,115429000.000000,-28927000.000000,3749000.000000,-33546000.000000,0.000000,-35971000.000000,59219000.000000,161243000.000000,92181000.000000,-18748000.000000,-162442000.000000,-162442000.000000,-162442000.000000,0.000000,0.000000,-0.373000,439080000.000000,-146616000.000000,48384000.000000,0.000000,6.626000,-40.187000,-38.071000,599751000.000000,0.000000,37.310000,15.380000,15.043000,415479000.000000,-1734888000.000000,435939000.000000,435939000.000000,189746000.000000,,,,,182805000.000000,249334000.000000,1.000000,654774147.000000,640464000.000000,640464000.000000,0.681000,4841401000.000000,0.000000,632000.000000,26077000.000000,7.559000
ARQ,2015-06-30,2015-08-07,2015-06-30,2015-Q2,3845586000.000000,18287271463.000000,2022-07-26,-32834000.000000,6230334000.000000,,4270427000.000000,1959907000.000000,,6.453000,-92605000.000000,883307000.000000,883307000.000000,167623000.000000,-136663000.000000,10.052000,0.472000,1596883000.000000,98606000.000000,1498277000.000000,1596883000.000000,0.000000,76049000.000000,0.000000,0.000000,0.000000,-131699000.000000,-55650000.000000,-0.111000,-55650000.000000,-131699000.000000,-156136000.000000,-0.210000,-0.210000,-0.210000,4231184000.000000,,4231184000.000000,19000847463.000000,-35.000000,-70.281000,-2626000.000000,-0.004000,1.000000,334760000.000000,0.666000,1258545000.000000,24437000.000000,5260524000.000000,,0.000000,2677263000.000000,2677263000.000000,0.000000,1999150000.000000,424841000.000000,1574309000.000000,-729657000.000000,2627000.000000,24813000.000000,-29388000.000000,0.000000,-4881000.000000,-814755000.000000,-726342000.000000,89979000.000000,5559000.000000,-136663000.000000,-136663000.000000,-136663000.000000,0.000000,0.000000,-0.272000,465764000.000000,-131004000.000000,51614000.000000,0.000000,4.322000,-30.483000,-28.463000,651017000.000000,0.000000,27.040000,10.281000,9.969000,475204000.000000,-1871551000.000000,502383000.000000,502383000.000000,198907000.000000,,,,,175143000.000000,266857000.000000,1.000000,676304418.000000,655721000.000000,655721000.000000,0.766000,4971789000.000000,0.000000,-19473000.000000,31768000.000000,7.582000
ARQ,2015-09-30,2015-11-06,2015-09-30,2015-Q3,3835781000.000000,19313731347.000000,2022-07-26,-34296000.000000,6289064000.000000,,4263559000.000000,2025505000.000000,,6.374000,-106476000.000000,876432000.000000,876432000.000000,200195000.000000,-131690000.000000,9.967000,0.471000,1602114000.000000,93621000.000000,1508493000.000000,1602114000.000000,0.000000,81464000.000000,0.000000,0.000000,0.000000,-103289000.000000,-21825000.000000,-0.038000,-21825000.000000,-103289000.000000,-128528000.000000,-0.200000,-0.200000,-0.200000,4274163000.000000,,4274163000.000000,20039413347.000000,-43.000000,-109.609000,-4808000.000000,-0.007000,1.000000,369042000.000000,0.648000,1270407000.000000,25239000.000000,5316561000.000000,,0.000000,2612762000.000000,2612762000.000000,0.000000,2014901000.000000,427778000.000000,1587123000.000000,-4816000.000000,-25344000.000000,1488000.000000,-28431000.000000,0.000000,-27358000.000000,-79126000.000000,51737000.000000,101668000.000000,-2059000.000000,-131690000.000000,-131690000.000000,-131690000.000000,0.000000,0.000000,-0.231000,474279000.000000,-105237000.000000,40100000.000000,0.000000,4.519000,-34.728000,-32.884000,699502000.000000,0.000000,28.280000,9.722000,9.546000,536788000.000000,-2003241000.000000,569237000.000000,569237000.000000,207937000.000000,,,,,165921000.000000,266342000.000000,1.000000,682946653.000000,670604000.000000,670604000.000000,0.849000,5018657000.000000,0.000000,3162000.000000,32958000.000000,7.484000
ARQ,2015-12-31,2016-02-29,2015-12-31,2015-Q4,3875753000.000000,12642800937.000000,2022-07-26,-45566000.000000,6442439000.000000,,4381792000.000000,2060647000.000000,,6.400000,-80464000.000000,911471000.000000,911471000.000000,217963000.000000,-90236000.000000,8.659000,0.475000,1602956000.000000,88166000.000000,1514790000.000000,1602956000.000000,0.000000,87446000.000000,0.000000,0.000000,0.000000,-62648000.000000,24798000.000000,0.035000,24798000.000000,-62648000.000000,-86831000.000000,-0.130000,-0.130000,-0.130000,4368047000.000000,,4368047000.000000,13334285937.000000,-31.000000,-109.026000,18774000.000000,0.028000,1.000000,492510000.000000,0.693000,1263743000.000000,24183000.000000,5364142000.000000,,0.000000,2583877000.000000,2583877000.000000,0.000000,2074392000.000000,506039000.000000,1568353000.000000,36691000.000000,0.000000,26606000.000000,-26170000.000000,0.000000,5212000.000000,-67759000.000000,35032000.000000,99238000.000000,-1652000.000000,-90236000.000000,-90236000.000000,-90236000.000000,0.000000,0.000000,-0.127000,559689000.000000,-67179000.000000,134081000.000000,0.000000,2.894000,-24.265000,-22.937000,735299000.000000,0.000000,18.120000,5.700000,5.412000,638694000.000000,-2093477000.000000,710473000.000000,710473000.000000,210058000.000000,,,,,155055000.000000,349631000.000000,1.000000,697726321.000000,682533000.000000,682533000.000000,1.041000,5178696000.000000,0.000000,3405000.000000,2978000.000000,7.587000
