dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-02-25,1996-12-31,1996-Q4,1968000000.000000,15495703658.000000,2025-04-24,0.000000,9360000000.000000,,4454000000.000000,4906000000.000000,,2.690000,,964000000.000000,964000000.000000,,,1.792000,1.285000,2011000000.000000,314000000.000000,1697000000.000000,2011000000.000000,0.000000,,0.000000,0.008000,0.021000,,,,,,,,,,4097000000.000000,,4097000000.000000,16542703658.000000,192.000000,16.710000,,,1.000000,,,0.000000,,7921000000.000000,,703000000.000000,14000000.000000,14000000.000000,0.000000,5263000000.000000,2486000000.000000,2777000000.000000,,,,,,,,,,,,,,,,,,,1940000000.000000,,3.782000,245.964000,248.110000,4162000000.000000,,10.172000,1.559000,1.559000,1799000000.000000,2814000000.000000,,,,,,,,,,1.000000,1523293552.000000,1523293552.000000,,,9360000000.000000,587000000.000000,,163000000.000000,6.145000
ARQ,1997-03-31,1997-04-18,1997-03-31,1997-Q1,2113000000.000000,15649967502.000000,2025-04-24,0.000000,9263000000.000000,,4423000000.000000,4840000000.000000,,2.769000,-225000000.000000,989000000.000000,989000000.000000,1472000000.000000,129000000.000000,1.915000,1.188000,2011000000.000000,368000000.000000,1643000000.000000,2011000000.000000,0.000000,0.000000,0.000000,0.008000,0.021000,184000000.000000,184000000.000000,0.081000,184000000.000000,184000000.000000,184000000.000000,0.083000,,0.083000,4234000000.000000,,4234000000.000000,16671967502.000000,,,53000000.000000,0.035000,1.000000,791000000.000000,0.350000,0.000000,0.000000,7975000000.000000,,663000000.000000,63000000.000000,63000000.000000,0.000000,5029000000.000000,2310000000.000000,2719000000.000000,25000000.000000,0.000000,41000000.000000,0.000000,-32000000.000000,29000000.000000,-274000000.000000,-49000000.000000,278000000.000000,-11000000.000000,129000000.000000,129000000.000000,129000000.000000,-27000000.000000,0.000000,0.057000,620000000.000000,171000000.000000,652000000.000000,0.253000,3.696000,,,4092000000.000000,0.000000,10.235000,,,1699000000.000000,2911000000.000000,2263000000.000000,2263000000.000000,239000000.000000,,,,,0.000000,381000000.000000,1.000000,1529063752.000000,1529063752.000000,,1.480000,9263000000.000000,590000000.000000,55000000.000000,0.000000,6.058000
ARQ,1997-06-30,1997-07-18,1997-06-30,1997-Q2,2561000000.000000,21873002176.000000,2025-04-24,0.000000,9387000000.000000,,4703000000.000000,4684000000.000000,,2.910000,-337000000.000000,657000000.000000,657000000.000000,1597000000.000000,249000000.000000,2.196000,1.103000,1719000000.000000,52000000.000000,1667000000.000000,1719000000.000000,0.000000,0.000000,0.000000,0.006000,0.021000,369000000.000000,369000000.000000,0.144000,369000000.000000,369000000.000000,369000000.000000,0.158000,,0.158000,4463000000.000000,,4463000000.000000,22935002176.000000,,,207000000.000000,0.135000,1.000000,962000000.000000,0.376000,0.000000,0.000000,8307000000.000000,,737000000.000000,534000000.000000,534000000.000000,0.000000,4924000000.000000,2142000000.000000,2782000000.000000,-332000000.000000,177000000.000000,27000000.000000,-273000000.000000,-33000000.000000,-299000000.000000,-628000000.000000,-468000000.000000,544000000.000000,-3000000.000000,249000000.000000,249000000.000000,249000000.000000,-25000000.000000,0.000000,0.097000,675000000.000000,287000000.000000,748000000.000000,0.133000,4.901000,,,4120000000.000000,0.000000,14.262000,,,1769000000.000000,3127000000.000000,2559000000.000000,2559000000.000000,280000000.000000,,,,,0.000000,395000000.000000,1.000000,1533602256.000000,1533602256.000000,,1.669000,9387000000.000000,590000000.000000,120000000.000000,0.000000,6.121000
ARQ,1997-09-30,1997-10-17,1997-09-30,1997-Q3,4273000000.000000,24586287012.000000,2025-04-24,0.000000,12074000000.000000,,7342000000.000000,4732000000.000000,,4.049000,-352000000.000000,2727000000.000000,2727000000.000000,1518000000.000000,1712000000.000000,2.392000,0.910000,1626000000.000000,86000000.000000,1540000000.000000,1626000000.000000,0.000000,0.000000,0.000000,0.005000,0.021000,1841000000.000000,1841000000.000000,0.736000,1841000000.000000,1841000000.000000,1841000000.000000,1.070000,,1.070000,6320000000.000000,,6320000000.000000,23485287012.000000,,,195000000.000000,0.125000,1.000000,982000000.000000,0.393000,0.000000,0.000000,7904000000.000000,,758000000.000000,1509000000.000000,1509000000.000000,0.000000,5754000000.000000,3069000000.000000,2685000000.000000,2070000000.000000,2836000000.000000,34000000.000000,19000000.000000,-32000000.000000,21000000.000000,1511000000.000000,-973000000.000000,547000000.000000,-9000000.000000,1712000000.000000,1712000000.000000,1712000000.000000,0.000000,0.000000,0.685000,624000000.000000,358000000.000000,648000000.000000,0.020000,3.890000,,,4158000000.000000,0.000000,15.750000,,,1766000000.000000,4806000000.000000,2500000000.000000,2500000000.000000,275000000.000000,,,,,0.000000,349000000.000000,1.000000,1561034096.000000,1561034096.000000,,1.602000,12074000000.000000,715000000.000000,129000000.000000,0.000000,7.735000
ARQ,1997-12-31,1998-02-23,1997-12-31,1997-Q4,3607000000.000000,23101159119.000000,2025-04-24,0.000000,10849000000.000000,,6103000000.000000,4746000000.000000,,3.796000,-324000000.000000,1015000000.000000,1015000000.000000,1480000000.000000,-285000000.000000,2.445000,0.834000,1357000000.000000,71000000.000000,1286000000.000000,1357000000.000000,0.000000,1109000000.000000,0.000000,0.006000,0.021000,-178000000.000000,931000000.000000,0.383000,931000000.000000,-178000000.000000,-178000000.000000,-0.180000,,-0.180000,5914000000.000000,,5914000000.000000,23443159119.000000,11.000000,7.051000,150000000.000000,0.096000,1.000000,948000000.000000,0.390000,0.000000,0.000000,8695000000.000000,,742000000.000000,2005000000.000000,2005000000.000000,0.000000,4935000000.000000,2496000000.000000,2439000000.000000,-1712000000.000000,-1002000000.000000,-48000000.000000,-288000000.000000,-34000000.000000,-372000000.000000,-1814000000.000000,-488000000.000000,474000000.000000,0.000000,-285000000.000000,-285000000.000000,-285000000.000000,0.000000,0.000000,-0.117000,1148000000.000000,-200000000.000000,2082000000.000000,-0.117000,3.906000,12.798000,13.064000,4180000000.000000,0.000000,14.828000,2.369000,2.369000,1705000000.000000,4488000000.000000,2428000000.000000,2428000000.000000,741000000.000000,,,,,0.000000,407000000.000000,1.000000,1557994208.000000,1557994208.000000,,1.558000,10849000000.000000,711000000.000000,107000000.000000,154000000.000000,6.963000
ARQ,1998-03-31,1998-04-17,1998-03-31,1998-Q1,3465000000.000000,22844926728.000000,2025-04-24,0.000000,10370000000.000000,,5450000000.000000,4920000000.000000,,3.826000,-384000000.000000,830000000.000000,830000000.000000,1517000000.000000,11000000.000000,2.746000,0.735000,1313000000.000000,67000000.000000,1246000000.000000,1313000000.000000,0.000000,0.000000,0.000000,0.004000,0.000000,17000000.000000,17000000.000000,0.008000,17000000.000000,17000000.000000,17000000.000000,0.007000,0.007000,0.007000,5977000000.000000,,5977000000.000000,23327926728.000000,11.000000,7.387000,-429000000.000000,-0.275000,1.000000,670000000.000000,0.306000,0.000000,0.000000,8868000000.000000,,776000000.000000,1536000000.000000,1536000000.000000,0.000000,4393000000.000000,1985000000.000000,2408000000.000000,-185000000.000000,-152000000.000000,9000000.000000,-35000000.000000,-33000000.000000,-62000000.000000,-74000000.000000,462000000.000000,-45000000.000000,-4000000.000000,11000000.000000,11000000.000000,11000000.000000,0.000000,0.000000,0.005000,692000000.000000,-22000000.000000,670000000.000000,0.000000,3.822000,13.542000,13.863000,4283000000.000000,0.000000,14.625000,2.361000,2.361000,1666000000.000000,4499000000.000000,2187000000.000000,2187000000.000000,328000000.000000,,,,,0.000000,364000000.000000,1.000000,1562046272.000000,1562046272.000000,,1.400000,10370000000.000000,710000000.000000,6000000.000000,0.000000,6.639000
ARQ,1998-06-30,1998-07-23,1998-06-30,1998-Q2,3350000000.000000,23212719470.000000,2025-04-24,0.000000,10250000000.000000,,5300000000.000000,4950000000.000000,,3.819000,-314000000.000000,1273000000.000000,1273000000.000000,1456000000.000000,43000000.000000,2.718000,0.720000,1310000000.000000,80000000.000000,1230000000.000000,1310000000.000000,0.000000,0.000000,0.000000,0.004000,0.021000,65000000.000000,65000000.000000,0.030000,65000000.000000,65000000.000000,65000000.000000,0.028000,0.028000,0.028000,5959000000.000000,,5959000000.000000,23249719470.000000,13.000000,8.146000,-5000000.000000,-0.003000,1.000000,711000000.000000,0.328000,0.000000,0.000000,8337000000.000000,,706000000.000000,1131000000.000000,1131000000.000000,0.000000,4291000000.000000,1950000000.000000,2341000000.000000,443000000.000000,120000000.000000,-43000000.000000,-7000000.000000,-33000000.000000,-80000000.000000,208000000.000000,402000000.000000,309000000.000000,6000000.000000,43000000.000000,43000000.000000,43000000.000000,0.000000,0.000000,0.020000,763000000.000000,-52000000.000000,568000000.000000,0.750000,3.895000,15.674000,16.081000,4267000000.000000,0.000000,14.875000,2.501000,2.501000,1581000000.000000,4508000000.000000,2167000000.000000,2167000000.000000,306000000.000000,,,,,0.000000,457000000.000000,1.000000,1560518956.000000,1560518956.000000,,1.389000,10250000000.000000,650000000.000000,22000000.000000,0.000000,6.568000
ARQ,1998-09-30,1998-10-22,1998-09-30,1998-Q3,2520000000.000000,23296887503.000000,2025-04-24,0.000000,10518000000.000000,,4724000000.000000,5794000000.000000,,3.865000,-200000000.000000,1080000000.000000,1080000000.000000,1308000000.000000,164000000.000000,2.143000,0.745000,1308000000.000000,268000000.000000,1040000000.000000,1308000000.000000,0.000000,0.000000,0.000000,0.004000,0.021000,249000000.000000,249000000.000000,0.118000,249000000.000000,249000000.000000,249000000.000000,0.102000,0.102000,0.102000,6028000000.000000,,6028000000.000000,23524887503.000000,154.000000,18.641000,363000000.000000,0.233000,1.000000,805000000.000000,0.381000,0.000000,0.000000,8542000000.000000,,570000000.000000,2853000000.000000,1062000000.000000,1791000000.000000,4490000000.000000,2204000000.000000,2286000000.000000,-193000000.000000,-550000000.000000,-34000000.000000,-17000000.000000,-34000000.000000,-85000000.000000,-683000000.000000,67000000.000000,563000000.000000,12000000.000000,164000000.000000,164000000.000000,164000000.000000,0.000000,0.000000,0.078000,602000000.000000,203000000.000000,456000000.000000,0.206000,3.865000,-347.715000,-355.655000,3506000000.000000,0.000000,14.938000,2.619000,2.619000,1406000000.000000,4640000000.000000,2113000000.000000,2113000000.000000,291000000.000000,,,,,0.000000,311000000.000000,1.000000,1559624268.000000,1559624268.000000,,1.355000,10518000000.000000,648000000.000000,85000000.000000,0.000000,6.744000
ARQ,1998-12-31,1999-02-22,1998-12-31,1998-Q4,2650000000.000000,38630434346.000000,2025-04-24,296000000.000000,11250000000.000000,,4846000000.000000,6404000000.000000,,4.177000,-133000000.000000,540000000.000000,540000000.000000,1113000000.000000,189000000.000000,2.207000,0.724000,1294000000.000000,267000000.000000,1027000000.000000,1294000000.000000,0.000000,1144000000.000000,0.000000,0.003000,0.021000,286000000.000000,1430000000.000000,0.718000,1430000000.000000,286000000.000000,286000000.000000,0.117000,,0.117000,6527000000.000000,,6527000000.000000,39384434346.000000,64.000000,22.365000,291000000.000000,0.186000,1.000000,880000000.000000,0.442000,0.000000,0.000000,9808000000.000000,,596000000.000000,4273000000.000000,1709000000.000000,2564000000.000000,4723000000.000000,2196000000.000000,2527000000.000000,-540000000.000000,-150000000.000000,11000000.000000,-13000000.000000,-33000000.000000,-35000000.000000,-921000000.000000,-638000000.000000,424000000.000000,-8000000.000000,189000000.000000,189000000.000000,189000000.000000,0.000000,0.000000,0.095000,609000000.000000,271000000.000000,1582000000.000000,0.179000,5.919000,94.915000,96.941000,3373000000.000000,0.000000,24.720000,4.566000,4.566000,1343000000.000000,4795000000.000000,1993000000.000000,1993000000.000000,281000000.000000,,,,,0.000000,328000000.000000,1.000000,1562719836.000000,1562719836.000000,,1.275000,11250000000.000000,606000000.000000,97000000.000000,574000000.000000,7.199000
ARQ,1999-03-31,1999-04-23,1999-03-31,1999-Q1,2925000000.000000,42568820140.000000,2025-04-24,306000000.000000,11115000000.000000,,4968000000.000000,6147000000.000000,,4.260000,-202000000.000000,893000000.000000,893000000.000000,1127000000.000000,233000000.000000,2.432000,0.664000,1249000000.000000,260000000.000000,989000000.000000,1249000000.000000,0.000000,0.000000,0.000000,0.003000,0.000000,343000000.000000,343000000.000000,0.168000,343000000.000000,343000000.000000,343000000.000000,0.147000,0.145000,0.147000,6679000000.000000,,6679000000.000000,42924820140.000000,46.000000,20.568000,15000000.000000,0.010000,1.000000,912000000.000000,0.447000,0.000000,0.000000,9428000000.000000,,641000000.000000,3617000000.000000,1316000000.000000,2301000000.000000,4436000000.000000,2043000000.000000,2393000000.000000,353000000.000000,-50000000.000000,-98000000.000000,-34000000.000000,-33000000.000000,-165000000.000000,309000000.000000,561000000.000000,217000000.000000,-8000000.000000,233000000.000000,233000000.000000,233000000.000000,0.000000,0.000000,0.114000,629000000.000000,283000000.000000,535000000.000000,0.000000,6.374000,67.677000,68.734000,3326000000.000000,0.000000,27.150000,5.121000,5.121000,1471000000.000000,4995000000.000000,2039000000.000000,2039000000.000000,306000000.000000,,,,,0.000000,323000000.000000,1.000000,1567912344.000000,1567912344.000000,,1.300000,11115000000.000000,595000000.000000,110000000.000000,354000000.000000,7.089000
