dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2019-12-31,2020-09-09,2019-12-31,2019-Q4,30889000.000000,,2025-05-07,-3632000.000000,762860000.000000,,367417000.000000,395443000.000000,,3.442000,,147096000.000000,147096000.000000,,,1.092000,0.937000,0.000000,0.000000,0.000000,0.000000,96576000.000000,,0.000000,,0.000000,,,,,,,,,,393911000.000000,,393911000.000000,,,,,,1.000000,,,280339000.000000,,-1103000.000000,,0.000000,0.000000,0.000000,0.000000,368949000.000000,336528000.000000,32421000.000000,,,,,,,,,,,,,,,,,,,148370000.000000,,,,,78976000.000000,,,,,204898000.000000,-515190000.000000,,,,,,,,,,1.000000,263366733.000000,114442000.000000,,,482521000.000000,0.000000,,35715000.000000,4.216000
ARQ,2020-06-30,2020-09-16,2020-06-30,2020-Q2,339901000.000000,,2025-05-07,-3709000.000000,1289084000.000000,,721703000.000000,567381000.000000,,4.987000,,475667000.000000,475667000.000000,40432000.000000,-27351000.000000,1.890000,0.991000,256987000.000000,25887000.000000,231100000.000000,256987000.000000,107590000.000000,,0.000000,,0.000000,-25507000.000000,,,,-25507000.000000,-26163000.000000,-0.210000,-0.210000,-0.210000,647415000.000000,,647415000.000000,,,,,,1.000000,143899000.000000,0.781000,320870000.000000,656000.000000,367732000.000000,,0.000000,0.000000,0.000000,0.000000,641669000.000000,381802000.000000,259867000.000000,,,,,,,,,,,-27351000.000000,-27351000.000000,-27351000.000000,0.000000,0.000000,-0.148000,168744000.000000,-24845000.000000,151593000.000000,0.000000,,,,202995000.000000,0.000000,,,,219479000.000000,-569277000.000000,184331000.000000,184331000.000000,85108000.000000,,,,,,83636000.000000,1.000000,263366733.000000,129826000.000000,129826000.000000,1.420000,968214000.000000,0.000000,1188000.000000,40416000.000000,7.458000
ARQ,2020-09-30,2020-11-13,2020-09-30,2020-Q3,1621163000.000000,31077077782.000000,2025-05-07,-3500000.000000,2605696000.000000,,2030976000.000000,574720000.000000,,13.801000,-9681000.000000,1781824000.000000,1781824000.000000,47540000.000000,-144719000.000000,4.956000,0.265000,126238000.000000,24363000.000000,101875000.000000,126238000.000000,114441000.000000,11274000.000000,0.000000,0.000000,0.000000,-141683000.000000,-130409000.000000,-0.649000,-130409000.000000,-141683000.000000,-144321000.000000,-0.970000,-0.970000,-0.970000,2059906000.000000,,2059906000.000000,29421491782.000000,,,10886000.000000,0.073000,1.000000,153244000.000000,0.763000,330469000.000000,2638000.000000,209828000.000000,,0.000000,0.000000,0.000000,0.000000,545790000.000000,409813000.000000,135977000.000000,1306157000.000000,-11630000.000000,1431668000.000000,-125000000.000000,0.000000,1306668000.000000,-21311000.000000,0.000000,20567000.000000,233000.000000,-144719000.000000,-144719000.000000,-144719000.000000,0.000000,0.000000,-0.721000,294927000.000000,-141683000.000000,158999000.000000,0.000000,15.087000,,,198808000.000000,0.000000,114.770000,,,225525000.000000,-713996000.000000,200784000.000000,200784000.000000,116648000.000000,,,,,61806000.000000,178279000.000000,1.000000,270777013.000000,149256000.000000,149256000.000000,1.345000,2275227000.000000,0.000000,398000.000000,41587000.000000,15.244000
ARQ,2020-12-31,2021-03-05,2020-12-31,2020-Q4,1577438000.000000,26072998126.000000,2025-05-07,-3418000.000000,2671225000.000000,,2080660000.000000,590565000.000000,,11.985000,-11200000.000000,1293947000.000000,1293947000.000000,52507000.000000,-83502000.000000,4.135000,0.311000,123907000.000000,25375000.000000,98532000.000000,123907000.000000,134376000.000000,11690000.000000,0.000000,0.000000,0.000000,-80847000.000000,-69157000.000000,-0.314000,-69157000.000000,-80847000.000000,-84020000.000000,-0.190000,-0.190000,-0.190000,2037143000.000000,,2037143000.000000,24902958126.000000,-91.000000,-107.415000,3565000.000000,0.021000,1.000000,167829000.000000,0.762000,343710000.000000,3173000.000000,654253000.000000,,0.000000,479406000.000000,479406000.000000,0.000000,634082000.000000,503222000.000000,130860000.000000,-487877000.000000,-17507000.000000,7382000.000000,0.000000,0.000000,7382000.000000,-510516000.000000,-481809000.000000,14765000.000000,492000.000000,-83502000.000000,-83502000.000000,-83502000.000000,0.000000,0.000000,-0.379000,248676000.000000,-80847000.000000,193572000.000000,0.000000,12.799000,-92.357000,-56.518000,199153000.000000,0.000000,93.820000,33.754000,20.645000,274255000.000000,-797498000.000000,220336000.000000,220336000.000000,120008000.000000,,,,,51169000.000000,128668000.000000,1.000000,277904478.000000,169973000.000000,169973000.000000,1.296000,2327515000.000000,0.000000,-518000.000000,64116000.000000,13.693000
ARQ,2021-03-31,2021-05-12,2021-03-31,2021-Q1,1519595000.000000,23538116553.000000,2025-05-07,-3552000.000000,2650442000.000000,,2010187000.000000,640255000.000000,,7.307000,-11744000.000000,1138072000.000000,1138072000.000000,58734000.000000,-107460000.000000,4.097000,0.314000,135433000.000000,25437000.000000,109996000.000000,135433000.000000,138974000.000000,11832000.000000,0.000000,0.000000,0.000000,-110902000.000000,-99070000.000000,-0.422000,-99070000.000000,-110902000.000000,-109452000.000000,-0.390000,-0.390000,-0.390000,2017212000.000000,,2017212000.000000,22535477553.000000,-63.000000,,-100626000.000000,-0.364000,1.000000,176038000.000000,0.750000,364100000.000000,-1450000.000000,793111000.000000,,0.000000,527300000.000000,527300000.000000,0.000000,633230000.000000,490592000.000000,142638000.000000,-155875000.000000,-24817000.000000,22624000.000000,0.000000,0.000000,22624000.000000,-89626000.000000,-53065000.000000,-88882000.000000,9000.000000,-107460000.000000,-107460000.000000,-107460000.000000,0.000000,0.000000,-0.458000,286940000.000000,-110902000.000000,202274000.000000,0.000000,11.669000,-64.838000,-47.864000,214006000.000000,0.000000,84.240000,28.014000,27.678000,298200000.000000,-906480000.000000,234772000.000000,234772000.000000,154015000.000000,,,,,66561000.000000,132925000.000000,1.000000,279417338.000000,276068000.000000,276068000.000000,0.850000,2286342000.000000,0.000000,-1992000.000000,54231000.000000,8.282000
ARQ,2021-06-30,2021-08-11,2021-06-30,2021-Q2,1438773000.000000,34283631746.000000,2025-05-07,-3474000.000000,2661732000.000000,,1995169000.000000,666563000.000000,,7.026000,-6807000.000000,1012767000.000000,1012767000.000000,57725000.000000,-148342000.000000,3.586000,0.351000,130357000.000000,25783000.000000,104574000.000000,130357000.000000,143031000.000000,12270000.000000,0.000000,0.000000,0.000000,-149184000.000000,-136914000.000000,-0.500000,-136914000.000000,-149184000.000000,-149599000.000000,-0.530000,-0.530000,-0.530000,1969783000.000000,,1969783000.000000,33401221746.000000,-69.000000,-76.687000,-33488000.000000,-0.119000,1.000000,215837000.000000,0.789000,407835000.000000,415000.000000,815091000.000000,,0.000000,587080000.000000,587080000.000000,0.000000,691949000.000000,556396000.000000,135553000.000000,-125305000.000000,-44613000.000000,15435000.000000,0.000000,0.000000,15435000.000000,-114139000.000000,-62719000.000000,-26681000.000000,80000.000000,-148342000.000000,-148342000.000000,-148342000.000000,0.000000,0.000000,-0.542000,365021000.000000,-149184000.000000,229674000.000000,0.000000,17.405000,-70.831000,-58.341000,206604000.000000,0.000000,121.350000,36.886000,36.606000,340716000.000000,-1054822000.000000,273562000.000000,273562000.000000,154216000.000000,,,,,85400000.000000,210805000.000000,1.000000,282518597.000000,280374000.000000,280374000.000000,0.976000,2253897000.000000,0.000000,-1257000.000000,49336000.000000,8.039000
ARQ,2021-09-30,2021-11-10,2021-09-30,2021-Q3,1058008000.000000,50466568958.000000,2025-05-07,-3411000.000000,2678277000.000000,,1636970000.000000,1041307000.000000,,6.933000,-9408000.000000,766252000.000000,766252000.000000,63517000.000000,-115152000.000000,2.827000,0.362000,122372000.000000,25405000.000000,96967000.000000,122372000.000000,147908000.000000,15120000.000000,0.000000,0.000000,0.000000,-126750000.000000,-111630000.000000,-0.390000,-111630000.000000,-126750000.000000,-126814000.000000,-0.410000,-0.410000,-0.410000,1967102000.000000,,1967102000.000000,49822688958.000000,-107.000000,-119.545000,34215000.000000,0.121000,1.000000,222811000.000000,0.778000,770795000.000000,64000.000000,684640000.000000,,0.000000,524969000.000000,524969000.000000,0.000000,711175000.000000,578962000.000000,132213000.000000,-246515000.000000,-355768000.000000,15091000.000000,0.000000,0.000000,15091000.000000,-305198000.000000,59978000.000000,43623000.000000,-31000.000000,-115152000.000000,-115152000.000000,-115152000.000000,0.000000,0.000000,-0.402000,349561000.000000,-126750000.000000,209273000.000000,0.000000,25.655000,-111.048000,-116.086000,203450000.000000,0.000000,176.450000,49.721000,49.322000,301035000.000000,-1169974000.000000,286328000.000000,286328000.000000,178413000.000000,,,,,97317000.000000,171148000.000000,1.000000,286010592.000000,283714000.000000,283714000.000000,1.009000,1907482000.000000,0.000000,-11662000.000000,81334000.000000,6.723000
ARQ,2021-12-31,2022-02-22,2021-12-31,2021-Q4,1525575000.000000,28277265691.000000,2025-05-07,-3858000.000000,4841346000.000000,,2151110000.000000,2690236000.000000,,8.298000,-13979000.000000,1066599000.000000,1066599000.000000,73654000.000000,-161653000.000000,3.439000,1.022000,1819303000.000000,23729000.000000,1795574000.000000,1819303000.000000,156473000.000000,25345000.000000,0.000000,0.000000,0.000000,-144829000.000000,-119484000.000000,-0.378000,-119484000.000000,-144829000.000000,-145365000.000000,-0.570000,-0.570000,-0.570000,2394391000.000000,,2394391000.000000,29029969691.000000,-55.000000,-62.150000,-53488000.000000,-0.185000,1.000000,242210000.000000,0.767000,2434513000.000000,536000.000000,2534002000.000000,,0.000000,681323000.000000,681323000.000000,0.000000,2446955000.000000,625535000.000000,1821420000.000000,300347000.000000,-1154883000.000000,13554000.000000,1702425000.000000,0.000000,1667852000.000000,-1328397000.000000,-159535000.000000,-39509000.000000,401000.000000,-161653000.000000,-161653000.000000,-161653000.000000,0.000000,0.000000,-0.512000,387039000.000000,-144829000.000000,251646000.000000,0.000000,11.810000,-53.092000,-50.873000,204499000.000000,0.000000,96.150000,25.463000,24.433000,340491000.000000,-1331627000.000000,315864000.000000,315864000.000000,209066000.000000,,,,,97881000.000000,177973000.000000,1.000000,294095327.000000,288540000.000000,288540000.000000,1.095000,2406833000.000000,0.000000,16288000.000000,64759000.000000,8.341000
ARQ,2022-03-31,2022-05-10,2022-03-31,2022-Q1,1593937000.000000,14247105834.000000,2025-05-07,-8267000.000000,4946660000.000000,,2224197000.000000,2722463000.000000,,8.025000,-14929000.000000,1162692000.000000,1162692000.000000,93833000.000000,-177555000.000000,3.529000,1.094000,1824949000.000000,26464000.000000,1798485000.000000,1824949000.000000,345894000.000000,41472000.000000,0.000000,0.000000,0.000000,-171161000.000000,-129689000.000000,-0.405000,-129689000.000000,-171161000.000000,-171331000.000000,-0.600000,-0.600000,-0.600000,2362142000.000000,,2362142000.000000,14909362834.000000,-25.000000,-29.956000,86371000.000000,0.293000,1.000000,226293000.000000,0.707000,2446961000.000000,170000.000000,2531696000.000000,,0.000000,656581000.000000,656581000.000000,0.000000,2584518000.000000,630260000.000000,1954258000.000000,96093000.000000,-23637000.000000,30216000.000000,0.000000,0.000000,30216000.000000,-35460000.000000,3106000.000000,101300000.000000,37000.000000,-177555000.000000,-177555000.000000,-177555000.000000,0.000000,0.000000,-0.555000,397454000.000000,-171161000.000000,226862000.000000,0.000000,6.031000,-23.639000,-22.810000,211656000.000000,0.000000,48.130000,11.913000,11.846000,332958000.000000,-1509182000.000000,320126000.000000,320126000.000000,221040000.000000,,,,,103427000.000000,176414000.000000,1.000000,296013003.000000,294341000.000000,294341000.000000,1.088000,2499699000.000000,0.000000,6224000.000000,54740000.000000,8.493000
ARQ,2022-06-30,2022-08-09,2022-06-30,2022-Q2,1531280000.000000,15012495318.000000,2025-05-07,-9924000.000000,4840176000.000000,,2157751000.000000,2682425000.000000,,7.688000,-15428000.000000,1173140000.000000,1173140000.000000,96836000.000000,-204158000.000000,3.444000,1.121000,1705268000.000000,0.000000,1705268000.000000,1705268000.000000,334509000.000000,42636000.000000,0.000000,0.000000,0.000000,-197666000.000000,-155030000.000000,-0.522000,-155030000.000000,-197666000.000000,-201847000.000000,-0.690000,-0.690000,-0.690000,2282071000.000000,,2282071000.000000,15544623318.000000,-24.000000,-30.135000,-58298000.000000,-0.196000,1.000000,200207000.000000,0.674000,2416029000.000000,4181000.000000,2329804000.000000,,0.000000,591475000.000000,591475000.000000,0.000000,2558105000.000000,626471000.000000,1931634000.000000,10448000.000000,-2010000.000000,7502000.000000,0.000000,0.000000,7502000.000000,45894000.000000,63332000.000000,-42870000.000000,-78000.000000,-204158000.000000,-204158000.000000,-204158000.000000,0.000000,0.000000,-0.687000,397873000.000000,-197666000.000000,209264000.000000,0.000000,6.578000,-22.797000,-22.181000,112489000.000000,0.000000,50.350000,12.312000,12.258000,322332000.000000,-1713340000.000000,297043000.000000,297043000.000000,215960000.000000,,,,,118242000.000000,181913000.000000,1.000000,298162767.000000,296849000.000000,296849000.000000,1.001000,2424147000.000000,0.000000,2311000.000000,0.000000,8.166000
