dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2011-06-30,2011-10-13,2011-06-30,2011-Q4,90301000.000000,,2025-05-09,0.000000,131678000.000000,,128102000.000000,3576000.000000,,-0.854000,,76361000.000000,76361000.000000,,,3.389000,-0.737000,0.000000,0.000000,0.000000,0.000000,1734000.000000,,1675000.000000,,0.000000,,,,,,,,,,-53872000.000000,,-53872000.000000,,,,,,1.000000,,,0.000000,,17516000.000000,,5663000.000000,0.000000,0.000000,0.000000,39703000.000000,37801000.000000,1902000.000000,,,,,,,,,,,,,,,,,,,14758000.000000,,,,,1022000.000000,,,,,39811000.000000,15035000.000000,,,,,,,,,,1.000000,89702683.000000,63092000.000000,,,131678000.000000,324000.000000,,6298000.000000,2.087000
ARQ,2011-09-30,2011-11-14,2011-09-30,2012-Q1,65656000.000000,1803197575.000000,2025-05-09,0.000000,119305000.000000,,115194000.000000,4111000.000000,,-2.146000,-205000.000000,52576000.000000,52576000.000000,46154000.000000,21493000.000000,2.325000,-0.842000,68879000.000000,6976000.000000,61903000.000000,68879000.000000,2248000.000000,121000.000000,3054000.000000,0.000000,0.000000,27500000.000000,27621000.000000,0.349000,27621000.000000,27500000.000000,26866000.000000,-1.300000,-1.300000,-1.300000,-134612000.000000,,-134612000.000000,1819500575.000000,,,15514000.000000,0.247000,1.000000,33013000.000000,0.417000,0.000000,634000.000000,86070000.000000,,8374000.000000,0.000000,0.000000,0.000000,113343000.000000,49538000.000000,63805000.000000,-23785000.000000,0.000000,143000.000000,879000.000000,0.000000,-39299000.000000,-205000.000000,0.000000,15719000.000000,0.000000,21493000.000000,-81234000.000000,-81234000.000000,0.000000,0.000000,-1.026000,5513000.000000,27500000.000000,18703000.000000,0.000000,-13.396000,,,1106000.000000,102727000.000000,19.710000,,,48081000.000000,0.000000,79167000.000000,79167000.000000,3369000.000000,,,,,351000.000000,2144000.000000,1.000000,91486432.000000,62717000.000000,62717000.000000,1.262000,119305000.000000,324000.000000,5373000.000000,9205000.000000,1.902000
ARQ,2011-12-31,2012-02-01,2011-12-31,2012-Q2,100452000.000000,2213601798.000000,2025-05-09,0.000000,144160000.000000,,141521000.000000,2639000.000000,,0.858000,-905000.000000,64844000.000000,64844000.000000,50527000.000000,24691000.000000,3.446000,0.920000,33072000.000000,6964000.000000,26108000.000000,33072000.000000,2382000.000000,106000.000000,2011000.000000,0.000000,0.000000,31176000.000000,31282000.000000,0.356000,31282000.000000,31176000.000000,30864000.000000,0.160000,0.160000,0.160000,75081000.000000,,75081000.000000,2181829798.000000,,,3346000.000000,0.038000,1.000000,37290000.000000,0.425000,0.000000,312000.000000,71319000.000000,,8980000.000000,0.000000,0.000000,0.000000,69079000.000000,41069000.000000,28010000.000000,12268000.000000,0.000000,32987000.000000,32193000.000000,0.000000,8922000.000000,-905000.000000,0.000000,4251000.000000,0.000000,24691000.000000,14428000.000000,14428000.000000,0.000000,0.000000,0.164000,6114000.000000,31176000.000000,15455000.000000,0.000000,29.483000,,,1905000.000000,10263000.000000,24.100000,,,61417000.000000,14988000.000000,87817000.000000,87817000.000000,3683000.000000,,,,,-11070000.000000,2431000.000000,1.000000,91850697.000000,87487000.000000,87487000.000000,1.004000,144160000.000000,324000.000000,6173000.000000,2100000.000000,1.648000
ARQ,2012-03-31,2012-05-02,2012-03-31,2012-Q3,126775000.000000,2655042220.000000,2025-05-09,0.000000,177515000.000000,,174545000.000000,2970000.000000,,1.125000,-507000.000000,94200000.000000,94200000.000000,52006000.000000,27920000.000000,3.654000,0.717000,31331000.000000,6966000.000000,24365000.000000,31331000.000000,2475000.000000,167000.000000,1068000.000000,0.000000,0.000000,32556000.000000,32723000.000000,0.357000,32723000.000000,32556000.000000,32366000.000000,0.300000,0.300000,0.300000,103387000.000000,,103387000.000000,2592173220.000000,,,31226000.000000,0.340000,1.000000,39659000.000000,0.433000,0.000000,190000.000000,66876000.000000,,9111000.000000,0.000000,0.000000,0.000000,74128000.000000,47770000.000000,26358000.000000,29356000.000000,0.000000,-120000.000000,-1750000.000000,0.000000,-1870000.000000,-507000.000000,0.000000,31733000.000000,0.000000,27920000.000000,27920000.000000,27920000.000000,0.000000,0.000000,0.305000,7103000.000000,32556000.000000,24533000.000000,0.000000,25.681000,,,2245000.000000,0.000000,28.900000,,,68528000.000000,42908000.000000,91665000.000000,91665000.000000,4619000.000000,,,,,330000.000000,2484000.000000,1.000000,91869973.000000,91861000.000000,91861000.000000,0.998000,177515000.000000,324000.000000,4446000.000000,5458000.000000,1.932000
ARQ,2012-06-30,2012-09-28,2012-06-30,2012-Q4,155462000.000000,1058918846.000000,2025-05-09,0.000000,213736000.000000,,207897000.000000,5839000.000000,,1.425000,-1693000.000000,122060000.000000,122060000.000000,53827000.000000,28485000.000000,3.965000,0.632000,29591000.000000,6968000.000000,22623000.000000,29591000.000000,805000.000000,208000.000000,235000.000000,0.000000,0.000000,34060000.000000,34268000.000000,0.361000,34268000.000000,34060000.000000,33927000.000000,0.360000,0.360000,0.360000,130951000.000000,,130951000.000000,966449846.000000,8.000000,7.677000,28392000.000000,0.309000,1.000000,41041000.000000,0.433000,0.000000,133000.000000,68832000.000000,,7734000.000000,0.000000,0.000000,0.000000,82785000.000000,52435000.000000,30350000.000000,27860000.000000,0.000000,244000.000000,-1759000.000000,0.000000,-532000.000000,-1693000.000000,0.000000,30085000.000000,0.000000,28485000.000000,28485000.000000,28485000.000000,0.000000,0.000000,0.300000,6981000.000000,34060000.000000,26450000.000000,0.000000,8.086000,-107.592000,-99.167000,4471000.000000,0.000000,11.900000,2.995000,2.809000,75644000.000000,71393000.000000,94868000.000000,94868000.000000,5028000.000000,,,,,-1912000.000000,1953000.000000,1.000000,88984777.000000,91896000.000000,91896000.000000,1.032000,213736000.000000,1114000.000000,5442000.000000,8673000.000000,2.326000
ARQ,2012-09-30,2012-11-09,2012-09-30,2013-Q1,159335000.000000,992576009.000000,2025-05-09,0.000000,211156000.000000,,204305000.000000,6851000.000000,,1.249000,-2349000.000000,132486000.000000,132486000.000000,36515000.000000,13179000.000000,4.543000,0.859000,49851000.000000,5008000.000000,44843000.000000,49851000.000000,798000.000000,349000.000000,384000.000000,0.000000,0.000000,15775000.000000,16124000.000000,0.262000,16124000.000000,15775000.000000,15689000.000000,0.140000,0.140000,0.140000,113616000.000000,,113616000.000000,909941009.000000,8.000000,7.954000,21346000.000000,0.235000,1.000000,25020000.000000,0.407000,0.000000,86000.000000,83551000.000000,,7632000.000000,0.000000,0.000000,0.000000,97540000.000000,44970000.000000,52570000.000000,10426000.000000,0.000000,-31156000.000000,20250000.000000,0.000000,-10920000.000000,-2349000.000000,0.000000,23695000.000000,0.000000,13179000.000000,13179000.000000,13179000.000000,0.000000,0.000000,0.214000,9245000.000000,15775000.000000,25465000.000000,0.000000,8.736000,11.815000,11.677000,5042000.000000,0.000000,11.210000,2.955000,3.036000,60877000.000000,84572000.000000,61535000.000000,61535000.000000,4711000.000000,,,,,656000.000000,4534000.000000,1.000000,88543801.000000,90970000.000000,90970000.000000,0.676000,211156000.000000,1114000.000000,2510000.000000,11011000.000000,2.321000
ARQ,2012-12-31,2013-02-08,2012-12-31,2013-Q2,167232000.000000,1368799902.000000,2025-05-09,0.000000,230179000.000000,,222479000.000000,7700000.000000,,1.063000,-1118000.000000,148301000.000000,148301000.000000,44416000.000000,17803000.000000,4.027000,1.459000,78610000.000000,5009000.000000,73601000.000000,78610000.000000,815000.000000,404000.000000,1392000.000000,0.011000,0.180000,20119000.000000,20523000.000000,0.274000,20523000.000000,20119000.000000,19922000.000000,0.200000,0.200000,0.200000,93604000.000000,,93604000.000000,1299108902.000000,13.000000,12.535000,25712000.000000,0.292000,1.000000,30485000.000000,0.407000,0.000000,197000.000000,105241000.000000,,14623000.000000,0.000000,0.000000,0.000000,136575000.000000,55247000.000000,81328000.000000,15815000.000000,0.000000,-23037000.000000,28750000.000000,-15652000.000000,-9897000.000000,-1118000.000000,0.000000,26830000.000000,0.000000,17803000.000000,17803000.000000,17803000.000000,0.000000,0.000000,0.238000,10366000.000000,20119000.000000,27747000.000000,0.900000,14.623000,15.664000,15.740000,5664000.000000,0.000000,15.740000,4.238000,4.293000,55902000.000000,86723000.000000,74901000.000000,74901000.000000,5052000.000000,,,,,832000.000000,5314000.000000,1.000000,86963145.000000,88094000.000000,88094000.000000,0.850000,230179000.000000,1114000.000000,2119000.000000,13080000.000000,2.613000
ARQ,2013-03-31,2013-05-10,2013-03-31,2013-Q3,186942000.000000,1664905452.000000,2025-05-09,0.000000,251823000.000000,,243638000.000000,8185000.000000,,1.322000,-941000.000000,181689000.000000,181689000.000000,47690000.000000,20667000.000000,4.297000,1.189000,77369000.000000,5011000.000000,72358000.000000,77369000.000000,1841000.000000,509000.000000,3010000.000000,0.009000,0.000000,23503000.000000,24012000.000000,0.289000,24012000.000000,23503000.000000,23216000.000000,0.240000,0.230000,0.240000,115042000.000000,,115042000.000000,1560585452.000000,17.000000,16.440000,34218000.000000,0.393000,1.000000,35465000.000000,0.426000,0.000000,287000.000000,90807000.000000,,19381000.000000,0.000000,0.000000,0.000000,136781000.000000,56696000.000000,80085000.000000,33388000.000000,0.000000,145000.000000,-1250000.000000,0.000000,-830000.000000,-941000.000000,0.000000,35159000.000000,0.000000,20667000.000000,20667000.000000,20667000.000000,0.000000,0.000000,0.249000,11962000.000000,23503000.000000,31257000.000000,0.000000,14.472000,20.777000,20.330000,6178000.000000,0.000000,19.110000,5.295000,5.287000,38417000.000000,107390000.000000,83155000.000000,83155000.000000,5677000.000000,,,,,347000.000000,6285000.000000,1.000000,87122211.000000,87004000.000000,87004000.000000,0.956000,251823000.000000,1114000.000000,2549000.000000,12328000.000000,2.894000
ARQ,2013-06-30,2013-09-13,2013-06-30,2013-Q4,224053000.000000,2837804472.000000,2025-05-09,0.000000,292340000.000000,,283474000.000000,8866000.000000,,1.692000,-955000.000000,227826000.000000,227826000.000000,56868000.000000,28841000.000000,4.771000,0.983000,76129000.000000,5013000.000000,71116000.000000,76129000.000000,691000.000000,701000.000000,5123000.000000,0.006000,0.000000,33207000.000000,33908000.000000,0.335000,33908000.000000,33207000.000000,32926000.000000,0.330000,0.320000,0.330000,147436000.000000,,147436000.000000,2686107472.000000,29.000000,28.404000,45252000.000000,0.519000,1.000000,44364000.000000,0.438000,0.000000,281000.000000,81222000.000000,,15880000.000000,0.000000,0.000000,0.000000,144904000.000000,59421000.000000,85483000.000000,46137000.000000,0.000000,329000.000000,-1250000.000000,0.000000,885000.000000,-955000.000000,0.000000,46207000.000000,0.000000,28841000.000000,28841000.000000,28841000.000000,0.000000,0.000000,0.285000,11157000.000000,33207000.000000,36187000.000000,0.000000,19.248000,35.257000,35.593000,5976000.000000,0.000000,32.390000,8.845000,8.916000,35884000.000000,136231000.000000,101232000.000000,101232000.000000,5515000.000000,,,,,-782000.000000,5642000.000000,1.000000,87613599.000000,87150000.000000,87150000.000000,1.162000,292340000.000000,737000.000000,4085000.000000,15624000.000000,3.354000
ARQ,2013-09-30,2013-11-08,2013-09-30,2014-Q1,267098000.000000,3615115185.000000,2025-05-09,0.000000,343447000.000000,,334908000.000000,8539000.000000,,2.184000,-460000.000000,279729000.000000,279729000.000000,71664000.000000,40528000.000000,4.939000,0.799000,74889000.000000,5015000.000000,69874000.000000,74889000.000000,793000.000000,705000.000000,3578000.000000,0.004000,0.000000,45896000.000000,46601000.000000,0.359000,46601000.000000,45896000.000000,45650000.000000,0.460000,0.450000,0.460000,190864000.000000,,190864000.000000,3410275185.000000,28.000000,27.273000,51420000.000000,0.588000,1.000000,58023000.000000,0.447000,0.000000,246000.000000,70797000.000000,,16375000.000000,0.000000,0.000000,0.000000,152583000.000000,67810000.000000,84773000.000000,51903000.000000,0.000000,631000.000000,-1250000.000000,0.000000,483000.000000,-460000.000000,0.000000,51880000.000000,0.000000,40528000.000000,40528000.000000,40528000.000000,0.000000,0.000000,0.313000,12127000.000000,45896000.000000,44311000.000000,0.000000,18.941000,33.523000,33.537000,5834000.000000,0.000000,41.250000,9.294000,9.270000,35798000.000000,176759000.000000,129687000.000000,129687000.000000,6317000.000000,,,,,-345000.000000,5810000.000000,1.000000,87639156.000000,87411000.000000,87411000.000000,1.484000,343447000.000000,737000.000000,5122000.000000,16162000.000000,3.929000
ARQ,2013-12-31,2014-02-07,2013-12-31,2014-Q2,309531000.000000,3727397509.000000,2025-05-09,0.000000,392544000.000000,,382642000.000000,9902000.000000,,2.681000,-1502000.000000,305553000.000000,305553000.000000,77468000.000000,41792000.000000,5.234000,0.670000,73648000.000000,5642000.000000,68006000.000000,73648000.000000,898000.000000,625000.000000,3930000.000000,0.000000,0.000000,47120000.000000,47745000.000000,0.345000,47745000.000000,47120000.000000,46871000.000000,0.480000,0.470000,0.480000,235030000.000000,,235030000.000000,3495492509.000000,23.000000,22.956000,26122000.000000,0.298000,1.000000,60971000.000000,0.440000,0.000000,249000.000000,87528000.000000,,32323000.000000,0.000000,0.000000,0.000000,157514000.000000,73111000.000000,84403000.000000,25824000.000000,0.000000,371000.000000,-1250000.000000,0.000000,-298000.000000,-1502000.000000,0.000000,27624000.000000,0.000000,41792000.000000,41792000.000000,41792000.000000,0.000000,0.000000,0.302000,13851000.000000,47120000.000000,49688000.000000,0.000000,15.859000,28.275000,28.119000,6793000.000000,0.000000,42.460000,8.237000,8.225000,36809000.000000,218551000.000000,138439000.000000,138439000.000000,8077000.000000,,,,,343000.000000,5774000.000000,1.000000,87786093.000000,87661000.000000,87661000.000000,1.579000,392544000.000000,3536000.000000,5079000.000000,16397000.000000,4.478000
ARQ,2014-03-31,2014-05-09,2014-03-31,2014-Q3,356874000.000000,2764570500.000000,2025-05-09,0.000000,434573000.000000,,424737000.000000,9836000.000000,,3.230000,-1282000.000000,291670000.000000,291670000.000000,82719000.000000,45199000.000000,6.259000,0.531000,72408000.000000,6269000.000000,66139000.000000,72408000.000000,1126000.000000,708000.000000,4347000.000000,0.000000,0.000000,50135000.000000,50843000.000000,0.343000,50843000.000000,50135000.000000,49852000.000000,0.510000,0.500000,0.510000,283889000.000000,,283889000.000000,2545308500.000000,14.000000,14.212000,-15252000.000000,-0.174000,1.000000,65612000.000000,0.442000,0.000000,283000.000000,147448000.000000,,66004000.000000,0.000000,0.000000,0.000000,150684000.000000,67863000.000000,82821000.000000,-13883000.000000,0.000000,781000.000000,-1250000.000000,0.000000,1369000.000000,-1282000.000000,0.000000,-13970000.000000,0.000000,45199000.000000,45199000.000000,45199000.000000,0.000000,0.000000,0.305000,15477000.000000,50135000.000000,46375000.000000,0.000000,9.738000,17.681000,17.629000,7174000.000000,0.000000,31.380000,5.340000,5.328000,49530000.000000,263750000.000000,148331000.000000,148331000.000000,9413000.000000,,,,,-1647000.000000,6064000.000000,1.000000,88099761.000000,87901000.000000,87901000.000000,1.687000,434573000.000000,5955000.000000,4653000.000000,16682000.000000,4.944000
