dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2007-06-30,2007-10-24,2007-08-04,2008-Q2,74681000.000000,,2025-03-27,-76000.000000,397594000.000000,,194787000.000000,202807000.000000,,22.088000,,3165000.000000,3165000.000000,,,1.622000,1.440000,88826000.000000,33788000.000000,55038000.000000,88826000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,161007000.000000,,161007000.000000,,,,,,1.000000,,,0.000000,,363149000.000000,,148559000.000000,0.000000,0.000000,0.000000,231795000.000000,120106000.000000,111689000.000000,,,,,,,,,,,,,,,,,,,41010000.000000,,,,,196919000.000000,,,,,14295000.000000,-83336000.000000,,,,,,,,,,1.000000,56673125.000000,7289310.000000,,,397594000.000000,9601000.000000,,0.000000,54.545000
ARQ,2007-09-30,2007-12-13,2007-11-03,2008-Q3,88778000.000000,1054412049.000000,2025-03-27,-285000.000000,503052000.000000,,272394000.000000,230658000.000000,,19.427000,-31759000.000000,3512000.000000,3512000.000000,140156000.000000,4206000.000000,1.483000,1.544000,97000000.000000,41962000.000000,55038000.000000,97000000.000000,0.000000,9494000.000000,0.000000,0.000000,0.000000,7976000.000000,17470000.000000,0.084000,17470000.000000,7976000.000000,6669000.000000,0.060000,0.050000,0.060000,197743000.000000,,197743000.000000,1147900049.000000,,,-34694000.000000,-3.408000,1.000000,68079000.000000,0.327000,0.000000,1307000.000000,412924000.000000,,219453000.000000,0.000000,0.000000,0.000000,305309000.000000,183616000.000000,121693000.000000,347000.000000,0.000000,124047000.000000,8174000.000000,-93012000.000000,35041000.000000,-31759000.000000,0.000000,-2935000.000000,0.000000,4206000.000000,608000.000000,608000.000000,0.000000,0.000000,0.003000,60103000.000000,7976000.000000,85985000.000000,0.000000,5.332000,,,226533000.000000,3598000.000000,18.560000,,,16089000.000000,-82728000.000000,208235000.000000,208235000.000000,0.000000,,,,,457000.000000,55609000.000000,1.000000,56810994.000000,10179000.000000,12476000.000000,20.457000,503052000.000000,9739000.000000,2463000.000000,0.000000,49.421000
ARQ,2007-12-31,2008-04-16,2008-02-02,2008-Q4,117039000.000000,804779821.000000,2025-03-27,-719000.000000,469413000.000000,,228944000.000000,240469000.000000,,10.376000,-27218000.000000,3789000.000000,3789000.000000,212322000.000000,13604000.000000,2.046000,1.219000,74770000.000000,0.000000,74770000.000000,74770000.000000,0.000000,10906000.000000,0.000000,0.000000,0.000000,23940000.000000,34846000.000000,0.113000,34846000.000000,23940000.000000,22863000.000000,0.630000,0.430000,0.630000,211503000.000000,,211503000.000000,875760821.000000,19.000000,10.157000,22566000.000000,1.107000,1.000000,97022000.000000,0.314000,0.000000,1077000.000000,428489000.000000,,176109000.000000,0.000000,0.000000,0.000000,257910000.000000,111905000.000000,146005000.000000,277000.000000,0.000000,-92000.000000,-22230000.000000,0.000000,-22289000.000000,-27218000.000000,0.000000,49784000.000000,0.000000,13604000.000000,13604000.000000,13604000.000000,0.000000,0.000000,0.044000,73082000.000000,23940000.000000,52122000.000000,0.000000,3.805000,57.012000,20.464000,236389000.000000,0.000000,14.120000,0.882000,0.316000,20643000.000000,-69124000.000000,309344000.000000,309344000.000000,0.000000,,,,,615000.000000,70388000.000000,1.000000,56995738.000000,20383000.000000,53293000.000000,15.177000,469413000.000000,13299000.000000,9259000.000000,5064000.000000,23.030000
ARQ,2008-03-31,2008-06-17,2008-05-03,2009-Q1,126495000.000000,749882937.000000,2025-03-27,-576000.000000,526839000.000000,,267636000.000000,259203000.000000,,3.843000,-30545000.000000,3975000.000000,3975000.000000,165377000.000000,4275000.000000,1.896000,1.407000,104534000.000000,18143000.000000,86391000.000000,104534000.000000,0.000000,12018000.000000,0.000000,0.000000,0.000000,8084000.000000,20102000.000000,0.084000,20102000.000000,8084000.000000,7169000.000000,0.080000,0.070000,0.080000,218896000.000000,,218896000.000000,850441937.000000,,,-31962000.000000,-0.561000,1.000000,73921000.000000,0.309000,0.000000,915000.000000,486257000.000000,,212564000.000000,0.000000,0.000000,0.000000,307943000.000000,141141000.000000,166802000.000000,186000.000000,0.000000,1360000.000000,29764000.000000,0.000000,32148000.000000,-30545000.000000,0.000000,-1417000.000000,0.000000,4275000.000000,4275000.000000,4275000.000000,0.000000,0.000000,0.018000,65837000.000000,8084000.000000,66508000.000000,0.000000,3.426000,,,255123000.000000,0.000000,13.050000,,,19533000.000000,-64849000.000000,239298000.000000,239298000.000000,0.000000,,,,,-492000.000000,62065000.000000,1.000000,57462294.000000,56956000.000000,58980000.000000,4.201000,526839000.000000,13209000.000000,2894000.000000,6872000.000000,9.250000
ARQ,2008-06-30,2008-09-10,2008-08-02,2009-Q2,121574000.000000,788149793.000000,2025-03-27,-476000.000000,533667000.000000,,251209000.000000,282458000.000000,,3.906000,-37527000.000000,3255000.000000,3255000.000000,175965000.000000,3688000.000000,1.938000,1.379000,118156000.000000,31766000.000000,86390000.000000,118156000.000000,0.000000,12336000.000000,0.000000,0.000000,0.000000,7207000.000000,19543000.000000,0.078000,19543000.000000,7207000.000000,6191000.000000,0.060000,0.060000,0.060000,224351000.000000,,224351000.000000,903050793.000000,19.000000,9.820000,-15056000.000000,-0.262000,1.000000,73146000.000000,0.294000,0.000000,1016000.000000,518933000.000000,,197028000.000000,0.000000,0.000000,0.000000,309316000.000000,129635000.000000,179681000.000000,-720000.000000,0.000000,696000.000000,13622000.000000,0.000000,14336000.000000,-37527000.000000,0.000000,22471000.000000,0.000000,3688000.000000,3688000.000000,3688000.000000,0.000000,0.000000,0.015000,65939000.000000,7207000.000000,40630000.000000,0.000000,3.513000,35.542000,16.506000,278378000.000000,0.000000,13.700000,0.783000,0.782000,19164000.000000,-61161000.000000,249111000.000000,249111000.000000,0.000000,,,,,935000.000000,61889000.000000,1.000000,57529182.000000,57435000.000000,59012000.000000,4.337000,533667000.000000,13143000.000000,2503000.000000,4374000.000000,9.292000
ARQ,2008-09-30,2008-12-10,2008-11-01,2009-Q3,121424000.000000,489627996.000000,2025-03-27,-513000.000000,623312000.000000,,327112000.000000,296200000.000000,,4.013000,-28536000.000000,3648000.000000,3648000.000000,175368000.000000,5017000.000000,1.590000,1.697000,137980000.000000,51590000.000000,86390000.000000,137980000.000000,0.000000,13265000.000000,0.000000,0.000000,0.000000,9606000.000000,22871000.000000,0.090000,22871000.000000,9606000.000000,8482000.000000,0.090000,0.090000,0.090000,231108000.000000,,231108000.000000,623959996.000000,13.000000,6.409000,-20108000.000000,-0.349000,1.000000,79475000.000000,0.312000,0.000000,1124000.000000,551956000.000000,,268928000.000000,0.000000,0.000000,0.000000,392204000.000000,205688000.000000,186516000.000000,393000.000000,0.000000,154000.000000,19824000.000000,0.000000,20501000.000000,-28536000.000000,0.000000,8428000.000000,0.000000,5017000.000000,5017000.000000,5017000.000000,0.000000,0.000000,0.020000,69869000.000000,9606000.000000,97768000.000000,0.000000,2.119000,18.418000,9.872000,292120000.000000,0.000000,8.490000,0.465000,0.465000,20488000.000000,-56144000.000000,254843000.000000,254843000.000000,0.000000,,,,,636000.000000,65176000.000000,1.000000,57671142.000000,57591000.000000,59013000.000000,4.425000,623312000.000000,13168000.000000,3465000.000000,5798000.000000,10.823000
ARQ,2008-12-31,2009-04-02,2009-01-31,2009-Q4,159695000.000000,382845955.000000,2025-03-27,-631000.000000,568932000.000000,,276708000.000000,292224000.000000,,4.244000,-14255000.000000,3638000.000000,3638000.000000,240002000.000000,12288000.000000,2.365000,1.322000,106047000.000000,18000000.000000,88047000.000000,106047000.000000,0.000000,13826000.000000,0.000000,0.000000,0.000000,21404000.000000,35230000.000000,0.103000,35230000.000000,21404000.000000,20516000.000000,0.210000,0.210000,0.210000,244968000.000000,,244968000.000000,485254955.000000,10.000000,4.964000,31466000.000000,0.545000,1.000000,101392000.000000,0.297000,0.000000,888000.000000,554328000.000000,,213602000.000000,0.000000,0.000000,0.000000,323964000.000000,117013000.000000,206951000.000000,-10000.000000,0.000000,248000.000000,-31933000.000000,0.000000,-31476000.000000,-14255000.000000,0.000000,45721000.000000,0.000000,12288000.000000,12288000.000000,12288000.000000,0.000000,0.000000,0.036000,79988000.000000,21404000.000000,47811000.000000,0.000000,1.563000,15.151000,15.068000,292224000.000000,0.000000,6.630000,0.353000,0.351000,18268000.000000,-43856000.000000,341394000.000000,341394000.000000,0.000000,,,,,1024000.000000,78192000.000000,1.000000,57744488.000000,57716000.000000,58853000.000000,5.915000,568932000.000000,16906000.000000,8228000.000000,17616000.000000,9.857000
ARQ,2009-03-31,2009-06-11,2009-05-02,2010-Q1,175012000.000000,566241971.000000,2025-03-27,-524000.000000,570943000.000000,,284803000.000000,286140000.000000,,4.352000,-12320000.000000,3840000.000000,3840000.000000,189482000.000000,4920000.000000,2.594000,1.272000,100581000.000000,12534000.000000,88047000.000000,100581000.000000,0.000000,15365000.000000,0.000000,0.000000,0.000000,8954000.000000,24319000.000000,0.090000,24319000.000000,8954000.000000,8283000.000000,0.090000,0.080000,0.090000,251321000.000000,,251321000.000000,662982971.000000,14.000000,6.502000,5637000.000000,0.098000,1.000000,79343000.000000,0.295000,0.000000,671000.000000,557893000.000000,,230286000.000000,0.000000,0.000000,0.000000,319622000.000000,109791000.000000,209831000.000000,202000.000000,0.000000,31000.000000,-5466000.000000,0.000000,-5435000.000000,-12320000.000000,0.000000,17957000.000000,0.000000,4920000.000000,4920000.000000,4920000.000000,0.000000,0.000000,0.018000,70389000.000000,8954000.000000,53500000.000000,0.000000,2.253000,21.852000,21.778000,286140000.000000,0.000000,9.800000,0.508000,0.508000,12392000.000000,-38936000.000000,268825000.000000,268825000.000000,0.000000,,,,,1295000.000000,69194000.000000,1.000000,57779793.000000,57743000.000000,58750000.000000,4.656000,570943000.000000,14085000.000000,3363000.000000,17616000.000000,9.888000
ARQ,2009-06-30,2009-09-10,2009-08-01,2010-Q2,138745000.000000,815958677.000000,2025-03-27,-367000.000000,547957000.000000,,259420000.000000,288537000.000000,,4.480000,-17436000.000000,3663000.000000,3663000.000000,195028000.000000,5750000.000000,2.150000,1.115000,65451000.000000,23086000.000000,42365000.000000,65451000.000000,0.000000,15995000.000000,0.000000,0.000000,0.000000,10236000.000000,26231000.000000,0.096000,26231000.000000,10236000.000000,9591000.000000,0.100000,0.100000,0.100000,259056000.000000,,259056000.000000,877746677.000000,17.000000,8.079000,34478000.000000,0.596000,1.000000,78511000.000000,0.287000,0.000000,645000.000000,489070000.000000,,209152000.000000,0.000000,0.000000,0.000000,288901000.000000,120675000.000000,168226000.000000,-177000.000000,0.000000,192000.000000,-35130000.000000,0.000000,-34655000.000000,-17436000.000000,0.000000,51914000.000000,0.000000,5750000.000000,5750000.000000,5750000.000000,0.000000,0.000000,0.021000,68275000.000000,10236000.000000,40393000.000000,0.000000,3.150000,29.167000,28.755000,288537000.000000,0.000000,14.090000,0.717000,0.716000,13135000.000000,-33186000.000000,273539000.000000,273539000.000000,0.000000,,,,,1070000.000000,66265000.000000,1.000000,57910481.000000,57819000.000000,59045000.000000,4.731000,547957000.000000,8097000.000000,3841000.000000,21462000.000000,9.477000
ARQ,2009-09-30,2009-12-10,2009-10-31,2010-Q3,131835000.000000,1013328720.000000,2025-03-27,-189000.000000,621229000.000000,,327483000.000000,293746000.000000,,4.661000,-19634000.000000,3795000.000000,3795000.000000,193498000.000000,8460000.000000,1.674000,1.299000,39162000.000000,14635000.000000,24527000.000000,39162000.000000,0.000000,15406000.000000,0.000000,0.000000,0.000000,14691000.000000,30097000.000000,0.106000,30097000.000000,14691000.000000,14250000.000000,0.150000,0.140000,0.150000,270254000.000000,,270254000.000000,1048695720.000000,19.000000,9.050000,25427000.000000,0.439000,1.000000,90545000.000000,0.319000,0.000000,441000.000000,460948000.000000,,273978000.000000,0.000000,0.000000,0.000000,350975000.000000,195648000.000000,155327000.000000,132000.000000,0.000000,675000.000000,-26289000.000000,0.000000,-25295000.000000,-19634000.000000,0.000000,45061000.000000,0.000000,8460000.000000,8460000.000000,8460000.000000,0.000000,0.000000,0.030000,75854000.000000,14691000.000000,117520000.000000,0.000000,3.750000,32.253000,31.709000,293746000.000000,0.000000,17.440000,0.868000,0.866000,13340000.000000,-24726000.000000,284043000.000000,284043000.000000,0.000000,,,,,1247000.000000,73671000.000000,1.000000,58103711.000000,57979000.000000,59376000.000000,4.899000,621229000.000000,7984000.000000,5790000.000000,23298000.000000,10.715000
