dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1994-12-31,1995-03-28,1994-12-31,1994-Q4,1243913000.000000,8408505774.000000,2025-05-07,-43765000.000000,3489479000.000000,,1908215000.000000,1581264000.000000,,1.994000,,1519049000.000000,1519049000.000000,,,2.873000,0.248000,24275000.000000,0.000000,24275000.000000,24275000.000000,70718000.000000,,0.000000,0.001000,0.004000,,,,,,,,,,2795456000.000000,,2795456000.000000,6913731774.000000,4.000000,3.621000,,,1.000000,,,303613000.000000,,1026790000.000000,,0.000000,1250341000.000000,135287000.000000,1115054000.000000,694023000.000000,664302000.000000,29721000.000000,,,,,,,,,,,,,,,,,,,510497000.000000,,3.008000,5.050000,5.116000,162597000.000000,,6.077000,2.231000,2.260000,167369000.000000,2085056000.000000,,,,,,,,,,1.000000,1383546816.000000,1401672000.000000,,,3185866000.000000,0.000000,,0.000000,2.273000
ARQ,1995-03-31,1995-05-12,1995-03-31,1995-Q1,455627000.000000,6559872409.000000,2025-05-07,-26792000.000000,3700831000.000000,,1221751000.000000,2479080000.000000,,2.058000,-25574000.000000,594314000.000000,594314000.000000,783501000.000000,89432000.000000,1.595000,0.275000,25142000.000000,0.000000,25142000.000000,25142000.000000,87911000.000000,19665000.000000,0.000000,0.001000,0.004000,142490000.000000,162155000.000000,0.147000,162155000.000000,142490000.000000,142310000.000000,0.064000,0.064000,0.064000,2903719000.000000,,2903719000.000000,5990700409.000000,,,80361000.000000,0.057000,1.000000,320334000.000000,0.290000,809618000.000000,180000.000000,1555917000.000000,,0.000000,1839509000.000000,350759000.000000,1488750000.000000,797112000.000000,766124000.000000,30988000.000000,-924735000.000000,-546054000.000000,4342000.000000,198000.000000,0.000000,4540000.000000,-1035210000.000000,-461025000.000000,105935000.000000,0.000000,89432000.000000,89432000.000000,89432000.000000,0.000000,0.000000,0.081000,177243000.000000,143091000.000000,582907000.000000,0.062000,2.259000,,,180712000.000000,0.000000,4.735000,,,202080000.000000,2169297000.000000,1103835000.000000,1103835000.000000,0.000000,,,,,0.000000,157578000.000000,1.000000,1385400720.000000,1411224000.000000,1411224000.000000,0.782000,2891213000.000000,0.000000,52878000.000000,0.000000,2.049000
ARQ,1995-06-30,1995-08-14,1995-06-30,1995-Q2,600452000.000000,7202058072.000000,2025-05-07,-4693000.000000,3755986000.000000,,1304115000.000000,2451871000.000000,,2.145000,-18774000.000000,672258000.000000,672258000.000000,824161000.000000,89879000.000000,1.853000,0.241000,20545000.000000,0.000000,20545000.000000,20545000.000000,93534000.000000,20384000.000000,0.000000,0.001000,0.000000,143353000.000000,163737000.000000,0.141000,163737000.000000,143353000.000000,142975000.000000,0.064000,0.064000,0.064000,3025404000.000000,,3025404000.000000,6550345072.000000,,,22057000.000000,0.016000,1.000000,333784000.000000,0.288000,807947000.000000,378000.000000,1592663000.000000,,0.000000,1815247000.000000,358914000.000000,1456333000.000000,730582000.000000,703663000.000000,26919000.000000,77944000.000000,0.000000,6897000.000000,-4792000.000000,-5192000.000000,-3087000.000000,40200000.000000,65007000.000000,40831000.000000,0.000000,89879000.000000,89879000.000000,89879000.000000,0.000000,0.000000,0.078000,189903000.000000,143881000.000000,557134000.000000,0.000000,2.381000,,,187591000.000000,0.000000,5.188000,,,217681000.000000,2259175000.000000,1157945000.000000,1157945000.000000,0.000000,,,,,0.000000,169519000.000000,1.000000,1388348544.000000,1410432000.000000,1410432000.000000,0.821000,2948039000.000000,0.000000,53096000.000000,0.000000,2.090000
ARQ,1995-09-30,1995-11-14,1995-09-30,1995-Q3,1157552000.000000,10153342621.000000,2025-05-07,-6915000.000000,3896871000.000000,,1893701000.000000,2003170000.000000,,2.208000,-21698000.000000,1307531000.000000,1307531000.000000,872358000.000000,93670000.000000,2.572000,0.246000,26189000.000000,0.000000,26189000.000000,26189000.000000,95251000.000000,19343000.000000,0.000000,0.001000,0.000000,149471000.000000,168814000.000000,0.139000,168814000.000000,149471000.000000,149325000.000000,0.066000,0.066000,0.066000,3127512000.000000,,3127512000.000000,8872000621.000000,,,99021000.000000,0.070000,1.000000,343178000.000000,0.282000,803551000.000000,146000.000000,1075829000.000000,,0.000000,1278051000.000000,276467000.000000,1001584000.000000,769359000.000000,736149000.000000,33210000.000000,635273000.000000,0.000000,7045000.000000,-383000.000000,0.000000,6662000.000000,507892000.000000,535661000.000000,120719000.000000,0.000000,93670000.000000,93670000.000000,93670000.000000,0.000000,0.000000,0.077000,192610000.000000,150568000.000000,567649000.000000,0.000000,3.246000,,,198035000.000000,0.000000,7.265000,,,253053000.000000,2352845000.000000,1215536000.000000,1215536000.000000,0.000000,,,,,0.000000,173267000.000000,1.000000,1397569528.000000,1416560000.000000,1416560000.000000,0.858000,3093320000.000000,0.000000,55655000.000000,0.000000,2.184000
ARQ,1995-12-31,1996-04-01,1995-12-31,1995-Q4,433125000.000000,11254388887.000000,2025-05-07,5199000.000000,6160986000.000000,,2867121000.000000,3293865000.000000,,2.215000,-43184000.000000,940110000.000000,940110000.000000,1450913000.000000,12983000.000000,1.178000,0.933000,0.000000,0.000000,0.000000,0.000000,173481000.000000,35066000.000000,0.000000,0.000000,0.004000,21626000.000000,56692000.000000,0.026000,56692000.000000,21626000.000000,21559000.000000,0.003000,0.003000,0.003000,3188020000.000000,,3188020000.000000,10314278887.000000,23.000000,18.706000,123606000.000000,0.086000,1.000000,742649000.000000,0.339000,1751743000.000000,67000.000000,1035137000.000000,,0.000000,2447455000.000000,1172985000.000000,1274470000.000000,2972966000.000000,2433996000.000000,538970000.000000,-367421000.000000,-423338000.000000,23090000.000000,1331000.000000,0.000000,24421000.000000,-558632000.000000,-107732000.000000,166790000.000000,0.000000,12983000.000000,5795000.000000,5795000.000000,0.000000,0.000000,0.003000,719404000.000000,23245000.000000,1236217000.000000,1.333000,3.530000,40.371000,40.893000,267652000.000000,7188000.000000,8.015000,1.985000,2.006000,550313000.000000,2358640000.000000,2193562000.000000,2193562000.000000,0.000000,,,,,0.000000,530542000.000000,1.000000,1404165800.000000,1439416000.000000,1439416000.000000,1.524000,4409243000.000000,0.000000,8576000.000000,0.000000,3.063000
ARQ,1996-03-31,1996-05-15,1996-03-31,1996-Q1,507348000.000000,10025956765.000000,2025-05-07,-8950000.000000,6404391000.000000,,2942451000.000000,3461940000.000000,,2.378000,-22015000.000000,1040492000.000000,1040492000.000000,1585369000.000000,118946000.000000,1.208000,0.866000,0.000000,0.000000,0.000000,0.000000,103644000.000000,31101000.000000,0.000000,0.001000,0.004000,192672000.000000,223773000.000000,0.097000,223773000.000000,192672000.000000,192421000.000000,0.077000,0.077000,0.077000,3433036000.000000,,3433036000.000000,8985464765.000000,18.000000,14.658000,139986000.000000,0.097000,1.000000,732741000.000000,0.316000,1856758000.000000,251000.000000,1072038000.000000,,0.000000,2417812000.000000,1070990000.000000,1346822000.000000,2971355000.000000,2435103000.000000,536252000.000000,100382000.000000,34788000.000000,6696000.000000,0.000000,0.000000,-492000.000000,-61127000.000000,-74349000.000000,162001000.000000,0.000000,118946000.000000,111758000.000000,111758000.000000,0.000000,0.000000,0.048000,539135000.000000,193606000.000000,1289074000.000000,0.052000,2.920000,33.298000,32.738000,258360000.000000,7188000.000000,6.875000,1.456000,1.442000,611138000.000000,2465066000.000000,2318110000.000000,2318110000.000000,0.000000,,,,,0.000000,508034000.000000,1.000000,1458320984.000000,1443760000.000000,1443760000.000000,1.606000,4547633000.000000,0.000000,73475000.000000,0.000000,3.150000
ARQ,1996-06-30,1996-08-14,1996-06-30,1996-Q2,516188000.000000,6940475854.000000,2025-05-07,-15484000.000000,6495222000.000000,,2860470000.000000,3634752000.000000,,2.413000,-52697000.000000,995679000.000000,995679000.000000,1820949000.000000,50320000.000000,1.220000,0.802000,0.000000,0.000000,0.000000,0.000000,93395000.000000,31929000.000000,0.000000,0.001000,0.000000,82656000.000000,114585000.000000,0.046000,114585000.000000,82656000.000000,82397000.000000,0.029000,0.029000,0.029000,3603885000.000000,,3603885000.000000,5944796854.000000,13.000000,10.543000,-160401000.000000,-0.107000,1.000000,671234000.000000,0.269000,1940956000.000000,259000.000000,1214305000.000000,,0.000000,2303015000.000000,906446000.000000,1396569000.000000,2891337000.000000,2344282000.000000,547055000.000000,-44813000.000000,24348000.000000,18100000.000000,-544000.000000,-5334000.000000,5034000.000000,57857000.000000,83634000.000000,-107704000.000000,0.000000,50320000.000000,43132000.000000,43132000.000000,0.000000,0.000000,0.017000,588727000.000000,82507000.000000,1416870000.000000,0.000000,1.926000,27.287000,26.964000,297227000.000000,7188000.000000,4.719000,0.844000,0.857000,618323000.000000,2508196000.000000,2492183000.000000,2492183000.000000,0.000000,,,,,0.000000,541830000.000000,1.000000,1470829320.000000,1493256000.000000,1493256000.000000,1.669000,4554266000.000000,0.000000,32077000.000000,0.000000,3.050000
ARQ,1996-09-30,1996-11-14,1996-09-30,1996-Q3,352055000.000000,7983543410.000000,2025-05-07,-12790000.000000,6701279000.000000,,2803073000.000000,3898206000.000000,,2.481000,-36140000.000000,732025000.000000,732025000.000000,1856364000.000000,91227000.000000,1.144000,0.804000,0.000000,0.000000,0.000000,0.000000,97574000.000000,33909000.000000,0.000000,0.001000,0.000000,149544000.000000,183453000.000000,0.071000,183453000.000000,149544000.000000,149461000.000000,0.056000,0.056000,0.056000,3714666000.000000,,3714666000.000000,7251518410.000000,16.000000,12.535000,291408000.000000,0.195000,1.000000,730994000.000000,0.283000,2057268000.000000,83000.000000,1460968000.000000,,0.000000,2745061000.000000,1214392000.000000,1530669000.000000,2986613000.000000,2451018000.000000,535595000.000000,-263654000.000000,-111000000.000000,4727000.000000,0.000000,0.000000,-2461000.000000,-588741000.000000,-426864000.000000,327548000.000000,0.000000,91227000.000000,84039000.000000,84039000.000000,0.000000,0.000000,0.032000,581595000.000000,149399000.000000,1527126000.000000,0.000000,2.149000,32.623000,32.864000,310269000.000000,7188000.000000,5.423000,0.832000,0.846000,648734000.000000,2592204000.000000,2587358000.000000,2587358000.000000,0.000000,,,,,0.000000,547686000.000000,1.000000,1472299384.000000,1497040000.000000,1497040000.000000,1.728000,4644011000.000000,0.000000,58234000.000000,0.000000,3.102000
ARQ,1996-12-31,1997-03-28,1996-12-31,1996-Q4,96882000.000000,9372820402.000000,2025-05-07,-6992000.000000,6996630000.000000,,2739664000.000000,4256966000.000000,,2.538000,-54371000.000000,1036716000.000000,1036716000.000000,1916997000.000000,95143000.000000,1.037000,0.830000,0.000000,0.000000,0.000000,0.000000,228258000.000000,36227000.000000,0.000000,0.000000,0.000000,155954000.000000,192181000.000000,0.072000,192181000.000000,155954000.000000,155955000.000000,0.059000,0.059000,0.059000,3823087000.000000,,3823087000.000000,8336104402.000000,14.000000,11.675000,126043000.000000,0.084000,1.000000,759142000.000000,0.284000,2139009000.000000,-1000.000000,1178123000.000000,,0.000000,2570635000.000000,765662000.000000,1804973000.000000,3173543000.000000,2642782000.000000,530761000.000000,304691000.000000,0.000000,12040000.000000,-76000.000000,0.000000,4776000.000000,119501000.000000,163660000.000000,180414000.000000,0.000000,95143000.000000,87955000.000000,87955000.000000,0.000000,0.000000,0.033000,603213000.000000,155929000.000000,1589188000.000000,0.000000,2.452000,28.673000,28.693000,312984000.000000,7188000.000000,6.312000,0.930000,0.932000,605801000.000000,2680191000.000000,2676139000.000000,2676139000.000000,0.000000,,,,,0.000000,566986000.000000,1.000000,1484803232.000000,1506320000.000000,1506320000.000000,1.777000,4857621000.000000,0.000000,60812000.000000,0.000000,3.225000
ARQ,1997-03-31,1997-05-15,1997-03-31,1997-Q1,-70261000.000000,9452028602.000000,2025-05-07,-20608000.000000,7062608000.000000,,2529481000.000000,4533127000.000000,,2.597000,-32820000.000000,903965000.000000,903965000.000000,2064020000.000000,108879000.000000,0.973000,0.795000,0.000000,0.000000,0.000000,0.000000,111549000.000000,33607000.000000,0.000000,0.001000,0.004000,178534000.000000,212141000.000000,0.074000,212141000.000000,178534000.000000,178411000.000000,0.068000,0.068000,0.068000,3934041000.000000,,3934041000.000000,8548063602.000000,15.000000,12.170000,-12784000.000000,-0.008000,1.000000,787091000.000000,0.276000,2129595000.000000,123000.000000,1429306000.000000,,0.000000,2661284000.000000,579881000.000000,2081403000.000000,3128567000.000000,2599742000.000000,528825000.000000,-132751000.000000,0.000000,17390000.000000,0.000000,0.000000,10202000.000000,-162989000.000000,-132994000.000000,20036000.000000,0.000000,108879000.000000,101691000.000000,101691000.000000,0.000000,0.000000,0.036000,608681000.000000,178410000.000000,1749162000.000000,0.059000,2.403000,29.834000,30.065000,322129000.000000,7188000.000000,6.344000,0.891000,0.906000,681545000.000000,2776311000.000000,2851111000.000000,2851111000.000000,0.000000,,,,,0.000000,575074000.000000,1.000000,1489974952.000000,1514640000.000000,1514640000.000000,1.882000,4933013000.000000,0.000000,69532000.000000,0.000000,3.257000
