dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2016-12-31,2017-04-24,2016-12-31,2016-Q4,18904000.000000,,2025-05-12,0.000000,23056000.000000,,22041000.000000,1015000.000000,,7.073000,,21362000.000000,21362000.000000,,,7.026000,0.414000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,16307000.000000,,16307000.000000,,,,,,1.000000,,,0.000000,,-1443000.000000,,105000.000000,119000.000000,95000.000000,24000.000000,6749000.000000,3137000.000000,3612000.000000,,,,,,,,,,,,,,,,,,,1880000.000000,,,,,741000.000000,,,,,83000.000000,-27214000.000000,,,,,,,,,,1.000000,13010000.000000,2305503.000000,,,23056000.000000,0.000000,,0.000000,10.000000
ARQ,2017-06-30,2017-08-14,2017-06-30,2017-Q2,73336000.000000,239644200.000000,2025-05-12,0.000000,79038000.000000,,78302000.000000,736000.000000,,8.047000,-20000.000000,77093000.000000,77093000.000000,0.000000,-6199000.000000,15.768000,0.067000,0.000000,0.000000,0.000000,0.000000,311000.000000,87000.000000,0.000000,0.000000,0.000000,-5951000.000000,-5864000.000000,,-5864000.000000,-5951000.000000,-6199000.000000,-0.700000,-0.700000,-0.700000,74072000.000000,,74072000.000000,162551200.000000,,,-3481000.000000,-0.378000,1.000000,0.000000,,0.000000,248000.000000,-3021000.000000,,398000.000000,126000.000000,97000.000000,29000.000000,4966000.000000,4966000.000000,0.000000,58666000.000000,,61766000.000000,,,62148000.000000,-21000.000000,,-3461000.000000,0.000000,-6199000.000000,-6199000.000000,-6199000.000000,0.000000,0.000000,,5951000.000000,-5951000.000000,3543000.000000,0.000000,3.235000,,,707000.000000,0.000000,18.420000,,,10000.000000,-36830000.000000,0.000000,0.000000,3651000.000000,,,,,1576000.000000,2300000.000000,1.000000,13010000.000000,9204405.000000,9204405.000000,0.000000,79038000.000000,0.000000,0.000000,0.000000,8.587000
ARQ,2017-09-30,2017-11-14,2017-09-30,2017-Q3,75522000.000000,548761800.000000,2025-05-12,0.000000,81188000.000000,,80449000.000000,739000.000000,,5.843000,-20000.000000,79171000.000000,79171000.000000,295000.000000,-298000.000000,16.328000,0.065000,0.000000,0.000000,0.000000,0.000000,300000.000000,17000.000000,0.000000,0.000000,0.000000,-303000.000000,-286000.000000,-0.037000,-286000.000000,-303000.000000,-298000.000000,-0.020000,-0.020000,-0.020000,76261000.000000,,76261000.000000,469590800.000000,,,2577000.000000,0.197000,1.000000,7517000.000000,0.962000,0.000000,-5000.000000,-2910000.000000,,137000.000000,226000.000000,197000.000000,29000.000000,4927000.000000,4927000.000000,0.000000,2078000.000000,,-728000.000000,,,-399000.000000,-120000.000000,,2597000.000000,0.000000,-298000.000000,-298000.000000,-298000.000000,0.000000,0.000000,-0.038000,7820000.000000,-303000.000000,3488000.000000,0.000000,7.196000,,,710000.000000,0.000000,42.180000,,,34000.000000,-37128000.000000,7812000.000000,7812000.000000,5621000.000000,,,,,2158000.000000,2199000.000000,1.000000,13010000.000000,13051117.000000,13051117.000000,0.599000,81188000.000000,0.000000,0.000000,0.000000,6.221000
ARQ,2017-12-31,2018-03-15,2017-12-31,2017-Q4,67437000.000000,775303368.000000,2025-05-12,0.000000,75550000.000000,,74472000.000000,1078000.000000,,7.051000,-153000.000000,36999000.000000,36999000.000000,287000.000000,-10086000.000000,10.586000,0.103000,0.000000,0.000000,0.000000,0.000000,650000.000000,58000.000000,0.000000,0.000000,0.000000,-10158000.000000,-10100000.000000,-30.887000,-10100000.000000,-10158000.000000,-10067000.000000,-0.830000,-0.830000,-0.830000,68515000.000000,,68515000.000000,738304368.000000,-37.000000,-37.396000,-6115000.000000,-0.629000,1.000000,40000.000000,0.122000,0.000000,-91000.000000,31516000.000000,,316000.000000,36228000.000000,36199000.000000,29000.000000,7035000.000000,7035000.000000,0.000000,-42172000.000000,,277000.000000,,,-56000.000000,-36154000.000000,,-5962000.000000,0.000000,-10086000.000000,-10086000.000000,-10086000.000000,0.000000,0.000000,-30.844000,10198000.000000,-10158000.000000,4435000.000000,0.000000,11.316000,-38.765000,-26.346000,805000.000000,0.000000,56.380000,95.036000,67.153000,0.000000,-47214000.000000,327000.000000,327000.000000,6761000.000000,,,,,2269000.000000,3437000.000000,1.000000,13751390.000000,9716790.000000,9716790.000000,0.034000,75550000.000000,0.000000,19000.000000,0.000000,7.775000
ARQ,2017-12-31,2018-03-16,2017-12-31,2017-Q4,67437000.000000,745187824.000000,2025-05-12,0.000000,75550000.000000,,74472000.000000,1078000.000000,,5.033000,,36999000.000000,36999000.000000,287000.000000,-10067000.000000,10.586000,0.103000,0.000000,0.000000,0.000000,0.000000,650000.000000,,0.000000,0.000000,0.000000,-10158000.000000,,,,-10158000.000000,-10067000.000000,-0.740000,-0.740000,-0.740000,68515000.000000,,68515000.000000,708188824.000000,-35.000000,,,,1.000000,40000.000000,0.122000,0.000000,-91000.000000,31516000.000000,,316000.000000,36228000.000000,36199000.000000,29000.000000,7035000.000000,7035000.000000,0.000000,,,,,,,,,,,-10067000.000000,-10067000.000000,-10067000.000000,0.000000,0.000000,-30.786000,10198000.000000,-10158000.000000,4435000.000000,0.000000,10.876000,-37.259000,-25.322000,805000.000000,0.000000,54.190000,91.344000,64.544000,0.000000,-47214000.000000,327000.000000,327000.000000,6761000.000000,,,,,,3437000.000000,1.000000,13751390.000000,13612814.000000,13612814.000000,0.024000,75550000.000000,0.000000,0.000000,0.000000,5.550000
ARQ,2018-03-31,2018-05-15,2018-03-31,2018-Q1,123201000.000000,827008595.000000,2025-05-12,0.000000,129402000.000000,,128736000.000000,666000.000000,,8.113000,-72000.000000,127460000.000000,127460000.000000,430000.000000,-13382000.000000,23.259000,0.045000,0.000000,0.000000,0.000000,0.000000,196000.000000,240000.000000,0.000000,0.000000,0.000000,-13382000.000000,-13142000.000000,-27.322000,-13142000.000000,-13382000.000000,-13382000.000000,-0.880000,-0.880000,-0.880000,123867000.000000,,123867000.000000,699548595.000000,-23.000000,-23.801000,-9696000.000000,-0.635000,1.000000,51000.000000,0.106000,0.000000,0.000000,-3593000.000000,,349000.000000,226000.000000,197000.000000,29000.000000,5535000.000000,5535000.000000,0.000000,90461000.000000,,64256000.000000,,,64256000.000000,35829000.000000,35901000.000000,-9624000.000000,0.000000,-13382000.000000,-13382000.000000,-13382000.000000,0.000000,0.000000,-27.821000,13691000.000000,-13640000.000000,4048000.000000,0.000000,6.677000,-27.617000,-25.701000,637000.000000,0.000000,60.140000,95.941000,106.521000,4000.000000,-60596000.000000,481000.000000,481000.000000,7622000.000000,,,,,4541000.000000,6069000.000000,1.000000,13751390.000000,15267939.000000,15267939.000000,0.032000,129402000.000000,0.000000,0.000000,0.000000,8.475000
ARQ,2018-06-30,2018-08-14,2018-06-30,2018-Q2,112752000.000000,612761938.000000,2025-05-12,0.000000,121502000.000000,,120704000.000000,798000.000000,,7.194000,-132000.000000,119109000.000000,119109000.000000,318000.000000,-18026000.000000,15.179000,0.070000,0.000000,0.000000,0.000000,0.000000,86000.000000,51000.000000,0.000000,0.000000,0.000000,-18434000.000000,-18383000.000000,-50.503000,-18383000.000000,-18434000.000000,-18026000.000000,-1.140000,-1.140000,-1.140000,113550000.000000,,113550000.000000,493652938.000000,-12.000000,-11.779000,-8279000.000000,-0.525000,1.000000,46000.000000,0.126000,0.000000,-408000.000000,-5559000.000000,,142000.000000,277000.000000,197000.000000,80000.000000,7952000.000000,7952000.000000,0.000000,-8351000.000000,,-21000.000000,,,-21000.000000,-183000.000000,0.000000,-8147000.000000,0.000000,-18026000.000000,-18026000.000000,-18026000.000000,0.000000,0.000000,-49.522000,18480000.000000,-18434000.000000,5655000.000000,0.000000,5.396000,-14.669000,-16.029000,718000.000000,0.000000,44.560000,68.206000,78.289000,232000.000000,-78622000.000000,364000.000000,364000.000000,8273000.000000,,,,,7709000.000000,10207000.000000,1.000000,13751390.000000,15784393.000000,15784393.000000,0.023000,121502000.000000,0.000000,0.000000,0.000000,7.698000
ARQ,2018-09-30,2018-11-13,2018-09-30,2018-Q3,102496000.000000,646315330.000000,2025-05-12,0.000000,112558000.000000,,111471000.000000,1087000.000000,,6.437000,-332000.000000,109483000.000000,109483000.000000,1055000.000000,-20533000.000000,12.420000,0.087000,0.000000,0.000000,0.000000,0.000000,0.000000,58000.000000,0.000000,0.000000,0.000000,-21089000.000000,-21031000.000000,-74.314000,-21031000.000000,-21089000.000000,-20533000.000000,-1.280000,-1.280000,-1.280000,103583000.000000,,103583000.000000,536832330.000000,-9.000000,-8.568000,-9611000.000000,-0.597000,1.000000,-772000.000000,-2.728000,0.000000,-556000.000000,-5900000.000000,,0.000000,278000.000000,197000.000000,81000.000000,8975000.000000,8975000.000000,0.000000,-9626000.000000,,-14000.000000,,,-14000.000000,-333000.000000,0.000000,-9279000.000000,0.000000,-20533000.000000,-20533000.000000,-20533000.000000,0.000000,0.000000,-72.555000,20317000.000000,-21089000.000000,6291000.000000,0.000000,6.240000,-10.423000,-11.634000,992000.000000,0.000000,47.000000,444.203000,519.829000,112000.000000,-99154000.000000,283000.000000,283000.000000,9574000.000000,,,,,9515000.000000,10743000.000000,1.000000,13751390.000000,16092583.000000,16092583.000000,0.018000,112558000.000000,0.000000,0.000000,0.000000,6.994000
ARQ,2018-12-31,2019-02-28,2018-12-31,2018-Q4,88778000.000000,787933527.000000,2025-05-12,0.000000,103559000.000000,,102243000.000000,1316000.000000,,5.683000,-24000.000000,101318000.000000,101318000.000000,0.000000,-23717000.000000,7.593000,0.149000,0.000000,0.000000,0.000000,0.000000,0.000000,68000.000000,0.000000,0.000000,0.000000,-23917000.000000,-23849000.000000,,-23849000.000000,-23917000.000000,-23592000.000000,-1.500000,-1.500000,-1.500000,90094000.000000,,90094000.000000,686615527.000000,-9.000000,-8.945000,-10308000.000000,-0.650000,1.000000,0.000000,,0.000000,-325000.000000,-11224000.000000,,0.000000,304000.000000,253000.000000,51000.000000,13465000.000000,13465000.000000,0.000000,-8110000.000000,,2200000.000000,,,2200000.000000,-26000.000000,0.000000,-10284000.000000,0.000000,-23717000.000000,-23717000.000000,-23717000.000000,0.000000,0.000000,,24017000.000000,-24017000.000000,8540000.000000,0.000000,8.746000,-10.415000,-8.017000,948000.000000,0.000000,38.480000,698.523000,537.430000,0.000000,-122871000.000000,0.000000,0.000000,11465000.000000,,,,,8877000.000000,12552000.000000,1.000000,20476443.000000,15852437.000000,15852437.000000,0.000000,103559000.000000,0.000000,125000.000000,0.000000,6.533000
ARQ,2019-03-31,2019-05-09,2019-03-31,2019-Q1,238018000.000000,794441113.000000,2025-05-12,0.000000,252052000.000000,,248295000.000000,3757000.000000,,12.388000,-44000.000000,246692000.000000,246692000.000000,0.000000,-21444000.000000,24.160000,0.052000,2184000.000000,0.000000,2184000.000000,2184000.000000,0.000000,63000.000000,0.000000,0.000000,0.000000,-21444000.000000,-21381000.000000,,-21381000.000000,-21444000.000000,-21444000.000000,-1.110000,-1.110000,-1.110000,239591000.000000,,239591000.000000,549933113.000000,-6.000000,-6.497000,-17978000.000000,-0.930000,1.000000,0.000000,,0.000000,0.000000,-2733000.000000,,0.000000,458000.000000,407000.000000,51000.000000,12461000.000000,10277000.000000,2184000.000000,145528000.000000,0.000000,163506000.000000,0.000000,0.000000,163506000.000000,-44000.000000,0.000000,-17934000.000000,0.000000,-21444000.000000,-21444000.000000,-21444000.000000,0.000000,0.000000,,22433000.000000,-22433000.000000,5942000.000000,0.000000,3.316000,-9.489000,-7.596000,929000.000000,0.000000,38.210000,1227.884000,1142.171000,0.000000,-144315000.000000,0.000000,0.000000,9726000.000000,,,,,7447000.000000,12707000.000000,1.000000,20791445.000000,19340082.000000,19340082.000000,0.000000,252052000.000000,0.000000,0.000000,0.000000,13.033000
