dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1999-03-31,1999-06-15,1999-03-31,1999-Q1,13550379.000000,,2025-04-30,0.000000,17764757.000000,,15536840.000000,2227917.000000,,0.754000,-126444.000000,15429340.000000,15429340.000000,0.000000,-12237993.000000,7.821000,0.149000,313370.000000,4189.000000,309181.000000,313370.000000,0.000000,23782.000000,0.000000,,0.000000,-12227567.000000,-12203785.000000,-227.047000,-12203785.000000,-12227567.000000,-12234539.000000,-0.595000,-0.595000,-0.595000,15467776.000000,,15467776.000000,,,,-3153411.000000,-0.154000,1.000000,53750.000000,1.000000,0.000000,6972.000000,662326.000000,,0.000000,516916.000000,0.000000,516916.000000,2296981.000000,1986461.000000,310520.000000,8650273.000000,0.000000,1995316.000000,-1362.000000,0.000000,1787904.000000,9889336.000000,10015780.000000,-3026967.000000,0.000000,-12237993.000000,-12237993.000000,-12237993.000000,0.000000,0.000000,-227.684000,12459407.000000,-12405657.000000,1735626.000000,0.000000,,,,1470170.000000,0.000000,,,,107500.000000,-28004693.000000,53750.000000,53750.000000,11611458.000000,,,,,34627.000000,847949.000000,1.000000,30453934.000000,20511714.000000,20511714.000000,0.003000,17764757.000000,0.000000,3454.000000,0.000000,0.866000
ARQ,1999-06-30,1999-08-16,1999-06-30,1999-Q2,56844823.000000,369720733.000000,2025-04-30,0.000000,59922693.000000,,57768801.000000,2153892.000000,,2.552000,-130363.000000,4454995.000000,4454995.000000,0.000000,-6087117.000000,62.522000,0.028000,720342.000000,8056.000000,712286.000000,720342.000000,0.000000,24873.000000,0.000000,0.000000,0.000000,-6079822.000000,-6054949.000000,-112.650000,-6054949.000000,-6079822.000000,-6087117.000000,-0.265000,-0.265000,-0.265000,58274092.000000,,58274092.000000,365986080.000000,,,-7611890.000000,-0.333000,1.000000,53750.000000,1.000000,0.000000,7295.000000,55264062.000000,,0.000000,53566822.000000,53042635.000000,524187.000000,1648601.000000,923978.000000,724623.000000,-10974345.000000,0.000000,48883770.000000,403142.000000,0.000000,49492962.000000,-52985780.000000,-52855417.000000,-7481527.000000,0.000000,-6087117.000000,-6087117.000000,-6087117.000000,0.000000,0.000000,-113.249000,6318661.000000,-6264911.000000,740987.000000,0.000000,6.345000,,,1592289.000000,0.000000,11.625000,,,164428.000000,-34091810.000000,53750.000000,53750.000000,5194949.000000,,,,,9663.000000,1123712.000000,1.000000,31803934.000000,22838550.000000,22838550.000000,0.002000,59922693.000000,0.000000,0.000000,0.000000,2.624000
ARQ,1999-09-30,1999-11-15,1999-09-30,1999-Q3,57466819.000000,586197875.000000,2025-04-30,0.000000,63529087.000000,,59764790.000000,3764297.000000,,1.882000,-1612055.000000,5785746.000000,5785746.000000,0.000000,-6359977.000000,26.008000,0.069000,1796630.000000,21206.000000,1775424.000000,1796630.000000,0.000000,38085.000000,0.000000,0.000000,0.000000,-6347303.000000,-6309218.000000,-117.381000,-6309218.000000,-6347303.000000,-6359977.000000,-0.200000,-0.200000,-0.200000,59427614.000000,,59427614.000000,582208759.000000,,,-7139876.000000,-0.226000,1.000000,53750.000000,1.000000,0.000000,12674.000000,57242000.000000,,0.000000,54395560.000000,53863750.000000,531810.000000,4101473.000000,2297971.000000,1803502.000000,1330751.000000,0.000000,7499959.000000,1075475.000000,0.000000,8575434.000000,-1716862.000000,-104807.000000,-5527821.000000,0.000000,-6359977.000000,-6359977.000000,-6359977.000000,0.000000,0.000000,-118.325000,7210155.000000,-7156405.000000,2162640.000000,0.000000,9.864000,,,3156940.000000,0.000000,18.315000,,,12048.000000,-40451787.000000,53750.000000,53750.000000,5977408.000000,,,,,13540.000000,1232747.000000,1.000000,32006436.000000,31583826.000000,31583826.000000,0.002000,63529087.000000,0.000000,0.000000,0.000000,2.011000
ARQ,1999-09-30,2000-01-14,1999-09-30,1999-Q3,57466819.000000,1145190280.000000,2025-04-30,0.000000,63529087.000000,,59764790.000000,3764297.000000,,2.375000,-1612055.000000,5785746.000000,5785746.000000,0.000000,-6359977.000000,26.008000,0.069000,1796630.000000,21206.000000,1775424.000000,1796630.000000,0.000000,38085.000000,0.000000,0.000000,0.000000,-6347303.000000,-6309218.000000,-117.381000,-6309218.000000,-6347303.000000,-6359977.000000,-0.140000,-0.140000,-0.140000,59427614.000000,,59427614.000000,1141201164.000000,-39.000000,-39.523000,-7139876.000000,-0.285000,1.000000,53750.000000,1.000000,0.000000,12674.000000,57242000.000000,,0.000000,54395560.000000,53863750.000000,531810.000000,4101473.000000,2297971.000000,1803502.000000,1330751.000000,0.000000,7499959.000000,1075475.000000,0.000000,8575434.000000,-1716862.000000,-104807.000000,-5527821.000000,0.000000,-6359977.000000,-6359977.000000,-6359977.000000,0.000000,0.000000,-118.325000,7210155.000000,-7156405.000000,2162640.000000,0.000000,19.270000,-39.477000,-29.328000,3156940.000000,0.000000,35.780000,5326.466000,4164.494000,12048.000000,-40451787.000000,53750.000000,53750.000000,5977408.000000,,,,,13540.000000,1232747.000000,1.000000,32006436.000000,25024214.000000,25024214.000000,0.002000,63529087.000000,0.000000,0.000000,0.000000,2.539000
ARQ,1999-12-31,2000-03-22,1999-12-31,1999-Q4,48079145.000000,1346109110.000000,2025-04-30,0.000000,59943135.000000,,52656363.000000,7286772.000000,,1.678000,-123408.000000,18279883.000000,18279883.000000,164147.000000,-8821611.000000,11.504000,0.119000,1840491.000000,56786.000000,1783705.000000,1840491.000000,0.000000,224410.000000,0.000000,0.000000,0.000000,-8790808.000000,-8566398.000000,-31.123000,-8566398.000000,-8790808.000000,-8821611.000000,-0.270000,-0.270000,-0.270000,53565550.000000,,53565550.000000,1329669718.000000,-40.000000,-40.130000,-7780248.000000,-0.244000,1.000000,111098.000000,0.404000,2690533.000000,30803.000000,36235992.000000,,0.000000,33855459.000000,33315914.000000,539545.000000,6377585.000000,4577218.000000,1800367.000000,12494137.000000,-312626.000000,-2434.000000,-434717.000000,0.000000,-596569.000000,20747546.000000,21183580.000000,-7656840.000000,0.000000,-8821611.000000,-8821611.000000,-8821611.000000,0.000000,0.000000,-32.050000,9705015.000000,-9593917.000000,2348090.000000,0.000000,25.130000,-40.174000,-28.984000,3791517.000000,0.000000,36.375000,3083.905000,2229.075000,362268.000000,-49273398.000000,275245.000000,275245.000000,7931440.000000,,,,,158918.000000,1773575.000000,1.000000,37006436.000000,31921710.000000,31921710.000000,0.009000,57252602.000000,0.000000,0.000000,0.000000,1.794000
ARQ,2000-03-31,2000-05-12,2000-03-31,2000-Q1,113470682.000000,1189030208.000000,2025-04-30,0.000000,130404501.000000,,118502211.000000,11902290.000000,,3.423000,-157408.000000,102787915.000000,102787915.000000,220283.000000,-7911597.000000,23.552000,0.055000,1820266.000000,43701.000000,1776565.000000,1820266.000000,0.000000,225645.000000,0.000000,0.000000,0.000000,-7883601.000000,-7657956.000000,-24.751000,-7657956.000000,-7883601.000000,-7911597.000000,-0.220000,-0.220000,-0.220000,123582586.000000,,123582586.000000,1088062559.000000,-37.000000,-38.059000,-7260942.000000,-0.201000,1.000000,89114.000000,0.288000,2536426.000000,27996.000000,21868897.000000,,723652.000000,19170055.000000,13839355.000000,5330700.000000,6821915.000000,5031529.000000,1790386.000000,84508032.000000,-3053725.000000,74865267.000000,-20225.000000,0.000000,75004460.000000,16607106.000000,19818239.000000,-7103534.000000,0.000000,-7911597.000000,-7911597.000000,-7911597.000000,0.000000,0.000000,-25.571000,9577899.000000,-9488785.000000,2876644.000000,0.000000,9.621000,-40.748000,-35.754000,3877387.000000,0.000000,32.000000,1717.899000,1669.323000,425080.000000,-57184995.000000,309397.000000,309397.000000,5776749.000000,,,,,583730.000000,3801150.000000,1.000000,37157194.000000,36106512.000000,36106512.000000,0.009000,127868075.000000,0.000000,0.000000,0.000000,3.541000
ARQ,2000-06-30,2000-08-14,2000-06-30,2000-Q2,104816239.000000,1836027830.000000,2025-04-30,0.000000,123372565.000000,,111597602.000000,11774963.000000,,3.089000,-117286.000000,95038647.000000,95038647.000000,433587.000000,-28810316.000000,16.457000,0.075000,1808121.000000,41516.000000,1766605.000000,1808121.000000,0.000000,231503.000000,0.000000,0.000000,0.000000,-28782652.000000,-28551149.000000,-52.262000,-28551149.000000,-28782652.000000,-28810316.000000,-0.775000,-0.775000,-0.775000,114810776.000000,,114810776.000000,1742797304.000000,-34.000000,-34.116000,-9009031.000000,-0.242000,1.000000,112716.000000,0.206000,2241400.000000,27664.000000,21119276.000000,,783447.000000,19404037.000000,14034984.000000,5369053.000000,8561789.000000,6781363.000000,1780426.000000,-7749268.000000,-30480.000000,1310261.000000,-12145.000000,0.000000,1298116.000000,-155639.000000,-7873.000000,-8891745.000000,0.000000,-28810316.000000,-28810316.000000,-28810316.000000,0.000000,0.000000,-52.737000,30632299.000000,-30519583.000000,3342026.000000,0.000000,15.992000,-35.374000,-32.384000,3917278.000000,0.000000,45.500000,1549.789000,1427.645000,451832.000000,-85995311.000000,546303.000000,546303.000000,28935915.000000,,,,,99163.000000,1696384.000000,1.000000,40352260.000000,37171952.000000,37171952.000000,0.015000,121131165.000000,0.000000,0.000000,0.000000,3.259000
ARQ,2000-09-30,2000-11-13,2000-09-30,2000-Q3,232944041.000000,1190901312.000000,2025-04-30,0.000000,252441245.000000,,240835378.000000,11605867.000000,,6.072000,-88162.000000,224287827.000000,224287827.000000,264547.000000,-7014023.000000,30.519000,0.040000,1792025.000000,29247.000000,1762778.000000,1792025.000000,0.000000,233880.000000,0.000000,0.000000,0.000000,-6979482.000000,-6745602.000000,-16.702000,-6745602.000000,-6979482.000000,-7014023.000000,-0.175000,-0.175000,-0.175000,242773307.000000,,242773307.000000,968405510.000000,-18.000000,-18.796000,-5186477.000000,-0.130000,1.000000,139344.000000,0.345000,2094339.000000,34541.000000,19959767.000000,,1207272.000000,19602343.000000,14256455.000000,5345888.000000,9667938.000000,7891337.000000,1776601.000000,129249180.000000,31239.000000,134428589.000000,-16096.000000,0.000000,134412493.000000,-64998.000000,-8075.000000,-5098315.000000,0.000000,-7014023.000000,-7014023.000000,-7014023.000000,0.000000,0.000000,-17.366000,10562259.000000,-10422915.000000,3328785.000000,0.000000,4.905000,-22.659000,-20.486000,3918618.000000,0.000000,29.500000,775.914000,768.449000,581969.000000,-93009335.000000,403891.000000,403891.000000,8135688.000000,,,,,547968.000000,2426571.000000,1.000000,40369536.000000,39981126.000000,39981126.000000,0.010000,250346906.000000,0.000000,0.000000,0.000000,6.262000
ARQ,2000-12-31,2001-03-30,2000-12-31,2000-Q4,210627912.000000,361730347.000000,2025-04-30,0.000000,250644984.000000,,222120104.000000,28524880.000000,,5.772000,-277019.000000,200935244.000000,200935244.000000,707634.000000,-31872554.000000,19.328000,0.068000,1906763.000000,70803.000000,1835960.000000,1906763.000000,0.000000,222958.000000,0.000000,0.000000,0.000000,-31842720.000000,-31619762.000000,-40.042000,-31619762.000000,-31842720.000000,-31872554.000000,-0.805000,-0.805000,-0.805000,234737782.000000,,234737782.000000,162701866.000000,-2.000000,-2.182000,-10298272.000000,-0.253000,1.000000,82033.000000,0.104000,17549224.000000,29834.000000,22575087.000000,,2896469.000000,19403775.000000,14483637.000000,4920138.000000,15907202.000000,11492192.000000,4415010.000000,-23352583.000000,-8944362.000000,-4091704.000000,-10053.000000,0.000000,-4101757.000000,-9229573.000000,-8192.000000,-10021253.000000,0.000000,-31872554.000000,-31872554.000000,-31872554.000000,0.000000,0.000000,-40.362000,31151435.000000,-31069402.000000,9284068.000000,0.000000,1.541000,-4.784000,-4.438000,5939036.000000,0.000000,8.720000,176.518000,163.719000,2351100.000000,-124881888.000000,789667.000000,789667.000000,27339396.000000,,,,,401125.000000,3812039.000000,1.000000,41482838.000000,40671588.000000,40671588.000000,0.019000,233095760.000000,0.000000,0.000000,0.000000,5.731000
ARQ,2001-03-31,2001-05-11,2001-03-31,2001-Q1,185627384.000000,224004672.000000,2025-04-30,0.000000,240998774.000000,,197762086.000000,43236688.000000,,5.512000,-168107.000000,183403676.000000,183403676.000000,805283.000000,-9402784.000000,16.297000,0.072000,1921760.000000,77855.000000,1843905.000000,1921760.000000,0.000000,662181.000000,0.000000,0.000000,0.000000,-9363606.000000,-8701425.000000,-5.869000,-8701425.000000,-9363606.000000,-9402784.000000,-0.230000,-0.230000,-0.230000,224791445.000000,,224791445.000000,42522756.000000,-1.000000,-0.562000,-8761921.000000,-0.215000,1.000000,677232.000000,0.457000,17087813.000000,39178.000000,30294343.000000,,3535992.000000,27321939.000000,7312460.000000,20009479.000000,16207329.000000,12134702.000000,4072627.000000,-17531568.000000,0.000000,-991468.000000,-18895.000000,0.000000,-1010363.000000,-7927391.000000,-7759284.000000,-8593814.000000,0.000000,-9402784.000000,-9402784.000000,-9402784.000000,0.000000,0.000000,-6.342000,13232963.000000,-12555731.000000,10363292.000000,0.000000,0.996000,-2.905000,-2.786000,6023126.000000,0.000000,5.530000,69.515000,69.993000,2601345.000000,-134284672.000000,1482515.000000,1482515.000000,8468853.000000,,,,,447915.000000,4764110.000000,1.000000,40507174.000000,40785364.000000,40785364.000000,0.036000,223910961.000000,0.000000,0.000000,0.000000,5.490000
