dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2014-12-31,2015-04-22,2014-12-31,2014-Q4,-21743398.000000,,2025-04-28,0.000000,3043134.000000,,773684.000000,2269450.000000,,-5.285000,,756632.000000,756632.000000,,,0.034000,-1.138000,1568388.000000,304274.000000,1264114.000000,1568388.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-22128531.000000,,-22128531.000000,,,,,,1.000000,,,0.000000,,-18662192.000000,,0.000000,0.000000,0.000000,0.000000,25171665.000000,22517082.000000,2654583.000000,,,,,,,,,,,,,,,,,,,1830724.000000,,,,,0.000000,,,,,0.000000,-22141457.000000,,,,,,,,,,1.000000,8654329.000000,4187415.000000,,,3043134.000000,0.000000,,0.000000,0.727000
ARQ,2015-03-31,2015-06-12,2015-03-31,2015-Q1,-27348298.000000,75038003.000000,2025-04-28,0.000000,2769322.000000,,360398.000000,2408924.000000,,-6.834000,0.000000,327007.000000,327007.000000,0.000000,-5711415.000000,0.013000,-1.099000,1740343.000000,310350.000000,1429993.000000,1740343.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5676162.000000,-5676162.000000,,-5676162.000000,-5676162.000000,-5711415.000000,-1.400000,-1.400000,-1.400000,-27839043.000000,,-27839043.000000,76451339.000000,,,-410941.000000,-0.101000,1.000000,0.000000,,0.000000,35253.000000,-23526038.000000,,0.000000,0.000000,0.000000,0.000000,30608365.000000,27708696.000000,2899669.000000,-428850.000000,0.000000,0.000000,0.000000,0.000000,-17909.000000,0.000000,0.000000,-410941.000000,0.000000,-5711415.000000,-5711415.000000,-5711415.000000,0.000000,0.000000,,461040.000000,-461040.000000,1879414.000000,0.000000,-2.695000,,,0.000000,0.000000,7.670000,,,0.000000,-27852872.000000,0.000000,0.000000,138969.000000,,,,,903.000000,322071.000000,1.000000,9783312.000000,4073609.000000,4073609.000000,0.000000,2769322.000000,0.000000,0.000000,0.000000,0.680000
ARQ,2015-06-30,2015-08-14,2015-06-30,2015-Q2,17393539.000000,71124678.000000,2025-04-28,-12461.000000,22269649.000000,,22269649.000000,0.000000,,2.372000,0.000000,9497200.000000,9497200.000000,0.000000,-7865066.000000,4.567000,0.280000,1670509.000000,1670509.000000,0.000000,1670509.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-7835252.000000,-7835252.000000,,-7835252.000000,-7835252.000000,-7865066.000000,-1.070000,-1.070000,-1.070000,17393539.000000,,17393539.000000,63297987.000000,,,-1620709.000000,-0.221000,1.000000,0.000000,,0.000000,29814.000000,9566848.000000,,0.000000,12162251.000000,12162251.000000,0.000000,4876110.000000,4876110.000000,0.000000,9170193.000000,0.000000,25394614.000000,0.000000,0.000000,22964969.000000,0.000000,0.000000,-1620709.000000,0.000000,-7865066.000000,-7865066.000000,-7865066.000000,0.000000,0.000000,,2626914.000000,-2626914.000000,1008277.000000,0.000000,4.089000,,,0.000000,0.000000,7.270000,,,0.000000,-35717938.000000,0.000000,0.000000,1100906.000000,,,,,1471509.000000,1526008.000000,1.000000,9783312.000000,7331861.000000,7331861.000000,0.000000,22269649.000000,0.000000,0.000000,0.000000,3.037000
ARQ,2015-09-30,2015-11-05,2015-09-30,2015-Q3,13209700.000000,48536735.000000,2025-04-28,-4848.000000,19012251.000000,,18932251.000000,80000.000000,,1.483000,0.000000,2140115.000000,2140115.000000,0.000000,-4736544.000000,3.308000,0.433000,1911024.000000,1911024.000000,0.000000,1911024.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4726232.000000,-4726232.000000,,-4726232.000000,-4726232.000000,-4736544.000000,-0.530000,-0.530000,-0.530000,13270551.000000,,13270551.000000,48307644.000000,,,-3400454.000000,-0.380000,1.000000,0.000000,,0.000000,10312.000000,13060609.000000,,0.000000,15349507.000000,15349507.000000,0.000000,5741700.000000,5722551.000000,19149.000000,-7357085.000000,0.000000,0.000000,0.000000,0.000000,-704656.000000,-3251975.000000,-3251975.000000,-3400454.000000,0.000000,-4736544.000000,-4736544.000000,-4736544.000000,0.000000,0.000000,,4288221.000000,-4288221.000000,401672.000000,0.000000,3.657000,,,0.000000,0.000000,5.015000,,,0.000000,-40454482.000000,0.000000,0.000000,2507553.000000,,,,,601592.000000,1780668.000000,1.000000,9678312.000000,8947480.000000,8947480.000000,0.000000,19012251.000000,0.000000,0.000000,0.000000,2.125000
ARQ,2015-12-31,2016-03-08,2015-12-31,2015-Q4,13224836.000000,20820043.000000,2025-04-28,-7370.000000,15439103.000000,,15201648.000000,237455.000000,,1.373000,0.000000,848550.000000,848550.000000,0.000000,-5090963.000000,7.690000,0.770000,2151540.000000,0.000000,2151540.000000,2151540.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5077660.000000,-5077660.000000,,-5077660.000000,-5077660.000000,-5090963.000000,-0.990000,-0.990000,-0.990000,8724998.000000,,8724998.000000,22123033.000000,-1.000000,-0.949000,-3299390.000000,-0.519000,1.000000,0.000000,,0.000000,13303.000000,14765281.000000,,0.000000,13335499.000000,13335499.000000,0.000000,6714105.000000,1976812.000000,4737293.000000,-1371565.000000,0.000000,20489.000000,0.000000,0.000000,-28175.000000,1956000.000000,1956000.000000,-3299390.000000,0.000000,-5090963.000000,-5090963.000000,-5090963.000000,0.000000,0.000000,,4620303.000000,-4620303.000000,592414.000000,0.000000,2.386000,-0.890000,-0.584000,0.000000,0.000000,2.150000,,,0.000000,-45545445.000000,0.000000,0.000000,3219414.000000,,,,,527444.000000,1400889.000000,1.000000,9683741.000000,6355869.000000,6355869.000000,0.000000,15439103.000000,0.000000,0.000000,0.000000,2.429000
ARQ,2015-12-31,2016-04-04,2015-12-31,2015-Q4,13224836.000000,14428774.000000,2025-04-28,-7370.000000,15439103.000000,,15201648.000000,237455.000000,,1.373000,0.000000,848550.000000,848550.000000,0.000000,-5090963.000000,7.690000,0.770000,2151540.000000,0.000000,2151540.000000,2151540.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5077660.000000,-5077660.000000,,-5077660.000000,-5077660.000000,-5090963.000000,-0.990000,-0.990000,-0.990000,8724998.000000,,8724998.000000,15731764.000000,-1.000000,-0.675000,-3299390.000000,-0.519000,1.000000,0.000000,,0.000000,13303.000000,14765281.000000,,0.000000,13335499.000000,13335499.000000,0.000000,6714105.000000,1976812.000000,4737293.000000,-1371565.000000,0.000000,20489.000000,0.000000,0.000000,-28175.000000,1956000.000000,1956000.000000,-3299390.000000,0.000000,-5090963.000000,-5090963.000000,-5090963.000000,0.000000,0.000000,,4620303.000000,-4620303.000000,592414.000000,0.000000,1.654000,-0.617000,-0.405000,0.000000,0.000000,1.490000,,,0.000000,-45545445.000000,0.000000,0.000000,3219414.000000,,,,,527444.000000,1400889.000000,1.000000,9683741.000000,6355869.000000,6355869.000000,0.000000,15439103.000000,0.000000,0.000000,0.000000,2.429000
ARQ,2016-03-31,2016-05-10,2016-03-31,2016-Q1,10243396.000000,24471301.000000,2025-04-28,-195.000000,12756902.000000,,12161521.000000,595381.000000,,0.640000,0.000000,4038763.000000,4038763.000000,0.000000,-3586988.000000,6.340000,1.211000,3139861.000000,0.000000,3139861.000000,3139861.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3571527.000000,-3571527.000000,,-3571527.000000,-3571527.000000,-3586988.000000,-0.400000,-0.400000,-0.400000,5769739.000000,,5769739.000000,23572399.000000,-1.000000,-1.111000,-2725124.000000,-0.302000,1.000000,0.000000,,0.000000,15461.000000,9939875.000000,,0.000000,7292863.000000,7292863.000000,0.000000,6987163.000000,1918125.000000,5069038.000000,3190213.000000,0.000000,0.000000,0.000000,0.000000,-57303.000000,5972640.000000,5972640.000000,-2725124.000000,0.000000,-3586988.000000,-3586988.000000,-3586988.000000,0.000000,0.000000,,3267417.000000,-3267417.000000,1172351.000000,0.000000,4.241000,-1.150000,-0.425000,0.000000,0.000000,1.270000,,,0.000000,-49132433.000000,0.000000,0.000000,1877178.000000,,,,,624554.000000,1390239.000000,1.000000,19268741.000000,9015778.000000,9015778.000000,0.000000,12756902.000000,0.000000,0.000000,0.000000,1.415000
ARQ,2016-06-30,2016-08-11,2016-06-30,2016-Q2,12571273.000000,24544305.000000,2025-04-28,-6786.000000,18549007.000000,,18310165.000000,238842.000000,,0.747000,0.000000,5239930.000000,5239930.000000,0.000000,-3692793.000000,3.191000,0.451000,2382688.000000,2382688.000000,0.000000,2382688.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3690980.000000,-3690980.000000,,-3690980.000000,-3690980.000000,-3692793.000000,-0.220000,-0.220000,-0.220000,12785469.000000,,12785469.000000,21687063.000000,-1.000000,-1.271000,-3226840.000000,-0.189000,1.000000,0.000000,,0.000000,1813.000000,9952873.000000,,0.000000,12036539.000000,12036539.000000,0.000000,5763538.000000,5738892.000000,24646.000000,1201167.000000,0.000000,9929693.000000,-94861.000000,0.000000,9259126.000000,-4831119.000000,-4831119.000000,-3226840.000000,0.000000,-3692793.000000,-3692793.000000,-3692793.000000,0.000000,0.000000,,3578053.000000,-3578053.000000,1206384.000000,0.000000,1.920000,-1.435000,-0.595000,0.000000,0.000000,1.273000,,,0.000000,-52825226.000000,0.000000,0.000000,2371058.000000,,,,,490245.000000,1206995.000000,1.000000,19277651.000000,17105374.000000,17105374.000000,0.000000,18549007.000000,0.000000,0.000000,0.000000,1.084000
ARQ,2016-09-30,2016-11-10,2016-09-30,2016-Q3,9545621.000000,23397506.000000,2025-04-28,-6137.000000,16317693.000000,,15623313.000000,694380.000000,,0.538000,0.000000,3134892.000000,3134892.000000,0.000000,-3807431.000000,2.571000,0.597000,2826135.000000,2826135.000000,0.000000,2826135.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3805875.000000,-3805875.000000,,-3805875.000000,-3805875.000000,-3807431.000000,-0.200000,-0.200000,-0.200000,10219525.000000,,10219525.000000,23088749.000000,-1.000000,-1.430000,-2654415.000000,-0.140000,1.000000,0.000000,,0.000000,1556.000000,9931244.000000,,0.000000,11562950.000000,11562950.000000,0.000000,6098168.000000,6077692.000000,20476.000000,-2105038.000000,0.000000,525772.000000,0.000000,0.000000,108349.000000,441028.000000,441028.000000,-2654415.000000,0.000000,-3807431.000000,-3807431.000000,-3807431.000000,0.000000,0.000000,,3264282.000000,-3264282.000000,881311.000000,0.000000,2.289000,-1.446000,-0.641000,0.000000,0.000000,1.160000,,,0.000000,-56632658.000000,0.000000,0.000000,2104794.000000,,,,,320953.000000,1159488.000000,1.000000,20170264.000000,18991971.000000,18991971.000000,0.000000,16317693.000000,0.000000,0.000000,0.000000,0.859000
ARQ,2016-12-31,2017-03-21,2016-12-31,2016-Q4,7498295.000000,29543527.000000,2025-04-28,-6892.000000,14535708.000000,,13974829.000000,560879.000000,,0.494000,0.000000,3114843.000000,3114843.000000,0.000000,-3644609.000000,2.158000,0.807000,3269582.000000,3269582.000000,0.000000,3269582.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3641513.000000,-3641513.000000,,-3641513.000000,-3641513.000000,-3644609.000000,-0.160000,-0.160000,-0.160000,8042867.000000,,8042867.000000,29698266.000000,-2.000000,-2.019000,-2464884.000000,-0.151000,1.000000,0.000000,,0.000000,3096.000000,8213913.000000,,0.000000,10075058.000000,10075058.000000,0.000000,6492841.000000,6476534.000000,16307.000000,20610.000000,0.000000,1115112.000000,0.000000,0.000000,1038278.000000,1447216.000000,1447216.000000,-2464884.000000,0.000000,-3644609.000000,-3644609.000000,-3644609.000000,0.000000,0.000000,,3737524.000000,-3737524.000000,1203888.000000,0.000000,3.673000,-2.005000,-1.378000,0.000000,0.000000,1.240000,,,0.000000,-60277267.000000,0.000000,0.000000,2647469.000000,,,,,358575.000000,1090055.000000,1.000000,23825425.000000,16278292.000000,16278292.000000,0.000000,14535708.000000,0.000000,0.000000,0.000000,0.893000
ARQ,2017-03-31,2017-05-10,2017-03-31,2017-Q1,11291751.000000,32777832.000000,2025-04-28,-7499.000000,15152607.000000,,14673917.000000,478690.000000,,0.338000,0.000000,4398387.000000,4398387.000000,0.000000,-5221900.000000,4.339000,1.008000,3713029.000000,0.000000,3713029.000000,3713029.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5220370.000000,-5220370.000000,,-5220370.000000,-5220370.000000,-5221900.000000,-0.230000,-0.230000,-0.230000,7546087.000000,,7546087.000000,32092474.000000,-2.000000,-1.962000,-3278592.000000,-0.147000,1.000000,0.000000,,0.000000,1530.000000,11085083.000000,,0.000000,7954240.000000,7954240.000000,0.000000,7606520.000000,3382166.000000,4224354.000000,1283544.000000,0.000000,2539543.000000,0.000000,0.000000,2523553.000000,2038583.000000,2038583.000000,-3278592.000000,0.000000,-5221900.000000,-5221900.000000,-5221900.000000,0.000000,0.000000,,4968662.000000,-4968662.000000,1726824.000000,0.000000,4.344000,-2.003000,-1.691000,0.000000,0.000000,1.370000,,,0.000000,-65499167.000000,0.000000,0.000000,3528150.000000,,,,,402239.000000,1440512.000000,1.000000,23925425.000000,22352921.000000,22352921.000000,0.000000,15152607.000000,0.000000,0.000000,0.000000,0.678000
ARQ,2017-06-30,2017-08-09,2017-06-30,2017-Q2,6537024.000000,25894191.000000,2025-04-28,-5999.000000,14320911.000000,,14264002.000000,56909.000000,,0.273000,0.000000,3432992.000000,3432992.000000,0.000000,-5171634.000000,1.846000,1.174000,3050427.000000,3050427.000000,0.000000,3050427.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5170504.000000,-5170504.000000,,-5170504.000000,-5170504.000000,-5171634.000000,-0.210000,-0.210000,-0.210000,6587879.000000,,6587879.000000,25511626.000000,-1.000000,-1.430000,-4203170.000000,-0.174000,1.000000,0.000000,,0.000000,1130.000000,6211368.000000,,0.000000,8689630.000000,8689630.000000,0.000000,7733032.000000,7726978.000000,6054.000000,-965395.000000,0.000000,4062344.000000,0.000000,0.000000,4002418.000000,-764643.000000,-764643.000000,-4203170.000000,0.000000,-5171634.000000,-5171634.000000,-5171634.000000,0.000000,0.000000,,4982743.000000,-4982743.000000,1304711.000000,0.000000,3.931000,-1.451000,-1.169000,0.000000,0.000000,0.935000,,,0.000000,-70670801.000000,0.000000,0.000000,3715379.000000,,,,,341258.000000,1267364.000000,1.000000,27697284.000000,24118887.000000,24118887.000000,0.000000,14320911.000000,0.000000,0.000000,0.000000,0.594000
ARQ,2017-09-30,2017-11-08,2017-09-30,2017-Q3,1911591.000000,61272521.000000,2025-04-28,-3558.000000,11839444.000000,,11525074.000000,314370.000000,,0.081000,0.000000,2607404.000000,2607404.000000,0.000000,-6099658.000000,1.199000,4.319000,3180411.000000,3180411.000000,0.000000,3180411.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-6101769.000000,-6101769.000000,,-6101769.000000,-6101769.000000,-6099658.000000,-0.220000,-0.220000,-0.220000,2225961.000000,,2225961.000000,61845528.000000,-3.000000,-3.072000,-3328003.000000,-0.121000,1.000000,0.000000,,0.000000,-2111.000000,2798968.000000,,0.000000,7270719.000000,7270719.000000,0.000000,9613483.000000,9613483.000000,0.000000,-825588.000000,0.000000,1250000.000000,-77261.000000,0.000000,1110586.000000,1391829.000000,1391829.000000,-3328003.000000,0.000000,-6099658.000000,-6099658.000000,-6099658.000000,0.000000,0.000000,,4691531.000000,-4691531.000000,1555472.000000,0.000000,27.526000,-3.043000,-2.622000,0.000000,0.000000,2.150000,,,0.000000,-76770459.000000,0.000000,0.000000,3464639.000000,,,,,344128.000000,1226892.000000,1.000000,28498847.000000,27469784.000000,27469784.000000,0.000000,11839444.000000,0.000000,0.000000,0.000000,0.431000
ARQ,2017-12-31,2018-03-07,2017-12-31,2017-Q4,13195223.000000,305392812.000000,2025-04-28,-19769.000000,22121411.000000,,21851798.000000,269613.000000,,0.450000,0.000000,8988478.000000,8988478.000000,0.000000,-4084473.000000,2.524000,0.643000,3450540.000000,3450540.000000,0.000000,3450540.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4086292.000000,-4086292.000000,,-4086292.000000,-4086292.000000,-4084473.000000,-0.120000,-0.120000,-0.120000,13464836.000000,,13464836.000000,299854874.000000,-15.000000,-14.571000,-3948002.000000,-0.132000,1.000000,0.000000,,0.000000,-1819.000000,7926898.000000,,0.000000,11587478.000000,11587478.000000,0.000000,8656575.000000,8656575.000000,0.000000,6420415.000000,0.000000,15147793.000000,0.000000,0.000000,14763893.000000,-4395476.000000,-4395476.000000,-3948002.000000,0.000000,-4084473.000000,-4084473.000000,-4084473.000000,0.000000,0.000000,,4427252.000000,-4427252.000000,1529935.000000,0.000000,22.681000,-14.841000,-7.595000,0.000000,0.000000,6.000000,,,0.000000,-80854932.000000,0.000000,0.000000,3033017.000000,,,,,363840.000000,1394235.000000,1.000000,50898802.000000,29914569.000000,29914569.000000,0.000000,22121411.000000,0.000000,0.000000,0.000000,0.739000
