dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2013-12-31,2014-06-02,2013-12-31,2013-Q4,-25245768.000000,,2025-05-07,0.000000,3672626.000000,,2054548.000000,1618078.000000,,-59760.017000,,259528.000000,259528.000000,,,0.075000,-1.154000,26610600.000000,26610600.000000,0.000000,26610600.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-23887035.000000,,-23887035.000000,,,,,,1.000000,,,0.000000,,2723382.000000,,356641.000000,0.000000,0.000000,0.000000,27559661.000000,27300316.000000,259345.000000,,,,,,,,,,,,,,,,,,,689716.000000,,,,,928026.000000,,,,,994010.000000,-23887035.000000,,,,,,,,,,1.000000,16956.000000,400.000000,,,3672626.000000,0.000000,,0.000000,9188.089000
ARQ,2014-03-31,2014-06-13,2014-03-31,2014-Q1,-26346213.000000,,2025-05-07,0.000000,3495332.000000,,1586248.000000,1909084.000000,,-61361.919000,0.000000,155304.000000,155304.000000,663514.000000,-705779.000000,0.057000,-1.142000,27226777.000000,27226777.000000,0.000000,27226777.000000,0.000000,36111.000000,0.000000,,0.000000,-166693.000000,-130582.000000,-0.120000,-130582.000000,-166693.000000,-705779.000000,,,,-24592814.000000,,-24592814.000000,,,,85188.000000,212.554000,1.000000,427409.000000,0.392000,0.000000,539086.000000,2634344.000000,,124236.000000,0.000000,0.000000,0.000000,28088146.000000,27932461.000000,155685.000000,-104243.000000,0.000000,0.000000,84339.000000,0.000000,-189412.000000,-19.000000,0.000000,85188.000000,0.000000,-705779.000000,-705779.000000,-705779.000000,0.000000,0.000000,-0.647000,594102.000000,-166693.000000,705684.000000,,,,,891915.000000,0.000000,,,,1173723.000000,-24592814.000000,1090923.000000,1090923.000000,8707.000000,,,,,0.000000,585395.000000,1.000000,16956.000000,401.000000,401.000000,2721.979000,3495332.000000,0.000000,0.000000,0.000000,8721.258000
ARQ,2014-06-30,2014-08-14,2014-06-30,2014-Q2,7630653.000000,18534882.000000,2025-05-07,0.000000,10662994.000000,,9767954.000000,895040.000000,,655.609000,-4268.000000,7746524.000000,7746524.000000,675731.000000,-3288949.000000,4.570000,0.260000,10597.000000,10597.000000,0.000000,10597.000000,0.000000,36177.000000,0.000000,0.000000,0.000000,-2811388.000000,-2775211.000000,-2.179000,-2775211.000000,-2811388.000000,-3288949.000000,,,,8463166.000000,,8463166.000000,10798955.000000,,,-474679.000000,-36.772000,1.000000,597840.000000,0.469000,0.000000,477561.000000,789766.000000,,193140.000000,0.000000,0.000000,0.000000,2199828.000000,2137301.000000,62527.000000,7591220.000000,0.000000,8500000.000000,679212.000000,0.000000,8065899.000000,-4268.000000,0.000000,-470411.000000,0.000000,-3288949.000000,-3288949.000000,-3288949.000000,0.000000,0.000000,-2.582000,3409228.000000,-2811388.000000,2126704.000000,,2.190000,,,860006.000000,0.000000,1101.948000,,,1359405.000000,-29881763.000000,1273571.000000,1273571.000000,9023.000000,,,,,2874740.000000,525465.000000,1.000000,16820.000000,12909.000000,12909.000000,98.659000,10662994.000000,0.000000,0.000000,0.000000,826.021000
ARQ,2014-09-30,2014-11-14,2014-09-30,2014-Q3,6660480.000000,11915282.000000,2025-05-07,0.000000,9524766.000000,,8655558.000000,869208.000000,,447.660000,0.000000,6438594.000000,6438594.000000,871522.000000,-1637203.000000,4.338000,0.265000,10597.000000,10597.000000,0.000000,10597.000000,0.000000,34124.000000,0.000000,0.000000,0.000000,-1633049.000000,-1598925.000000,-1.229000,-1598925.000000,-1633049.000000,-1637203.000000,,,,7529688.000000,,7529688.000000,5487285.000000,,,-831027.000000,-49.407000,1.000000,429468.000000,0.330000,0.000000,4154.000000,1101691.000000,,232064.000000,0.000000,0.000000,0.000000,1995078.000000,1995078.000000,0.000000,-1307967.000000,0.000000,0.000000,0.000000,0.000000,-468611.000000,-8329.000000,0.000000,-831027.000000,0.000000,-1637203.000000,-1637203.000000,-1637203.000000,0.000000,0.000000,-1.258000,2062517.000000,-1633049.000000,1984481.000000,,1.582000,,,825882.000000,0.000000,708.395000,,,1549998.000000,-31518965.000000,1300990.000000,1300990.000000,76214.000000,,,,,703725.000000,1282578.000000,1.000000,16820.000000,16820.000000,16820.000000,77.347000,9524766.000000,0.000000,0.000000,0.000000,566.273000
ARQ,2014-12-31,2015-03-27,2014-12-31,2014-Q4,4796000.000000,17711777.000000,2025-05-07,0.000000,8089000.000000,,6785000.000000,1304000.000000,,597.244000,-261732.000000,5169000.000000,5169000.000000,1032233.000000,-1008069.000000,3.411000,0.350000,80000.000000,80000.000000,0.000000,80000.000000,0.000000,37588.000000,0.000000,0.000000,0.000000,-1005870.000000,-968282.000000,-1.479000,-968282.000000,-1005870.000000,-1008069.000000,,,,5991000.000000,,5991000.000000,12622777.000000,-2.000000,-2.306000,-1258482.000000,-125.458000,1.000000,-377717.000000,-0.577000,0.000000,2199.000000,1011000.000000,,179000.000000,0.000000,0.000000,0.000000,2098000.000000,1989000.000000,109000.000000,-1269010.000000,0.000000,-1856000.000000,-10551.000000,0.000000,-10876.000000,-261384.000000,0.000000,-996750.000000,0.000000,-1008069.000000,-1008069.000000,-1008069.000000,0.000000,0.000000,-1.540000,1878153.000000,-2255870.000000,1300000.000000,,2.956000,-2.667000,-0.674000,1214000.000000,0.000000,530.734000,4.100000,1.232000,1088000.000000,-6640000.000000,654516.000000,654516.000000,199056.000000,,,,,719535.000000,5357562.000000,1.000000,33372.000000,10031.000000,10031.000000,65.249000,8089000.000000,0.000000,0.000000,0.000000,806.394000
ARQ,2015-03-31,2015-05-15,2015-03-31,2015-Q1,11996000.000000,13343595.000000,2025-05-07,0.000000,15747000.000000,,14491000.000000,1256000.000000,,510.444000,-44000.000000,13268000.000000,13268000.000000,760000.000000,-2634000.000000,5.808000,0.198000,1058000.000000,1058000.000000,0.000000,1058000.000000,0.000000,45000.000000,0.000000,0.000000,0.000000,-2612000.000000,-2567000.000000,-3.980000,-2567000.000000,-2612000.000000,-2634000.000000,-101.199000,-101.199000,-101.199000,13149000.000000,,13149000.000000,1133595.000000,0.000000,-0.143000,-1153000.000000,-44.759000,1.000000,-115000.000000,-0.178000,0.000000,22000.000000,1042000.000000,,330000.000000,0.000000,0.000000,0.000000,2598000.000000,2495000.000000,103000.000000,8149000.000000,0.000000,9319000.000000,-17000.000000,0.000000,9302000.000000,-44000.000000,0.000000,-1109000.000000,0.000000,-2634000.000000,-2634000.000000,-2634000.000000,0.000000,0.000000,-4.084000,2497000.000000,-2612000.000000,384000.000000,0.000000,1.015000,-1.557000,,1213000.000000,0.000000,386.806000,3.444000,2.572000,598000.000000,-9274000.000000,645000.000000,645000.000000,100000.000000,,,,,708000.000000,2397000.000000,1.000000,34497.000000,25760.000000,25760.000000,25.039000,15747000.000000,0.000000,0.000000,0.000000,611.299000
ARQ,2015-06-30,2015-08-14,2015-06-30,2015-Q2,9784000.000000,11408739.000000,2025-05-07,0.000000,13094000.000000,,11859000.000000,1235000.000000,,316.086000,-24000.000000,10448000.000000,10448000.000000,678000.000000,-2562000.000000,5.715000,0.197000,1105000.000000,1105000.000000,0.000000,1105000.000000,0.000000,45000.000000,0.000000,0.000000,0.000000,-2490000.000000,-2445000.000000,-3.331000,-2445000.000000,-2490000.000000,-2562000.000000,-74.213000,-74.213000,-74.213000,10943000.000000,,10943000.000000,2065739.000000,0.000000,-0.273000,-2210000.000000,-63.835000,1.000000,56000.000000,0.076000,0.000000,72000.000000,1676000.000000,,536000.000000,0.000000,0.000000,0.000000,2151000.000000,2075000.000000,76000.000000,-2820000.000000,0.000000,-591000.000000,-19000.000000,0.000000,-610000.000000,-24000.000000,0.000000,-2186000.000000,0.000000,-2562000.000000,-2562000.000000,-2562000.000000,0.000000,0.000000,-3.490000,2546000.000000,-2490000.000000,332000.000000,0.000000,1.043000,-1.455000,,1192000.000000,0.000000,326.087000,3.421000,3.386000,581000.000000,-11836000.000000,734000.000000,734000.000000,194000.000000,,,,,712000.000000,2352000.000000,1.000000,34987.000000,34620.000000,34620.000000,21.201000,13094000.000000,0.000000,0.000000,0.000000,378.217000
ARQ,2015-09-30,2015-11-13,2015-09-30,2015-Q3,11491000.000000,7975527.000000,2025-05-07,0.000000,14797000.000000,,13605000.000000,1192000.000000,,349.656000,-32000.000000,12124000.000000,12124000.000000,577000.000000,-3152000.000000,6.436000,0.171000,1105000.000000,1105000.000000,0.000000,1105000.000000,0.000000,47000.000000,0.000000,0.000000,0.000000,-3128000.000000,-3081000.000000,-6.150000,-3081000.000000,-3128000.000000,-3152000.000000,-87.706000,-87.706000,-87.706000,12633000.000000,,12633000.000000,-3043473.000000,0.000000,0.336000,-2336000.000000,-64.656000,1.000000,-76000.000000,-0.152000,0.000000,24000.000000,1664000.000000,,364000.000000,0.000000,0.000000,0.000000,2164000.000000,2114000.000000,50000.000000,1676000.000000,0.000000,4004000.000000,-20000.000000,0.000000,3984000.000000,-4000.000000,0.000000,-2304000.000000,0.000000,-3152000.000000,-3152000.000000,-3152000.000000,0.000000,0.000000,-6.291000,3052000.000000,-3128000.000000,195000.000000,0.000000,0.631000,-0.852000,,1177000.000000,0.000000,168.643000,3.147000,2.404000,547000.000000,-14988000.000000,501000.000000,501000.000000,253000.000000,,,,,838000.000000,2799000.000000,1.000000,47292.000000,36130.000000,36130.000000,13.867000,14797000.000000,0.000000,0.000000,0.000000,409.551000
ARQ,2015-12-31,2016-03-21,2015-12-31,2015-Q4,9266000.000000,5569793.000000,2025-05-07,0.000000,12902000.000000,,11734000.000000,1168000.000000,,289.311000,-23000.000000,10832000.000000,10832000.000000,456000.000000,-2980000.000000,4.754000,0.239000,1105000.000000,1105000.000000,0.000000,1105000.000000,0.000000,47000.000000,0.000000,0.000000,0.000000,-2957000.000000,-2910000.000000,-4.416000,-2910000.000000,-2957000.000000,-2980000.000000,-56.222000,-56.222000,-56.222000,10410000.000000,,10410000.000000,-4157207.000000,0.000000,0.378000,-1322000.000000,-36.741000,1.000000,203000.000000,0.308000,0.000000,23000.000000,707000.000000,,187000.000000,0.000000,0.000000,0.000000,2492000.000000,2468000.000000,24000.000000,-1292000.000000,0.000000,0.000000,30000.000000,0.000000,30000.000000,-23000.000000,0.000000,-1299000.000000,0.000000,-2980000.000000,-2980000.000000,-2980000.000000,0.000000,0.000000,-4.522000,3160000.000000,-2957000.000000,242000.000000,0.000000,0.535000,-0.492000,-0.372000,1153000.000000,0.000000,116.964000,2.195000,1.658000,394000.000000,-17968000.000000,659000.000000,659000.000000,456000.000000,,,,,757000.000000,2704000.000000,1.000000,47620.000000,35982.000000,35982.000000,18.315000,12902000.000000,0.000000,0.000000,0.000000,358.568000
ARQ,2016-03-31,2016-05-16,2016-03-31,2016-Q1,7229000.000000,6532539.000000,2025-05-07,0.000000,10796000.000000,,9672000.000000,1124000.000000,,174.604000,-3000.000000,8560000.000000,8560000.000000,629000.000000,-2758000.000000,3.959000,0.295000,1105000.000000,1105000.000000,0.000000,1105000.000000,0.000000,47000.000000,0.000000,0.000000,0.000000,-2735000.000000,-2688000.000000,-3.286000,-2688000.000000,-2735000.000000,-2758000.000000,-58.471000,-58.471000,-58.471000,8339000.000000,,8339000.000000,-922461.000000,0.000000,0.083000,-2225000.000000,-46.588000,1.000000,189000.000000,0.231000,0.000000,23000.000000,898000.000000,,269000.000000,0.000000,0.000000,0.000000,2457000.000000,2443000.000000,14000.000000,-2272000.000000,0.000000,-26000.000000,-21000.000000,0.000000,-47000.000000,-3000.000000,0.000000,-2222000.000000,0.000000,-2758000.000000,-2758000.000000,-2758000.000000,0.000000,0.000000,-3.372000,2924000.000000,-2735000.000000,102000.000000,0.000000,0.783000,-0.570000,-0.496000,1109000.000000,0.000000,137.181000,2.409000,2.416000,490000.000000,-20726000.000000,818000.000000,818000.000000,307000.000000,,,,,713000.000000,2617000.000000,1.000000,47620.000000,47760.000000,47760.000000,17.127000,10796000.000000,0.000000,0.000000,0.000000,226.049000
