dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-03-28,1996-12-31,1996-Q4,273957000.000000,1085948556.000000,2025-05-06,49000.000000,292362000.000000,,281013000.000000,11349000.000000,,7.439000,,186030000.000000,186030000.000000,,,39.826000,0.045000,8527000.000000,2910000.000000,5617000.000000,8527000.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,279689000.000000,,279689000.000000,908445556.000000,-23.000000,-24.969000,,,1.000000,,,0.000000,,107803000.000000,,0.000000,95508000.000000,95508000.000000,0.000000,12673000.000000,7056000.000000,5617000.000000,,,,,,,,,,,,,,,,,,,1391000.000000,,3.883000,-27.145000,-20.657000,8663000.000000,,22.000000,58.391000,44.473000,0.000000,-96944000.000000,,,,,,,,,,1.000000,49361298.000000,37596000.000000,,,292362000.000000,0.000000,,0.000000,7.776000
ARQ,1997-03-31,1997-05-12,1997-03-31,1997-Q1,267670000.000000,834338239.000000,2025-05-06,-306000.000000,289641000.000000,,276771000.000000,12870000.000000,,6.262000,-2260000.000000,87243000.000000,87243000.000000,0.000000,-5766000.000000,30.411000,0.052000,8172000.000000,2839000.000000,5333000.000000,8172000.000000,0.000000,814000.000000,0.000000,0.000000,0.000000,-5614000.000000,-4800000.000000,-0.694000,-4800000.000000,-5614000.000000,-5766000.000000,-0.130000,,-0.130000,275207000.000000,,275207000.000000,755267239.000000,,,-4992000.000000,-0.114000,1.000000,6918000.000000,1.000000,0.000000,152000.000000,201469000.000000,,0.000000,190157000.000000,190157000.000000,0.000000,14434000.000000,9101000.000000,5333000.000000,50076000.000000,0.000000,150502000.000000,-355000.000000,0.000000,150147000.000000,-97332000.000000,-94997000.000000,-2732000.000000,-7000.000000,-5766000.000000,-5766000.000000,-5766000.000000,0.000000,0.000000,-0.833000,12532000.000000,-5614000.000000,6262000.000000,0.000000,3.032000,,,10109000.000000,0.000000,16.875000,,,0.000000,-102710000.000000,6918000.000000,6918000.000000,10314000.000000,,,,,0.000000,2218000.000000,1.000000,49442266.000000,43950000.000000,,0.157000,289641000.000000,0.000000,0.000000,0.000000,6.590000
ARQ,1997-06-30,1997-08-14,1997-06-30,1997-Q2,278540000.000000,774978222.000000,2025-05-06,1000.000000,300666000.000000,,287808000.000000,12858000.000000,,5.783000,-728000.000000,190900000.000000,190900000.000000,0.000000,-1412000.000000,31.054000,0.051000,8261000.000000,2815000.000000,5446000.000000,8261000.000000,1056000.000000,830000.000000,0.000000,0.000000,0.000000,-1267000.000000,-437000.000000,-0.036000,-437000.000000,-1267000.000000,-1412000.000000,-0.030000,,-0.030000,285952000.000000,,285952000.000000,592339222.000000,,,-1074000.000000,-0.022000,1.000000,12155000.000000,1.000000,0.000000,145000.000000,108759000.000000,,0.000000,97582000.000000,97582000.000000,0.000000,14714000.000000,9268000.000000,5446000.000000,103657000.000000,0.000000,11850000.000000,89000.000000,0.000000,11939000.000000,92063000.000000,92881000.000000,-346000.000000,1000.000000,-1412000.000000,-1412000.000000,-1412000.000000,0.000000,0.000000,-0.116000,13422000.000000,-1267000.000000,5397000.000000,0.000000,2.710000,,,10007000.000000,0.000000,15.440000,,,0.000000,-104122000.000000,12155000.000000,12155000.000000,10798000.000000,,,,,0.000000,2624000.000000,1.000000,50192890.000000,49444000.000000,,0.246000,300666000.000000,0.000000,0.000000,0.000000,6.081000
ARQ,1997-09-30,1997-11-12,1997-09-30,1997-Q3,273708000.000000,702474015.000000,2025-05-06,151000.000000,298727000.000000,,285466000.000000,13261000.000000,,5.876000,-1096000.000000,179507000.000000,179507000.000000,0.000000,-5855000.000000,24.278000,0.061000,8165000.000000,2677000.000000,5488000.000000,8165000.000000,556000.000000,921000.000000,0.000000,0.000000,0.000000,-5714000.000000,-4793000.000000,-0.354000,-4793000.000000,-5714000.000000,-5855000.000000,-0.110000,,-0.110000,281481000.000000,,281481000.000000,531132015.000000,,,-3943000.000000,-0.082000,1.000000,13547000.000000,1.000000,0.000000,141000.000000,115627000.000000,,0.000000,106092000.000000,106092000.000000,0.000000,17246000.000000,11758000.000000,5488000.000000,-11393000.000000,0.000000,1234000.000000,-96000.000000,0.000000,1138000.000000,-9676000.000000,-8352000.000000,-2847000.000000,-8000.000000,-5855000.000000,-5855000.000000,-5855000.000000,0.000000,0.000000,-0.432000,19261000.000000,-5714000.000000,8525000.000000,0.000000,2.496000,,,10182000.000000,0.000000,13.940000,,,0.000000,-109977000.000000,13547000.000000,13547000.000000,16449000.000000,,,,,0.000000,2812000.000000,1.000000,50392684.000000,47900000.000000,,0.283000,298727000.000000,0.000000,0.000000,0.000000,6.236000
ARQ,1997-12-31,1998-03-26,1997-12-31,1997-Q4,267925000.000000,827523889.000000,2025-05-06,152000.000000,295604000.000000,,281623000.000000,13981000.000000,,5.475000,-1936000.000000,73770000.000000,73770000.000000,0.000000,-6798000.000000,20.559000,0.071000,8415000.000000,2510000.000000,5905000.000000,8415000.000000,556000.000000,1023000.000000,0.000000,0.000000,0.000000,-6660000.000000,-5637000.000000,-0.504000,-5637000.000000,-6660000.000000,-6798000.000000,-0.140000,,-0.140000,276001000.000000,,276001000.000000,762168889.000000,-40.000000,-48.648000,-5373000.000000,-0.107000,1.000000,11179000.000000,1.000000,0.000000,138000.000000,216551000.000000,,0.000000,208217000.000000,208217000.000000,0.000000,19603000.000000,13698000.000000,5905000.000000,-105737000.000000,0.000000,1317000.000000,250000.000000,0.000000,1567000.000000,-103869000.000000,-102126000.000000,-3437000.000000,2000.000000,-6798000.000000,-6798000.000000,-6798000.000000,0.000000,0.000000,-0.608000,17839000.000000,-6660000.000000,4247000.000000,0.000000,2.998000,-41.729000,-39.939000,11095000.000000,0.000000,16.375000,18.894000,18.143000,0.000000,-116775000.000000,11179000.000000,11179000.000000,14063000.000000,,,,,0.000000,3776000.000000,1.000000,50535810.000000,50412000.000000,,0.222000,295604000.000000,0.000000,0.000000,0.000000,5.864000
ARQ,1998-03-31,1998-05-13,1998-03-31,1998-Q1,258825000.000000,733378216.000000,2025-05-06,50000.000000,283346000.000000,,267536000.000000,15810000.000000,,5.315000,-2218000.000000,60762000.000000,60762000.000000,0.000000,-8414000.000000,30.712000,0.056000,8746000.000000,2537000.000000,6209000.000000,8746000.000000,0.000000,932000.000000,0.000000,0.000000,0.000000,-8266000.000000,-7334000.000000,-1.023000,-7334000.000000,-8266000.000000,-8414000.000000,-0.165000,-0.165000,-0.165000,268426000.000000,,268426000.000000,681362216.000000,-31.000000,-37.435000,-14424000.000000,-0.286000,1.000000,7169000.000000,1.000000,0.000000,148000.000000,222619000.000000,,0.000000,207428000.000000,207428000.000000,0.000000,14920000.000000,8711000.000000,6209000.000000,-13008000.000000,0.000000,941000.000000,331000.000000,0.000000,1272000.000000,-2075000.000000,686000.000000,-12206000.000000,1000.000000,-8414000.000000,-8414000.000000,-8414000.000000,0.000000,0.000000,-1.174000,15435000.000000,-8266000.000000,6174000.000000,0.000000,2.732000,-32.625000,-32.584000,12381000.000000,0.000000,14.500000,16.649000,16.623000,0.000000,-125189000.000000,7169000.000000,7169000.000000,12182000.000000,,,,,0.000000,3253000.000000,1.000000,50577808.000000,50500000.000000,50500000.000000,0.142000,283346000.000000,0.000000,0.000000,0.000000,5.611000
ARQ,1998-06-30,1998-08-14,1998-06-30,1998-Q2,249250000.000000,490576560.000000,2025-05-06,240000.000000,274900000.000000,,257926000.000000,16974000.000000,,5.128000,-2279000.000000,38590000.000000,38590000.000000,0.000000,-9802000.000000,29.729000,0.060000,9563000.000000,2678000.000000,6885000.000000,9563000.000000,0.000000,1043000.000000,0.000000,0.000000,0.000000,-9643000.000000,-8600000.000000,-1.202000,-8600000.000000,-9643000.000000,-9802000.000000,-0.195000,-0.195000,-0.195000,259339000.000000,,259339000.000000,461549560.000000,-15.000000,-17.507000,-11340000.000000,-0.224000,1.000000,7152000.000000,1.000000,0.000000,159000.000000,237197000.000000,,0.000000,219864000.000000,219864000.000000,0.000000,15561000.000000,8676000.000000,6885000.000000,-22172000.000000,0.000000,525000.000000,817000.000000,0.000000,1342000.000000,-14452000.000000,-12245000.000000,-9061000.000000,-1000.000000,-9802000.000000,-9802000.000000,-9802000.000000,0.000000,0.000000,-1.371000,16795000.000000,-9643000.000000,5998000.000000,0.000000,1.892000,-15.892000,-15.885000,13617000.000000,0.000000,9.690000,12.564000,12.552000,0.000000,-134991000.000000,7152000.000000,7152000.000000,12631000.000000,,,,,0.000000,4164000.000000,1.000000,50627096.000000,50578000.000000,50578000.000000,0.141000,274900000.000000,0.000000,0.000000,0.000000,5.435000
ARQ,1998-09-30,1998-11-13,1998-09-30,1998-Q3,249725000.000000,643158869.000000,2025-05-06,1720000.000000,277871000.000000,,260885000.000000,16986000.000000,,5.119000,-1233000.000000,51968000.000000,51968000.000000,0.000000,-2273000.000000,23.377000,0.073000,10469000.000000,2840000.000000,7629000.000000,10469000.000000,0.000000,1141000.000000,0.000000,0.000000,0.000000,-2096000.000000,-955000.000000,-0.052000,-955000.000000,-2096000.000000,-2273000.000000,-0.045000,-0.045000,-0.045000,259082000.000000,,259082000.000000,601659869.000000,-23.000000,-26.710000,-227000.000000,-0.004000,1.000000,18417000.000000,1.000000,0.000000,177000.000000,225212000.000000,,0.000000,209261000.000000,209261000.000000,0.000000,18789000.000000,11160000.000000,7629000.000000,13378000.000000,0.000000,536000.000000,906000.000000,0.000000,1442000.000000,10920000.000000,12073000.000000,1006000.000000,10000.000000,-2273000.000000,-2273000.000000,-2273000.000000,0.000000,0.000000,-0.123000,20513000.000000,-2096000.000000,8320000.000000,0.000000,2.482000,-23.570000,-23.284000,13709000.000000,0.000000,12.690000,14.645000,14.626000,0.000000,-137264000.000000,18417000.000000,18417000.000000,15741000.000000,,,,,0.000000,4772000.000000,1.000000,50682338.000000,50616000.000000,50616000.000000,0.364000,277871000.000000,0.000000,0.000000,0.000000,5.490000
ARQ,1998-12-31,1999-03-30,1998-12-31,1998-Q4,235606000.000000,631957996.000000,2025-05-06,654000.000000,266346000.000000,,248708000.000000,17638000.000000,,4.866000,-2171000.000000,26485000.000000,26485000.000000,0.000000,-12597000.000000,18.982000,0.082000,9784000.000000,2752000.000000,7032000.000000,9784000.000000,0.000000,1404000.000000,0.000000,0.000000,0.000000,-12400000.000000,-10996000.000000,-0.943000,-10996000.000000,-12400000.000000,-12597000.000000,-0.250000,-0.250000,-0.250000,246212000.000000,,246212000.000000,615256996.000000,-19.000000,-22.064000,-12965000.000000,-0.256000,1.000000,11660000.000000,1.000000,0.000000,197000.000000,236543000.000000,,0.000000,221483000.000000,221483000.000000,0.000000,20134000.000000,13102000.000000,7032000.000000,-25483000.000000,0.000000,793000.000000,-685000.000000,0.000000,108000.000000,-14787000.000000,-12731000.000000,-10794000.000000,-10000.000000,-12597000.000000,-12597000.000000,-12597000.000000,0.000000,0.000000,-1.080000,24060000.000000,-12400000.000000,2808000.000000,0.000000,2.567000,-19.100000,-18.992000,14476000.000000,0.000000,12.440000,14.234000,14.177000,0.000000,-149861000.000000,11660000.000000,11660000.000000,18114000.000000,,,,,0.000000,5946000.000000,1.000000,50800482.000000,50598000.000000,50598000.000000,0.230000,266346000.000000,0.000000,0.000000,0.000000,5.264000
ARQ,1999-03-31,1999-05-14,1999-03-31,1999-Q1,212944000.000000,515841291.000000,2025-05-06,211000.000000,249702000.000000,,226729000.000000,22973000.000000,,4.520000,-2460000.000000,23586000.000000,23586000.000000,0.000000,-17554000.000000,16.448000,0.088000,9079000.000000,2673000.000000,6406000.000000,9079000.000000,0.000000,1244000.000000,0.000000,0.000000,0.000000,-17370000.000000,-16126000.000000,-2.262000,-16126000.000000,-17370000.000000,-17554000.000000,-0.345000,-0.345000,-0.345000,229511000.000000,,229511000.000000,501334291.000000,-12.000000,-13.669000,-17329000.000000,-0.341000,1.000000,7129000.000000,1.000000,0.000000,184000.000000,221410000.000000,,0.000000,207368000.000000,204490000.000000,2878000.000000,20191000.000000,13785000.000000,6406000.000000,-4359000.000000,-3000000.000000,1296000.000000,-705000.000000,0.000000,591000.000000,9933000.000000,16634000.000000,-14869000.000000,-14000.000000,-17554000.000000,-17554000.000000,-17554000.000000,0.000000,0.000000,-2.462000,24377000.000000,-17248000.000000,11112000.000000,0.000000,2.248000,-12.216000,-12.126000,15692000.000000,0.000000,10.125000,11.629000,11.590000,0.000000,-167415000.000000,7129000.000000,7129000.000000,18605000.000000,,,,,0.000000,5772000.000000,1.000000,50947288.000000,50778000.000000,50778000.000000,0.140000,249702000.000000,0.000000,0.000000,0.000000,4.918000
