dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-01-31,1996-12-31,1997-Q3,306287000.000000,1998443292.000000,2025-05-08,-331000.000000,780464000.000000,,380302000.000000,400162000.000000,,2.373000,,154723000.000000,154723000.000000,66729000.000000,18081000.000000,5.138000,0.199000,70472000.000000,21430000.000000,49042000.000000,70472000.000000,0.000000,,0.000000,0.010000,0.018000,23878000.000000,,,,23878000.000000,23878000.000000,0.067000,,0.067000,650869000.000000,,650869000.000000,1914192292.000000,,,,,1.000000,47252000.000000,0.415000,139278000.000000,0.000000,482920000.000000,,97268000.000000,62505000.000000,12069000.000000,50436000.000000,129595000.000000,74015000.000000,55580000.000000,,,,,,,,,,,18081000.000000,18081000.000000,18081000.000000,0.000000,0.000000,0.159000,30341000.000000,16911000.000000,16169000.000000,0.269000,3.070000,,,133257000.000000,0.000000,7.280000,,,97081000.000000,504946000.000000,113981000.000000,113981000.000000,10775000.000000,,,,,,19566000.000000,1.000000,274511441.000000,274311000.000000,,0.416000,641186000.000000,12797000.000000,5797000.000000,16995000.000000,2.337000
ARQ,1997-03-31,1997-06-23,1997-03-31,1997-Q4,300274000.000000,1861492485.000000,2025-05-08,-947000.000000,777580000.000000,,379020000.000000,398560000.000000,,2.403000,-3260000.000000,126156000.000000,126156000.000000,73322000.000000,13687000.000000,4.813000,0.179000,50046000.000000,17453000.000000,32593000.000000,50046000.000000,0.000000,3451000.000000,0.000000,0.010000,0.018000,19104000.000000,22555000.000000,0.190000,22555000.000000,19104000.000000,19104000.000000,0.049000,,0.049000,659740000.000000,,659740000.000000,1785382485.000000,20.000000,17.078000,-2819000.000000,-0.010000,1.000000,45365000.000000,0.382000,137062000.000000,0.000000,485662000.000000,,100890000.000000,62657000.000000,13876000.000000,48781000.000000,117840000.000000,78746000.000000,39094000.000000,-28567000.000000,0.000000,195000.000000,-18365000.000000,-4874000.000000,-23044000.000000,-5964000.000000,-1287000.000000,441000.000000,0.000000,13687000.000000,13687000.000000,13687000.000000,0.000000,0.000000,0.115000,30738000.000000,14627000.000000,22932000.000000,0.367000,2.822000,29.488000,29.341000,135829000.000000,0.000000,6.778000,4.229000,4.224000,115303000.000000,513750000.000000,118687000.000000,118687000.000000,11072000.000000,,,,,0.000000,19666000.000000,1.000000,274646432.000000,274563000.000000,,0.432000,640518000.000000,13532000.000000,5417000.000000,20296000.000000,2.333000
ARQ,1997-06-30,1997-08-12,1997-06-30,1998-Q1,298372000.000000,2516295893.000000,2025-05-08,144000.000000,787492000.000000,,380301000.000000,407191000.000000,,2.449000,-6327000.000000,108995000.000000,108995000.000000,61379000.000000,16598000.000000,4.642000,0.171000,51193000.000000,18257000.000000,32936000.000000,51193000.000000,0.000000,5146000.000000,0.000000,0.008000,0.018000,22341000.000000,27487000.000000,0.252000,27487000.000000,22341000.000000,22341000.000000,0.062000,,0.062000,672627000.000000,,672627000.000000,2458493893.000000,,,-8746000.000000,-0.032000,1.000000,47809000.000000,0.438000,135005000.000000,0.000000,512756000.000000,,121274000.000000,63215000.000000,15062000.000000,48153000.000000,114865000.000000,81929000.000000,32936000.000000,-17161000.000000,0.000000,80000.000000,-8000.000000,-4882000.000000,-4810000.000000,-9932000.000000,702000.000000,-2419000.000000,0.000000,16598000.000000,16598000.000000,16598000.000000,0.000000,0.000000,0.152000,31430000.000000,16379000.000000,21749000.000000,0.290000,3.741000,,,139107000.000000,0.000000,9.169000,,,107029000.000000,525466000.000000,109188000.000000,109188000.000000,11691000.000000,,,,,0.000000,19739000.000000,1.000000,274438476.000000,274646250.000000,,0.398000,652487000.000000,21356000.000000,5743000.000000,18777000.000000,2.376000
ARQ,1997-09-30,1997-11-10,1997-09-30,1998-Q2,324251000.000000,2916031790.000000,2025-05-08,1769000.000000,815759000.000000,,408361000.000000,407398000.000000,,2.548000,-4869000.000000,93062000.000000,93062000.000000,71201000.000000,30391000.000000,4.855000,0.166000,50943000.000000,18768000.000000,32175000.000000,50943000.000000,0.000000,5383000.000000,0.000000,0.007000,0.018000,46041000.000000,51424000.000000,0.334000,51424000.000000,46041000.000000,46041000.000000,0.111000,,0.111000,699474000.000000,,699474000.000000,2873912790.000000,26.000000,,4528000.000000,0.016000,1.000000,82754000.000000,0.538000,132934000.000000,0.000000,556596000.000000,,132458000.000000,67509000.000000,18774000.000000,48735000.000000,116285000.000000,84110000.000000,32175000.000000,-15933000.000000,0.000000,-285000.000000,-1408000.000000,-4882000.000000,-6575000.000000,-4799000.000000,228000.000000,9397000.000000,0.000000,30391000.000000,30391000.000000,30391000.000000,0.000000,0.000000,0.197000,43606000.000000,39148000.000000,22116000.000000,0.162000,4.169000,37.026000,36.724000,140690000.000000,0.000000,10.613000,5.881000,5.877000,117535000.000000,550973000.000000,153955000.000000,153955000.000000,12124000.000000,,,,,0.000000,31482000.000000,1.000000,274751739.000000,274565250.000000,,0.561000,682825000.000000,13816000.000000,15650000.000000,15820000.000000,2.487000
ARQ,1997-12-31,1998-02-17,1997-12-31,1998-Q3,332152000.000000,2290299169.000000,2025-05-08,646000.000000,814983000.000000,,398961000.000000,416022000.000000,,2.606000,-8507000.000000,115130000.000000,115130000.000000,75077000.000000,21983000.000000,5.972000,0.138000,48332000.000000,16336000.000000,31996000.000000,48332000.000000,0.000000,5454000.000000,0.000000,0.009000,0.018000,31072000.000000,36526000.000000,0.282000,36526000.000000,31072000.000000,31072000.000000,0.080000,0.080000,0.080000,716178000.000000,,716178000.000000,2223501169.000000,19.000000,16.113000,19393000.000000,0.071000,1.000000,54440000.000000,0.420000,131267000.000000,0.000000,550109000.000000,,135601000.000000,68577000.000000,18492000.000000,50085000.000000,98805000.000000,66809000.000000,31996000.000000,22068000.000000,0.000000,5000.000000,-2771000.000000,-4887000.000000,-7653000.000000,-12135000.000000,-1333000.000000,27900000.000000,0.000000,21983000.000000,21983000.000000,21983000.000000,0.000000,0.000000,0.170000,29130000.000000,25310000.000000,19892000.000000,0.225000,3.198000,27.708000,27.594000,145840000.000000,0.000000,8.333000,4.479000,4.478000,108044000.000000,568069000.000000,129517000.000000,129517000.000000,7891000.000000,,,,,0.000000,21239000.000000,1.000000,274835900.000000,274785750.000000,274785750.000000,0.471000,683716000.000000,14290000.000000,9089000.000000,7701000.000000,2.488000
ARQ,1998-03-31,1998-06-19,1998-03-31,1998-Q4,358752000.000000,3808475455.000000,2025-05-08,1570000.000000,847753000.000000,,430098000.000000,417655000.000000,,2.709000,-9150000.000000,103756000.000000,103756000.000000,80633000.000000,31806000.000000,6.028000,0.139000,34695000.000000,8477000.000000,26218000.000000,34695000.000000,0.000000,5725000.000000,0.000000,0.005000,0.018000,48936000.000000,54661000.000000,0.336000,54661000.000000,48936000.000000,48936000.000000,0.116000,0.111000,0.116000,744465000.000000,,744465000.000000,3739414455.000000,25.000000,21.984000,8622000.000000,0.031000,1.000000,82130000.000000,0.505000,128745000.000000,0.000000,578601000.000000,,146041000.000000,71662000.000000,20967000.000000,50695000.000000,103288000.000000,71346000.000000,31942000.000000,-11374000.000000,0.000000,186000.000000,-15011000.000000,-4874000.000000,-19699000.000000,-9447000.000000,927000.000000,17772000.000000,0.000000,31806000.000000,31806000.000000,31806000.000000,0.000000,0.000000,0.195000,38819000.000000,43311000.000000,20857000.000000,0.155000,5.116000,37.791000,37.495000,151412000.000000,0.000000,13.836000,6.857000,6.843000,136864000.000000,594847000.000000,162763000.000000,162763000.000000,14571000.000000,,,,,0.000000,24248000.000000,1.000000,275267259.000000,274846500.000000,283387500.000000,0.592000,719008000.000000,15791000.000000,17130000.000000,11101000.000000,2.616000
ARQ,1998-06-30,1998-08-06,1998-06-30,1999-Q1,381711000.000000,3259236752.000000,2025-05-08,78000.000000,890899000.000000,,467998000.000000,422901000.000000,,2.815000,-5430000.000000,139111000.000000,139111000.000000,81564000.000000,34182000.000000,5.424000,0.150000,35535000.000000,9118000.000000,26417000.000000,35535000.000000,0.000000,5528000.000000,0.000000,0.006000,0.018000,52445000.000000,57973000.000000,0.348000,57973000.000000,52445000.000000,52445000.000000,0.124000,0.124000,0.124000,774705000.000000,,774705000.000000,3155660752.000000,18.000000,15.732000,39253000.000000,0.143000,1.000000,85154000.000000,0.511000,126855000.000000,0.000000,574181000.000000,,150032000.000000,70911000.000000,17979000.000000,52932000.000000,116194000.000000,86287000.000000,29907000.000000,35355000.000000,0.000000,1985000.000000,-15000.000000,-4888000.000000,-2918000.000000,-6410000.000000,536000.000000,44683000.000000,0.000000,34182000.000000,34182000.000000,34182000.000000,0.000000,0.000000,0.205000,39093000.000000,46061000.000000,23724000.000000,0.145000,4.207000,27.536000,27.461000,153207000.000000,0.000000,11.836000,5.317000,5.313000,137229000.000000,624134000.000000,166718000.000000,166718000.000000,14084000.000000,,,,,0.000000,25009000.000000,1.000000,275376744.000000,275163750.000000,279175500.000000,0.606000,764044000.000000,17449000.000000,18263000.000000,21866000.000000,2.777000
ARQ,1998-09-30,1998-11-16,1998-09-30,1999-Q2,401178000.000000,4454170441.000000,2025-05-08,-470000.000000,924428000.000000,,486912000.000000,437516000.000000,,2.931000,-2674000.000000,138223000.000000,138223000.000000,85548000.000000,37215000.000000,5.679000,0.145000,44131000.000000,18414000.000000,25717000.000000,44131000.000000,0.000000,5626000.000000,0.000000,0.005000,0.018000,56447000.000000,62073000.000000,0.350000,62073000.000000,56447000.000000,56447000.000000,0.133000,0.133000,0.133000,807312000.000000,,807312000.000000,4360078441.000000,23.000000,20.641000,9536000.000000,0.035000,1.000000,92044000.000000,0.518000,138860000.000000,0.000000,605742000.000000,,151028000.000000,70573000.000000,15956000.000000,54617000.000000,117116000.000000,85734000.000000,31382000.000000,-888000.000000,0.000000,839000.000000,-6124000.000000,-4893000.000000,-10178000.000000,-2920000.000000,1322000.000000,12210000.000000,0.000000,37215000.000000,37215000.000000,37215000.000000,0.000000,0.000000,0.210000,41817000.000000,50227000.000000,18243000.000000,0.135000,5.517000,35.580000,33.976000,152304000.000000,0.000000,15.391000,6.997000,6.659000,157618000.000000,656309000.000000,177592000.000000,177592000.000000,13382000.000000,,,,,0.000000,28435000.000000,1.000000,289398888.000000,275418000.000000,278570250.000000,0.645000,785568000.000000,15732000.000000,19232000.000000,9160000.000000,2.852000
ARQ,1998-12-31,1999-02-16,1998-12-31,1999-Q3,441239000.000000,3596245912.000000,2025-05-08,-653000.000000,1158313000.000000,,531326000.000000,626987000.000000,,3.538000,-3163000.000000,188114000.000000,188114000.000000,86479000.000000,8154000.000000,5.898000,0.131000,44740000.000000,19195000.000000,25545000.000000,44740000.000000,0.000000,7841000.000000,0.000000,0.006000,0.018000,27843000.000000,35684000.000000,0.192000,35684000.000000,27843000.000000,27843000.000000,0.027000,0.027000,0.027000,1023950000.000000,,1023950000.000000,3452871912.000000,19.000000,16.412000,48095000.000000,0.166000,1.000000,99716000.000000,0.536000,328217000.000000,0.000000,596635000.000000,,146989000.000000,70523000.000000,17061000.000000,53462000.000000,134363000.000000,90087000.000000,44276000.000000,49891000.000000,1467000.000000,5742000.000000,-534000.000000,-4898000.000000,310000.000000,-1677000.000000,332000.000000,51258000.000000,0.000000,8154000.000000,8154000.000000,8154000.000000,0.000000,0.000000,0.044000,77261000.000000,22455000.000000,17291000.000000,0.667000,3.512000,32.295000,30.978000,152496000.000000,0.000000,12.391000,5.187000,5.173000,150760000.000000,659272000.000000,186195000.000000,186195000.000000,12274000.000000,,,,,0.000000,35987000.000000,1.000000,290227880.000000,289449000.000000,293262750.000000,0.643000,830096000.000000,15790000.000000,19689000.000000,21978000.000000,2.868000
ARQ,1999-03-31,1999-06-28,1999-03-31,1999-Q4,486598000.000000,3268870301.000000,2025-05-08,1105000.000000,1206661000.000000,,582959000.000000,623702000.000000,,3.652000,-5469000.000000,189849000.000000,189849000.000000,83255000.000000,35858000.000000,6.050000,0.138000,43768000.000000,16941000.000000,26827000.000000,43768000.000000,0.000000,7916000.000000,0.000000,0.006000,0.018000,55559000.000000,63475000.000000,0.333000,63475000.000000,55559000.000000,55559000.000000,0.124000,0.124000,0.124000,1059905000.000000,,1059905000.000000,3122789301.000000,16.000000,14.246000,49829000.000000,0.172000,1.000000,107363000.000000,0.563000,336003000.000000,0.000000,628216000.000000,,136493000.000000,103986000.000000,69872000.000000,34114000.000000,146756000.000000,96361000.000000,50395000.000000,1735000.000000,-71000.000000,1571000.000000,-8067000.000000,-5154000.000000,-11650000.000000,-41913000.000000,-31855000.000000,55298000.000000,0.000000,35858000.000000,35858000.000000,35858000.000000,0.000000,0.000000,0.188000,57636000.000000,49727000.000000,17320000.000000,0.145000,3.084000,28.324000,27.503000,154636000.000000,0.000000,11.249000,4.533000,4.408000,148896000.000000,690003000.000000,190618000.000000,190618000.000000,22103000.000000,,,,,0.000000,35533000.000000,1.000000,290594950.000000,290225250.000000,293397750.000000,0.657000,870658000.000000,18287000.000000,19701000.000000,24389000.000000,3.000000
