dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2015-06-30,2015-11-04,2015-06-30,2015-Q2,86401000.000000,,2025-05-07,-20000.000000,173764000.000000,,109191000.000000,64573000.000000,,-38.361000,,84748000.000000,84748000.000000,,,4.791000,-1.662000,0.000000,0.000000,0.000000,0.000000,64606000.000000,,0.000000,,0.000000,,,,,,,,,,-41549000.000000,,-41549000.000000,,,,,,1.000000,,,0.000000,,66226000.000000,,0.000000,83899000.000000,23870000.000000,60029000.000000,69049000.000000,22790000.000000,46259000.000000,,,,,,,,,,,,,,,,,,,1459000.000000,,,,,3240000.000000,,,,,0.000000,-41530000.000000,,,,,,,,,,1.000000,25722210.000000,1083112.000000,,,173764000.000000,0.000000,,0.000000,160.430000
ARQ,2015-09-30,2015-12-17,2015-09-30,2015-Q3,85247000.000000,553441776.000000,2025-05-07,38000.000000,166435000.000000,,108613000.000000,57822000.000000,,-35.789000,-259000.000000,66533000.000000,66533000.000000,0.000000,-3917000.000000,4.648000,-1.373000,0.000000,0.000000,0.000000,0.000000,59794000.000000,160000.000000,0.000000,0.000000,0.000000,-4019000.000000,-3859000.000000,-0.782000,-3859000.000000,-4019000.000000,-3917000.000000,-5.250000,-5.250000,-5.250000,-47139000.000000,,-47139000.000000,486908776.000000,,,-7009000.000000,-5.321000,1.000000,4937000.000000,1.000000,0.000000,-102000.000000,76536000.000000,,0.000000,94060000.000000,41138000.000000,52922000.000000,64716000.000000,23366000.000000,41350000.000000,-18215000.000000,0.000000,2000.000000,0.000000,0.000000,-952000.000000,-10513000.000000,-10254000.000000,-6750000.000000,0.000000,-3917000.000000,-6914000.000000,-6914000.000000,0.000000,0.000000,-1.400000,8956000.000000,-4019000.000000,541000.000000,0.000000,-11.741000,,,3277000.000000,2997000.000000,20.690000,,,0.000000,-47178000.000000,4937000.000000,4937000.000000,6481000.000000,,,,,857000.000000,2475000.000000,1.000000,26749240.000000,1317150.000000,1317150.000000,3.748000,166435000.000000,0.000000,0.000000,0.000000,126.360000
ARQ,2015-12-31,2016-03-17,2015-12-31,2015-Q4,171963000.000000,282471974.000000,2025-05-07,-251000.000000,229457000.000000,,195894000.000000,33563000.000000,,40.340000,-121000.000000,31309000.000000,31309000.000000,0.000000,-7283000.000000,8.186000,0.357000,0.000000,0.000000,0.000000,0.000000,54982000.000000,164000.000000,0.000000,0.000000,0.000000,-7440000.000000,-7276000.000000,-1.474000,-7276000.000000,-7440000.000000,-7283000.000000,16.220000,16.220000,16.220000,169074000.000000,,169074000.000000,251162974.000000,-8.000000,-8.542000,-9678000.000000,-2.309000,1.000000,4937000.000000,1.000000,0.000000,-157000.000000,174217000.000000,,0.000000,193036000.000000,163028000.000000,30008000.000000,60383000.000000,23931000.000000,36452000.000000,-35224000.000000,0.000000,72956000.000000,0.000000,0.000000,73910000.000000,-99577000.000000,-99456000.000000,-9557000.000000,0.000000,-7283000.000000,-8817000.000000,-8817000.000000,0.000000,0.000000,-1.786000,12377000.000000,-7440000.000000,612000.000000,0.000000,1.671000,-7.377000,-1.155000,3234000.000000,1534000.000000,10.560000,16.296000,2.553000,0.000000,-49822000.000000,4937000.000000,4937000.000000,9220000.000000,,,,,1966000.000000,3157000.000000,1.000000,26749240.000000,4191210.000000,4191210.000000,1.178000,229457000.000000,0.000000,0.000000,0.000000,54.747000
ARQ,2016-03-31,2016-05-12,2016-03-31,2016-Q1,182621000.000000,316181927.000000,2025-05-07,30000.000000,219980000.000000,,205698000.000000,14282000.000000,,6.524000,-460000.000000,33895000.000000,33895000.000000,0.000000,-7188000.000000,8.914000,0.345000,0.000000,0.000000,0.000000,0.000000,50633000.000000,136000.000000,0.000000,0.000000,0.000000,-7188000.000000,-7052000.000000,-1.460000,-7052000.000000,-7188000.000000,-7188000.000000,-0.290000,-0.290000,-0.290000,163597000.000000,,163597000.000000,282286927.000000,,,-9947000.000000,-0.397000,1.000000,4830000.000000,1.000000,0.000000,0.000000,163008000.000000,,0.000000,180086000.000000,170097000.000000,9989000.000000,56383000.000000,23077000.000000,33306000.000000,2586000.000000,0.000000,4000.000000,0.000000,0.000000,4000.000000,12069000.000000,13000000.000000,-9487000.000000,0.000000,-7188000.000000,-7188000.000000,-7188000.000000,0.000000,0.000000,-1.488000,12297000.000000,-7467000.000000,1697000.000000,0.000000,1.933000,,,3558000.000000,0.000000,11.820000,,,0.000000,-57010000.000000,4830000.000000,4830000.000000,8732000.000000,,,,,1422000.000000,3565000.000000,1.000000,26749740.000000,25076769.000000,25076769.000000,0.193000,219980000.000000,0.000000,0.000000,0.000000,8.772000
ARQ,2016-06-30,2016-08-11,2016-06-30,2016-Q2,185717000.000000,418835360.000000,2025-05-07,60000.000000,209815000.000000,,205477000.000000,4338000.000000,,6.172000,-197000.000000,67032000.000000,67032000.000000,0.000000,-9335000.000000,10.399000,0.348000,0.000000,0.000000,0.000000,0.000000,47184000.000000,152000.000000,0.000000,0.000000,0.000000,-9335000.000000,-9183000.000000,-2.469000,-9183000.000000,-9335000.000000,-9335000.000000,-0.370000,-0.370000,-0.370000,155704000.000000,,155704000.000000,351803360.000000,-13.000000,-12.854000,-9911000.000000,-0.393000,1.000000,3720000.000000,1.000000,0.000000,0.000000,123023000.000000,,0.000000,136961000.000000,136961000.000000,0.000000,54111000.000000,19760000.000000,34351000.000000,33137000.000000,0.000000,89000.000000,0.000000,0.000000,89000.000000,42762000.000000,42959000.000000,-9714000.000000,0.000000,-9335000.000000,-9335000.000000,-9335000.000000,0.000000,0.000000,-2.509000,13338000.000000,-9618000.000000,454000.000000,0.000000,2.690000,-12.986000,1.520000,3603000.000000,0.000000,15.670000,22.733000,21.457000,0.000000,-66345000.000000,3720000.000000,3720000.000000,10484000.000000,,,,,1317000.000000,2854000.000000,1.000000,26728485.000000,25228405.000000,25228405.000000,0.147000,209815000.000000,0.000000,0.000000,0.000000,8.317000
ARQ,2016-09-30,2016-11-10,2016-09-30,2016-Q3,173634000.000000,332932222.000000,2025-05-07,630000.000000,201984000.000000,,193021000.000000,8963000.000000,,5.877000,-503000.000000,63507000.000000,63507000.000000,0.000000,-8996000.000000,9.956000,0.354000,0.000000,0.000000,0.000000,0.000000,43752000.000000,160000.000000,0.000000,0.000000,0.000000,-9299000.000000,-9139000.000000,-2.763000,-9139000.000000,-9299000.000000,-9299000.000000,-0.350000,-0.350000,-0.350000,149124000.000000,,149124000.000000,269425222.000000,-8.000000,-8.252000,-10692000.000000,-0.421000,1.000000,3308000.000000,1.000000,0.000000,0.000000,119090000.000000,,0.000000,130062000.000000,127646000.000000,2416000.000000,52860000.000000,19387000.000000,33473000.000000,-3525000.000000,0.000000,53000.000000,0.000000,0.000000,53000.000000,6611000.000000,7114000.000000,-10189000.000000,0.000000,-8996000.000000,-8996000.000000,-8996000.000000,0.000000,0.000000,-2.719000,13679000.000000,-10371000.000000,787000.000000,0.000000,2.233000,-9.696000,0.819000,4253000.000000,0.000000,12.460000,19.823000,18.825000,0.000000,-75342000.000000,3308000.000000,3308000.000000,10309000.000000,,,,,1789000.000000,3370000.000000,1.000000,26720082.000000,25374381.000000,25374381.000000,0.130000,201984000.000000,0.000000,-303000.000000,0.000000,7.960000
ARQ,2016-12-31,2017-03-15,2016-12-31,2016-Q4,164984000.000000,300976651.000000,2025-05-07,-52000.000000,189566000.000000,,178786000.000000,10780000.000000,,5.324000,-3869000.000000,36641000.000000,36641000.000000,0.000000,-14673000.000000,12.954000,0.395000,0.000000,0.000000,0.000000,0.000000,41582000.000000,164000.000000,0.000000,0.000000,0.000000,-15294000.000000,-15130000.000000,-6.406000,-15130000.000000,-15294000.000000,-14318000.000000,-0.580000,-0.580000,-0.580000,135922000.000000,,135922000.000000,264335651.000000,-6.000000,-6.526000,-16961000.000000,-0.664000,1.000000,2362000.000000,1.000000,0.000000,-976000.000000,139123000.000000,,0.000000,139137000.000000,137777000.000000,1360000.000000,53644000.000000,13802000.000000,39842000.000000,-26866000.000000,0.000000,368000.000000,0.000000,0.000000,368000.000000,-14142000.000000,-10323000.000000,-13092000.000000,0.000000,-14673000.000000,-14673000.000000,-14673000.000000,0.000000,0.000000,-6.212000,16204000.000000,-13842000.000000,550000.000000,0.000000,2.214000,-7.488000,-7.050000,7893000.000000,0.000000,11.210000,21.166000,19.947000,0.000000,-90015000.000000,2362000.000000,2362000.000000,12723000.000000,,,,,1782000.000000,3481000.000000,1.000000,26848943.000000,25528482.000000,25528482.000000,0.093000,189566000.000000,0.000000,355000.000000,0.000000,7.426000
ARQ,2017-03-31,2017-05-09,2017-03-31,2017-Q1,150016000.000000,240870683.000000,2025-05-07,325000.000000,175090000.000000,,161080000.000000,14010000.000000,,4.757000,-2945000.000000,43604000.000000,43604000.000000,0.000000,-16648000.000000,14.559000,0.427000,0.000000,0.000000,0.000000,0.000000,40162000.000000,317000.000000,0.000000,0.000000,0.000000,-16874000.000000,-16557000.000000,-11.309000,-16557000.000000,-16874000.000000,-16874000.000000,-0.650000,-0.650000,-0.650000,122697000.000000,,122697000.000000,197266683.000000,-4.000000,-3.945000,-17239000.000000,-0.668000,1.000000,1464000.000000,1.000000,0.000000,0.000000,120422000.000000,,0.000000,116066000.000000,114066000.000000,2000000.000000,52393000.000000,11064000.000000,41329000.000000,6963000.000000,0.000000,602000.000000,0.000000,0.000000,602000.000000,20655000.000000,23600000.000000,-14294000.000000,0.000000,-16648000.000000,-16648000.000000,-16648000.000000,0.000000,0.000000,-11.372000,18986000.000000,-17522000.000000,557000.000000,0.000000,1.963000,-4.851000,-4.600000,10134000.000000,0.000000,8.970000,22.192000,21.315000,0.000000,-106663000.000000,1464000.000000,1464000.000000,14072000.000000,,,,,2165000.000000,4914000.000000,1.000000,26852919.000000,25791591.000000,25791591.000000,0.057000,175090000.000000,0.000000,-226000.000000,0.000000,6.789000
ARQ,2017-06-30,2017-08-08,2017-06-30,2017-Q2,132890000.000000,236214433.000000,2025-05-07,30000.000000,158414000.000000,,144726000.000000,13688000.000000,,4.058000,-467000.000000,66300000.000000,66300000.000000,0.000000,-18876000.000000,12.228000,0.505000,0.000000,0.000000,0.000000,0.000000,39053000.000000,409000.000000,0.000000,0.000000,0.000000,-18681000.000000,-18272000.000000,-15.524000,-18272000.000000,-18681000.000000,-18681000.000000,-0.730000,-0.730000,-0.730000,105291000.000000,,105291000.000000,169914433.000000,-3.000000,-2.875000,-16802000.000000,-0.648000,1.000000,1177000.000000,1.000000,0.000000,0.000000,80278000.000000,,0.000000,76503000.000000,75023000.000000,1480000.000000,53123000.000000,11836000.000000,41287000.000000,22696000.000000,0.000000,498000.000000,0.000000,0.000000,498000.000000,38533000.000000,39000000.000000,-16335000.000000,0.000000,-18876000.000000,-18876000.000000,-18876000.000000,0.000000,0.000000,-16.037000,19816000.000000,-18639000.000000,307000.000000,0.000000,2.243000,-3.991000,-3.801000,10674000.000000,0.000000,8.780000,28.422000,27.411000,0.000000,-125538000.000000,1177000.000000,1177000.000000,15300000.000000,,,,,1539000.000000,4516000.000000,1.000000,26903694.000000,25946333.000000,25946333.000000,0.045000,158414000.000000,0.000000,195000.000000,0.000000,6.105000
ARQ,2017-09-30,2017-11-02,2017-09-30,2017-Q3,107250000.000000,509345985.000000,2025-05-07,-455000.000000,140915000.000000,,128191000.000000,12724000.000000,,3.257000,-412000.000000,48201000.000000,48201000.000000,0.000000,-23346000.000000,6.122000,0.654000,0.000000,0.000000,0.000000,0.000000,37905000.000000,433000.000000,0.000000,0.000000,0.000000,-23346000.000000,-22913000.000000,-19.959000,-22913000.000000,-23346000.000000,-23346000.000000,-0.890000,-0.890000,-0.890000,85206000.000000,,85206000.000000,461144985.000000,-6.000000,-6.328000,-16299000.000000,-0.623000,1.000000,1148000.000000,1.000000,0.000000,0.000000,71773000.000000,,0.000000,78346000.000000,77386000.000000,960000.000000,55709000.000000,20941000.000000,34768000.000000,-18099000.000000,0.000000,556000.000000,0.000000,0.000000,556000.000000,-2768000.000000,-2356000.000000,-15887000.000000,0.000000,-23346000.000000,-23346000.000000,-23346000.000000,0.000000,0.000000,-20.336000,24503000.000000,-23355000.000000,911000.000000,0.000000,5.978000,-6.926000,-6.632000,10558000.000000,0.000000,18.900000,82.807000,80.395000,0.000000,-148884000.000000,1148000.000000,1148000.000000,19561000.000000,,,,,3241000.000000,4942000.000000,1.000000,26949523.000000,26164527.000000,26164527.000000,0.044000,140915000.000000,0.000000,0.000000,0.000000,5.386000
ARQ,2017-12-31,2018-03-14,2017-12-31,2017-Q4,155893000.000000,745909164.000000,2025-05-07,-287000.000000,184477000.000000,,171790000.000000,12687000.000000,,4.574000,-161000.000000,31530000.000000,31530000.000000,0.000000,-11829000.000000,10.806000,0.376000,0.000000,0.000000,0.000000,0.000000,31560000.000000,436000.000000,0.000000,0.000000,0.000000,-11798000.000000,-11362000.000000,-1.791000,-11362000.000000,-11798000.000000,-11798000.000000,-0.370000,-0.370000,-0.370000,134051000.000000,,134051000.000000,714379164.000000,-10.000000,-10.338000,-14995000.000000,-0.512000,1.000000,6345000.000000,1.000000,0.000000,0.000000,137050000.000000,,0.000000,138622000.000000,137522000.000000,1100000.000000,50426000.000000,15897000.000000,34529000.000000,-16671000.000000,0.000000,58264000.000000,0.000000,0.000000,58264000.000000,-60101000.000000,-59940000.000000,-14834000.000000,0.000000,-11829000.000000,-11829000.000000,-11829000.000000,0.000000,0.000000,-1.864000,18693000.000000,-12348000.000000,1020000.000000,0.000000,5.564000,-10.551000,-8.773000,10283000.000000,0.000000,23.160000,73.597000,61.251000,0.000000,-160713000.000000,6345000.000000,6345000.000000,13327000.000000,,,,,2293000.000000,5366000.000000,1.000000,32206786.000000,29308297.000000,29308297.000000,0.216000,184477000.000000,0.000000,31000.000000,0.000000,6.294000
ARQ,2018-03-31,2018-05-10,2018-03-31,2018-Q1,189691000.000000,541699893.000000,2025-05-07,-162000.000000,235026000.000000,,220631000.000000,14395000.000000,,3.095000,-1607000.000000,140371000.000000,140371000.000000,0.000000,-19926000.000000,7.131000,1.391000,0.000000,0.000000,0.000000,0.000000,119723000.000000,456000.000000,0.000000,0.000000,0.000000,-20106000.000000,-19650000.000000,-20.860000,-19650000.000000,-20106000.000000,-20106000.000000,-0.630000,-0.630000,-0.630000,98293000.000000,,98293000.000000,401328893.000000,-5.000000,-5.559000,47003000.000000,1.480000,1.000000,942000.000000,1.000000,0.000000,0.000000,63715000.000000,,0.000000,79147000.000000,77827000.000000,1320000.000000,136733000.000000,30940000.000000,105793000.000000,108841000.000000,0.000000,1829000.000000,0.000000,0.000000,1829000.000000,58402000.000000,60009000.000000,48610000.000000,0.000000,-19926000.000000,-19926000.000000,-19926000.000000,0.000000,0.000000,-21.153000,22035000.000000,-21093000.000000,1372000.000000,0.000000,5.511000,-7.323000,-6.397000,11458000.000000,0.000000,16.760000,56.357000,55.378000,0.000000,-200689000.000000,942000.000000,942000.000000,14853000.000000,,,,,2322000.000000,7182000.000000,1.000000,32320996.000000,31759870.000000,31759870.000000,0.030000,235026000.000000,0.000000,-180000.000000,0.000000,7.400000
ARQ,2018-06-30,2018-08-07,2018-06-30,2018-Q2,171150000.000000,654558662.000000,2025-05-07,-125000.000000,214663000.000000,,200245000.000000,14418000.000000,,2.563000,-1326000.000000,59614000.000000,59614000.000000,0.000000,-25541000.000000,6.882000,1.619000,0.000000,0.000000,0.000000,0.000000,117148000.000000,516000.000000,0.000000,0.000000,0.000000,-25541000.000000,-25025000.000000,-9.718000,-25025000.000000,-25541000.000000,-25541000.000000,-0.800000,-0.800000,-0.800000,81972000.000000,,81972000.000000,594944662.000000,-7.000000,-7.536000,-23828000.000000,-0.745000,1.000000,2575000.000000,1.000000,0.000000,0.000000,125954000.000000,,0.000000,137369000.000000,136509000.000000,860000.000000,132691000.000000,29095000.000000,103596000.000000,-80757000.000000,0.000000,1117000.000000,0.000000,0.000000,1117000.000000,-59372000.000000,-58046000.000000,-22502000.000000,0.000000,-25541000.000000,-25541000.000000,-25541000.000000,0.000000,0.000000,-9.919000,28269000.000000,-25694000.000000,1558000.000000,0.000000,7.985000,-8.117000,-7.502000,12244000.000000,0.000000,20.180000,59.451000,58.610000,0.000000,-226231000.000000,2575000.000000,2575000.000000,16507000.000000,,,,,8114000.000000,11762000.000000,1.000000,32436009.000000,31976922.000000,31976922.000000,0.081000,214663000.000000,0.000000,0.000000,0.000000,6.713000
ARQ,2018-09-30,2018-11-07,2018-09-30,2018-Q3,152439000.000000,455470667.000000,2025-05-07,-174000.000000,197064000.000000,,182466000.000000,14598000.000000,,2.037000,-849000.000000,42142000.000000,42142000.000000,0.000000,-20289000.000000,6.077000,2.005000,0.000000,0.000000,0.000000,0.000000,115054000.000000,566000.000000,0.000000,0.000000,0.000000,-20289000.000000,-19723000.000000,-9.419000,-19723000.000000,-20289000.000000,-20289000.000000,-0.630000,-0.630000,-0.630000,65588000.000000,,65588000.000000,413328667.000000,-5.000000,-5.456000,-18496000.000000,-0.575000,1.000000,2094000.000000,1.000000,0.000000,0.000000,124895000.000000,,0.000000,138259000.000000,137459000.000000,800000.000000,131476000.000000,30027000.000000,101449000.000000,-17472000.000000,0.000000,1368000.000000,0.000000,0.000000,1368000.000000,-1193000.000000,-344000.000000,-17647000.000000,0.000000,-20289000.000000,-20289000.000000,-20289000.000000,0.000000,0.000000,-9.689000,23241000.000000,-21147000.000000,1422000.000000,0.000000,6.944000,-5.871000,-5.757000,12527000.000000,0.000000,13.990000,38.096000,37.668000,0.000000,-246520000.000000,2094000.000000,2094000.000000,16632000.000000,,,,,2636000.000000,6609000.000000,1.000000,32556874.000000,32191475.000000,32191475.000000,0.065000,197064000.000000,0.000000,0.000000,0.000000,6.122000
ARQ,2018-12-31,2019-02-26,2018-12-31,2018-Q4,130808000.000000,452397776.000000,2025-05-07,-133000.000000,177029000.000000,,162481000.000000,14548000.000000,,1.437000,-523000.000000,46859000.000000,46859000.000000,0.000000,-22531000.000000,5.130000,2.812000,0.000000,0.000000,0.000000,0.000000,113046000.000000,579000.000000,0.000000,0.000000,0.000000,-22531000.000000,-21952000.000000,-10.932000,-21952000.000000,-22531000.000000,-22531000.000000,-0.690000,-0.690000,-0.690000,46446000.000000,,46446000.000000,405538776.000000,-5.000000,-4.696000,-24871000.000000,-0.769000,1.000000,2008000.000000,1.000000,0.000000,0.000000,98497000.000000,,0.000000,109575000.000000,108947000.000000,628000.000000,130583000.000000,31673000.000000,98910000.000000,4717000.000000,0.000000,435000.000000,0.000000,0.000000,435000.000000,28630000.000000,29153000.000000,-24348000.000000,0.000000,-22531000.000000,-22531000.000000,-22531000.000000,0.000000,0.000000,-11.221000,25169000.000000,-23161000.000000,1038000.000000,0.000000,9.740000,-5.124000,-5.044000,12771000.000000,0.000000,13.870000,59.378000,58.374000,0.000000,-269051000.000000,2008000.000000,2008000.000000,16914000.000000,,,,,2638000.000000,8255000.000000,1.000000,32616999.000000,32330114.000000,32330114.000000,0.062000,177029000.000000,0.000000,0.000000,0.000000,5.476000
