dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-03-25,1996-12-31,1996-Q4,-1754800000.000000,27360524812.000000,2025-04-25,-458500000.000000,24856200000.000000,,3948000000.000000,20908200000.000000,,8.443000,,152500000.000000,152500000.000000,,,0.692000,2.349000,8097500000.000000,2137300000.000000,5960200000.000000,8097500000.000000,0.000000,,0.000000,0.046000,0.360000,,,,,,,,,,7422800000.000000,,7422800000.000000,35305524812.000000,10.000000,5.919000,,,1.000000,,,0.000000,,27098400000.000000,,148700000.000000,4038500000.000000,271700000.000000,3766800000.000000,17433400000.000000,5702800000.000000,11730600000.000000,,,,,,,,,,,,,,,,,,,2902700000.000000,,3.686000,14.542000,14.603000,15915700000.000000,,31.250000,2.092000,2.100000,2846800000.000000,2381900000.000000,,,,,,,,,,1.000000,875536794.000000,879200000.000000,,,24856200000.000000,0.000000,,1352900000.000000,28.271000
ARQ,1997-03-31,1997-05-12,1997-03-31,1997-Q1,-1747500000.000000,30367874383.000000,2025-04-25,-475200000.000000,25216200000.000000,,4055100000.000000,21161100000.000000,,8.648000,-617100000.000000,144800000.000000,144800000.000000,0.000000,515600000.000000,0.699000,2.314000,8206700000.000000,2263700000.000000,5943000000.000000,8206700000.000000,0.000000,671400000.000000,0.000000,0.042000,0.370000,968200000.000000,1639600000.000000,0.480000,1639600000.000000,968200000.000000,830700000.000000,0.585000,0.585000,0.585000,7608200000.000000,,7608200000.000000,38429774383.000000,,,565700000.000000,0.643000,1.000000,3413900000.000000,1.000000,0.000000,137500000.000000,27475500000.000000,,175000000.000000,3765200000.000000,332400000.000000,3432800000.000000,17608000000.000000,5802600000.000000,11805400000.000000,-7700000.000000,-16500000.000000,-14800000.000000,-108000000.000000,-315200000.000000,-438000000.000000,-752500000.000000,-56400000.000000,1182800000.000000,0.000000,515600000.000000,515600000.000000,515600000.000000,0.000000,0.000000,0.151000,2517400000.000000,896500000.000000,2853900000.000000,0.632000,3.991000,,,16139800000.000000,0.000000,34.685000,,,2796300000.000000,2563500000.000000,3413900000.000000,3413900000.000000,0.000000,,,,,0.000000,0.000000,1.000000,875533354.000000,879800000.000000,879800000.000000,3.880000,25216200000.000000,0.000000,315100000.000000,1381800000.000000,28.661000
ARQ,1997-06-30,1997-07-24,1997-06-30,1997-Q2,-1576000000.000000,31060831926.000000,2025-04-25,-485500000.000000,24978400000.000000,,3950400000.000000,21028000000.000000,,8.827000,-707000000.000000,103900000.000000,103900000.000000,0.000000,498900000.000000,0.715000,2.219000,8090200000.000000,2273800000.000000,5816400000.000000,8090200000.000000,0.000000,685000000.000000,0.000000,0.041000,0.370000,954600000.000000,1639600000.000000,0.477000,1639600000.000000,954600000.000000,823200000.000000,0.570000,0.570000,0.570000,7758800000.000000,,7758800000.000000,39047131926.000000,,,52900000.000000,0.060000,1.000000,3440700000.000000,1.000000,0.000000,131400000.000000,27438300000.000000,,191400000.000000,3682200000.000000,213000000.000000,3469200000.000000,17219600000.000000,5526400000.000000,11693200000.000000,-40900000.000000,269400000.000000,-36800000.000000,-130500000.000000,-323900000.000000,-501200000.000000,-299600000.000000,127800000.000000,759900000.000000,0.000000,498900000.000000,498900000.000000,498900000.000000,0.000000,0.000000,0.145000,2541900000.000000,898800000.000000,2567000000.000000,0.649000,4.003000,,,15927000000.000000,0.000000,35.500000,,,2873500000.000000,2718400000.000000,3440700000.000000,3440700000.000000,0.000000,,,,,0.000000,0.000000,1.000000,874953012.000000,879000000.000000,879000000.000000,3.914000,24978400000.000000,0.000000,324300000.000000,1423800000.000000,28.417000
ARQ,1997-09-30,1997-11-14,1997-09-30,1997-Q3,-4657700000.000000,64748412939.000000,2025-04-25,-528500000.000000,52890900000.000000,,8455300000.000000,44435600000.000000,,8.082000,-3557400000.000000,315800000.000000,315800000.000000,0.000000,-80100000.000000,0.645000,3.215000,19203100000.000000,6131700000.000000,13071400000.000000,19203100000.000000,0.000000,3102700000.000000,0.000000,0.036000,0.385000,286500000.000000,3389200000.000000,0.460000,3389200000.000000,286500000.000000,-11600000.000000,-0.050000,,-0.050000,12549400000.000000,,12549400000.000000,83635712939.000000,,,500400000.000000,0.322000,1.000000,7373900000.000000,1.000000,0.000000,298100000.000000,58665200000.000000,,516000000.000000,5304200000.000000,166800000.000000,5137400000.000000,40341500000.000000,13113000000.000000,27228500000.000000,115000000.000000,-352000000.000000,-28400000.000000,856600000.000000,-1129200000.000000,-301100000.000000,-3641700000.000000,167300000.000000,4057800000.000000,0.000000,-80100000.000000,-80100000.000000,-80100000.000000,0.000000,0.000000,-0.011000,6952900000.000000,421000000.000000,5444600000.000000,-7.700000,5.159000,,,34724500000.000000,0.000000,41.685000,,,6147200000.000000,993800000.000000,7373900000.000000,7373900000.000000,0.000000,,,,,0.000000,0.000000,1.000000,1553278468.000000,1552800000.000000,,4.749000,52890900000.000000,0.000000,68500000.000000,2085300000.000000,34.062000
ARQ,1998-03-31,1998-05-11,1998-03-31,1998-Q1,-2234100000.000000,72333204996.000000,2025-04-25,-648700000.000000,54314300000.000000,,9246000000.000000,45068300000.000000,,8.266000,-1659100000.000000,403900000.000000,403900000.000000,0.000000,893400000.000000,0.805000,3.231000,20230700000.000000,4551800000.000000,15678900000.000000,20230700000.000000,0.000000,1410500000.000000,0.000000,0.033000,0.385000,1732400000.000000,3142900000.000000,0.411000,3142900000.000000,1732400000.000000,1422400000.000000,0.575000,0.565000,0.575000,12837700000.000000,,12837700000.000000,92160004996.000000,,,543700000.000000,0.350000,1.000000,7651100000.000000,1.000000,0.000000,310000000.000000,62661000000.000000,,544500000.000000,5852800000.000000,746100000.000000,5106700000.000000,41476600000.000000,11480100000.000000,29996500000.000000,81100000.000000,-124500000.000000,-280400000.000000,467700000.000000,-593800000.000000,-406500000.000000,-1715200000.000000,34700000.000000,2202800000.000000,0.000000,893400000.000000,890900000.000000,890900000.000000,0.000000,0.000000,0.116000,5939100000.000000,1712000000.000000,5628000000.000000,0.670000,5.634000,,,35346500000.000000,2500000.000000,46.595000,,,6277600000.000000,1325500000.000000,7651100000.000000,7651100000.000000,0.000000,,,,,0.000000,0.000000,1.000000,1552381264.000000,1553000000.000000,1578600000.000000,4.927000,54314300000.000000,0.000000,529000000.000000,2388800000.000000,34.974000
ARQ,1998-03-31,1998-06-29,1998-03-31,1998-Q1,-2234100000.000000,70873966608.000000,2025-04-25,-648700000.000000,54314300000.000000,,9246000000.000000,45068300000.000000,,8.266000,-1659100000.000000,403900000.000000,403900000.000000,0.000000,893400000.000000,0.805000,3.231000,20230700000.000000,4551800000.000000,15678900000.000000,20230700000.000000,0.000000,1410500000.000000,0.000000,0.033000,0.385000,1732400000.000000,3142900000.000000,0.411000,3142900000.000000,1732400000.000000,1422400000.000000,0.570000,0.560000,0.570000,12837700000.000000,,12837700000.000000,90700766608.000000,16.000000,7.486000,543700000.000000,0.350000,1.000000,7651100000.000000,1.000000,0.000000,310000000.000000,62661000000.000000,,544500000.000000,5852800000.000000,746100000.000000,5106700000.000000,41476600000.000000,11480100000.000000,29996500000.000000,81100000.000000,-124500000.000000,-280400000.000000,467700000.000000,-593800000.000000,-406500000.000000,-1715200000.000000,34700000.000000,2202800000.000000,0.000000,893400000.000000,890900000.000000,890900000.000000,0.000000,0.000000,0.116000,5939100000.000000,1712000000.000000,5628000000.000000,0.675000,5.521000,26.769000,26.856000,35346500000.000000,2500000.000000,45.655000,2.329000,2.330000,6277600000.000000,1325500000.000000,7651100000.000000,7651100000.000000,0.000000,,,,,0.000000,0.000000,1.000000,1552381264.000000,1553000000.000000,1578600000.000000,4.927000,54314300000.000000,0.000000,529000000.000000,2388800000.000000,34.974000
ARQ,1998-06-30,1998-08-13,1998-06-30,1998-Q2,-2816300000.000000,66706161107.000000,2025-04-25,-789400000.000000,54715700000.000000,,9002800000.000000,45712900000.000000,,8.482000,-1822600000.000000,303100000.000000,303100000.000000,0.000000,1020900000.000000,0.762000,3.155000,19856000000.000000,4352800000.000000,15503200000.000000,19856000000.000000,0.000000,1445800000.000000,0.000000,0.036000,0.385000,1962600000.000000,3408400000.000000,0.430000,3408400000.000000,1962600000.000000,1599500000.000000,0.660000,0.650000,0.660000,13170200000.000000,,13170200000.000000,86259061107.000000,13.000000,6.212000,847300000.000000,0.546000,1.000000,7927800000.000000,1.000000,0.000000,363100000.000000,62449500000.000000,,604900000.000000,5648200000.000000,423400000.000000,5224800000.000000,41545500000.000000,11819100000.000000,29726400000.000000,-100800000.000000,-300300000.000000,600000.000000,-326400000.000000,-594500000.000000,-920300000.000000,-1850400000.000000,391600000.000000,2669900000.000000,0.000000,1020900000.000000,1020900000.000000,1020900000.000000,0.000000,0.000000,0.129000,5975200000.000000,1952600000.000000,6103400000.000000,0.583000,5.065000,21.046000,23.989000,35801800000.000000,0.000000,42.940000,1.910000,1.910000,6467300000.000000,1698200000.000000,7927800000.000000,7927800000.000000,0.000000,,,,,0.000000,0.000000,1.000000,1553473710.000000,1552800000.000000,1578200000.000000,5.105000,54715700000.000000,0.000000,578600000.000000,2495800000.000000,35.237000
ARQ,1998-09-30,1998-11-10,1998-09-30,1998-Q3,-670600000.000000,86741238145.000000,2025-04-25,-719800000.000000,54998300000.000000,,8907100000.000000,46091200000.000000,,8.116000,-1936800000.000000,620800000.000000,620800000.000000,0.000000,-8100000.000000,0.930000,3.364000,20125200000.000000,1924300000.000000,18200900000.000000,20125200000.000000,0.000000,1469800000.000000,0.000000,0.028000,0.385000,713200000.000000,2183000000.000000,0.276000,2183000000.000000,713200000.000000,354500000.000000,-0.010000,-0.010000,-0.010000,12604100000.000000,,12604100000.000000,106245638145.000000,15.000000,8.380000,540900000.000000,0.348000,1.000000,7909900000.000000,1.000000,0.000000,358700000.000000,64925000000.000000,,571200000.000000,5010200000.000000,163700000.000000,4846500000.000000,42394200000.000000,9577700000.000000,32816500000.000000,317700000.000000,-145300000.000000,-80800000.000000,359000000.000000,-595500000.000000,-317300000.000000,-1842700000.000000,286900000.000000,2477700000.000000,0.000000,-8100000.000000,-8100000.000000,-8100000.000000,0.000000,0.000000,-0.001000,6779800000.000000,1130100000.000000,6254100000.000000,-38.500000,6.882000,26.759000,30.536000,36227300000.000000,0.000000,55.880000,2.447000,2.448000,6424100000.000000,1064000000.000000,7909900000.000000,7909900000.000000,0.000000,,,,,0.000000,0.000000,1.000000,1552276989.000000,1552900000.000000,1552900000.000000,5.094000,54998300000.000000,0.000000,362600000.000000,2349400000.000000,35.417000
ARQ,1998-12-31,1999-03-30,1998-12-31,1998-Q4,-1448900000.000000,81748010855.000000,2025-04-25,-714200000.000000,55143900000.000000,,9082300000.000000,46061600000.000000,,8.387000,-2016100000.000000,237100000.000000,237100000.000000,0.000000,1059100000.000000,0.862000,3.234000,20634000000.000000,2987600000.000000,17646400000.000000,20634000000.000000,0.000000,1544100000.000000,0.000000,0.029000,0.385000,1900600000.000000,3444700000.000000,0.426000,3444700000.000000,1900600000.000000,1597000000.000000,0.670000,0.660000,0.670000,13025400000.000000,,13025400000.000000,102144910855.000000,16.000000,8.387000,704400000.000000,0.454000,1.000000,8077100000.000000,1.000000,0.000000,303600000.000000,65009600000.000000,,566000000.000000,5061800000.000000,785800000.000000,4276000000.000000,42118500000.000000,10531200000.000000,31587300000.000000,-383700000.000000,542800000.000000,-82200000.000000,482200000.000000,-595700000.000000,-827600000.000000,-2276600000.000000,-604000000.000000,2720500000.000000,0.000000,1059100000.000000,1029300000.000000,1029300000.000000,0.000000,0.000000,0.127000,6244600000.000000,1832500000.000000,6105000000.000000,0.575000,6.276000,27.872000,27.847000,36815500000.000000,29800000.000000,52.630000,2.590000,2.589000,6559900000.000000,1370800000.000000,8077100000.000000,8077100000.000000,0.000000,,,,,0.000000,0.000000,1.000000,1553258804.000000,1553000000.000000,1578300000.000000,5.201000,55143900000.000000,0.000000,537900000.000000,2475600000.000000,35.508000
ARQ,1999-03-31,1999-05-12,1999-03-31,1999-Q1,-988000000.000000,88185308578.000000,2025-04-25,-729000000.000000,54975000000.000000,,8901000000.000000,46074000000.000000,,8.692000,-1711000000.000000,368000000.000000,368000000.000000,0.000000,1142000000.000000,0.900000,3.073000,19993000000.000000,2286000000.000000,17707000000.000000,19993000000.000000,0.000000,1504000000.000000,0.000000,0.027000,0.385000,2131000000.000000,3635000000.000000,0.456000,3635000000.000000,2131000000.000000,1816000000.000000,0.740000,0.720000,0.740000,13499000000.000000,,13499000000.000000,107810308578.000000,16.000000,8.508000,775000000.000000,0.499000,1.000000,7967000000.000000,1.000000,0.000000,315000000.000000,64711000000.000000,,555000000.000000,4238000000.000000,539000000.000000,3699000000.000000,41476000000.000000,9889000000.000000,31587000000.000000,131000000.000000,504000000.000000,-57000000.000000,-1082000000.000000,-598000000.000000,-1357000000.000000,-998000000.000000,277000000.000000,2486000000.000000,0.000000,1142000000.000000,1142000000.000000,1142000000.000000,0.000000,0.000000,0.143000,5889000000.000000,2078000000.000000,6233000000.000000,0.520000,6.533000,27.696000,27.578000,37291000000.000000,0.000000,56.810000,2.766000,2.767000,6535000000.000000,1844000000.000000,7967000000.000000,7967000000.000000,0.000000,,,,,0.000000,0.000000,1.000000,1552284960.000000,1553000000.000000,1582000000.000000,5.130000,54975000000.000000,0.000000,674000000.000000,2647000000.000000,35.399000
