dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-01-10,1996-11-30,1997-Q1,829126000.000000,9661037076.000000,2025-04-08,0.000000,3949361000.000000,,2280236000.000000,1669125000.000000,,2.115000,-94512000.000000,30077000.000000,30077000.000000,2223963000.000000,75019000.000000,1.571000,0.897000,42000000.000000,42000000.000000,0.000000,42000000.000000,0.000000,0.000000,0.000000,0.011000,0.030000,123140000.000000,123140000.000000,0.040000,123140000.000000,123140000.000000,122480000.000000,0.075000,,0.075000,2082228000.000000,,2082228000.000000,9672960076.000000,,,9720000.000000,0.010000,1.000000,830016000.000000,0.272000,0.000000,660000.000000,2510174000.000000,,1845490000.000000,0.000000,0.000000,0.000000,1867133000.000000,1451110000.000000,416023000.000000,21258000.000000,0.000000,0.000000,42000000.000000,-27076000.000000,7352000.000000,-90326000.000000,0.000000,104232000.000000,0.000000,75019000.000000,75019000.000000,75019000.000000,0.000000,0.000000,0.025000,707667000.000000,122349000.000000,902283000.000000,0.400000,4.640000,,,1502029000.000000,0.000000,9.812000,,,326432000.000000,2005309000.000000,3053979000.000000,3053979000.000000,0.000000,,,,,0.000000,707667000.000000,1.000000,984564288.000000,984564288.000000,,3.102000,3949361000.000000,0.000000,47461000.000000,146413000.000000,4.011000
ARQ,1997-03-31,1997-04-11,1997-02-28,1997-Q2,880710000.000000,10123782291.000000,2025-04-08,0.000000,3911281000.000000,,2160850000.000000,1750431000.000000,,2.232000,-80296000.000000,20895000.000000,20895000.000000,2596547000.000000,147440000.000000,1.688000,0.780000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014000,0.060000,241340000.000000,241340000.000000,0.067000,241340000.000000,241340000.000000,240719000.000000,0.147000,,0.147000,2197911000.000000,,2197911000.000000,10102887291.000000,,,91222000.000000,0.093000,1.000000,1006073000.000000,0.279000,0.000000,621000.000000,2610246000.000000,,1717157000.000000,0.000000,0.000000,0.000000,1713370000.000000,1280140000.000000,433230000.000000,-9182000.000000,0.000000,0.000000,-42000000.000000,-29542000.000000,-79899000.000000,-100801000.000000,0.000000,171518000.000000,0.000000,147440000.000000,147440000.000000,147440000.000000,0.000000,0.000000,0.041000,766559000.000000,239514000.000000,715926000.000000,0.408000,4.606000,,,1542853000.000000,0.000000,10.283000,,,344429000.000000,2120992000.000000,3602620000.000000,3602620000.000000,0.000000,,,,,0.000000,766559000.000000,1.000000,984564288.000000,984564288.000000,,3.659000,3911281000.000000,0.000000,93279000.000000,146100000.000000,3.973000
ARQ,1997-06-30,1997-07-11,1997-05-31,1997-Q3,913028000.000000,14431251051.000000,2025-04-08,0.000000,3994049000.000000,,2209185000.000000,1784864000.000000,,2.307000,-114252000.000000,137689000.000000,137689000.000000,2470643000.000000,108101000.000000,1.704000,0.759000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.030000,176838000.000000,176838000.000000,0.052000,176838000.000000,176838000.000000,176492000.000000,0.110000,,0.110000,2271104000.000000,,2271104000.000000,14293562051.000000,,,115873000.000000,0.118000,1.000000,932638000.000000,0.274000,0.000000,346000.000000,2560203000.000000,,1651864000.000000,0.000000,0.000000,0.000000,1722945000.000000,1296157000.000000,426788000.000000,116794000.000000,0.000000,0.000000,0.000000,-29537000.000000,-8297000.000000,-105034000.000000,0.000000,230125000.000000,0.000000,108101000.000000,108101000.000000,108101000.000000,0.000000,0.000000,0.032000,757441000.000000,175197000.000000,727813000.000000,0.273000,6.354000,,,1611103000.000000,0.000000,14.658000,,,342860000.000000,2194185000.000000,3403281000.000000,3403281000.000000,0.000000,,,,,0.000000,757441000.000000,1.000000,984564288.000000,984564288.000000,,3.457000,3994049000.000000,0.000000,68391000.000000,147630000.000000,4.057000
ARQ,1997-09-30,1997-11-26,1997-08-31,1997-Q4,887000000.000000,16011915893.000000,2025-04-08,0.000000,4207000000.000000,,2326000000.000000,1881000000.000000,,2.399000,-180940000.000000,73000000.000000,73000000.000000,2390847000.000000,105440000.000000,1.616000,0.773000,0.000000,0.000000,0.000000,0.000000,0.000000,164000000.000000,0.000000,0.009000,0.032000,172682000.000000,336682000.000000,0.102000,336682000.000000,172682000.000000,172309000.000000,0.107000,,0.107000,2373000000.000000,,2373000000.000000,15938915893.000000,22.000000,18.154000,-36815000.000000,-0.037000,1.000000,912273000.000000,0.276000,0.000000,373000.000000,2695000000.000000,,1733000000.000000,0.000000,0.000000,0.000000,1834000000.000000,1439000000.000000,395000000.000000,-64870000.000000,0.000000,17000000.000000,-1000000.000000,-29845000.000000,-19156000.000000,-189839000.000000,-16000000.000000,144125000.000000,0.000000,105440000.000000,105440000.000000,105440000.000000,0.000000,0.000000,0.032000,741333000.000000,170940000.000000,813000000.000000,0.299000,6.748000,36.725000,36.795000,1754000000.000000,0.000000,16.190000,1.198000,1.198000,376000000.000000,2266000000.000000,3303120000.000000,3303120000.000000,0.000000,,,,,0.000000,741333000.000000,1.000000,989000364.000000,989000364.000000,,3.340000,4207000000.000000,0.000000,66869000.000000,185000000.000000,4.254000
ARQ,1997-12-31,1998-01-13,1997-11-30,1998-Q1,896000000.000000,15475121156.000000,2025-04-08,0.000000,4453000000.000000,,2511000000.000000,1942000000.000000,,2.451000,-148000000.000000,14000000.000000,14000000.000000,2541000000.000000,61000000.000000,1.555000,0.835000,35000000.000000,35000000.000000,0.000000,35000000.000000,0.000000,0.000000,0.000000,0.010000,0.032000,118000000.000000,118000000.000000,0.034000,118000000.000000,118000000.000000,117000000.000000,0.065000,,0.065000,2427000000.000000,,2427000000.000000,15496121156.000000,22.000000,17.753000,-163000000.000000,-0.165000,1.000000,944000000.000000,0.271000,0.000000,1000000.000000,2859000000.000000,,2062000000.000000,0.000000,0.000000,0.000000,2026000000.000000,1615000000.000000,411000000.000000,-59000000.000000,0.000000,37000000.000000,35000000.000000,-30000000.000000,41000000.000000,-85000000.000000,0.000000,-15000000.000000,0.000000,61000000.000000,61000000.000000,61000000.000000,0.000000,0.000000,0.018000,801000000.000000,143000000.000000,987000000.000000,0.492000,6.376000,36.673000,36.337000,1812000000.000000,0.000000,15.625000,1.122000,1.122000,353000000.000000,2296000000.000000,3485000000.000000,3485000000.000000,0.000000,,,,,0.000000,801000000.000000,1.000000,990407754.000000,990407754.000000,,3.519000,4453000000.000000,0.000000,56000000.000000,94000000.000000,4.496000
ARQ,1998-03-31,1998-04-08,1998-02-28,1998-Q2,935000000.000000,17199559475.000000,2025-04-08,0.000000,4502000000.000000,,2428000000.000000,2074000000.000000,,2.613000,-181000000.000000,35000000.000000,35000000.000000,2961000000.000000,171000000.000000,1.626000,0.737000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007000,0.032000,279000000.000000,279000000.000000,0.068000,279000000.000000,279000000.000000,279000000.000000,0.170000,0.170000,0.170000,2592000000.000000,,2592000000.000000,17164559475.000000,23.000000,18.851000,57000000.000000,0.057000,1.000000,1133000000.000000,0.277000,0.000000,0.000000,2974000000.000000,,1939000000.000000,0.000000,0.000000,0.000000,1910000000.000000,1493000000.000000,417000000.000000,21000000.000000,0.000000,25000000.000000,-35000000.000000,-30000000.000000,-40000000.000000,-177000000.000000,0.000000,238000000.000000,0.000000,171000000.000000,171000000.000000,171000000.000000,0.000000,0.000000,0.042000,854000000.000000,279000000.000000,856000000.000000,0.188000,6.636000,38.604000,38.223000,1941000000.000000,0.000000,17.315000,1.204000,1.202000,367000000.000000,2437000000.000000,4094000000.000000,4094000000.000000,0.000000,,,,,0.000000,854000000.000000,1.000000,993332918.000000,992000000.000000,1004000000.000000,4.127000,4502000000.000000,0.000000,108000000.000000,92000000.000000,4.538000
ARQ,1998-06-30,1998-07-09,1998-05-31,1998-Q3,981000000.000000,22539774994.000000,2025-04-08,0.000000,4580000000.000000,,2420000000.000000,2160000000.000000,,2.718000,-133000000.000000,111000000.000000,111000000.000000,2840000000.000000,127000000.000000,1.682000,0.695000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005000,0.032000,206000000.000000,206000000.000000,0.053000,206000000.000000,206000000.000000,206000000.000000,0.130000,0.125000,0.130000,2702000000.000000,,2702000000.000000,22428774994.000000,29.000000,23.868000,69000000.000000,0.069000,1.000000,1047000000.000000,0.269000,0.000000,0.000000,3030000000.000000,,1838000000.000000,0.000000,0.000000,0.000000,1878000000.000000,1439000000.000000,439000000.000000,76000000.000000,0.000000,19000000.000000,0.000000,-32000000.000000,3000000.000000,-129000000.000000,0.000000,202000000.000000,0.000000,127000000.000000,127000000.000000,127000000.000000,0.000000,0.000000,0.033000,843000000.000000,204000000.000000,795000000.000000,0.246000,8.342000,48.531000,47.896000,2027000000.000000,0.000000,22.655000,1.526000,1.525000,388000000.000000,2531000000.000000,3887000000.000000,3887000000.000000,0.000000,,,,,0.000000,843000000.000000,1.000000,994913926.000000,994000000.000000,1008000000.000000,3.910000,4580000000.000000,0.000000,79000000.000000,101000000.000000,4.608000
ARQ,1998-09-30,1998-11-30,1998-08-31,1998-Q4,1043000000.000000,26870542268.000000,2025-04-08,0.000000,4902000000.000000,,2623000000.000000,2279000000.000000,,2.870000,-107000000.000000,144000000.000000,144000000.000000,2798000000.000000,152000000.000000,1.660000,0.721000,0.000000,0.000000,0.000000,0.000000,0.000000,189000000.000000,0.000000,0.005000,0.033000,249000000.000000,438000000.000000,0.114000,438000000.000000,249000000.000000,249000000.000000,0.150000,0.150000,0.150000,2849000000.000000,,2849000000.000000,26726542268.000000,31.000000,25.674000,39000000.000000,0.039000,1.000000,1043000000.000000,0.272000,0.000000,0.000000,3178000000.000000,,2027000000.000000,0.000000,0.000000,0.000000,2053000000.000000,1580000000.000000,473000000.000000,33000000.000000,0.000000,24000000.000000,0.000000,-31000000.000000,-2000000.000000,-111000000.000000,0.000000,146000000.000000,0.000000,152000000.000000,152000000.000000,152000000.000000,0.000000,0.000000,0.040000,834000000.000000,209000000.000000,907000000.000000,0.220000,9.432000,52.584000,52.311000,2144000000.000000,0.000000,26.940000,1.755000,1.746000,373000000.000000,2653000000.000000,3841000000.000000,3841000000.000000,0.000000,,,,,0.000000,834000000.000000,1.000000,997421762.000000,992676960.000000,1010771648.000000,3.869000,4902000000.000000,0.000000,97000000.000000,144000000.000000,4.938000
ARQ,1998-12-31,1999-01-12,1998-11-30,1999-Q1,1092000000.000000,27204890132.000000,2025-04-08,0.000000,5240000000.000000,,2883000000.000000,2357000000.000000,,2.948000,-146000000.000000,113000000.000000,113000000.000000,2942000000.000000,104000000.000000,1.610000,0.781000,100000000.000000,100000000.000000,0.000000,100000000.000000,0.000000,0.000000,0.000000,0.005000,0.033000,171000000.000000,171000000.000000,0.043000,171000000.000000,171000000.000000,171000000.000000,0.105000,0.105000,0.105000,2942000000.000000,,2942000000.000000,27191890132.000000,30.000000,24.855000,-135000000.000000,-0.135000,1.000000,1074000000.000000,0.267000,0.000000,0.000000,3436000000.000000,,2238000000.000000,0.000000,0.000000,0.000000,2298000000.000000,1791000000.000000,507000000.000000,-31000000.000000,0.000000,19000000.000000,100000000.000000,-31000000.000000,102000000.000000,-144000000.000000,0.000000,11000000.000000,0.000000,104000000.000000,104000000.000000,104000000.000000,0.000000,0.000000,0.026000,904000000.000000,170000000.000000,1050000000.000000,0.314000,9.247000,49.106000,49.099000,2222000000.000000,0.000000,27.250000,1.718000,1.717000,435000000.000000,2725000000.000000,4016000000.000000,4016000000.000000,0.000000,,,,,0.000000,904000000.000000,1.000000,998344592.000000,998000000.000000,1012000000.000000,4.024000,5240000000.000000,0.000000,67000000.000000,90000000.000000,5.251000
ARQ,1999-03-31,1999-04-12,1999-02-28,1999-Q2,1211300000.000000,29857194357.000000,2025-04-08,0.000000,5412600000.000000,,2965900000.000000,2446700000.000000,,3.146000,-143300000.000000,263600000.000000,263600000.000000,3392400000.000000,200200000.000000,1.690000,0.722000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004000,0.033000,331100000.000000,331100000.000000,0.071000,331100000.000000,331100000.000000,331000000.000000,0.200000,0.200000,0.200000,3143300000.000000,,3143300000.000000,29593594357.000000,31.000000,25.821000,221200000.000000,0.221000,1.000000,1298600000.000000,0.277000,0.000000,100000.000000,3394400000.000000,,2139800000.000000,0.000000,0.000000,0.000000,2269300000.000000,1754600000.000000,514700000.000000,150200000.000000,0.000000,39100000.000000,-100000000.000000,-32700000.000000,-95600000.000000,-118700000.000000,0.000000,364500000.000000,0.000000,200200000.000000,200200000.000000,200200000.000000,0.000000,0.000000,0.043000,968600000.000000,330000000.000000,1045400000.000000,0.165000,9.499000,51.195000,50.957000,2308600000.000000,0.000000,29.810000,1.817000,1.812000,480200000.000000,2892300000.000000,4691000000.000000,4691000000.000000,0.000000,,,,,0.000000,968600000.000000,1.000000,1001583172.000000,999000000.000000,1013600000.000000,4.696000,5412600000.000000,0.000000,130800000.000000,91500000.000000,5.418000
