dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2012-06-30,2012-10-11,2012-07-31,2013-Q2,14323000.000000,,2025-05-23,25000.000000,267155000.000000,,209897000.000000,57258000.000000,,-6.425000,,36741000.000000,36741000.000000,,,1.073000,-1.440000,16087000.000000,8219000.000000,7868000.000000,16087000.000000,247471000.000000,,0.000000,,0.000000,,,,,,,,,,-217690000.000000,,-217690000.000000,,,,,,1.000000,,,8532000.000000,,42395000.000000,,0.000000,85910000.000000,85910000.000000,0.000000,313532000.000000,195574000.000000,117958000.000000,,,,,,,,,,,,,,,,,,,3366000.000000,,,,,29406000.000000,,,,,68481000.000000,-329465000.000000,,,,,,,,,,1.000000,160290031.000000,33881000.000000,,,258623000.000000,0.000000,,0.000000,7.633000
ARQ,2012-09-30,2012-12-07,2012-10-31,2013-Q3,666760000.000000,8499200000.000000,2025-05-23,32000.000000,950148000.000000,,881654000.000000,68494000.000000,,9.934000,-801000.000000,442980000.000000,442980000.000000,30194000.000000,-41310000.000000,4.103000,0.544000,27013000.000000,9580000.000000,17433000.000000,27013000.000000,252163000.000000,4461000.000000,0.000000,0.000000,0.000000,-41232000.000000,-36771000.000000,-0.506000,-36771000.000000,-41232000.000000,-41232000.000000,-0.670000,-0.670000,-0.670000,615501000.000000,,615501000.000000,8083233000.000000,,,-10159000.000000,-0.164000,1.000000,42424000.000000,0.584000,8509000.000000,0.000000,310778000.000000,,0.000000,354397000.000000,354397000.000000,0.000000,334647000.000000,214894000.000000,119753000.000000,406239000.000000,0.000000,687575000.000000,-2369000.000000,0.000000,685206000.000000,-269615000.000000,-268814000.000000,-9358000.000000,6000.000000,-41310000.000000,-41471000.000000,-41471000.000000,0.000000,0.000000,-0.571000,83292000.000000,-40868000.000000,3481000.000000,0.000000,13.809000,,,39760000.000000,161000.000000,51.200000,,,61099000.000000,-370936000.000000,72618000.000000,72618000.000000,28075000.000000,,,,,6152000.000000,55217000.000000,1.000000,166000000.000000,61960000.000000,61960000.000000,1.172000,941639000.000000,0.000000,78000.000000,0.000000,15.198000
ARQ,2012-12-31,2013-03-22,2013-01-31,2013-Q4,629528000.000000,10373340000.000000,2025-05-23,68000.000000,959080000.000000,,884302000.000000,74778000.000000,,8.003000,-9095000.000000,84158000.000000,84158000.000000,32986000.000000,-30944000.000000,3.471000,0.619000,24980000.000000,12008000.000000,12972000.000000,24980000.000000,285260000.000000,5784000.000000,0.000000,0.000000,0.000000,-30845000.000000,-25061000.000000,-0.307000,-25061000.000000,-30845000.000000,-30845000.000000,0.440000,0.440000,0.440000,592283000.000000,,592283000.000000,10314162000.000000,-87.000000,-101.774000,-3155000.000000,-0.043000,1.000000,48533000.000000,0.595000,8488000.000000,0.000000,636640000.000000,,0.000000,706181000.000000,706181000.000000,0.000000,366797000.000000,254774000.000000,112023000.000000,-358822000.000000,0.000000,285000.000000,-3541000.000000,0.000000,-3256000.000000,-361501000.000000,-352406000.000000,5940000.000000,-5000.000000,-30944000.000000,-30944000.000000,-30944000.000000,0.000000,0.000000,-0.380000,79211000.000000,-30678000.000000,2665000.000000,0.000000,17.514000,-86.619000,-38.574000,44585000.000000,0.000000,62.490000,37.906000,16.901000,67437000.000000,-401880000.000000,81519000.000000,81519000.000000,30252000.000000,,,,,5448000.000000,48959000.000000,1.000000,166000000.000000,74011000.000000,74011000.000000,1.101000,950592000.000000,0.000000,99000.000000,0.000000,12.844000
ARQ,2013-03-31,2013-06-05,2013-04-30,2014-Q1,584552000.000000,10739840000.000000,2025-05-23,65000.000000,981255000.000000,,893684000.000000,87571000.000000,,3.402000,-1895000.000000,219264000.000000,219264000.000000,36699000.000000,-33015000.000000,2.891000,0.716000,21342000.000000,11179000.000000,10163000.000000,21342000.000000,300938000.000000,6569000.000000,0.000000,0.000000,0.000000,-32880000.000000,-26311000.000000,-0.287000,-26311000.000000,-32880000.000000,-32880000.000000,-0.200000,-0.200000,-0.200000,571785000.000000,,571785000.000000,10541918000.000000,,,15415000.000000,0.092000,1.000000,54946000.000000,0.600000,8488000.000000,0.000000,465713000.000000,,0.000000,586503000.000000,586503000.000000,0.000000,409470000.000000,309132000.000000,100338000.000000,135106000.000000,0.000000,4565000.000000,-3753000.000000,0.000000,820000.000000,117062000.000000,118867000.000000,17310000.000000,-86000.000000,-33015000.000000,-33015000.000000,-33015000.000000,0.000000,0.000000,-0.360000,87570000.000000,-32624000.000000,16408000.000000,0.000000,18.783000,,,54197000.000000,0.000000,62.080000,,,60345000.000000,-434895000.000000,91645000.000000,91645000.000000,36282000.000000,,,,,7416000.000000,51288000.000000,1.000000,173000000.000000,168074000.000000,168074000.000000,0.545000,972767000.000000,0.000000,135000.000000,0.000000,5.788000
ARQ,2013-06-30,2013-09-06,2013-07-31,2014-Q2,1084674000.000000,13224000000.000000,2025-05-23,111000.000000,1505973000.000000,,1395395000.000000,110578000.000000,,3.684000,-29732000.000000,437432000.000000,437432000.000000,40754000.000000,-35978000.000000,4.491000,1.358000,476256000.000000,10720000.000000,465536000.000000,476256000.000000,325618000.000000,8051000.000000,0.000000,0.000000,0.000000,-35762000.000000,-27711000.000000,-0.258000,-27711000.000000,-35762000.000000,-35762000.000000,-0.210000,-0.210000,-0.210000,638741000.000000,,638741000.000000,13262824000.000000,-94.000000,-114.479000,-42648000.000000,-0.246000,1.000000,66801000.000000,0.621000,8488000.000000,0.000000,1225588000.000000,,0.000000,857169000.000000,857169000.000000,0.000000,867232000.000000,310721000.000000,556511000.000000,218168000.000000,0.000000,94818000.000000,581356000.000000,0.000000,532517000.000000,-301433000.000000,-271701000.000000,-12916000.000000,0.000000,-35978000.000000,-35978000.000000,-35978000.000000,0.000000,0.000000,-0.335000,99084000.000000,-32283000.000000,6337000.000000,0.000000,20.703000,-93.517000,-118.750000,64097000.000000,0.000000,76.000000,37.426000,37.292000,66972000.000000,-470873000.000000,107555000.000000,107555000.000000,41168000.000000,,,,,9783000.000000,57916000.000000,1.000000,174000000.000000,173375000.000000,173375000.000000,0.620000,1497485000.000000,0.000000,216000.000000,0.000000,8.637000
ARQ,2013-09-30,2013-12-02,2013-10-31,2014-Q3,1043900000.000000,14087500000.000000,2025-05-23,184000.000000,1528185000.000000,,1405602000.000000,122583000.000000,,3.518000,-16757000.000000,183460000.000000,183460000.000000,48591000.000000,-47534000.000000,3.886000,1.491000,478682000.000000,10044000.000000,468638000.000000,478682000.000000,351769000.000000,9361000.000000,0.000000,0.000000,0.000000,-47292000.000000,-37931000.000000,-0.297000,-37931000.000000,-47292000.000000,-47292000.000000,-0.270000,-0.270000,-0.270000,613402000.000000,,613402000.000000,14382722000.000000,-98.000000,-122.915000,-9681000.000000,-0.056000,1.000000,79281000.000000,0.620000,8488000.000000,0.000000,1453217000.000000,,0.000000,1099235000.000000,1099235000.000000,0.000000,914783000.000000,361702000.000000,553081000.000000,-253972000.000000,0.000000,2637000.000000,-2817000.000000,0.000000,-776000.000000,-260304000.000000,-243547000.000000,7076000.000000,32000.000000,-47534000.000000,-47534000.000000,-47534000.000000,0.000000,0.000000,-0.372000,119680000.000000,-40399000.000000,8228000.000000,0.000000,22.966000,-95.527000,-335.417000,73960000.000000,0.000000,80.500000,34.478000,34.357000,86961000.000000,-518407000.000000,127872000.000000,127872000.000000,49349000.000000,,,,,19683000.000000,70331000.000000,1.000000,175000000.000000,174385000.000000,174385000.000000,0.733000,1519697000.000000,0.000000,242000.000000,0.000000,8.715000
ARQ,2013-12-31,2014-03-31,2014-01-31,2014-Q4,1601768000.000000,16823120000.000000,2025-05-23,269000.000000,2176265000.000000,,2023658000.000000,152607000.000000,,6.927000,-27341000.000000,581326000.000000,581326000.000000,50766000.000000,-55982000.000000,4.797000,0.833000,481378000.000000,9377000.000000,472001000.000000,481378000.000000,413565000.000000,10714000.000000,0.000000,0.000000,0.000000,-54897000.000000,-44183000.000000,-0.311000,-44183000.000000,-54897000.000000,-54897000.000000,-0.330000,-0.330000,-0.330000,1187217000.000000,,1187217000.000000,16723172000.000000,-98.000000,-122.842000,7452000.000000,0.043000,1.000000,91100000.000000,0.642000,8488000.000000,0.000000,1645939000.000000,,0.000000,1305253000.000000,1305253000.000000,0.000000,989048000.000000,421890000.000000,567158000.000000,397866000.000000,0.000000,606621000.000000,-2624000.000000,0.000000,601049000.000000,-237958000.000000,-209617000.000000,34793000.000000,-18000.000000,-55982000.000000,-55982000.000000,-55982000.000000,0.000000,0.000000,-0.395000,139076000.000000,-47976000.000000,6212000.000000,0.000000,14.170000,-97.520000,-90.525000,77664000.000000,0.000000,91.430000,35.875000,33.398000,92184000.000000,-574389000.000000,141866000.000000,141866000.000000,55317000.000000,,,,,24969000.000000,83759000.000000,1.000000,184000000.000000,171381000.000000,171381000.000000,0.828000,2167777000.000000,0.000000,1085000.000000,0.000000,12.649000
ARQ,2014-03-31,2014-06-06,2014-04-30,2015-Q1,1526573000.000000,14986850000.000000,2025-05-23,481000.000000,2206690000.000000,,2013893000.000000,192797000.000000,,6.311000,-9873000.000000,246001000.000000,246001000.000000,57419000.000000,-59389000.000000,4.133000,0.910000,484034000.000000,8442000.000000,475592000.000000,484034000.000000,461943000.000000,12523000.000000,0.000000,0.000000,0.000000,-59082000.000000,-46559000.000000,-0.291000,-46559000.000000,-59082000.000000,-59082000.000000,-0.320000,-0.320000,-0.320000,1155436000.000000,,1155436000.000000,15224883000.000000,-77.000000,-97.356000,11824000.000000,0.065000,1.000000,102318000.000000,0.641000,35679000.000000,0.000000,1921724000.000000,,0.000000,1619950000.000000,1619950000.000000,0.000000,1051254000.000000,487320000.000000,563934000.000000,-335325000.000000,-26317000.000000,-2011000.000000,-2744000.000000,0.000000,-4695000.000000,-352366000.000000,-317176000.000000,21697000.000000,39000.000000,-59389000.000000,-59389000.000000,-59389000.000000,0.000000,0.000000,-0.372000,154401000.000000,-52083000.000000,12033000.000000,0.000000,12.971000,-75.355000,-71.690000,89125000.000000,0.000000,81.010000,27.907000,27.618000,99136000.000000,-633778000.000000,159737000.000000,159737000.000000,65171000.000000,,,,,28874000.000000,89230000.000000,1.000000,185000000.000000,183084000.000000,183084000.000000,0.872000,2171011000.000000,0.000000,307000.000000,0.000000,11.858000
ARQ,2014-06-30,2014-09-02,2014-07-31,2015-Q2,1491345000.000000,16730700000.000000,2025-05-23,-37000.000000,2194898000.000000,,1980810000.000000,214088000.000000,,6.179000,-28409000.000000,262634000.000000,262634000.000000,65640000.000000,-69215000.000000,4.047000,0.927000,485097000.000000,5133000.000000,479964000.000000,485097000.000000,481473000.000000,14474000.000000,0.000000,0.000000,0.000000,-68722000.000000,-54248000.000000,-0.290000,-54248000.000000,-68722000.000000,-68722000.000000,-0.380000,-0.380000,-0.380000,1138841000.000000,,1138841000.000000,16953163000.000000,-74.000000,-92.680000,-37420000.000000,-0.203000,1.000000,121140000.000000,0.649000,35379000.000000,0.000000,1892517000.000000,,0.000000,1559748000.000000,1559748000.000000,0.000000,1056057000.000000,489465000.000000,566592000.000000,16633000.000000,0.000000,11885000.000000,-4418000.000000,0.000000,7467000.000000,18192000.000000,46601000.000000,-9011000.000000,-15000.000000,-69215000.000000,-69215000.000000,-69215000.000000,0.000000,0.000000,-0.371000,182909000.000000,-61769000.000000,6561000.000000,0.000000,14.691000,-72.078000,-69.192000,105855000.000000,0.000000,89.950000,27.149000,26.904000,100534000.000000,-702993000.000000,186780000.000000,186780000.000000,77464000.000000,,,,,40782000.000000,105445000.000000,1.000000,186000000.000000,184319000.000000,184319000.000000,1.013000,2159519000.000000,0.000000,493000.000000,0.000000,11.716000
ARQ,2014-09-30,2014-12-05,2014-10-31,2015-Q3,1472113000.000000,15588320000.000000,2025-05-23,64000.000000,2232318000.000000,,2009746000.000000,222572000.000000,,6.127000,-27699000.000000,192142000.000000,192142000.000000,71789000.000000,-59912000.000000,3.738000,0.977000,489536000.000000,4681000.000000,484855000.000000,489536000.000000,508131000.000000,15682000.000000,0.000000,0.000000,0.000000,-59513000.000000,-43831000.000000,-0.204000,-43831000.000000,-59513000.000000,-59513000.000000,-0.330000,-0.330000,-0.330000,1129216000.000000,,1129216000.000000,15885714000.000000,-66.000000,-84.131000,13343000.000000,0.072000,1.000000,143281000.000000,0.666000,35079000.000000,0.000000,1957000000.000000,,0.000000,1642517000.000000,1642517000.000000,0.000000,1103102000.000000,537633000.000000,565469000.000000,-70492000.000000,0.000000,2615000.000000,-1123000.000000,0.000000,1583000.000000,-112934000.000000,-85235000.000000,41042000.000000,-183000.000000,-59912000.000000,-59912000.000000,-59912000.000000,0.000000,0.000000,-0.279000,194747000.000000,-51466000.000000,9610000.000000,0.000000,13.805000,-63.756000,-61.294000,116640000.000000,0.000000,83.360000,22.160000,21.841000,118943000.000000,-762905000.000000,215070000.000000,215070000.000000,85270000.000000,,,,,47008000.000000,109477000.000000,1.000000,187000000.000000,184310000.000000,184310000.000000,1.167000,2197239000.000000,0.000000,399000.000000,0.000000,11.921000
