dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1996-12-31,1997-03-31,1996-12-31,1996-Q4,195175000.000000,526920292.000000,2025-05-02,0.000000,854404000.000000,,445662000.000000,408742000.000000,,0.075000,,157462000.000000,157462000.000000,,,1.779000,125.298000,594096000.000000,93567000.000000,500529000.000000,594096000.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,6765000.000000,,6765000.000000,963554292.000000,14.000000,8.181000,,,1.000000,,,261171000.000000,,779380000.000000,,55340000.000000,51711000.000000,51711000.000000,0.000000,847639000.000000,250487000.000000,597152000.000000,,,,,,,,,,,,,,,,,,,52437000.000000,,77.889000,-37.905000,-38.126000,107272000.000000,,5.833000,0.533000,0.533000,80613000.000000,-111824000.000000,,,,,,,,,,1.000000,90329193.000000,90329193.000000,,,593233000.000000,16409000.000000,,34455000.000000,6.567000
ARQ,1997-03-31,1997-05-14,1997-03-30,1997-Q1,168077000.000000,625339588.000000,2025-05-02,0.000000,844557000.000000,,422194000.000000,422363000.000000,,0.064000,-1146000.000000,120516000.000000,120516000.000000,125883000.000000,-1177000.000000,1.661000,145.421000,588618000.000000,101006000.000000,487612000.000000,588618000.000000,0.000000,7295000.000000,0.000000,0.000000,0.000000,17577000.000000,24872000.000000,0.121000,24872000.000000,17577000.000000,1875000.000000,-0.013000,-0.013000,-0.013000,5768000.000000,,5768000.000000,1093441588.000000,,,1086000.000000,0.012000,1.000000,79518000.000000,0.387000,258213000.000000,15702000.000000,800329000.000000,,55914000.000000,58460000.000000,58460000.000000,0.000000,838789000.000000,254117000.000000,584672000.000000,-33889000.000000,-20521000.000000,0.000000,-5818000.000000,0.000000,-8859000.000000,-28484000.000000,-6543000.000000,2232000.000000,0.000000,-1177000.000000,-1177000.000000,-1177000.000000,0.000000,0.000000,-0.006000,61942000.000000,17576000.000000,42949000.000000,0.000000,108.415000,,,105995000.000000,0.000000,6.960000,,,85088000.000000,-113001000.000000,205401000.000000,205401000.000000,0.000000,,,,,0.000000,60059000.000000,1.000000,89847642.000000,89847642.000000,,2.286000,586344000.000000,16409000.000000,3052000.000000,34464000.000000,6.526000
ARQ,1997-06-30,1997-08-18,1997-06-29,1997-Q2,153437000.000000,637706741.000000,2025-05-02,0.000000,1156990000.000000,,407998000.000000,748992000.000000,,-0.271000,-3188000.000000,71349000.000000,71349000.000000,129523000.000000,-34123000.000000,1.603000,-48.425000,783514000.000000,15777000.000000,767737000.000000,783514000.000000,0.000000,9340000.000000,0.000000,0.000000,0.000000,-28127000.000000,-18787000.000000,-0.083000,-18787000.000000,-28127000.000000,-46388000.000000,-0.380000,,-0.380000,-24396000.000000,,-24396000.000000,1349871741.000000,,,5132000.000000,0.057000,1.000000,96599000.000000,0.427000,555226000.000000,18261000.000000,1059368000.000000,,87669000.000000,59724000.000000,59724000.000000,0.000000,1181386000.000000,254561000.000000,926825000.000000,-49167000.000000,-305701000.000000,0.000000,263196000.000000,0.000000,249146000.000000,-306168000.000000,2552000.000000,8320000.000000,0.000000,-34123000.000000,-34123000.000000,-34123000.000000,0.000000,0.000000,-0.151000,125512000.000000,-28913000.000000,60905000.000000,0.000000,-26.140000,,,121926000.000000,0.000000,7.083000,,,133570000.000000,-147124000.000000,226122000.000000,226122000.000000,0.000000,,,,,0.000000,87605000.000000,1.000000,90029187.000000,90029187.000000,,2.512000,601764000.000000,43647000.000000,-12265000.000000,78834000.000000,6.684000
ARQ,1997-09-30,1997-11-12,1997-09-28,1997-Q3,126619000.000000,704865881.000000,2025-05-02,0.000000,1136359000.000000,,391048000.000000,745311000.000000,,-0.168000,-3323000.000000,69149000.000000,69149000.000000,147407000.000000,10940000.000000,1.479000,-76.057000,753969000.000000,16696000.000000,737273000.000000,753969000.000000,0.000000,12493000.000000,0.000000,0.000000,0.000000,35304000.000000,47797000.000000,0.174000,47797000.000000,35304000.000000,14460000.000000,0.117000,0.117000,0.117000,-15140000.000000,,-15140000.000000,1389685881.000000,,,29356000.000000,0.325000,1.000000,127594000.000000,0.464000,549292000.000000,20844000.000000,1007458000.000000,,93570000.000000,57246000.000000,57246000.000000,0.000000,1151499000.000000,264429000.000000,887070000.000000,-2200000.000000,-2409000.000000,0.000000,-29549000.000000,0.000000,-32630000.000000,-2103000.000000,2912000.000000,32679000.000000,0.000000,10940000.000000,10940000.000000,10940000.000000,0.000000,0.000000,0.040000,99514000.000000,28080000.000000,71264000.000000,0.000000,-46.557000,,,119992000.000000,0.000000,7.813000,,,117063000.000000,-136184000.000000,275001000.000000,275001000.000000,0.000000,,,,,0.000000,102117000.000000,1.000000,90213210.000000,90213210.000000,,3.048000,587067000.000000,43571000.000000,3520000.000000,78063000.000000,6.508000
ARQ,1997-12-31,1998-03-26,1997-12-28,1997-Q4,130086000.000000,810580757.000000,2025-05-02,0.000000,1004873000.000000,,355759000.000000,649114000.000000,,0.478000,-6249000.000000,129480000.000000,129480000.000000,69124000.000000,20744000.000000,1.576000,21.844000,619012000.000000,14182000.000000,604830000.000000,619012000.000000,0.000000,10191000.000000,0.000000,0.000000,0.000000,38536000.000000,48727000.000000,0.315000,48727000.000000,38536000.000000,21695000.000000,0.230000,,0.230000,43988000.000000,,43988000.000000,1300112757.000000,21.000000,12.671000,4531000.000000,0.049000,1.000000,85673000.000000,0.553000,548426000.000000,16841000.000000,720306000.000000,,57394000.000000,77614000.000000,46165000.000000,31449000.000000,960885000.000000,225673000.000000,735212000.000000,60546000.000000,78775000.000000,0.000000,7940000.000000,0.000000,2506000.000000,76131000.000000,3625000.000000,10780000.000000,0.000000,20744000.000000,20744000.000000,20744000.000000,-20718000.000000,0.000000,0.134000,68157000.000000,17516000.000000,63237000.000000,0.000000,18.427000,-224.165000,-220.333000,33833000.000000,0.000000,8.813000,0.941000,0.941000,77882000.000000,-115440000.000000,154797000.000000,154797000.000000,0.000000,,,,,0.000000,73751000.000000,1.000000,91972098.000000,91972098.000000,,1.683000,456447000.000000,38120000.000000,951000.000000,92577000.000000,4.963000
ARQ,1998-03-31,1998-05-13,1998-03-29,1998-Q1,202048000.000000,829683223.000000,2025-05-02,0.000000,1053954000.000000,,403668000.000000,650286000.000000,,0.271000,-6168000.000000,180285000.000000,180285000.000000,79758000.000000,4195000.000000,2.002000,41.234000,725153000.000000,16087000.000000,709066000.000000,725153000.000000,0.000000,9212000.000000,0.000000,0.000000,0.000000,22428000.000000,31640000.000000,0.184000,31640000.000000,22428000.000000,5790000.000000,0.043000,0.043000,0.043000,24955000.000000,,24955000.000000,1374551223.000000,20.000000,12.567000,-28200000.000000,-0.307000,1.000000,92295000.000000,0.536000,542998000.000000,16638000.000000,854204000.000000,,51471000.000000,74132000.000000,41775000.000000,32357000.000000,1028999000.000000,201620000.000000,827379000.000000,50805000.000000,2625000.000000,-26173000.000000,97479000.000000,0.000000,67900000.000000,2485000.000000,9730000.000000,-22032000.000000,0.000000,4195000.000000,4195000.000000,4195000.000000,-2600000.000000,0.000000,0.024000,82399000.000000,9896000.000000,70358000.000000,0.000000,33.247000,472.485000,902.000000,34506000.000000,0.000000,9.020000,1.002000,1.002000,84675000.000000,-111245000.000000,172053000.000000,172053000.000000,0.000000,,,,,0.000000,82399000.000000,1.000000,91982619.000000,91982619.000000,,1.870000,510956000.000000,37204000.000000,1595000.000000,89425000.000000,5.555000
ARQ,1998-06-30,1998-08-12,1998-06-28,1998-Q2,226760000.000000,609918917.000000,2025-05-02,0.000000,1117550000.000000,,500221000.000000,617329000.000000,,0.289000,-2374000.000000,183421000.000000,183421000.000000,114661000.000000,8069000.000000,1.829000,41.086000,721216000.000000,22405000.000000,698811000.000000,721216000.000000,0.000000,8858000.000000,0.000000,0.000000,0.000000,33177000.000000,42035000.000000,0.180000,42035000.000000,33177000.000000,15396000.000000,0.087000,0.087000,0.087000,26554000.000000,,26554000.000000,1147713917.000000,9.000000,6.743000,15574000.000000,0.170000,1.000000,118230000.000000,0.508000,537632000.000000,17781000.000000,844252000.000000,,76402000.000000,97590000.000000,90166000.000000,7424000.000000,1090996000.000000,273461000.000000,817535000.000000,3136000.000000,28487000.000000,-4340000.000000,-4742000.000000,0.000000,-9582000.000000,-5789000.000000,-32218000.000000,17948000.000000,0.000000,8069000.000000,8069000.000000,8069000.000000,0.000000,0.000000,0.035000,95396000.000000,22834000.000000,103691000.000000,0.000000,22.969000,13.878000,13.934000,33678000.000000,0.000000,6.647000,0.731000,0.731000,106487000.000000,-103176000.000000,232891000.000000,232891000.000000,0.000000,,,,,0.000000,95396000.000000,1.000000,91763127.000000,91763127.000000,,2.538000,579918000.000000,38435000.000000,7327000.000000,89667000.000000,6.320000
ARQ,1998-09-30,1998-11-12,1998-09-27,1998-Q3,217095000.000000,458773670.000000,2025-05-02,0.000000,1076599000.000000,,463986000.000000,612613000.000000,,0.075000,209000.000000,164041000.000000,164041000.000000,123178000.000000,2252000.000000,1.879000,163.467000,713446000.000000,19986000.000000,693460000.000000,713446000.000000,0.000000,-9767000.000000,0.000000,0.000000,0.000000,24497000.000000,14730000.000000,0.060000,14730000.000000,24497000.000000,6766000.000000,0.023000,0.023000,0.023000,6546000.000000,,6546000.000000,1008178670.000000,8.000000,7.352000,17684000.000000,0.202000,1.000000,123853000.000000,0.501000,532232000.000000,17731000.000000,846881000.000000,,71340000.000000,94199000.000000,86844000.000000,7355000.000000,1070053000.000000,246891000.000000,823162000.000000,-19380000.000000,-2854000.000000,-19401000.000000,-10250000.000000,0.000000,-29651000.000000,-7158000.000000,-4058000.000000,17475000.000000,0.000000,2252000.000000,2252000.000000,2252000.000000,0.000000,0.000000,0.009000,93450000.000000,30403000.000000,74825000.000000,0.000000,70.085000,13.011000,13.655000,31554000.000000,0.000000,5.230000,0.569000,0.569000,96645000.000000,-100924000.000000,247031000.000000,247031000.000000,0.000000,,,,,0.000000,95086000.000000,1.000000,87719631.000000,87719631.000000,,2.816000,544367000.000000,40447000.000000,4514000.000000,99677000.000000,6.206000
ARQ,1998-12-31,1999-04-06,1999-01-03,1998-Q4,208358000.000000,507498925.000000,2025-05-02,-600000.000000,1019892000.000000,,409497000.000000,610395000.000000,,0.124000,-7598000.000000,161248000.000000,161248000.000000,73286000.000000,120000.000000,2.036000,92.448000,708959000.000000,9978000.000000,698981000.000000,708959000.000000,0.000000,2333000.000000,0.000000,0.000000,0.000000,21947000.000000,24280000.000000,0.149000,24280000.000000,21947000.000000,3291000.000000,0.003000,0.003000,0.003000,10914000.000000,,10914000.000000,1055209925.000000,10.000000,9.364000,-5920000.000000,-0.067000,1.000000,89775000.000000,0.551000,530342000.000000,18656000.000000,836122000.000000,,46761000.000000,110104000.000000,99729000.000000,10375000.000000,1008978000.000000,201139000.000000,807839000.000000,-2793000.000000,-8780000.000000,-827000.000000,-6482000.000000,0.000000,-7368000.000000,2964000.000000,19041000.000000,1678000.000000,0.000000,120000.000000,120000.000000,120000.000000,0.000000,0.000000,0.001000,68702000.000000,21073000.000000,58257000.000000,0.000000,46.500000,34.675000,36.062000,31272000.000000,0.000000,5.770000,0.623000,0.623000,67724000.000000,-100804000.000000,163061000.000000,163061000.000000,0.000000,,,,,0.000000,34209000.000000,1.000000,87954753.000000,87954753.000000,,1.854000,489550000.000000,28368000.000000,3171000.000000,87195000.000000,5.566000
ARQ,1999-03-31,1999-05-19,1999-04-04,1999-Q1,393711000.000000,524094452.000000,2025-05-02,4197000.000000,1226206000.000000,,591045000.000000,635161000.000000,,0.037000,-1604000.000000,281265000.000000,281265000.000000,83182000.000000,-13345000.000000,2.995000,431.372000,925274000.000000,10493000.000000,914781000.000000,925274000.000000,0.000000,2513000.000000,0.000000,0.000000,0.000000,4320000.000000,6833000.000000,0.038000,6833000.000000,4320000.000000,-15381000.000000,-0.153000,-0.153000,-0.153000,2836000.000000,,2836000.000000,1168103452.000000,14.000000,13.292000,-37339000.000000,-0.487000,1.000000,95009000.000000,0.533000,538269000.000000,19701000.000000,1134612000.000000,,61826000.000000,102563000.000000,102563000.000000,0.000000,1223370000.000000,197334000.000000,1026036000.000000,120017000.000000,-17296000.000000,203000.000000,214530000.000000,0.000000,186912000.000000,-31112000.000000,-12278000.000000,-35735000.000000,0.000000,-13345000.000000,-13345000.000000,-13345000.000000,0.000000,0.000000,-0.075000,85987000.000000,9022000.000000,66293000.000000,0.000000,184.801000,-180.473000,-170.833000,31310000.000000,0.000000,6.833000,0.638000,0.638000,105082000.000000,-114149000.000000,178191000.000000,178191000.000000,0.000000,,,,,0.000000,73913000.000000,1.000000,76696749.000000,76696749.000000,,2.323000,687937000.000000,25624000.000000,-2036000.000000,87121000.000000,8.970000
