dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-06-30,2020-08-24,2020-07-16,2020-Q2,,,2025-05-01,0.000000,90000.000000,,,,,0.084000,0.000000,0.000000,0.000000,0.000000,-2681.000000,,3.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,-2681.000000,-2681.000000,,-2681.000000,-2681.000000,-2681.000000,0.000000,0.000000,0.000000,22319.000000,,22319.000000,,,,0.000000,0.000000,1.000000,0.000000,,0.000000,0.000000,22319.000000,,0.000000,0.000000,,,67681.000000,67681.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2681.000000,-2681.000000,-2681.000000,0.000000,0.000000,,2681.000000,-2681.000000,0.000000,,,,,0.000000,0.000000,,,,0.000000,-2681.000000,0.000000,0.000000,0.000000,,,,,0.000000,2681.000000,1.000000,1325758.000000,265152.000000,265152.000000,0.000000,90000.000000,0.000000,0.000000,0.000000,0.339000
ARQ,2020-09-30,2020-11-16,2020-09-30,2020-Q3,1421074.000000,549563438.000000,2025-05-01,0.000000,444218211.000000,,1465421.000000,442752790.000000,,2.981000,0.000000,1139979.000000,1139979.000000,0.000000,-56923.000000,33.044000,3.108000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-56923.000000,-56923.000000,,-56923.000000,-56923.000000,-56923.000000,0.000000,0.000000,0.000000,5000004.000000,,5000004.000000,548423459.000000,,,-365808.000000,-0.218000,1.000000,0.000000,,0.000000,0.000000,443033885.000000,,0.000000,442752790.000000,0.000000,442752790.000000,15540597.000000,44347.000000,15496250.000000,1139979.000000,0.000000,433895000.000000,-52244.000000,0.000000,444255787.000000,-442750000.000000,-442750000.000000,-365808.000000,0.000000,-56923.000000,-56923.000000,-56923.000000,0.000000,0.000000,,59713.000000,-59713.000000,0.000000,,109.913000,,,0.000000,0.000000,327.690000,,,0.000000,-56923.000000,0.000000,0.000000,0.000000,,,,,0.000000,59713.000000,1.000000,1677083.000000,1677083.000000,1677083.000000,0.000000,444218211.000000,0.000000,0.000000,0.000000,264.875000
ARQ,2020-12-31,2021-03-30,2020-12-31,2020-Q4,1274592.000000,754335313.000000,2025-05-01,0.000000,444135663.000000,,1371712.000000,442763951.000000,,3.005000,,1094681.000000,1094681.000000,,,14.124000,3.119000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,5000003.000000,,5000003.000000,753240632.000000,-3918.000000,-3918.149000,,,1.000000,,,0.000000,,442943862.000000,,0.000000,442763951.000000,0.000000,442763951.000000,15593370.000000,97120.000000,15496250.000000,,,,,,,,,,,,,,,,,,,97120.000000,,150.867000,-3923.843000,,0.000000,,449.790000,,,0.000000,-192244.000000,,,,,,,,,,1.000000,1677083.000000,1663881.000000,,,444135663.000000,0.000000,,0.000000,266.928000
ARQ,2020-12-31,2021-05-05,2020-12-31,2020-Q4,1274592.000000,696777813.000000,2025-05-01,0.000000,444135663.000000,,1371712.000000,442763951.000000,,3.005000,,1094681.000000,1094681.000000,,,14.124000,17.183000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,,,,,,,,,,5000005.000000,,5000005.000000,695683132.000000,-17.000000,-17.432000,,,1.000000,,,0.000000,,442943862.000000,,0.000000,442763951.000000,0.000000,442763951.000000,85915788.000000,97120.000000,85818668.000000,,,,,,,,,,,,,,,,,,,97120.000000,,139.355000,-17.460000,,0.000000,,415.470000,,,0.000000,-39907599.000000,,,,,,,,,,1.000000,1677083.000000,1663881.000000,,,444135663.000000,0.000000,,0.000000,266.928000
ARQ,2020-12-31,2021-06-11,2020-12-31,2020-Q4,100666000.000000,3097464305.000000,2025-05-01,0.000000,251642000.000000,,174108000.000000,77534000.000000,,-45.712000,,118960000.000000,118960000.000000,,,2.371000,-0.749000,43255000.000000,3506000.000000,39749000.000000,43255000.000000,1783000.000000,,0.000000,0.000000,0.000000,,,,,,,,,,-330051000.000000,,-330051000.000000,3021759305.000000,-13.000000,-13.446000,,,1.000000,,,0.000000,,102495000.000000,,24962000.000000,0.000000,0.000000,0.000000,247254000.000000,73442000.000000,173812000.000000,,,,,,,,,,,,,,,,,,,28162000.000000,,-9.385000,-12.834000,,63110000.000000,,429.000000,17.273000,17.273000,32333000.000000,-330051000.000000,,,,,,,,,,1.000000,7220197.000000,7220197.000000,,,251642000.000000,0.000000,,0.000000,34.853000
ARQ,2021-03-31,2021-07-02,2021-03-31,2021-Q1,72323000.000000,3264250844.000000,2025-05-01,0.000000,219586000.000000,,140530000.000000,79056000.000000,,-13.874000,-4994000.000000,69480000.000000,69480000.000000,71812000.000000,-190993000.000000,2.060000,-2.177000,18502000.000000,0.000000,18502000.000000,18502000.000000,2810000.000000,5093000.000000,0.000000,0.000000,0.000000,-190270000.000000,-185177000.000000,-2.878000,-185177000.000000,-190270000.000000,-190993000.000000,-1419.000000,-1419.000000,-1419.000000,-186605000.000000,,-186605000.000000,3213272844.000000,,,-47202000.000000,-3.509000,1.000000,-7461000.000000,-0.116000,0.000000,723000.000000,100401000.000000,,32969000.000000,0.000000,0.000000,0.000000,406191000.000000,68207000.000000,337984000.000000,-49480000.000000,0.000000,422000.000000,-1446000.000000,0.000000,-2278000.000000,-4994000.000000,0.000000,-42208000.000000,0.000000,-190993000.000000,-190993000.000000,-190993000.000000,0.000000,0.000000,-2.968000,188414000.000000,-195875000.000000,42406000.000000,0.000000,-17.493000,,,64632000.000000,0.000000,452.100000,,,33839000.000000,,64351000.000000,64351000.000000,53131000.000000,,,,,164962000.000000,133486000.000000,1.000000,7220197.000000,13450454.000000,13450454.000000,4.784000,219586000.000000,0.000000,0.000000,0.000000,16.326000
ARQ,2021-06-30,2021-07-21,2021-06-30,2021-Q2,27979000.000000,2973565733.000000,2025-05-01,0.000000,175533000.000000,,99012000.000000,76521000.000000,,-78.242000,-4481000.000000,37329000.000000,37329000.000000,49631000.000000,-45362000.000000,1.394000,-0.719000,18028000.000000,0.000000,18028000.000000,18028000.000000,1341000.000000,5811000.000000,0.000000,0.000000,0.000000,-44640000.000000,-38829000.000000,-0.829000,-38829000.000000,-44640000.000000,-45362000.000000,,,,-564923000.000000,,-564923000.000000,2954264733.000000,-6.000000,-6.584000,-29782000.000000,-4.125000,1.000000,-2766000.000000,-0.059000,0.000000,722000.000000,85199000.000000,,29128000.000000,0.000000,0.000000,0.000000,406017000.000000,71033000.000000,334984000.000000,-32151000.000000,0.000000,552000.000000,-1396000.000000,0.000000,-2369000.000000,-4481000.000000,0.000000,-25301000.000000,0.000000,-45362000.000000,-45362000.000000,-45362000.000000,0.000000,0.000000,-0.968000,41883000.000000,-44649000.000000,44928000.000000,,-5.264000,-6.225000,,62097000.000000,0.000000,411.840000,10.235000,10.235000,25005000.000000,-566406000.000000,46865000.000000,46865000.000000,11954000.000000,,,,,-519000.000000,29041000.000000,1.000000,7220197.000000,7220197.000000,,6.491000,175533000.000000,0.000000,0.000000,0.000000,24.311000
ARQ,2021-09-30,2021-11-15,2021-09-30,2021-Q3,467145000.000000,1886663851.000000,2025-05-01,0.000000,603357000.000000,,538511000.000000,64846000.000000,,69.537000,-3618000.000000,462176000.000000,462176000.000000,58752000.000000,31392000.000000,7.546000,0.542000,11000000.000000,0.000000,11000000.000000,11000000.000000,493000.000000,6282000.000000,0.000000,0.000000,0.000000,32075000.000000,38357000.000000,0.888000,38357000.000000,32075000.000000,31392000.000000,5.610000,4.950000,5.610000,391263000.000000,,391263000.000000,1435487851.000000,,,-74558000.000000,-13.251000,1.000000,-15574000.000000,-0.361000,0.000000,683000.000000,80815000.000000,,31174000.000000,0.000000,0.000000,0.000000,212094000.000000,71366000.000000,140728000.000000,424847000.000000,0.000000,562040000.000000,-9859000.000000,0.000000,499405000.000000,-3618000.000000,0.000000,-70940000.000000,0.000000,31392000.000000,31392000.000000,31392000.000000,0.000000,0.000000,0.727000,74029000.000000,-89603000.000000,44504000.000000,0.000000,4.822000,,,60333000.000000,0.000000,258.060000,,,21670000.000000,-535014000.000000,43178000.000000,43178000.000000,17831000.000000,,,,,18011000.000000,55351000.000000,1.000000,7310950.000000,5626679.000000,6373665.000000,7.674000,603357000.000000,0.000000,0.000000,0.000000,107.231000
ARQ,2021-12-31,2022-03-14,2021-12-31,2021-Q4,382260000.000000,649143420.000000,2025-05-01,0.000000,554093000.000000,,483544000.000000,70549000.000000,,118.502000,-7693000.000000,401469000.000000,401469000.000000,48602000.000000,-40427000.000000,4.774000,0.428000,32846000.000000,3419000.000000,29427000.000000,32846000.000000,473000.000000,6176000.000000,0.000000,0.000000,0.000000,-39720000.000000,-33544000.000000,-0.580000,-33544000.000000,-39720000.000000,-40427000.000000,32.340000,32.340000,32.340000,388103000.000000,,388103000.000000,280520420.000000,-1.000000,-1.280000,-59678000.000000,-18.222000,1.000000,9199000.000000,0.159000,0.000000,707000.000000,84186000.000000,,33456000.000000,0.000000,0.000000,0.000000,165990000.000000,101284000.000000,64706000.000000,-60707000.000000,0.000000,276000.000000,-1305000.000000,0.000000,-1029000.000000,-7693000.000000,0.000000,-51985000.000000,0.000000,-40427000.000000,-40427000.000000,-40427000.000000,0.000000,0.000000,-0.699000,125221000.000000,-116022000.000000,47316000.000000,0.000000,1.673000,-2.645000,-1.167000,62719000.000000,0.000000,87.450000,3.059000,1.350000,26563000.000000,-575441000.000000,57801000.000000,57801000.000000,22246000.000000,,,,,36967000.000000,100848000.000000,1.000000,7423024.000000,3275074.000000,3275074.000000,17.649000,554093000.000000,0.000000,0.000000,0.000000,169.185000
ARQ,2021-12-31,2022-03-31,2021-12-31,2021-Q4,382260000.000000,752026528.000000,2025-05-01,0.000000,554093000.000000,,483544000.000000,70549000.000000,,118.502000,-7693000.000000,401469000.000000,401469000.000000,48602000.000000,-40427000.000000,4.774000,0.428000,32846000.000000,3419000.000000,29427000.000000,32846000.000000,473000.000000,6176000.000000,0.000000,0.000000,0.000000,-39720000.000000,-33544000.000000,-0.580000,-33544000.000000,-39720000.000000,-40427000.000000,32.340000,32.340000,32.340000,388103000.000000,,388103000.000000,383403528.000000,-2.000000,-1.749000,-59678000.000000,-18.222000,1.000000,9199000.000000,0.159000,0.000000,707000.000000,84186000.000000,,33456000.000000,0.000000,0.000000,0.000000,165990000.000000,101284000.000000,64706000.000000,-60707000.000000,0.000000,276000.000000,-1305000.000000,0.000000,-1029000.000000,-7693000.000000,0.000000,-51985000.000000,0.000000,-40427000.000000,-40427000.000000,-40427000.000000,0.000000,0.000000,-0.699000,125221000.000000,-116022000.000000,47316000.000000,0.000000,1.938000,-3.065000,-1.352000,62719000.000000,0.000000,101.310000,3.544000,1.564000,26563000.000000,-575441000.000000,57801000.000000,57801000.000000,22246000.000000,,,,,36967000.000000,100848000.000000,1.000000,7423024.000000,3275074.000000,3275074.000000,17.649000,554093000.000000,0.000000,0.000000,0.000000,169.185000
