dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,1994-12-31,1995-04-27,1995-01-31,1995-Q4,5365000000.000000,54866215940.000000,2025-03-14,-256000000.000000,32819000000.000000,,15338000000.000000,17481000000.000000,,0.923000,,45000000.000000,45000000.000000,,,1.538000,1.579000,11591000000.000000,1882000000.000000,9709000000.000000,11591000000.000000,0.000000,,0.000000,0.008000,0.008000,,,,,,,,,,12726000000.000000,,12726000000.000000,66412215940.000000,13.000000,10.999000,,,1.000000,,,0.000000,,34392000000.000000,,14064000000.000000,0.000000,0.000000,0.000000,20093000000.000000,9973000000.000000,10120000000.000000,,,,,,,,,,,,,,,,,,,5907000000.000000,,4.311000,20.465000,20.410000,15874000000.000000,,3.980000,0.658000,0.658000,700000000.000000,12213000000.000000,,,,,,,,,,1.000000,13785481392.000000,13785481392.000000,,,32819000000.000000,0.000000,,776000000.000000,2.381000
ARQ,1995-03-31,1995-06-09,1995-04-30,1996-Q1,5666000000.000000,57433634100.000000,2025-03-14,-305000000.000000,34382000000.000000,,16161000000.000000,18221000000.000000,,0.952000,-759000000.000000,14000000.000000,14000000.000000,16196000000.000000,553000000.000000,1.540000,1.621000,12364000000.000000,2372000000.000000,9992000000.000000,12364000000.000000,0.000000,276000000.000000,0.000000,0.007000,0.017000,1079000000.000000,1355000000.000000,0.066000,1355000000.000000,1079000000.000000,879000000.000000,0.040000,0.040000,0.040000,13116000000.000000,,13116000000.000000,69783634100.000000,,,-742000000.000000,-0.054000,1.000000,4244000000.000000,0.208000,0.000000,200000000.000000,36237000000.000000,,14682000000.000000,0.000000,0.000000,0.000000,21266000000.000000,10495000000.000000,10771000000.000000,-31000000.000000,0.000000,0.000000,823000000.000000,-115000000.000000,690000000.000000,-738000000.000000,0.000000,17000000.000000,0.000000,553000000.000000,553000000.000000,553000000.000000,0.000000,0.000000,0.027000,3377000000.000000,867000000.000000,5954000000.000000,0.425000,4.379000,,,16827000000.000000,0.000000,4.167000,,,823000000.000000,12651000000.000000,20440000000.000000,20440000000.000000,0.000000,,,,,0.000000,3377000000.000000,1.000000,13784072184.000000,13782000000.000000,13782000000.000000,1.483000,34382000000.000000,0.000000,326000000.000000,779000000.000000,2.495000
ARQ,1995-06-30,1995-09-11,1995-07-31,1996-Q2,5586000000.000000,57692375043.000000,2025-03-14,-518000000.000000,35318000000.000000,,16509000000.000000,18809000000.000000,,0.971000,-951000000.000000,6000000.000000,6000000.000000,18095000000.000000,633000000.000000,1.511000,1.640000,12315000000.000000,2123000000.000000,10192000000.000000,12315000000.000000,0.000000,328000000.000000,0.000000,0.008000,0.008000,1219000000.000000,1547000000.000000,0.068000,1547000000.000000,1219000000.000000,1007000000.000000,0.047000,0.047000,0.047000,13380000000.000000,,13380000000.000000,70001375043.000000,,,-115000000.000000,-0.008000,1.000000,4628000000.000000,0.204000,0.000000,212000000.000000,36704000000.000000,,15077000000.000000,0.000000,0.000000,0.000000,21938000000.000000,10923000000.000000,11015000000.000000,-8000000.000000,-53000000.000000,0.000000,274000000.000000,-115000000.000000,127000000.000000,-971000000.000000,0.000000,836000000.000000,0.000000,633000000.000000,633000000.000000,633000000.000000,0.000000,0.000000,0.028000,3693000000.000000,935000000.000000,6438000000.000000,0.170000,4.312000,,,17591000000.000000,0.000000,4.188000,,,858000000.000000,13129000000.000000,22723000000.000000,22723000000.000000,0.000000,,,,,0.000000,3693000000.000000,1.000000,13774542390.000000,13776000000.000000,13776000000.000000,1.649000,35318000000.000000,0.000000,374000000.000000,823000000.000000,2.564000
ARQ,1995-09-30,1995-12-05,1995-10-31,1996-Q3,5388000000.000000,55642712176.000000,2025-03-14,-275000000.000000,40018000000.000000,,20213000000.000000,19805000000.000000,,1.023000,-1122000000.000000,13000000.000000,13000000.000000,18176000000.000000,612000000.000000,1.363000,1.840000,13902000000.000000,3686000000.000000,10216000000.000000,13902000000.000000,0.000000,334000000.000000,0.000000,0.008000,0.008000,1204000000.000000,1538000000.000000,0.067000,1538000000.000000,1204000000.000000,973000000.000000,0.045000,0.045000,0.045000,14091000000.000000,,14091000000.000000,69531712176.000000,,,-1431000000.000000,-0.104000,1.000000,4737000000.000000,0.207000,0.000000,231000000.000000,39082000000.000000,,18322000000.000000,0.000000,0.000000,0.000000,25927000000.000000,14825000000.000000,11102000000.000000,7000000.000000,19000000.000000,0.000000,1480000000.000000,-114000000.000000,1285000000.000000,-969000000.000000,0.000000,-309000000.000000,0.000000,612000000.000000,612000000.000000,612000000.000000,0.000000,0.000000,0.027000,3801000000.000000,936000000.000000,8530000000.000000,0.178000,3.949000,,,18275000000.000000,0.000000,4.042000,,,1212000000.000000,13597000000.000000,22913000000.000000,22913000000.000000,0.000000,,,,,0.000000,3801000000.000000,1.000000,13767268992.000000,13776000000.000000,13776000000.000000,1.663000,40018000000.000000,0.000000,361000000.000000,886000000.000000,2.905000
ARQ,1995-12-31,1996-04-23,1996-01-31,1996-Q4,5877000000.000000,51891534632.000000,2025-03-14,-412000000.000000,37541000000.000000,,17331000000.000000,20210000000.000000,,1.072000,-734000000.000000,83000000.000000,83000000.000000,22097000000.000000,942000000.000000,1.513000,1.544000,13398000000.000000,2798000000.000000,10600000000.000000,13398000000.000000,0.000000,366000000.000000,0.000000,0.009000,0.009000,1732000000.000000,2098000000.000000,0.073000,2098000000.000000,1732000000.000000,1487000000.000000,0.068000,0.068000,0.068000,14756000000.000000,,14756000000.000000,65206534632.000000,12.000000,9.973000,1105000000.000000,0.080000,1.000000,6575000000.000000,0.229000,0.000000,245000000.000000,39402000000.000000,,15989000000.000000,0.000000,0.000000,0.000000,22785000000.000000,11454000000.000000,11331000000.000000,70000000.000000,-23000000.000000,0.000000,-1120000000.000000,-114000000.000000,-1115000000.000000,-654000000.000000,0.000000,1839000000.000000,0.000000,942000000.000000,942000000.000000,942000000.000000,0.000000,0.000000,0.033000,4080000000.000000,2495000000.000000,6442000000.000000,0.132000,3.517000,18.939000,19.045000,18894000000.000000,0.000000,3.771000,0.548000,0.548000,853000000.000000,14394000000.000000,28672000000.000000,28672000000.000000,0.000000,,,,,0.000000,4080000000.000000,1.000000,13761290952.000000,13761290952.000000,,2.084000,37541000000.000000,0.000000,545000000.000000,854000000.000000,2.728000
ARQ,1996-03-31,1996-06-12,1996-04-30,1997-Q1,6109000000.000000,59631826332.000000,2025-03-14,-402000000.000000,38249000000.000000,,17779000000.000000,20470000000.000000,,1.106000,-733000000.000000,32000000.000000,32000000.000000,18064000000.000000,571000000.000000,1.523000,1.514000,12194000000.000000,1575000000.000000,10619000000.000000,12194000000.000000,0.000000,348000000.000000,0.000000,0.006000,0.009000,1127000000.000000,1475000000.000000,0.064000,1475000000.000000,1127000000.000000,907000000.000000,0.042000,0.042000,0.042000,15216000000.000000,,15216000000.000000,71793826332.000000,14.000000,10.783000,907000000.000000,0.066000,1.000000,4937000000.000000,0.215000,0.000000,220000000.000000,38741000000.000000,,16213000000.000000,0.000000,0.000000,0.000000,23033000000.000000,11670000000.000000,11363000000.000000,-51000000.000000,0.000000,0.000000,-884000000.000000,-120000000.000000,-1021000000.000000,-670000000.000000,0.000000,1640000000.000000,0.000000,571000000.000000,571000000.000000,571000000.000000,0.000000,0.000000,0.025000,3810000000.000000,1127000000.000000,7375000000.000000,0.214000,3.919000,21.621000,21.452000,19339000000.000000,0.000000,4.333000,0.613000,0.613000,908000000.000000,14843000000.000000,23001000000.000000,23001000000.000000,0.000000,,,,,0.000000,3810000000.000000,1.000000,13761190692.000000,13758000000.000000,13758000000.000000,1.672000,38249000000.000000,0.000000,336000000.000000,744000000.000000,2.780000
ARQ,1996-06-30,1996-09-10,1996-07-31,1997-Q2,6290000000.000000,60783578887.000000,2025-03-14,-411000000.000000,38898000000.000000,,17958000000.000000,20940000000.000000,,1.147000,-662000000.000000,24000000.000000,24000000.000000,20376000000.000000,706000000.000000,1.539000,1.463000,12523000000.000000,1823000000.000000,10700000000.000000,12523000000.000000,0.000000,359000000.000000,0.000000,0.008000,0.018000,1338000000.000000,1697000000.000000,0.066000,1697000000.000000,1338000000.000000,1120000000.000000,0.052000,0.052000,0.052000,15791000000.000000,,15791000000.000000,73282578887.000000,14.000000,10.764000,143000000.000000,0.010000,1.000000,5468000000.000000,0.212000,0.000000,218000000.000000,39729000000.000000,,16375000000.000000,0.000000,0.000000,0.000000,23107000000.000000,11668000000.000000,11439000000.000000,-8000000.000000,0.000000,0.000000,11000000.000000,-121000000.000000,-128000000.000000,-685000000.000000,0.000000,805000000.000000,0.000000,706000000.000000,706000000.000000,706000000.000000,0.000000,0.000000,0.027000,4130000000.000000,1338000000.000000,7204000000.000000,0.346000,3.849000,21.471000,21.337000,19771000000.000000,0.000000,4.417000,0.605000,0.605000,879000000.000000,15428000000.000000,25844000000.000000,25844000000.000000,0.000000,,,,,0.000000,4130000000.000000,1.000000,13762319748.000000,13764000000.000000,13764000000.000000,1.878000,38898000000.000000,0.000000,414000000.000000,739000000.000000,2.826000
ARQ,1996-09-30,1996-12-12,1996-10-31,1997-Q3,6847000000.000000,54777265830.000000,2025-03-14,-386000000.000000,42207000000.000000,,21024000000.000000,21183000000.000000,,1.190000,-358000000.000000,76000000.000000,76000000.000000,20450000000.000000,684000000.000000,1.483000,1.577000,11219000000.000000,1112000000.000000,10107000000.000000,11219000000.000000,0.000000,354000000.000000,0.000000,0.009000,0.009000,1298000000.000000,1652000000.000000,0.063000,1652000000.000000,1298000000.000000,1086000000.000000,0.050000,0.050000,0.050000,16381000000.000000,,16381000000.000000,65920265830.000000,12.000000,9.523000,160000000.000000,0.012000,1.000000,5627000000.000000,0.216000,0.000000,212000000.000000,39173000000.000000,,19044000000.000000,0.000000,0.000000,0.000000,25826000000.000000,14177000000.000000,11649000000.000000,52000000.000000,0.000000,0.000000,-844000000.000000,-120000000.000000,-339000000.000000,-127000000.000000,0.000000,518000000.000000,0.000000,684000000.000000,684000000.000000,684000000.000000,0.000000,0.000000,0.026000,4329000000.000000,1298000000.000000,9367000000.000000,0.180000,3.344000,18.869000,18.774000,20049000000.000000,0.000000,3.980000,0.529000,0.529000,1171000000.000000,15992000000.000000,26077000000.000000,26077000000.000000,0.000000,,,,,0.000000,4329000000.000000,1.000000,13763132118.000000,13764000000.000000,13764000000.000000,1.895000,42207000000.000000,0.000000,402000000.000000,1542000000.000000,3.066000
ARQ,1996-12-31,1997-04-21,1997-01-31,1997-Q4,7036000000.000000,62868616785.000000,2025-03-14,-400000000.000000,39604000000.000000,,17993000000.000000,21611000000.000000,,1.261000,-426000000.000000,883000000.000000,883000000.000000,24772000000.000000,1095000000.000000,1.642000,1.310000,10634000000.000000,618000000.000000,10016000000.000000,10634000000.000000,0.000000,402000000.000000,0.000000,0.008000,0.011000,1932000000.000000,2334000000.000000,0.075000,2334000000.000000,1932000000.000000,1737000000.000000,0.078000,0.078000,0.078000,17143000000.000000,,17143000000.000000,72619616785.000000,13.000000,10.145000,2541000000.000000,0.187000,1.000000,6451000000.000000,0.207000,0.000000,195000000.000000,38398000000.000000,,15897000000.000000,0.000000,0.000000,0.000000,22461000000.000000,10957000000.000000,11504000000.000000,807000000.000000,0.000000,-208000000.000000,-1356000000.000000,-120000000.000000,-1574000000.000000,-586000000.000000,0.000000,2967000000.000000,0.000000,1095000000.000000,1095000000.000000,1095000000.000000,0.000000,0.000000,0.035000,4519000000.000000,1932000000.000000,7628000000.000000,0.141000,3.667000,20.572000,20.833000,20324000000.000000,0.000000,4.625000,0.592000,0.592000,845000000.000000,16768000000.000000,31223000000.000000,31223000000.000000,0.000000,,,,,0.000000,4519000000.000000,1.000000,13593214440.000000,13593214440.000000,,2.297000,39604000000.000000,0.000000,642000000.000000,761000000.000000,2.914000
ARQ,1997-03-31,1997-06-10,1997-04-30,1998-Q1,5835000000.000000,71065229090.000000,2025-03-14,-433000000.000000,39777000000.000000,,17833000000.000000,21944000000.000000,,1.244000,-512000000.000000,726000000.000000,726000000.000000,20127000000.000000,652000000.000000,1.486000,1.342000,9264000000.000000,0.000000,9264000000.000000,9264000000.000000,0.000000,366000000.000000,0.000000,0.007000,0.011000,1224000000.000000,1590000000.000000,0.062000,1590000000.000000,1224000000.000000,1035000000.000000,0.048000,0.048000,0.048000,16982000000.000000,,16982000000.000000,79603229090.000000,14.000000,10.945000,771000000.000000,0.056000,1.000000,5557000000.000000,0.216000,0.000000,189000000.000000,36317000000.000000,,15919000000.000000,0.000000,0.000000,0.000000,22795000000.000000,11998000000.000000,10797000000.000000,-157000000.000000,0.000000,-638000000.000000,0.000000,-150000000.000000,-759000000.000000,-681000000.000000,0.000000,1283000000.000000,0.000000,652000000.000000,652000000.000000,652000000.000000,0.000000,0.000000,0.025000,4333000000.000000,1224000000.000000,7747000000.000000,0.229000,4.185000,22.654000,22.939000,20479000000.000000,0.000000,5.230000,0.653000,0.656000,854000000.000000,16653000000.000000,25684000000.000000,25684000000.000000,0.000000,,,,,0.000000,4333000000.000000,1.000000,13587997914.000000,13656000000.000000,13656000000.000000,1.881000,39777000000.000000,0.000000,383000000.000000,473000000.000000,2.913000
