dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2017-12-31,2018-06-14,2017-12-31,2017-Q4,39193000.000000,,2025-05-09,0.000000,44998000.000000,,44053000.000000,945000.000000,,-28.513000,,42045000.000000,42045000.000000,,,9.064000,-0.086000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-57830000.000000,,-57830000.000000,,,,,,1.000000,,,0.000000,,-1907000.000000,,0.000000,0.000000,0.000000,0.000000,4950000.000000,4860000.000000,90000.000000,,,,,,,,,,,,,,,,,,,1976000.000000,,,,,788000.000000,,,,,1199000.000000,-60585000.000000,,,,,,,,,,1.000000,19035651.000000,2028224.000000,,,44998000.000000,0.000000,,0.000000,22.186000
ARQ,2018-06-30,2018-08-14,2018-06-30,2018-Q2,127843000.000000,520849171.000000,2025-05-09,0.000000,138256000.000000,,137032000.000000,1224000.000000,,25.842000,,134528000.000000,134528000.000000,0.000000,-12987000.000000,14.913000,0.264000,18167000.000000,0.000000,18167000.000000,18167000.000000,0.000000,,0.000000,0.000000,0.000000,-12425000.000000,,,,-12425000.000000,-12987000.000000,-3.070000,-3.070000,-3.070000,109337000.000000,,109337000.000000,404488171.000000,,,,,1.000000,819000.000000,1.000000,0.000000,562000.000000,12706000.000000,,0.000000,0.000000,0.000000,0.000000,28919000.000000,9189000.000000,19730000.000000,,,,,,,,,,,-12987000.000000,-12987000.000000,-12987000.000000,0.000000,0.000000,-15.857000,13176000.000000,-12357000.000000,556000.000000,0.000000,4.764000,,,1136000.000000,0.000000,25.020000,,,1065000.000000,-85478000.000000,819000.000000,819000.000000,8677000.000000,,,,,,4499000.000000,1.000000,20817313.000000,4231054.000000,4231054.000000,0.194000,138256000.000000,0.000000,0.000000,0.000000,32.676000
ARQ,2018-09-30,2018-11-08,2018-09-30,2018-Q3,127462000.000000,521676900.000000,2025-05-09,-58000.000000,137591000.000000,,135670000.000000,1921000.000000,,4.592000,-771000.000000,75745000.000000,75745000.000000,0.000000,-14767000.000000,16.529000,0.446000,31642000.000000,0.000000,31642000.000000,31642000.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,-14030000.000000,-14025000.000000,-24.098000,-14025000.000000,-14030000.000000,-14767000.000000,-0.710000,-0.710000,-0.710000,95120000.000000,,95120000.000000,477573900.000000,,,-16688000.000000,-0.806000,1.000000,582000.000000,1.000000,0.000000,737000.000000,85280000.000000,,0.000000,55296000.000000,55296000.000000,0.000000,42471000.000000,8208000.000000,34263000.000000,-58783000.000000,0.000000,-1722000.000000,14905000.000000,0.000000,13183000.000000,-56049000.000000,-55278000.000000,-15917000.000000,0.000000,-14767000.000000,-14767000.000000,-14767000.000000,0.000000,0.000000,-25.373000,15525000.000000,-14943000.000000,622000.000000,0.000000,5.484000,,,1826000.000000,0.000000,25.000000,,,1731000.000000,-100246000.000000,582000.000000,582000.000000,10875000.000000,,,,,544000.000000,4650000.000000,1.000000,20867076.000000,20714475.000000,20714475.000000,0.028000,137591000.000000,0.000000,0.000000,0.000000,6.642000
ARQ,2018-09-30,2019-02-11,2018-09-30,2018-Q3,127462000.000000,306746017.000000,2025-05-09,-58000.000000,137591000.000000,,135670000.000000,1921000.000000,,10.448000,-771000.000000,75745000.000000,75745000.000000,0.000000,-14767000.000000,16.529000,0.446000,31642000.000000,0.000000,31642000.000000,31642000.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,-14030000.000000,-14025000.000000,-24.098000,-14025000.000000,-14030000.000000,-14767000.000000,3.400000,3.400000,3.400000,95120000.000000,,95120000.000000,262643017.000000,,,-16688000.000000,-1.833000,1.000000,582000.000000,1.000000,0.000000,737000.000000,85280000.000000,,0.000000,55296000.000000,55296000.000000,0.000000,42471000.000000,8208000.000000,34263000.000000,-58783000.000000,0.000000,-1722000.000000,14905000.000000,0.000000,13183000.000000,-56049000.000000,-55278000.000000,-15917000.000000,0.000000,-14767000.000000,-14767000.000000,-14767000.000000,0.000000,0.000000,-25.373000,15525000.000000,-14943000.000000,622000.000000,0.000000,3.225000,,,1826000.000000,0.000000,14.700000,,,1731000.000000,-100246000.000000,582000.000000,582000.000000,10875000.000000,,,,,544000.000000,4650000.000000,1.000000,20867076.000000,9104491.000000,9104491.000000,0.064000,137591000.000000,0.000000,0.000000,0.000000,15.112000
ARQ,2018-12-31,2019-03-06,2018-12-31,2018-Q4,107727000.000000,276677662.000000,2025-05-09,-52000.000000,120028000.000000,,117899000.000000,2129000.000000,,6.260000,-250000.000000,45716000.000000,45716000.000000,0.000000,-20419000.000000,11.591000,0.592000,31890000.000000,0.000000,31890000.000000,31890000.000000,0.000000,174000.000000,0.000000,0.000000,0.000000,-19364000.000000,-19190000.000000,-23.958000,-19190000.000000,-19364000.000000,-20419000.000000,-0.630000,-0.630000,-0.630000,75406000.000000,,75406000.000000,262851662.000000,-5.000000,-4.594000,-18585000.000000,-1.543000,1.000000,801000.000000,1.000000,0.000000,1055000.000000,96030000.000000,,0.000000,66917000.000000,66917000.000000,0.000000,44622000.000000,10172000.000000,34450000.000000,-30029000.000000,0.000000,29000.000000,0.000000,0.000000,29000.000000,-11723000.000000,-11473000.000000,-18335000.000000,0.000000,-20419000.000000,-20419000.000000,-20419000.000000,0.000000,0.000000,-25.492000,21115000.000000,-20314000.000000,866000.000000,0.000000,3.669000,-4.605000,-2.068000,2034000.000000,0.000000,10.320000,112.242000,50.432000,2869000.000000,-120665000.000000,801000.000000,801000.000000,12390000.000000,,,,,529000.000000,8725000.000000,1.000000,26809851.000000,12045999.000000,12045999.000000,0.066000,120028000.000000,0.000000,0.000000,0.000000,9.964000
ARQ,2019-03-31,2019-05-09,2019-03-31,2019-Q1,140039000.000000,313045461.000000,2025-05-09,-1000.000000,160970000.000000,,153445000.000000,7525000.000000,,4.546000,-200000.000000,61984000.000000,61984000.000000,0.000000,-25277000.000000,11.446000,0.503000,32141000.000000,0.000000,32141000.000000,32141000.000000,0.000000,134000.000000,0.000000,0.000000,0.000000,-24214000.000000,-24080000.000000,-97.097000,-24080000.000000,-24214000.000000,-25277000.000000,-1.070000,-1.070000,-1.070000,107100000.000000,,107100000.000000,283202461.000000,-4.000000,,-21354000.000000,-0.906000,1.000000,248000.000000,1.000000,0.000000,1063000.000000,117721000.000000,,0.000000,85687000.000000,85687000.000000,0.000000,53870000.000000,13406000.000000,40464000.000000,16268000.000000,0.000000,56147000.000000,0.000000,0.000000,56147000.000000,-18725000.000000,-18525000.000000,-21154000.000000,0.000000,-25277000.000000,-25277000.000000,-25277000.000000,0.000000,0.000000,-101.923000,25685000.000000,-25437000.000000,1408000.000000,0.000000,2.923000,-4.262000,-8.482000,7430000.000000,0.000000,11.620000,127.774000,111.747000,3628000.000000,-145942000.000000,248000.000000,248000.000000,13167000.000000,,,,,1147000.000000,12518000.000000,1.000000,26940229.000000,23561193.000000,23561193.000000,0.011000,160970000.000000,0.000000,0.000000,0.000000,6.832000
ARQ,2019-06-30,2019-08-06,2019-06-30,2019-Q2,105141000.000000,268794016.000000,2025-05-09,68000.000000,133894000.000000,,126149000.000000,7745000.000000,,2.781000,-294000.000000,66669000.000000,66669000.000000,23000.000000,-34385000.000000,6.005000,0.790000,32403000.000000,3000000.000000,29403000.000000,32403000.000000,0.000000,225000.000000,0.000000,0.000000,0.000000,-33323000.000000,-33098000.000000,-103.431000,-33098000.000000,-33323000.000000,-34385000.000000,-1.280000,-1.280000,-1.280000,74791000.000000,,74791000.000000,234528016.000000,-3.000000,-2.595000,-23331000.000000,-0.868000,1.000000,297000.000000,0.928000,0.000000,1062000.000000,78620000.000000,,0.000000,57841000.000000,57841000.000000,0.000000,59103000.000000,21008000.000000,38095000.000000,4685000.000000,0.000000,-157000.000000,0.000000,0.000000,-157000.000000,27879000.000000,28173000.000000,-23037000.000000,0.000000,-34385000.000000,-34385000.000000,-34385000.000000,0.000000,0.000000,-107.453000,34357000.000000,-34060000.000000,1840000.000000,0.000000,3.594000,-2.834000,23.714000,7677000.000000,0.000000,9.960000,137.772000,137.272000,826000.000000,-180327000.000000,320000.000000,320000.000000,19333000.000000,,,,,1701000.000000,15024000.000000,1.000000,26987351.000000,26889398.000000,26889398.000000,0.012000,133894000.000000,0.000000,0.000000,0.000000,4.979000
ARQ,2019-09-30,2019-11-07,2019-09-30,2019-Q3,88184000.000000,222169319.000000,2025-05-09,45000.000000,128100000.000000,,105976000.000000,22124000.000000,,1.620000,-369000.000000,56160000.000000,56160000.000000,10000.000000,-32836000.000000,5.956000,1.934000,58124000.000000,0.000000,58124000.000000,58124000.000000,0.000000,339000.000000,0.000000,0.000000,0.000000,-29329000.000000,-28990000.000000,-89.752000,-28990000.000000,-29329000.000000,-32836000.000000,-1.220000,-1.220000,-1.220000,43656000.000000,,43656000.000000,224133319.000000,-2.000000,-2.127000,-30952000.000000,-1.149000,1.000000,313000.000000,0.969000,0.000000,3507000.000000,112272000.000000,,0.000000,60224000.000000,46311000.000000,13913000.000000,84444000.000000,17792000.000000,66652000.000000,-10509000.000000,0.000000,4368000.000000,22660000.000000,0.000000,22570000.000000,-2496000.000000,-2127000.000000,-30583000.000000,0.000000,-32836000.000000,-32836000.000000,-32836000.000000,0.000000,0.000000,-101.659000,30395000.000000,-30082000.000000,1678000.000000,0.000000,5.089000,-1.968000,-1.960000,7952000.000000,0.000000,8.230000,131.306000,131.051000,874000.000000,-213163000.000000,323000.000000,323000.000000,15518000.000000,,,,,1794000.000000,14877000.000000,1.000000,26995057.000000,26942591.000000,26942591.000000,0.012000,128100000.000000,0.000000,0.000000,0.000000,4.755000
ARQ,2019-12-31,2020-03-12,2019-12-31,2019-Q4,60145000.000000,67250443.000000,2025-05-09,43000.000000,108987000.000000,,87483000.000000,21504000.000000,,0.534000,-244000.000000,19519000.000000,19519000.000000,1570000.000000,-33082000.000000,3.200000,6.550000,58305000.000000,0.000000,58305000.000000,58305000.000000,0.000000,380000.000000,0.000000,0.000000,0.000000,-32009000.000000,-31629000.000000,-17.274000,-31629000.000000,-32009000.000000,-33540000.000000,-1.230000,-1.230000,-1.230000,14436000.000000,,14436000.000000,106036443.000000,-1.000000,-0.900000,-29816000.000000,-1.104000,1.000000,261000.000000,0.143000,0.000000,1531000.000000,120435000.000000,,2176000.000000,69261000.000000,56030000.000000,13231000.000000,94551000.000000,27338000.000000,67213000.000000,-36641000.000000,0.000000,-2447000.000000,-41000.000000,0.000000,1970000.000000,-9041000.000000,-8797000.000000,-29572000.000000,2000.000000,-33082000.000000,-33082000.000000,-33082000.000000,0.000000,0.000000,-18.068000,33062000.000000,-32801000.000000,5603000.000000,0.000000,4.659000,-0.536000,-0.372000,7853000.000000,0.000000,1.790000,24.706000,17.170000,5639000.000000,-246245000.000000,1831000.000000,1831000.000000,12420000.000000,,,,,1842000.000000,20642000.000000,1.000000,37570080.000000,27010849.000000,27010849.000000,0.068000,108987000.000000,0.000000,-458000.000000,0.000000,4.035000
ARQ,2020-03-31,2020-05-07,2020-03-31,2020-Q1,83640000.000000,102240410.000000,2025-05-09,60000.000000,116462000.000000,,105520000.000000,10942000.000000,,0.826000,-26000.000000,39244000.000000,39244000.000000,1790000.000000,-29184000.000000,4.823000,3.302000,58485000.000000,0.000000,58485000.000000,58485000.000000,0.000000,320000.000000,0.000000,0.000000,0.000000,-27685000.000000,-27365000.000000,-15.305000,-27365000.000000,-27685000.000000,-29184000.000000,-0.890000,-0.890000,-0.890000,27069000.000000,,27069000.000000,121481410.000000,-1.000000,-1.003000,-28971000.000000,-0.884000,1.000000,-2000.000000,-0.001000,0.000000,1499000.000000,113823000.000000,,2166000.000000,60690000.000000,57698000.000000,2992000.000000,89393000.000000,21880000.000000,67513000.000000,19725000.000000,0.000000,40067000.000000,0.000000,0.000000,40067000.000000,8676000.000000,8702000.000000,-28945000.000000,-73000.000000,-29184000.000000,-29184000.000000,-29184000.000000,0.000000,0.000000,-16.322000,28252000.000000,-28254000.000000,3840000.000000,0.000000,3.777000,-0.790000,-0.589000,7593000.000000,0.000000,2.720000,23.989000,20.927000,3258000.000000,-275429000.000000,1788000.000000,1788000.000000,6646000.000000,,,,,2008000.000000,21606000.000000,1.000000,37588386.000000,32790317.000000,32790317.000000,0.055000,116462000.000000,0.000000,0.000000,0.000000,3.552000
