dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2015-06-30,2015-10-14,2015-06-30,2015-Q2,168658000.000000,,2025-05-01,-1159000.000000,618559000.000000,,446805000.000000,171754000.000000,,1.779000,,224285000.000000,224285000.000000,,,1.606000,1.360000,30000000.000000,0.000000,30000000.000000,30000000.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,262047000.000000,,262047000.000000,,,,,,1.000000,,,73897000.000000,,72230000.000000,,0.000000,0.000000,0.000000,0.000000,356512000.000000,278147000.000000,78365000.000000,,,,,,,,,,,,,,,,,,,224756000.000000,,,,,81294000.000000,,,,,204331000.000000,-473230000.000000,,,,,,,,,,1.000000,322944713.000000,147288000.000000,,,544662000.000000,0.000000,,0.000000,3.698000
ARQ,2015-09-30,2015-11-16,2015-09-30,2015-Q3,107247000.000000,,2025-05-01,-1277000.000000,597946000.000000,,418487000.000000,179459000.000000,,1.550000,-9964000.000000,200679000.000000,200679000.000000,235878000.000000,-53930000.000000,1.345000,1.529000,0.000000,0.000000,0.000000,0.000000,0.000000,6571000.000000,0.000000,,0.000000,-52998000.000000,-46427000.000000,-0.140000,-46427000.000000,-52998000.000000,-52998000.000000,-0.350000,-0.350000,-0.350000,236462000.000000,,236462000.000000,,,,3665000.000000,0.024000,1.000000,96310000.000000,0.290000,77625000.000000,0.000000,8402000.000000,,0.000000,0.000000,0.000000,0.000000,361484000.000000,311240000.000000,50244000.000000,-23857000.000000,-750000.000000,3576000.000000,-30000000.000000,0.000000,-26424000.000000,-10966000.000000,0.000000,13629000.000000,-96000.000000,-53930000.000000,-53930000.000000,-53930000.000000,0.000000,0.000000,-0.162000,148527000.000000,-52217000.000000,245613000.000000,0.000000,,,,85012000.000000,0.000000,,,,199826000.000000,-527160000.000000,332188000.000000,332188000.000000,55020000.000000,,,,,20793000.000000,77079000.000000,1.000000,322944713.000000,152598000.000000,152598000.000000,2.177000,520321000.000000,0.000000,932000.000000,0.000000,3.410000
ARQ,2015-12-31,2016-03-10,2015-12-31,2015-Q4,371361000.000000,3788461448.000000,2025-05-01,-1185000.000000,894772000.000000,,705563000.000000,189209000.000000,,2.980000,-6948000.000000,498998000.000000,498998000.000000,265267000.000000,-48289000.000000,2.111000,0.761000,0.000000,0.000000,0.000000,0.000000,0.000000,9100000.000000,0.000000,0.000000,0.000000,-47045000.000000,-37945000.000000,-0.101000,-37945000.000000,-47045000.000000,-47045000.000000,-0.360000,-0.360000,-0.360000,508048000.000000,,508048000.000000,3289463448.000000,-19.000000,-22.159000,17746000.000000,0.104000,1.000000,109093000.000000,0.291000,83475000.000000,0.000000,-21903000.000000,,0.000000,0.000000,0.000000,0.000000,386724000.000000,334202000.000000,52522000.000000,296692000.000000,-1176000.000000,252888000.000000,-1387000.000000,0.000000,282554000.000000,-9750000.000000,0.000000,24694000.000000,-806000.000000,-48289000.000000,-80489000.000000,-80489000.000000,0.000000,0.000000,-0.215000,156910000.000000,-47817000.000000,243680000.000000,0.000000,7.457000,-17.869000,-9.113000,87222000.000000,32200000.000000,11.300000,2.990000,1.520000,179200000.000000,-607649000.000000,374360000.000000,374360000.000000,59186000.000000,,,,,31705000.000000,84171000.000000,1.000000,335262075.000000,170498000.000000,170498000.000000,2.196000,811297000.000000,0.000000,1244000.000000,0.000000,4.758000
ARQ,2016-03-31,2016-05-06,2016-03-31,2016-Q1,270120000.000000,3426771744.000000,2025-05-01,-346000.000000,945069000.000000,,720052000.000000,225017000.000000,,1.343000,-7527000.000000,399182000.000000,399182000.000000,269029000.000000,-96755000.000000,1.600000,1.124000,0.000000,0.000000,0.000000,0.000000,0.000000,9118000.000000,0.000000,0.000000,0.000000,-96347000.000000,-87229000.000000,-0.230000,-87229000.000000,-96347000.000000,-96416000.000000,-0.290000,-0.290000,-0.290000,444884000.000000,,444884000.000000,3027589744.000000,,,-23038000.000000,-0.070000,1.000000,110240000.000000,0.291000,81162000.000000,69000.000000,14793000.000000,,0.000000,73162000.000000,43447000.000000,29715000.000000,500185000.000000,449932000.000000,50253000.000000,-100129000.000000,-400000.000000,556000.000000,0.000000,0.000000,-4850000.000000,-81326000.000000,-73086000.000000,-15511000.000000,1558000.000000,-96755000.000000,-96755000.000000,-96755000.000000,0.000000,0.000000,-0.255000,207373000.000000,-97133000.000000,303440000.000000,0.000000,7.703000,,,89039000.000000,0.000000,10.220000,,,237206000.000000,-704404000.000000,379269000.000000,379269000.000000,64592000.000000,,,,,31198000.000000,134603000.000000,1.000000,335300562.000000,331324000.000000,331324000.000000,1.145000,863907000.000000,0.000000,339000.000000,0.000000,2.607000
ARQ,2016-06-30,2016-08-04,2016-06-30,2016-Q2,309559000.000000,3868778340.000000,2025-05-01,72000.000000,933292000.000000,,721028000.000000,212264000.000000,,1.409000,-8313000.000000,379112000.000000,379112000.000000,289574000.000000,-27345000.000000,1.752000,0.980000,0.000000,0.000000,0.000000,0.000000,0.000000,9018000.000000,0.000000,0.000000,0.000000,-27162000.000000,-18144000.000000,-0.041000,-18144000.000000,-27162000.000000,-27033000.000000,-0.080000,-0.080000,-0.080000,471459000.000000,,471459000.000000,3489666340.000000,-16.000000,-18.391000,-28573000.000000,-0.085000,1.000000,148959000.000000,0.340000,79028000.000000,-129000.000000,63683000.000000,,0.000000,110367000.000000,90765000.000000,19602000.000000,461833000.000000,411469000.000000,50364000.000000,-28210000.000000,0.000000,14940000.000000,0.000000,0.000000,14816000.000000,-23880000.000000,-7427000.000000,-20260000.000000,1114000.000000,-27345000.000000,-27345000.000000,-27345000.000000,0.000000,0.000000,-0.062000,176319000.000000,-27360000.000000,326453000.000000,0.000000,8.206000,-14.965000,-10.481000,86325000.000000,0.000000,11.320000,2.538000,2.484000,225809000.000000,-731749000.000000,438533000.000000,438533000.000000,68638000.000000,,,,,36922000.000000,90004000.000000,1.000000,341764871.000000,334488000.000000,334488000.000000,1.311000,854264000.000000,0.000000,312000.000000,0.000000,2.554000
ARQ,2016-09-30,2016-11-02,2016-09-30,2016-Q3,357003000.000000,4148197126.000000,2025-05-01,213000.000000,1052208000.000000,,843027000.000000,209181000.000000,,1.484000,-3834000.000000,474596000.000000,474596000.000000,288688000.000000,-32323000.000000,1.735000,1.062000,0.000000,0.000000,0.000000,0.000000,0.000000,9681000.000000,0.000000,0.000000,0.000000,-32276000.000000,-22595000.000000,-0.051000,-22595000.000000,-32276000.000000,-32093000.000000,-0.090000,-0.090000,-0.090000,510389000.000000,,510389000.000000,3673601126.000000,-18.000000,-22.142000,74172000.000000,0.216000,1.000000,150314000.000000,0.342000,76951000.000000,-183000.000000,14637000.000000,,0.000000,120722000.000000,105244000.000000,15478000.000000,541819000.000000,486024000.000000,55795000.000000,95464000.000000,0.000000,32808000.000000,0.000000,0.000000,32808000.000000,-15214000.000000,-11360000.000000,78006000.000000,-136000.000000,-32323000.000000,-32323000.000000,-32323000.000000,0.000000,0.000000,-0.074000,182296000.000000,-31982000.000000,378153000.000000,0.000000,8.128000,-17.509000,-14.366000,89957000.000000,0.000000,11.780000,2.543000,2.484000,242080000.000000,-764072000.000000,439002000.000000,439002000.000000,70418000.000000,,,,,36779000.000000,98829000.000000,1.000000,352138975.000000,343893000.000000,343893000.000000,1.277000,975257000.000000,0.000000,230000.000000,0.000000,2.836000
ARQ,2016-12-31,2017-02-27,2016-12-31,2016-Q4,423961000.000000,6583735993.000000,2025-05-01,-1989000.000000,1211362000.000000,,1001425000.000000,209937000.000000,,1.616000,-5463000.000000,488745000.000000,488745000.000000,285392000.000000,-15167000.000000,1.734000,1.103000,0.000000,0.000000,0.000000,0.000000,0.000000,9928000.000000,0.000000,0.000000,0.000000,-14668000.000000,-4740000.000000,-0.010000,-4740000.000000,-14668000.000000,-14131000.000000,-0.040000,-0.040000,-0.040000,576153000.000000,,576153000.000000,6094990993.000000,-36.000000,-45.928000,-24567000.000000,-0.069000,1.000000,166525000.000000,0.368000,76465000.000000,-537000.000000,68688000.000000,,0.000000,129411000.000000,102045000.000000,27366000.000000,635209000.000000,577464000.000000,57745000.000000,23576000.000000,-1360000.000000,48135000.000000,-168000.000000,0.000000,47967000.000000,-2313000.000000,4529000.000000,-19104000.000000,-2974000.000000,-15167000.000000,-15167000.000000,-15167000.000000,0.000000,0.000000,-0.034000,180503000.000000,-13978000.000000,400660000.000000,0.000000,11.427000,-38.369000,-35.860000,88328000.000000,0.000000,17.930000,3.853000,3.584000,325314000.000000,-779239000.000000,451917000.000000,451917000.000000,64889000.000000,,,,,33887000.000000,102433000.000000,1.000000,367191076.000000,356441000.000000,356441000.000000,1.268000,1134897000.000000,0.000000,1036000.000000,0.000000,3.184000
ARQ,2017-03-31,2017-05-04,2017-03-31,2017-Q1,788459000.000000,7444670277.000000,2025-05-01,-1242000.000000,1591113000.000000,,1343355000.000000,247758000.000000,,1.712000,-6508000.000000,740990000.000000,740990000.000000,288123000.000000,-15090000.000000,2.421000,1.534000,345739000.000000,0.000000,345739000.000000,345739000.000000,0.000000,9437000.000000,0.000000,0.000000,0.000000,-14082000.000000,-4645000.000000,-0.010000,-4645000.000000,-14082000.000000,-14581000.000000,-0.040000,-0.040000,-0.040000,627933000.000000,,627933000.000000,7049419277.000000,-80.000000,-140.640000,37490000.000000,0.102000,1.000000,173431000.000000,0.376000,76498000.000000,499000.000000,564468000.000000,,0.000000,301350000.000000,238639000.000000,62711000.000000,963180000.000000,554896000.000000,408284000.000000,252245000.000000,-1600000.000000,57244000.000000,428003000.000000,0.000000,377583000.000000,-170394000.000000,-162286000.000000,43998000.000000,1058000.000000,-15090000.000000,-15090000.000000,-15090000.000000,0.000000,0.000000,-0.033000,187513000.000000,-14082000.000000,408638000.000000,0.000000,11.856000,-82.788000,-79.600000,91013000.000000,0.000000,19.900000,4.157000,4.075000,266088000.000000,-795012000.000000,461554000.000000,461554000.000000,68582000.000000,,,,,31670000.000000,106835000.000000,1.000000,374104034.000000,366737000.000000,366737000.000000,1.259000,1514615000.000000,0.000000,509000.000000,0.000000,4.130000
ARQ,2017-06-30,2017-08-02,2017-06-30,2017-Q2,812989000.000000,10152658420.000000,2025-05-01,-519000.000000,1741714000.000000,,1437917000.000000,303797000.000000,,1.870000,-7375000.000000,753701000.000000,753701000.000000,344076000.000000,-15962000.000000,2.301000,1.475000,349960000.000000,0.000000,349960000.000000,349960000.000000,0.000000,9125000.000000,0.000000,0.000000,0.000000,-12224000.000000,-3099000.000000,-0.006000,-3099000.000000,-12224000.000000,-15490000.000000,-0.040000,-0.040000,-0.040000,703744000.000000,,703744000.000000,9748917420.000000,-133.000000,-277.913000,39217000.000000,0.104000,1.000000,207429000.000000,0.376000,74413000.000000,3266000.000000,638632000.000000,,0.000000,377465000.000000,253366000.000000,124099000.000000,1037970000.000000,624928000.000000,413042000.000000,12711000.000000,0.000000,89863000.000000,-387000.000000,0.000000,50196000.000000,-85350000.000000,-77975000.000000,46592000.000000,1273000.000000,-15962000.000000,-15962000.000000,-15962000.000000,0.000000,0.000000,-0.029000,219653000.000000,-12224000.000000,519135000.000000,0.000000,14.427000,-129.264000,-126.000000,87442000.000000,0.000000,26.460000,5.332000,5.230000,309021000.000000,-810974000.000000,551505000.000000,551505000.000000,78126000.000000,,,,,39593000.000000,122904000.000000,1.000000,383698353.000000,376357000.000000,376357000.000000,1.465000,1667301000.000000,0.000000,472000.000000,0.000000,4.430000
ARQ,2017-09-30,2017-11-08,2017-09-30,2017-Q3,756198000.000000,14264318138.000000,2025-05-01,-393000.000000,2083852000.000000,,1686877000.000000,396975000.000000,,1.909000,-5742000.000000,693510000.000000,693510000.000000,366543000.000000,-16098000.000000,1.813000,1.843000,354237000.000000,0.000000,354237000.000000,354237000.000000,0.000000,9085000.000000,0.000000,0.000000,0.000000,-14891000.000000,-5806000.000000,-0.010000,-5806000.000000,-14891000.000000,-16745000.000000,-0.040000,-0.040000,-0.040000,732909000.000000,,732909000.000000,13925045138.000000,-249.000000,-761.347000,33985000.000000,0.089000,1.000000,218616000.000000,0.374000,72609000.000000,1854000.000000,741291000.000000,,0.000000,459625000.000000,268290000.000000,191335000.000000,1350943000.000000,930679000.000000,420264000.000000,-60191000.000000,0.000000,22026000.000000,-386000.000000,0.000000,3342000.000000,-104765000.000000,-99023000.000000,39727000.000000,1505000.000000,-16098000.000000,-16098000.000000,-16098000.000000,0.000000,0.000000,-0.028000,233507000.000000,-14891000.000000,822284000.000000,0.000000,19.463000,-228.899000,-229.438000,88666000.000000,0.000000,36.710000,6.958000,6.875000,587630000.000000,-827072000.000000,585159000.000000,585159000.000000,82547000.000000,,,,,40048000.000000,130845000.000000,1.000000,388567642.000000,383951000.000000,383951000.000000,1.524000,2011243000.000000,0.000000,-647000.000000,0.000000,5.238000
