dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2019-12-31,2020-09-23,2019-12-31,2019-Q4,45150963.000000,,2025-05-20,5218.000000,54116777.000000,,53462854.000000,653923.000000,,0.271000,,45302622.000000,45302622.000000,,,6.432000,0.418000,0.000000,0.000000,0.000000,0.000000,6010874.000000,,0.000000,,0.000000,,,,,,,,,,19902176.000000,,19902176.000000,,,,,,1.000000,,,0.000000,,502264.000000,,0.000000,4229926.000000,4229926.000000,0.000000,8311891.000000,8311891.000000,0.000000,,,,,,,,,,,,,,,,,,,724487.000000,,,,,453923.000000,,,,,0.000000,19896958.000000,,,,,,,,,,1.000000,143230130.000000,73393941.000000,,,54116777.000000,0.000000,,0.000000,0.737000
ARQ,2020-09-30,2020-11-10,2020-09-30,2020-Q3,204302817.000000,1362118536.000000,2025-05-20,164834.000000,224248883.000000,,223340943.000000,907940.000000,,2.767000,,75673702.000000,75673702.000000,25608476.000000,-30980276.000000,11.731000,0.093000,0.000000,0.000000,0.000000,0.000000,10917719.000000,,0.000000,0.000000,0.000000,-30871164.000000,,,,-30871164.000000,-30871164.000000,-0.430000,-0.430000,-0.430000,205210757.000000,,205210757.000000,1286444834.000000,,,,,1.000000,8217837.000000,0.243000,0.000000,0.000000,129537055.000000,,0.000000,293681.000000,293681.000000,0.000000,19038126.000000,19038126.000000,0.000000,,,,,,,,,,,-30980276.000000,-31521844.000000,-31521844.000000,0.000000,0.000000,-0.932000,39123471.000000,-30905634.000000,1524962.000000,0.000000,6.638000,,,907940.000000,541568.000000,9.510000,,,0.000000,3524243.000000,33826313.000000,33826313.000000,1698495.000000,,,,,,37424976.000000,1.000000,143230130.000000,74153030.000000,74153030.000000,0.456000,224248883.000000,0.000000,109112.000000,0.000000,3.024000
ARQ,2020-12-31,2021-03-16,2020-12-31,2020-Q4,232292904.000000,3916855403.000000,2025-05-20,373989.000000,254616757.000000,,253375001.000000,1241756.000000,,1.619000,,236883282.000000,236883282.000000,18429067.000000,8999030.000000,12.018000,0.090000,0.000000,0.000000,0.000000,0.000000,13359827.000000,,0.000000,0.000000,0.000000,9330457.000000,,,,9330457.000000,9330457.000000,0.060000,0.060000,0.060000,233534660.000000,,233534660.000000,3679972121.000000,903.000000,,,,1.000000,29914403.000000,0.619000,0.000000,0.000000,-3348622.000000,,0.000000,766295.000000,766295.000000,0.000000,21082097.000000,21082097.000000,0.000000,,,,,,,,,,,8999030.000000,8999030.000000,8999030.000000,0.000000,0.000000,0.186000,20604863.000000,9309540.000000,1573784.000000,0.000000,16.772000,-1894.284000,-1357.500000,1241756.000000,0.000000,27.150000,29.029000,18.463000,0.000000,12523273.000000,48343470.000000,48343470.000000,1634465.000000,,,,,,18970398.000000,1.000000,144267234.000000,144267234.000000,157062018.000000,0.335000,254616757.000000,0.000000,331427.000000,0.000000,1.765000
ARQ,2020-12-31,2021-04-02,2020-12-31,2020-Q4,232292904.000000,3817027048.000000,2025-05-20,373989.000000,254616757.000000,,253375001.000000,1241756.000000,,2.545000,,236883282.000000,236883282.000000,18429067.000000,8999030.000000,12.018000,0.090000,0.000000,0.000000,0.000000,0.000000,13359827.000000,,0.000000,0.000000,0.000000,9330457.000000,,,,9330457.000000,9330457.000000,0.080000,0.080000,0.080000,233534660.000000,,233534660.000000,3580143766.000000,879.000000,825.555000,,,1.000000,29914403.000000,0.619000,0.000000,0.000000,-3348622.000000,,0.000000,766295.000000,766295.000000,0.000000,21082097.000000,21082097.000000,0.000000,,,,,,,,,,,8999030.000000,8999030.000000,8999030.000000,0.000000,0.000000,0.186000,20604863.000000,9309540.000000,1573784.000000,0.000000,16.345000,-1846.005000,-1326.000000,1241756.000000,0.000000,26.520000,28.289000,18.035000,0.000000,12523273.000000,48343470.000000,48343470.000000,1634465.000000,,,,,,18970398.000000,1.000000,143930130.000000,91755810.000000,91755810.000000,0.527000,254616757.000000,0.000000,331427.000000,0.000000,2.775000
ARQ,2021-03-31,2021-05-12,2021-03-31,2021-Q1,265478941.000000,3033302266.000000,2025-05-20,329365.000000,293032124.000000,,291415952.000000,1616172.000000,,1.813000,,261708530.000000,261708530.000000,24000472.000000,19829764.000000,11.236000,0.097000,0.000000,0.000000,0.000000,0.000000,17399153.000000,,0.000000,0.000000,0.000000,20257736.000000,,,,20257736.000000,20257736.000000,0.130000,0.110000,0.130000,267095113.000000,,267095113.000000,2771593736.000000,186.000000,,,,1.000000,43648622.000000,0.645000,0.000000,0.000000,5386583.000000,,0.000000,0.000000,0.000000,0.000000,25937011.000000,25937011.000000,0.000000,,,,,,,,,,,19829764.000000,19829764.000000,19829764.000000,0.000000,0.000000,0.293000,23415702.000000,20232920.000000,1996739.000000,0.000000,11.357000,335.754000,-171.583000,1416172.000000,0.000000,20.590000,16.712000,16.712000,0.000000,32353037.000000,67649094.000000,67649094.000000,3342559.000000,,,,,,20073143.000000,1.000000,147319197.000000,147319197.000000,180045126.000000,0.459000,293032124.000000,0.000000,427972.000000,0.000000,1.989000
ARQ,2021-06-30,2021-08-11,2021-06-30,2021-Q2,289783735.000000,1626307799.000000,2025-05-20,356773.000000,324291585.000000,,322485614.000000,1805971.000000,,1.967000,,292365881.000000,292365881.000000,23801291.000000,18381241.000000,9.861000,0.112000,0.000000,0.000000,0.000000,0.000000,20388186.000000,,0.000000,0.000000,0.000000,18761051.000000,,,,18761051.000000,18761051.000000,0.120000,0.100000,0.120000,291589706.000000,,291589706.000000,1333941918.000000,76.000000,,,,1.000000,42818790.000000,0.643000,0.000000,0.000000,-776175.000000,,0.000000,3806708.000000,3806708.000000,0.000000,32701879.000000,32701879.000000,0.000000,,,,,,,,,,,18381241.000000,18381241.000000,18381241.000000,0.000000,0.000000,0.276000,24024252.000000,18794538.000000,2553079.000000,0.000000,5.577000,103.664000,-91.417000,1605971.000000,0.000000,10.970000,7.514000,7.514000,0.000000,50734278.000000,66620081.000000,66620081.000000,3167186.000000,,,,,,20857066.000000,1.000000,148250483.000000,148250483.000000,182412439.000000,0.449000,324291585.000000,0.000000,379810.000000,0.000000,2.187000
ARQ,2021-09-30,2021-11-10,2021-09-30,2021-Q3,308976085.000000,1130048407.000000,2025-05-20,277999.000000,348221636.000000,,346121627.000000,2100009.000000,,2.076000,,326309156.000000,326309156.000000,23414397.000000,25325988.000000,9.318000,0.119000,0.000000,0.000000,0.000000,0.000000,22466705.000000,,0.000000,0.000000,0.000000,25743704.000000,,,,25743704.000000,25743704.000000,0.170000,0.140000,0.170000,311076094.000000,,311076094.000000,803739251.000000,11.000000,,,,1.000000,47894512.000000,0.672000,0.000000,0.000000,-15233062.000000,,0.000000,2767238.000000,2767238.000000,0.000000,37145542.000000,37145542.000000,0.000000,,,,,,,,,,,25325988.000000,25325988.000000,25325988.000000,0.000000,0.000000,0.355000,22157621.000000,25736891.000000,3384058.000000,0.000000,3.633000,15.579000,15.708000,1900009.000000,0.000000,7.540000,4.450000,4.450000,0.000000,76060266.000000,71308909.000000,71308909.000000,3859988.000000,,,,,,18297633.000000,1.000000,149873794.000000,149873794.000000,180232792.000000,0.476000,348221636.000000,0.000000,417716.000000,0.000000,2.323000
ARQ,2021-12-31,2022-03-15,2021-12-31,2021-Q4,331616775.000000,574143252.000000,2025-05-20,520010.000000,380808057.000000,,376349176.000000,4458881.000000,,2.246000,,351485602.000000,351485602.000000,23928785.000000,19057367.000000,8.413000,0.134000,668330.000000,472734.000000,195596.000000,668330.000000,24971203.000000,,0.000000,0.000000,0.000000,19858098.000000,,,,19858098.000000,19858098.000000,0.130000,0.110000,0.130000,335886378.000000,,335886378.000000,223325980.000000,3.000000,,,,1.000000,43628039.000000,0.646000,0.000000,0.000000,-14741616.000000,,0.000000,4674799.000000,2906344.000000,1768455.000000,44927997.000000,44732401.000000,195596.000000,,,,,,,,,,,19063685.000000,19063685.000000,19063685.000000,0.000000,-6318.000000,0.282000,25364659.000000,18263380.000000,4392330.000000,0.000000,1.709000,6.951000,6.857000,2690426.000000,0.000000,3.840000,2.102000,2.091000,0.000000,95123951.000000,67556824.000000,67556824.000000,3916387.000000,,,,,,21448272.000000,1.000000,149516472.000000,149516472.000000,176907506.000000,0.452000,380808057.000000,0.000000,794413.000000,0.000000,2.547000
ARQ,2021-12-31,2022-04-25,2021-12-31,2021-Q4,331616775.000000,581837435.000000,2025-05-20,520010.000000,380808057.000000,,376349176.000000,4458881.000000,,2.246000,,351485602.000000,351485602.000000,23928785.000000,19057367.000000,8.413000,0.134000,668330.000000,472734.000000,195596.000000,668330.000000,24971203.000000,,0.000000,0.000000,0.000000,19858098.000000,,,,19858098.000000,19858098.000000,0.130000,0.110000,0.130000,335886378.000000,,335886378.000000,231020163.000000,3.000000,2.674000,,,1.000000,43628039.000000,0.646000,0.000000,0.000000,-14741616.000000,,0.000000,4674799.000000,2906344.000000,1768455.000000,44927997.000000,44732401.000000,195596.000000,,,,,,,,,,,19063685.000000,19063685.000000,19063685.000000,0.000000,-6318.000000,0.282000,25364659.000000,18263380.000000,4392330.000000,0.000000,1.732000,7.044000,7.036000,2690426.000000,0.000000,3.940000,2.130000,2.146000,0.000000,95123951.000000,67556824.000000,67556824.000000,3916387.000000,,,,,,21448272.000000,1.000000,147674476.000000,149516470.000000,176907506.000000,0.452000,380808057.000000,0.000000,794413.000000,0.000000,2.547000
ARQ,2022-03-31,2022-05-17,2022-03-31,2022-Q1,356834083.000000,563090850.000000,2025-05-20,584727.000000,406208386.000000,,400278436.000000,5929950.000000,,2.411000,,367460732.000000,367460732.000000,27527990.000000,17698307.000000,9.214000,0.122000,1596497.000000,803841.000000,792656.000000,1596497.000000,27243392.000000,,0.000000,0.000000,0.000000,18389916.000000,,,,18389916.000000,18389916.000000,0.120000,0.100000,0.120000,362055859.000000,,362055859.000000,197226615.000000,2.000000,,,,1.000000,44809292.000000,0.619000,0.000000,0.000000,-3100202.000000,,0.000000,8124413.000000,5876588.000000,2247825.000000,44237009.000000,43444353.000000,792656.000000,,,,,,,,,,,17776471.000000,17776471.000000,17776471.000000,0.000000,-78164.000000,0.246000,26538899.000000,18270393.000000,4164763.000000,0.000000,1.555000,6.991000,6.944000,3682125.000000,0.000000,3.750000,2.027000,2.027000,0.000000,112900422.000000,72337282.000000,72337282.000000,5984568.000000,,,,,,20554331.000000,1.000000,150157560.000000,150157560.000000,176548571.000000,0.482000,406208386.000000,0.000000,613445.000000,0.000000,2.705000
