dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2018-06-30,2018-09-07,2018-06-30,2018-Q2,66002000.000000,,2025-05-14,-88000.000000,73298000.000000,,71729000.000000,1569000.000000,,2.449000,,70183000.000000,70183000.000000,,,12.525000,0.119000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,65521000.000000,,65521000.000000,,,,,,1.000000,,,0.000000,,-2612000.000000,,0.000000,0.000000,0.000000,0.000000,7777000.000000,5727000.000000,2050000.000000,,,,,,,,,,,,,,,,,,,4242000.000000,,,,,118000.000000,,,,,0.000000,-59349000.000000,,,,,,,,,,1.000000,32626999.000000,26749666.000000,,,73298000.000000,0.000000,,0.000000,2.740000
ARQ,2018-09-30,2018-11-13,2018-09-30,2018-Q3,156728000.000000,791583368.000000,2025-05-14,-48000.000000,166394000.000000,,166044000.000000,350000.000000,,5.672000,-53000.000000,163323000.000000,163323000.000000,0.000000,-11426000.000000,17.824000,0.073000,0.000000,0.000000,0.000000,0.000000,0.000000,9000.000000,0.000000,0.000000,0.000000,-11426000.000000,-11417000.000000,,-11417000.000000,-11426000.000000,-11426000.000000,-0.420000,-0.420000,-0.420000,155028000.000000,,155028000.000000,628260368.000000,,,-9241000.000000,-0.338000,1.000000,0.000000,,0.000000,0.000000,-6245000.000000,,0.000000,0.000000,0.000000,0.000000,11366000.000000,9316000.000000,2050000.000000,93139000.000000,0.000000,102609000.000000,0.000000,0.000000,102373000.000000,-53000.000000,0.000000,-9188000.000000,7000.000000,-11426000.000000,-11426000.000000,-11426000.000000,0.000000,0.000000,,11415000.000000,-11415000.000000,6827000.000000,0.000000,5.106000,,,162000.000000,0.000000,23.150000,,,0.000000,-70775000.000000,0.000000,0.000000,8731000.000000,,,,,395000.000000,2684000.000000,1.000000,34193666.000000,27330579.000000,27330579.000000,0.000000,166394000.000000,0.000000,0.000000,0.000000,6.088000
ARQ,2018-12-31,2019-03-22,2018-12-31,2018-Q4,142409000.000000,798764038.000000,2025-05-14,7000.000000,151924000.000000,,151532000.000000,392000.000000,,4.103000,-57000.000000,147871000.000000,147871000.000000,0.000000,-14060000.000000,16.610000,0.081000,0.000000,0.000000,0.000000,0.000000,0.000000,14000.000000,0.000000,0.000000,0.000000,-14016000.000000,-14002000.000000,,-14002000.000000,-14016000.000000,-14060000.000000,-0.420000,-0.420000,-0.420000,140527000.000000,,140527000.000000,650893038.000000,-15.000000,-15.067000,-13634000.000000,-0.398000,1.000000,0.000000,,0.000000,44000.000000,-5070000.000000,,0.000000,0.000000,0.000000,0.000000,11397000.000000,9123000.000000,2274000.000000,-15452000.000000,0.000000,-1842000.000000,0.000000,0.000000,-1842000.000000,-57000.000000,0.000000,-13577000.000000,24000.000000,-14060000.000000,-14060000.000000,-14060000.000000,0.000000,0.000000,,14078000.000000,-14078000.000000,5872000.000000,0.000000,5.684000,-18.458000,-15.573000,205000.000000,0.000000,23.360000,,,0.000000,-84835000.000000,0.000000,0.000000,11041000.000000,,,,,495000.000000,3037000.000000,1.000000,34193666.000000,34253240.000000,34253240.000000,0.000000,151924000.000000,0.000000,0.000000,0.000000,4.435000
ARQ,2019-03-31,2019-05-10,2019-03-31,2019-Q1,126733000.000000,769357485.000000,2025-05-14,63000.000000,139997000.000000,,137034000.000000,2963000.000000,,3.671000,-126000.000000,134275000.000000,134275000.000000,0.000000,-15934000.000000,13.303000,0.115000,2650000.000000,517000.000000,2133000.000000,2650000.000000,0.000000,19000.000000,0.000000,0.000000,0.000000,-16253000.000000,-16234000.000000,,-16234000.000000,-16253000.000000,-15934000.000000,-0.470000,-0.470000,-0.470000,125513000.000000,,125513000.000000,637732485.000000,,,-13609000.000000,-0.398000,1.000000,0.000000,,0.000000,-319000.000000,-1929000.000000,,0.000000,0.000000,0.000000,0.000000,14484000.000000,10301000.000000,4183000.000000,-13596000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-126000.000000,0.000000,-13483000.000000,13000.000000,-15934000.000000,-15934000.000000,-15934000.000000,0.000000,0.000000,,16253000.000000,-16253000.000000,5907000.000000,0.000000,6.130000,,,2720000.000000,0.000000,22.500000,,,0.000000,-100769000.000000,0.000000,0.000000,12511000.000000,,,,,864000.000000,3742000.000000,1.000000,34193666.000000,34193666.000000,34193666.000000,0.000000,139997000.000000,0.000000,0.000000,0.000000,4.094000
ARQ,2019-06-30,2019-08-14,2019-06-30,2019-Q2,109562000.000000,894506303.000000,2025-05-14,-3000.000000,126040000.000000,,123190000.000000,2850000.000000,,3.170000,-75000.000000,120163000.000000,120163000.000000,0.000000,-18036000.000000,9.039000,0.163000,2482000.000000,502000.000000,1980000.000000,2482000.000000,0.000000,20000.000000,0.000000,0.000000,0.000000,-18634000.000000,-18614000.000000,,-18614000.000000,-18634000.000000,-18036000.000000,-0.530000,-0.530000,-0.530000,108382000.000000,,108382000.000000,776825303.000000,-13.000000,-12.890000,-14115000.000000,-0.413000,1.000000,0.000000,,0.000000,-598000.000000,-5269000.000000,,0.000000,0.000000,0.000000,0.000000,17658000.000000,13628000.000000,4030000.000000,-14112000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-75000.000000,0.000000,-14040000.000000,3000.000000,-18036000.000000,-18036000.000000,-18036000.000000,0.000000,0.000000,,18634000.000000,-18634000.000000,8911000.000000,0.000000,8.253000,-15.045000,-14.217000,2606000.000000,0.000000,26.160000,,,0.000000,-118805000.000000,0.000000,0.000000,14494000.000000,,,,,971000.000000,4140000.000000,1.000000,34193666.000000,34193666.000000,34193666.000000,0.000000,126040000.000000,0.000000,0.000000,0.000000,3.686000
ARQ,2019-09-30,2019-11-13,2019-09-30,2019-Q3,85599000.000000,1139410971.000000,2025-05-14,131000.000000,103684000.000000,,99591000.000000,4093000.000000,,2.500000,-617000.000000,98192000.000000,98192000.000000,0.000000,-23922000.000000,7.118000,0.206000,2337000.000000,516000.000000,1821000.000000,2337000.000000,0.000000,48000.000000,0.000000,0.000000,0.000000,-24359000.000000,-24311000.000000,,-24311000.000000,-24359000.000000,-23922000.000000,-0.700000,-0.700000,-0.700000,85939000.000000,,85939000.000000,1043555971.000000,-14.000000,-14.264000,-22012000.000000,-0.640000,1.000000,0.000000,,0.000000,-437000.000000,-6163000.000000,,0.000000,0.000000,0.000000,0.000000,17745000.000000,13992000.000000,3753000.000000,-21971000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-617000.000000,0.000000,-21395000.000000,41000.000000,-23922000.000000,-23922000.000000,-23922000.000000,0.000000,0.000000,,24359000.000000,-24359000.000000,7628000.000000,0.000000,13.258000,-15.836000,-13.528000,3775000.000000,0.000000,28.680000,,,0.000000,-142727000.000000,0.000000,0.000000,19660000.000000,,,,,1345000.000000,4699000.000000,1.000000,39728416.000000,34371927.000000,34371927.000000,0.000000,103684000.000000,0.000000,0.000000,0.000000,3.017000
ARQ,2019-12-31,2020-03-12,2019-12-31,2019-Q4,198369000.000000,781616604.000000,2025-05-14,50000.000000,216366000.000000,,211955000.000000,4411000.000000,,5.238000,-1147000.000000,207136000.000000,207136000.000000,0.000000,-23136000.000000,15.601000,0.088000,2230000.000000,516000.000000,1714000.000000,2230000.000000,0.000000,79000.000000,0.000000,0.000000,0.000000,-23758000.000000,-23679000.000000,,-23679000.000000,-23758000.000000,-23136000.000000,-0.610000,-0.610000,-0.610000,198903000.000000,,198903000.000000,576710604.000000,-7.000000,-6.962000,-25726000.000000,-0.677000,1.000000,0.000000,,0.000000,-622000.000000,-2126000.000000,,0.000000,0.000000,0.000000,0.000000,17463000.000000,13586000.000000,3877000.000000,108944000.000000,0.000000,134704000.000000,0.000000,0.000000,134704000.000000,-1147000.000000,0.000000,-24579000.000000,-34000.000000,-23136000.000000,-23136000.000000,-23136000.000000,0.000000,0.000000,,23758000.000000,-23758000.000000,8520000.000000,0.000000,3.930000,-9.646000,-8.548000,4041000.000000,0.000000,19.660000,,,0.000000,-165863000.000000,0.000000,0.000000,16827000.000000,,,,,1477000.000000,6931000.000000,1.000000,39756694.000000,37972735.000000,37972735.000000,0.000000,216366000.000000,0.000000,0.000000,0.000000,5.698000
ARQ,2020-03-31,2020-05-07,2020-03-31,2020-Q1,174993000.000000,1407817430.000000,2025-05-14,75000.000000,194074000.000000,,189836000.000000,4238000.000000,,4.410000,-26000.000000,185774000.000000,185774000.000000,0.000000,-26179000.000000,12.790000,0.107000,2091000.000000,548000.000000,1543000.000000,2091000.000000,0.000000,86000.000000,0.000000,0.000000,0.000000,-26747000.000000,-26661000.000000,,-26661000.000000,-26747000.000000,-26179000.000000,-0.660000,-0.660000,-0.660000,175330000.000000,,175330000.000000,1224134430.000000,-13.000000,-13.125000,-21782000.000000,-0.548000,1.000000,0.000000,,0.000000,-568000.000000,-4452000.000000,,0.000000,0.000000,0.000000,0.000000,18744000.000000,14843000.000000,3901000.000000,-21362000.000000,0.000000,370000.000000,0.000000,0.000000,370000.000000,-26000.000000,0.000000,-21756000.000000,50000.000000,-26179000.000000,-26179000.000000,-26179000.000000,0.000000,0.000000,,26747000.000000,-26747000.000000,10260000.000000,0.000000,8.030000,-15.424000,-14.164000,3857000.000000,0.000000,35.410000,,,0.000000,-192042000.000000,0.000000,0.000000,18622000.000000,,,,,2211000.000000,8125000.000000,1.000000,39757623.000000,39753583.000000,39753583.000000,0.000000,194074000.000000,0.000000,0.000000,0.000000,4.882000
ARQ,2020-06-30,2020-08-06,2020-06-30,2020-Q2,147613000.000000,1590577130.000000,2025-05-14,-16000.000000,167329000.000000,,163320000.000000,4009000.000000,,3.653000,-2000.000000,158059000.000000,158059000.000000,0.000000,-40393000.000000,10.398000,0.146000,1968000.000000,569000.000000,1399000.000000,1968000.000000,0.000000,100000.000000,0.000000,0.000000,0.000000,-40452000.000000,-40352000.000000,,-40352000.000000,-40452000.000000,-40393000.000000,-1.010000,-1.010000,-1.010000,146008000.000000,,146008000.000000,1434486130.000000,-12.000000,-12.473000,-27637000.000000,-0.691000,1.000000,0.000000,,0.000000,-59000.000000,-4469000.000000,,0.000000,0.000000,0.000000,0.000000,21321000.000000,15707000.000000,5614000.000000,-27715000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2000.000000,0.000000,-27635000.000000,-78000.000000,-40393000.000000,-40393000.000000,-40393000.000000,0.000000,0.000000,,40452000.000000,-40452000.000000,9825000.000000,0.000000,10.894000,-13.998000,-13.339000,3652000.000000,0.000000,39.750000,,,0.000000,-232435000.000000,0.000000,0.000000,30059000.000000,,,,,2454000.000000,10393000.000000,1.000000,40014519.000000,39972174.000000,39972174.000000,0.000000,167329000.000000,0.000000,0.000000,0.000000,4.186000
ARQ,2020-09-30,2020-11-05,2020-09-30,2020-Q3,113432000.000000,1973015096.000000,2025-05-14,-28000.000000,143195000.000000,,133209000.000000,9986000.000000,,2.899000,-103000.000000,131267000.000000,131267000.000000,0.000000,-32832000.000000,6.736000,0.229000,4404000.000000,1887000.000000,2517000.000000,4404000.000000,0.000000,93000.000000,0.000000,0.000000,0.000000,-32641000.000000,-32548000.000000,,-32548000.000000,-32641000.000000,-32832000.000000,-0.820000,-0.820000,-0.820000,116512000.000000,,116512000.000000,1846152096.000000,-15.000000,-14.980000,-24248000.000000,-0.603000,1.000000,0.000000,,0.000000,191000.000000,-3445000.000000,,0.000000,0.000000,0.000000,0.000000,26683000.000000,19777000.000000,6906000.000000,-26792000.000000,-2610000.000000,215000.000000,0.000000,0.000000,215000.000000,-2713000.000000,0.000000,-24145000.000000,-149000.000000,-32832000.000000,-32832000.000000,-32832000.000000,0.000000,0.000000,,32641000.000000,-32641000.000000,10320000.000000,0.000000,16.934000,-16.101000,-15.710000,7011000.000000,0.000000,48.700000,,,0.000000,-265267000.000000,0.000000,0.000000,21005000.000000,,,,,3134000.000000,11636000.000000,1.000000,40513657.000000,40187173.000000,40187173.000000,0.000000,143195000.000000,0.000000,0.000000,0.000000,3.563000
