dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2020-12-31,2021-06-01,2020-12-31,2020-Q4,37389000.000000,,2025-05-03,-2037000.000000,286286000.000000,,141368000.000000,144918000.000000,,-7.340000,,50725000.000000,50725000.000000,,,1.360000,-1.552000,189693000.000000,0.000000,189693000.000000,189693000.000000,4053000.000000,,0.000000,,0.000000,,,,,,,,,,-239220000.000000,,-239220000.000000,,,,,,1.000000,,,137914000.000000,,183361000.000000,,0.000000,0.000000,0.000000,0.000000,371296000.000000,103979000.000000,267317000.000000,,,,,,,,,,,,,,,,,,,40976000.000000,,,,,6117000.000000,,,,,79366000.000000,-242254000.000000,,,,,,,,,,1.000000,191626044.000000,32589409.000000,,,148372000.000000,366000.000000,,0.000000,4.553000
ARQ,2021-03-31,2021-06-07,2021-03-31,2021-Q1,40090000.000000,,2025-05-03,-1983000.000000,286427000.000000,,134196000.000000,152231000.000000,,-7.857000,-4645000.000000,52103000.000000,52103000.000000,38972000.000000,-24374000.000000,1.426000,-1.512000,193367000.000000,0.000000,193367000.000000,193367000.000000,3986000.000000,10117000.000000,0.000000,,0.000000,-22990000.000000,-12873000.000000,-0.127000,-12873000.000000,-22990000.000000,-25951000.000000,-0.860000,-0.860000,-0.860000,-258086000.000000,,-258086000.000000,,,,967000.000000,0.029000,1.000000,62491000.000000,0.616000,145755000.000000,2961000.000000,187830000.000000,,0.000000,0.000000,0.000000,0.000000,390303000.000000,94106000.000000,296197000.000000,1378000.000000,-2159000.000000,0.000000,2566000.000000,0.000000,2502000.000000,-6804000.000000,0.000000,5612000.000000,68000.000000,-24374000.000000,-28268000.000000,-28268000.000000,0.000000,0.000000,-0.279000,60597000.000000,1894000.000000,32157000.000000,0.000000,,,,5584000.000000,3894000.000000,,,,69376000.000000,-266628000.000000,101463000.000000,101463000.000000,9784000.000000,,,,,0.000000,39702000.000000,1.000000,191626044.000000,32846991.000000,32846991.000000,3.089000,140672000.000000,357000.000000,-1577000.000000,0.000000,4.283000
ARQ,2021-06-30,2021-08-11,2021-06-30,2021-Q2,97417000.000000,1038207993.000000,2025-05-03,-2112000.000000,354511000.000000,,194396000.000000,160115000.000000,,1.036000,-9265000.000000,113568000.000000,113568000.000000,42212000.000000,-94922000.000000,2.005000,5.682000,183443000.000000,0.000000,183443000.000000,183443000.000000,3612000.000000,11235000.000000,0.000000,0.000000,0.000000,-92936000.000000,-81701000.000000,-0.764000,-81701000.000000,-92936000.000000,-94338000.000000,-1.920000,-1.920000,-1.920000,53058000.000000,,53058000.000000,1108082993.000000,,,-1674000.000000,-0.033000,1.000000,64684000.000000,0.605000,153273000.000000,1402000.000000,174134000.000000,,0.000000,0.000000,0.000000,0.000000,301453000.000000,96979000.000000,204474000.000000,61465000.000000,0.000000,63233000.000000,0.000000,0.000000,63274000.000000,-9265000.000000,0.000000,7591000.000000,-135000.000000,-94922000.000000,-98088000.000000,-98088000.000000,0.000000,0.000000,-0.918000,186969000.000000,-122285000.000000,30869000.000000,0.000000,19.567000,,,5738000.000000,3166000.000000,5.460000,,,72044000.000000,-361550000.000000,106896000.000000,106896000.000000,26503000.000000,,,,,119270000.000000,148752000.000000,1.000000,190147984.000000,51202335.000000,51202335.000000,2.088000,201238000.000000,199000.000000,584000.000000,0.000000,3.930000
ARQ,2021-09-30,2021-11-10,2021-09-30,2021-Q3,95381000.000000,1954847694.000000,2025-05-03,-2189000.000000,354296000.000000,,197843000.000000,156453000.000000,,0.430000,-6394000.000000,116180000.000000,116180000.000000,44525000.000000,-69129000.000000,1.931000,5.351000,183528000.000000,0.000000,183528000.000000,183528000.000000,2739000.000000,11783000.000000,0.000000,0.000000,0.000000,-67359000.000000,-55576000.000000,-0.483000,-55576000.000000,-67359000.000000,-68701000.000000,-0.530000,-0.530000,-0.530000,55785000.000000,,55785000.000000,2022195694.000000,,,3769000.000000,0.029000,1.000000,70608000.000000,0.613000,149326000.000000,1342000.000000,169856000.000000,,0.000000,0.000000,0.000000,0.000000,298511000.000000,102462000.000000,196049000.000000,2612000.000000,0.000000,-1053000.000000,0.000000,0.000000,-1094000.000000,-6394000.000000,0.000000,10163000.000000,-63000.000000,-69129000.000000,-69129000.000000,-69129000.000000,0.000000,0.000000,-0.600000,137471000.000000,-66863000.000000,27905000.000000,0.000000,35.043000,,,5869000.000000,0.000000,9.900000,,,72785000.000000,-430679000.000000,115133000.000000,115133000.000000,13998000.000000,,,,,69343000.000000,111180000.000000,1.000000,197459363.000000,129731980.000000,129731980.000000,0.887000,204970000.000000,195000.000000,428000.000000,0.000000,1.580000
ARQ,2021-12-31,2022-02-25,2021-12-31,2021-Q4,90299000.000000,2474045457.000000,2025-05-03,-2101000.000000,397265000.000000,,196056000.000000,201209000.000000,,1.041000,-6452000.000000,103859000.000000,103859000.000000,49011000.000000,-61138000.000000,1.854000,3.390000,183613000.000000,0.000000,183613000.000000,183613000.000000,6866000.000000,12787000.000000,0.000000,0.000000,0.000000,-59843000.000000,-47056000.000000,-0.349000,-47056000.000000,-59843000.000000,-61171000.000000,-0.350000,-0.350000,-0.350000,90488000.000000,,90488000.000000,2553799457.000000,-11.000000,-12.950000,14474000.000000,0.166000,1.000000,85835000.000000,0.637000,193510000.000000,1328000.000000,177752000.000000,,0.000000,0.000000,0.000000,0.000000,306777000.000000,105757000.000000,201020000.000000,-12321000.000000,-17934000.000000,836000.000000,0.000000,0.000000,-8950000.000000,-24386000.000000,0.000000,20926000.000000,89000.000000,-61138000.000000,-61138000.000000,-61138000.000000,0.000000,0.000000,-0.453000,146988000.000000,-61153000.000000,21711000.000000,0.000000,27.341000,-9.641000,-4.210000,5630000.000000,0.000000,12.420000,5.398000,2.356000,83578000.000000,-491817000.000000,134846000.000000,134846000.000000,14189000.000000,,,,,70546000.000000,119315000.000000,1.000000,199198507.000000,86932191.000000,86932191.000000,1.551000,203755000.000000,956000.000000,-33000.000000,0.000000,2.344000
ARQ,2022-03-31,2022-05-11,2022-03-31,2022-Q1,78807000.000000,1487464813.000000,2025-05-03,-2345000.000000,416317000.000000,,188019000.000000,228298000.000000,,0.778000,-11208000.000000,103863000.000000,103863000.000000,41725000.000000,-72037000.000000,1.722000,2.990000,183698000.000000,0.000000,183698000.000000,183698000.000000,5699000.000000,12766000.000000,0.000000,0.000000,0.000000,-73338000.000000,-60572000.000000,-0.480000,-60572000.000000,-73338000.000000,-74636000.000000,-0.540000,-0.540000,-0.540000,104345000.000000,,104345000.000000,1567299813.000000,-5.000000,-6.400000,9975000.000000,0.074000,1.000000,84543000.000000,0.670000,220415000.000000,1298000.000000,166525000.000000,,0.000000,0.000000,0.000000,0.000000,311972000.000000,109212000.000000,202760000.000000,4000.000000,-9157000.000000,0.000000,0.000000,0.000000,-582000.000000,-20365000.000000,0.000000,21183000.000000,-232000.000000,-72037000.000000,-72037000.000000,-72037000.000000,0.000000,0.000000,-0.571000,152608000.000000,-68065000.000000,17272000.000000,0.000000,14.255000,-4.952000,-2.195000,5329000.000000,0.000000,7.330000,3.079000,2.034000,75558000.000000,-563854000.000000,126268000.000000,126268000.000000,17231000.000000,,,,,73736000.000000,122267000.000000,1.000000,202928351.000000,134084703.000000,134084703.000000,0.942000,195902000.000000,1009000.000000,-2599000.000000,0.000000,1.461000
ARQ,2022-06-30,2022-08-04,2022-06-30,2022-Q2,84158000.000000,1380458245.000000,2025-05-03,-2748000.000000,435816000.000000,,208708000.000000,227108000.000000,,0.787000,-8889000.000000,110779000.000000,110779000.000000,50233000.000000,-86009000.000000,1.676000,3.077000,183783000.000000,0.000000,183783000.000000,183783000.000000,5864000.000000,13315000.000000,0.000000,0.000000,0.000000,-84000000.000000,-70685000.000000,-0.515000,-70685000.000000,-84000000.000000,-85666000.000000,-0.630000,-0.630000,-0.630000,106905000.000000,,106905000.000000,1453462245.000000,-5.000000,-6.214000,5778000.000000,0.043000,1.000000,87068000.000000,0.634000,217868000.000000,1666000.000000,166402000.000000,,0.000000,0.000000,0.000000,0.000000,328911000.000000,124550000.000000,204361000.000000,6916000.000000,0.000000,1320000.000000,0.000000,0.000000,740000.000000,-8889000.000000,0.000000,14667000.000000,398000.000000,-86009000.000000,-86009000.000000,-86009000.000000,0.000000,0.000000,-0.626000,164157000.000000,-77089000.000000,38069000.000000,0.000000,12.913000,-4.788000,-3.268000,5538000.000000,0.000000,6.700000,2.688000,1.773000,89541000.000000,-649863000.000000,137301000.000000,137301000.000000,18038000.000000,,,,,82335000.000000,132804000.000000,1.000000,206038544.000000,135903592.000000,135903592.000000,1.010000,217948000.000000,1230000.000000,343000.000000,0.000000,1.604000
ARQ,2022-09-30,2022-11-02,2022-09-30,2022-Q3,92217000.000000,1665369266.000000,2025-05-03,-3522000.000000,440735000.000000,,215715000.000000,225020000.000000,,0.776000,-9888000.000000,114808000.000000,114808000.000000,57529000.000000,-69440000.000000,1.747000,3.039000,183868000.000000,0.000000,183868000.000000,183868000.000000,6104000.000000,13367000.000000,0.000000,0.000000,0.000000,-66506000.000000,-53139000.000000,-0.349000,-53139000.000000,-66506000.000000,-68544000.000000,-0.490000,-0.490000,-0.490000,109112000.000000,,109112000.000000,1734429266.000000,-6.000000,-7.494000,9651000.000000,0.069000,1.000000,94723000.000000,0.622000,215473000.000000,2038000.000000,170824000.000000,,0.000000,0.000000,0.000000,0.000000,331623000.000000,123498000.000000,208125000.000000,4029000.000000,-52000.000000,-4310000.000000,0.000000,0.000000,-5275000.000000,-9940000.000000,0.000000,19539000.000000,-295000.000000,-69440000.000000,-69440000.000000,-69440000.000000,0.000000,0.000000,-0.456000,160892000.000000,-66169000.000000,28400000.000000,0.000000,15.263000,-5.770000,-4.010000,6235000.000000,0.000000,8.060000,3.024000,2.058000,91414000.000000,-719303000.000000,152252000.000000,152252000.000000,16954000.000000,,,,,75218000.000000,130571000.000000,1.000000,206621497.000000,140594128.000000,140594128.000000,1.083000,225262000.000000,1253000.000000,896000.000000,0.000000,1.602000
ARQ,2022-12-31,2023-02-24,2022-12-31,2022-Q4,107738000.000000,2219392545.000000,2025-05-03,-2045000.000000,466502000.000000,,236448000.000000,230054000.000000,,0.880000,-9251000.000000,121110000.000000,121110000.000000,65979000.000000,-51753000.000000,1.837000,2.644000,183953000.000000,0.000000,183953000.000000,183953000.000000,2228000.000000,12430000.000000,0.000000,0.000000,0.000000,-49583000.000000,-37153000.000000,-0.212000,-37153000.000000,-49583000.000000,-51884000.000000,-0.350000,-0.350000,-0.350000,128030000.000000,,128030000.000000,2282235545.000000,-8.000000,-10.301000,13846000.000000,0.095000,1.000000,109161000.000000,0.623000,214140000.000000,2301000.000000,186495000.000000,,0.000000,0.000000,0.000000,0.000000,338472000.000000,128710000.000000,209762000.000000,6302000.000000,0.000000,-3676000.000000,0.000000,0.000000,-7508000.000000,-9251000.000000,0.000000,23097000.000000,-36000.000000,-51753000.000000,-51753000.000000,-51753000.000000,0.000000,0.000000,-0.295000,156872000.000000,-47711000.000000,33668000.000000,0.000000,17.335000,-7.948000,-5.323000,13369000.000000,0.000000,10.700000,3.756000,2.516000,106322000.000000,-771056000.000000,175140000.000000,175140000.000000,17231000.000000,,,,,67703000.000000,127211000.000000,1.000000,207419864.000000,145561244.000000,145561244.000000,1.203000,252362000.000000,745000.000000,-131000.000000,0.000000,1.734000
ARQ,2023-03-31,2023-05-05,2023-03-31,2023-Q1,95992000.000000,1770701470.000000,2025-05-03,-1898000.000000,469851000.000000,,226037000.000000,243814000.000000,,0.866000,-10064000.000000,107794000.000000,107794000.000000,54350000.000000,-56955000.000000,1.738000,2.616000,183840000.000000,0.000000,183840000.000000,183840000.000000,3708000.000000,11825000.000000,0.000000,0.000000,0.000000,-54309000.000000,-42484000.000000,-0.270000,-42484000.000000,-54309000.000000,-56757000.000000,-0.380000,-0.380000,-0.380000,129926000.000000,,129926000.000000,1846747470.000000,-7.000000,-9.077000,10040000.000000,0.067000,1.000000,103252000.000000,0.655000,227216000.000000,2448000.000000,188636000.000000,,0.000000,0.000000,0.000000,0.000000,339925000.000000,130045000.000000,209880000.000000,-13316000.000000,-15852000.000000,-6533000.000000,0.000000,0.000000,-7472000.000000,-25916000.000000,0.000000,20104000.000000,-32000.000000,-56955000.000000,-56955000.000000,-56955000.000000,0.000000,0.000000,-0.361000,155697000.000000,-52445000.000000,38485000.000000,0.000000,13.629000,-6.703000,-4.508000,12921000.000000,0.000000,8.340000,2.845000,2.011000,109405000.000000,-828011000.000000,157602000.000000,157602000.000000,18519000.000000,,,,,64462000.000000,125150000.000000,1.000000,212314325.000000,150045840.000000,150045840.000000,1.050000,242635000.000000,760000.000000,198000.000000,0.000000,1.617000
