dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2018-12-31,2019-03-22,2019-01-31,2019-Q4,124378000.000000,,2025-05-23,-135000.000000,354565000.000000,,276719000.000000,77846000.000000,,-0.088000,,63624000.000000,63624000.000000,,,1.816000,-27.215000,0.000000,0.000000,0.000000,0.000000,125773000.000000,,0.000000,,0.000000,,,,,,,,,,-7439000.000000,,-7439000.000000,,,,,,1.000000,,,0.000000,,138600000.000000,,0.000000,112777000.000000,112777000.000000,0.000000,202452000.000000,152341000.000000,50111000.000000,,,,,,,,,,,,,,,,,,,4963000.000000,,,,,37275000.000000,,,,,63613000.000000,-25153000.000000,,,,,,,,,,1.000000,256576638.000000,84483094.000000,,,354565000.000000,0.000000,,0.000000,4.197000
ARQ,2018-12-31,2019-04-16,2019-01-31,2019-Q4,124378000.000000,,2025-05-23,-135000.000000,354565000.000000,,276719000.000000,77846000.000000,,-0.088000,,63624000.000000,63624000.000000,,,1.816000,-27.215000,0.000000,0.000000,0.000000,0.000000,125773000.000000,,0.000000,,0.000000,,,,,,,,,,-7439000.000000,,-7439000.000000,,,,,,1.000000,,,0.000000,,138600000.000000,,0.000000,112777000.000000,112777000.000000,0.000000,202452000.000000,152341000.000000,50111000.000000,,,,,,,,,,,,,,,,,,,4963000.000000,,,,,37275000.000000,,,,,63613000.000000,-25153000.000000,,,,,,,,,,1.000000,256576638.000000,84483094.000000,,,354565000.000000,0.000000,,0.000000,4.197000
ARQ,2019-03-31,2019-06-07,2019-04-30,2020-Q1,671915000.000000,25624156779.000000,2025-05-23,8000.000000,999052000.000000,,866340000.000000,132712000.000000,,6.560000,-6897000.000000,629793000.000000,629793000.000000,24104000.000000,2214000.000000,4.456000,0.388000,46056000.000000,0.000000,46056000.000000,46056000.000000,149330000.000000,4857000.000000,0.000000,0.000000,0.000000,2530000.000000,7387000.000000,0.061000,7387000.000000,2530000.000000,2530000.000000,0.000000,0.000000,0.000000,719728000.000000,,719728000.000000,25040419779.000000,,,15339000.000000,0.140000,1.000000,97884000.000000,0.802000,0.000000,0.000000,220890000.000000,,0.000000,107389000.000000,107389000.000000,0.000000,279324000.000000,194425000.000000,84899000.000000,566169000.000000,0.000000,545252000.000000,0.000000,0.000000,545252000.000000,-1319000.000000,5578000.000000,22236000.000000,0.000000,2214000.000000,198000.000000,198000.000000,0.000000,0.000000,0.002000,96327000.000000,1557000.000000,9678000.000000,,35.603000,,,90681000.000000,2016000.000000,94.050000,,,78888000.000000,-22939000.000000,121988000.000000,121988000.000000,13783000.000000,,,,,6662000.000000,82544000.000000,1.000000,272452491.000000,109708898.000000,136428379.000000,1.112000,999052000.000000,0.000000,316000.000000,0.000000,9.106000
ARQ,2019-06-30,2019-09-13,2019-07-31,2020-Q2,687063000.000000,21569567867.000000,2025-05-23,-68000.000000,1069923000.000000,,916059000.000000,153864000.000000,,2.736000,-14040000.000000,213886000.000000,213886000.000000,27900000.000000,5541000.000000,4.000000,0.438000,48104000.000000,0.000000,48104000.000000,48104000.000000,181407000.000000,5433000.000000,0.000000,0.000000,0.000000,6757000.000000,12190000.000000,0.084000,12190000.000000,6757000.000000,6757000.000000,0.020000,0.020000,0.020000,743796000.000000,,743796000.000000,21403785867.000000,,,17132000.000000,0.063000,1.000000,117926000.000000,0.809000,0.000000,0.000000,675145000.000000,,0.000000,541380000.000000,541380000.000000,0.000000,326127000.000000,228996000.000000,97131000.000000,-416107000.000000,0.000000,-114000.000000,0.000000,0.000000,-114000.000000,-447165000.000000,-433125000.000000,31172000.000000,0.000000,5541000.000000,5521000.000000,5521000.000000,0.000000,0.000000,0.038000,115661000.000000,2265000.000000,819000.000000,0.000000,28.999000,,,103113000.000000,20000.000000,78.850000,,,95682000.000000,-17398000.000000,145826000.000000,145826000.000000,15054000.000000,,,,,18075000.000000,100607000.000000,1.000000,273551907.000000,271813141.000000,292185665.000000,0.536000,1069923000.000000,0.000000,1216000.000000,0.000000,3.936000
ARQ,2019-09-30,2019-12-09,2019-10-31,2020-Q3,701596000.000000,18225935681.000000,2025-05-23,651000.000000,1188057000.000000,,1019399000.000000,168658000.000000,,2.826000,-7195000.000000,230874000.000000,230874000.000000,30845000.000000,2211000.000000,3.208000,0.538000,50132000.000000,0.000000,50132000.000000,50132000.000000,201599000.000000,6139000.000000,0.000000,0.000000,0.000000,2530000.000000,8669000.000000,0.052000,8669000.000000,2530000.000000,2530000.000000,0.010000,0.010000,0.010000,772517000.000000,,772517000.000000,18045193681.000000,,,54735000.000000,0.200000,1.000000,135748000.000000,0.815000,0.000000,0.000000,689512000.000000,,0.000000,580526000.000000,580526000.000000,0.000000,415540000.000000,317803000.000000,97737000.000000,65800000.000000,0.000000,51485000.000000,0.000000,0.000000,51485000.000000,-47615000.000000,-40420000.000000,61930000.000000,0.000000,2211000.000000,2207000.000000,2207000.000000,0.000000,0.000000,0.013000,137427000.000000,-1679000.000000,3202000.000000,0.000000,23.593000,,,107156000.000000,4000.000000,65.940000,,,95770000.000000,-15187000.000000,166593000.000000,166593000.000000,17573000.000000,,,,,21795000.000000,119854000.000000,1.000000,276401815.000000,273316850.000000,292771122.000000,0.610000,1188057000.000000,0.000000,319000.000000,0.000000,4.347000
ARQ,2019-12-31,2020-03-20,2020-01-31,2020-Q4,761692000.000000,36423660969.000000,2025-05-23,809000.000000,1289845000.000000,,1095522000.000000,194323000.000000,,3.014000,-9952000.000000,283134000.000000,283134000.000000,32547000.000000,15339000.000000,3.282000,0.547000,64792000.000000,0.000000,64792000.000000,64792000.000000,230536000.000000,6905000.000000,0.000000,0.000000,0.000000,14545000.000000,21450000.000000,0.114000,21450000.000000,14545000.000000,14545000.000000,0.060000,0.060000,0.060000,833943000.000000,,833943000.000000,36205318969.000000,1373.000000,728.536000,26602000.000000,0.096000,1.000000,155704000.000000,0.827000,0.000000,0.000000,737673000.000000,,0.000000,572060000.000000,572060000.000000,0.000000,455902000.000000,333830000.000000,122072000.000000,52252000.000000,0.000000,19067000.000000,0.000000,0.000000,19067000.000000,-3369000.000000,6724000.000000,36554000.000000,0.000000,15339000.000000,14277000.000000,14277000.000000,0.000000,0.000000,0.076000,145151000.000000,10553000.000000,1596000.000000,0.000000,43.676000,1674.651000,1450.556000,125746000.000000,1062000.000000,130.550000,58.497000,48.987000,120435000.000000,152000.000000,188251000.000000,188251000.000000,20669000.000000,,,,,26577000.000000,124482000.000000,1.000000,279001616.000000,276679009.000000,292654349.000000,0.680000,1289845000.000000,0.000000,-794000.000000,0.000000,4.662000
ARQ,2020-03-31,2020-06-05,2020-04-30,2021-Q1,749229000.000000,58564579894.000000,2025-05-23,1887000.000000,2067709000.000000,,1782957000.000000,284752000.000000,,3.221000,-7272000.000000,488653000.000000,488653000.000000,103707000.000000,27075000.000000,1.725000,1.293000,62989000.000000,0.000000,62989000.000000,62989000.000000,551842000.000000,7587000.000000,0.000000,0.000000,0.000000,29175000.000000,36762000.000000,0.112000,36762000.000000,29175000.000000,29175000.000000,0.100000,0.090000,0.100000,901631000.000000,,901631000.000000,58138915894.000000,1097.000000,735.275000,251693000.000000,0.899000,1.000000,224460000.000000,0.684000,0.000000,0.000000,608317000.000000,,0.000000,616714000.000000,616714000.000000,0.000000,1166078000.000000,1033728000.000000,132350000.000000,424057000.000000,1319000.000000,228126000.000000,0.000000,0.000000,228126000.000000,-63034000.000000,-56919000.000000,258965000.000000,0.000000,27075000.000000,27036000.000000,27036000.000000,0.000000,0.000000,0.082000,201075000.000000,23385000.000000,3472000.000000,0.000000,64.954000,1194.196000,1092.632000,125795000.000000,39000.000000,207.600000,70.659000,70.105000,257512000.000000,27227000.000000,328167000.000000,328167000.000000,26389000.000000,,,,,28777000.000000,174686000.000000,1.000000,282102986.000000,279891111.000000,295184958.000000,1.172000,2067709000.000000,0.000000,2100000.000000,0.000000,7.388000
ARQ,2020-06-30,2020-09-03,2020-07-31,2021-Q2,944776000.000000,108455408094.000000,2025-05-23,2772000.000000,2624941000.000000,,2232102000.000000,392839000.000000,,4.238000,-27981000.000000,748944000.000000,748944000.000000,192271000.000000,185989000.000000,1.734000,1.190000,63105000.000000,0.000000,63105000.000000,63105000.000000,742613000.000000,8824000.000000,0.000000,0.000000,0.000000,190185000.000000,199009000.000000,0.300000,199009000.000000,190185000.000000,190185000.000000,0.660000,0.630000,0.660000,1198812000.000000,,1198812000.000000,107769569094.000000,456.000000,405.316000,373365000.000000,1.320000,1.000000,471249000.000000,0.710000,24340000.000000,0.000000,627436000.000000,,0.000000,732995000.000000,732995000.000000,0.000000,1426129000.000000,1287326000.000000,138803000.000000,273335000.000000,-26486000.000000,44516000.000000,0.000000,0.000000,44516000.000000,-172527000.000000,-116728000.000000,401346000.000000,0.000000,185989000.000000,185742000.000000,185742000.000000,0.000000,0.000000,0.280000,283145000.000000,188104000.000000,12615000.000000,0.000000,90.469000,473.063000,459.422000,156586000.000000,247000.000000,381.320000,80.544000,80.100000,295330000.000000,213216000.000000,663520000.000000,663520000.000000,42734000.000000,,,,,56855000.000000,240411000.000000,1.000000,284420980.000000,282850805.000000,297162309.000000,2.346000,2600601000.000000,0.000000,4196000.000000,0.000000,9.194000
ARQ,2020-09-30,2020-12-04,2020-10-31,2021-Q3,1210328000.000000,117265751391.000000,2025-05-23,1317000.000000,3050311000.000000,,2624276000.000000,426035000.000000,,5.267000,-22967000.000000,730506000.000000,730506000.000000,258727000.000000,198642000.000000,1.856000,1.034000,60522000.000000,0.000000,60522000.000000,60522000.000000,854697000.000000,10172000.000000,0.000000,0.000000,0.000000,194021000.000000,204193000.000000,0.263000,204193000.000000,194021000.000000,194021000.000000,0.700000,0.660000,0.700000,1499918000.000000,,1499918000.000000,116595767391.000000,272.000000,252.692000,388503000.000000,1.364000,1.000000,518469000.000000,0.667000,24340000.000000,0.000000,942039000.000000,,0.000000,1141425000.000000,1141425000.000000,0.000000,1550393000.000000,1413948000.000000,136445000.000000,-2746000.000000,0.000000,23600000.000000,0.000000,0.000000,23600000.000000,-437816000.000000,-411958000.000000,411470000.000000,0.000000,198642000.000000,198440000.000000,198440000.000000,0.000000,0.000000,0.255000,326227000.000000,192242000.000000,12666000.000000,0.000000,78.181000,275.598000,269.743000,171085000.000000,202000.000000,410.010000,59.917000,59.661000,280896000.000000,411858000.000000,777196000.000000,777196000.000000,42582000.000000,,,,,93925000.000000,283645000.000000,1.000000,286007052.000000,284783006.000000,299258765.000000,2.729000,3025971000.000000,0.000000,-4621000.000000,0.000000,10.626000
ARQ,2020-12-31,2021-03-18,2021-01-31,2021-Q4,3532899000.000000,92907626714.000000,2025-05-23,839000.000000,5297993000.000000,,4792865000.000000,505128000.000000,,13.418000,-21752000.000000,2240303000.000000,2240303000.000000,267284000.000000,260610000.000000,3.804000,0.372000,90415000.000000,0.000000,90415000.000000,90415000.000000,883495000.000000,13161000.000000,0.000000,0.000000,0.000000,264653000.000000,277814000.000000,0.315000,277814000.000000,264653000.000000,264653000.000000,0.910000,0.870000,0.910000,3860767000.000000,,3860767000.000000,90757738714.000000,134.000000,126.443000,377644000.000000,1.313000,1.000000,615201000.000000,0.697000,24340000.000000,0.000000,1863799000.000000,,0.000000,2004410000.000000,2004410000.000000,0.000000,1437226000.000000,1259966000.000000,177260000.000000,1264388000.000000,-1319000.000000,1754035000.000000,0.000000,0.000000,1754035000.000000,-889043000.000000,-866173000.000000,399396000.000000,0.000000,260610000.000000,260352000.000000,260352000.000000,0.000000,0.000000,0.295000,359084000.000000,256117000.000000,8664000.000000,0.000000,24.065000,138.353000,133.468000,247573000.000000,258000.000000,316.320000,35.041000,33.865000,294703000.000000,672468000.000000,882485000.000000,882485000.000000,52375000.000000,,,,,96261000.000000,306709000.000000,1.000000,293714045.000000,287721173.000000,299692853.000000,3.067000,5273653000.000000,0.000000,4043000.000000,0.000000,18.329000
