dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
ARQ,2019-12-31,2020-03-30,2019-12-31,2019-Q4,53994000.000000,,2025-05-14,0.000000,87481000.000000,,68891000.000000,18590000.000000,,-14.312000,,67489000.000000,67489000.000000,,,4.624000,-0.238000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,,0.000000,,,,,,,,,,-80106000.000000,,-80106000.000000,,,,,,1.000000,,,3736000.000000,,1359000.000000,,0.000000,0.000000,0.000000,0.000000,19060000.000000,14897000.000000,4163000.000000,,,,,,,,,,,,,,,,,,,4289000.000000,,,,,2836000.000000,,,,,140000.000000,-82993000.000000,,,,,,,,,,1.000000,32874301.000000,5597000.000000,,,83745000.000000,0.000000,,2463000.000000,14.962000
ARQ,2020-03-31,2020-05-15,2020-03-31,2020-Q1,49070000.000000,1286962441.000000,2025-05-14,0.000000,87629000.000000,,66009000.000000,21620000.000000,,-17.122000,-31000.000000,64061000.000000,64061000.000000,0.000000,-16235000.000000,3.897000,-0.218000,0.000000,0.000000,0.000000,0.000000,0.000000,38000.000000,0.000000,0.000000,0.000000,-16126000.000000,-16088000.000000,,-16088000.000000,-16126000.000000,-16126000.000000,-2.880000,-2.880000,-2.880000,-95903000.000000,,-95903000.000000,1222901441.000000,,,-16902000.000000,-3.018000,1.000000,0.000000,,3736000.000000,0.000000,2893000.000000,,0.000000,0.000000,0.000000,0.000000,20886000.000000,16939000.000000,3947000.000000,-3428000.000000,0.000000,0.000000,0.000000,0.000000,13474000.000000,-31000.000000,0.000000,-16871000.000000,0.000000,-16126000.000000,-16126000.000000,-16126000.000000,0.000000,-109000.000000,,16399000.000000,-16399000.000000,7019000.000000,0.000000,-13.419000,,,2795000.000000,0.000000,35.870000,,,139000.000000,-99119000.000000,0.000000,0.000000,13258000.000000,,,,,329000.000000,3141000.000000,1.000000,35878518.000000,5601000.000000,5601000.000000,0.000000,83893000.000000,0.000000,0.000000,2463000.000000,14.978000
ARQ,2020-06-30,2020-08-13,2020-06-30,2020-Q2,222914000.000000,1312492557.000000,2025-05-14,4000.000000,257217000.000000,,238481000.000000,18736000.000000,,6.207000,-25000.000000,96427000.000000,96427000.000000,0.000000,-27292000.000000,15.320000,0.090000,0.000000,0.000000,0.000000,0.000000,0.000000,38000.000000,0.000000,0.000000,0.000000,-26857000.000000,-26819000.000000,,-26819000.000000,-26857000.000000,-26857000.000000,-0.780000,-0.780000,-0.780000,213224000.000000,,213224000.000000,1216065557.000000,,,-22058000.000000,-0.642000,1.000000,0.000000,,3736000.000000,0.000000,141487000.000000,,0.000000,137175000.000000,137175000.000000,0.000000,19292000.000000,15567000.000000,3725000.000000,32366000.000000,0.000000,172482000.000000,0.000000,0.000000,191660000.000000,-137261000.000000,-137236000.000000,-22033000.000000,0.000000,-26857000.000000,-26857000.000000,-26857000.000000,0.000000,-435000.000000,,27376000.000000,-27376000.000000,4217000.000000,0.000000,6.155000,,,2571000.000000,0.000000,32.810000,,,73000.000000,-125976000.000000,0.000000,0.000000,17452000.000000,,,,,7681000.000000,9924000.000000,1.000000,40002821.000000,34353000.000000,34353000.000000,0.000000,253481000.000000,0.000000,0.000000,2463000.000000,7.379000
ARQ,2020-09-30,2020-11-09,2020-09-30,2020-Q3,348830000.000000,1534391517.000000,2025-05-14,23000.000000,393233000.000000,,372736000.000000,20497000.000000,,8.985000,-41000.000000,93872000.000000,93872000.000000,0.000000,-34665000.000000,15.592000,0.080000,0.000000,0.000000,0.000000,0.000000,0.000000,51000.000000,0.000000,0.000000,0.000000,-34537000.000000,-34486000.000000,,-34486000.000000,-34537000.000000,-34537000.000000,-0.910000,-0.910000,-0.910000,341055000.000000,,341055000.000000,1440519517.000000,,,-20605000.000000,-0.543000,1.000000,0.000000,,3736000.000000,0.000000,271719000.000000,,0.000000,274884000.000000,274884000.000000,0.000000,27400000.000000,23906000.000000,3494000.000000,-2555000.000000,0.000000,155899000.000000,0.000000,0.000000,155899000.000000,-137890000.000000,-137849000.000000,-20564000.000000,0.000000,-34555000.000000,-34555000.000000,-34555000.000000,0.000000,-110000.000000,,34767000.000000,-34767000.000000,5437000.000000,0.000000,4.499000,,,2396000.000000,0.000000,37.780000,,,122000.000000,-160531000.000000,0.000000,0.000000,24670000.000000,,,,,7249000.000000,10097000.000000,1.000000,40613857.000000,37959000.000000,37959000.000000,0.000000,389497000.000000,0.000000,18000.000000,2463000.000000,10.261000
ARQ,2020-12-31,2021-03-25,2020-12-31,2020-Q4,316503000.000000,1646125871.000000,2025-05-14,36000.000000,365555000.000000,,345104000.000000,20451000.000000,,10.976000,-661000.000000,56271000.000000,56271000.000000,0.000000,-40356000.000000,12.066000,0.104000,0.000000,0.000000,0.000000,0.000000,0.000000,33000.000000,0.000000,0.000000,0.000000,-39877000.000000,-39844000.000000,,-39844000.000000,-39877000.000000,-39877000.000000,-0.980000,-0.980000,-0.980000,308582000.000000,,308582000.000000,1589854871.000000,-14.000000,-13.561000,-28018000.000000,-0.997000,1.000000,0.000000,,3736000.000000,0.000000,276947000.000000,,0.000000,283554000.000000,283554000.000000,0.000000,32178000.000000,28601000.000000,3577000.000000,-37601000.000000,0.000000,-594000.000000,0.000000,0.000000,-594000.000000,-9650000.000000,-8989000.000000,-27357000.000000,0.000000,-40303000.000000,-40303000.000000,-40303000.000000,0.000000,-53000.000000,,40245000.000000,-40245000.000000,8661000.000000,0.000000,5.334000,-13.969000,-9.573000,3619000.000000,0.000000,40.110000,,,417000.000000,-200834000.000000,0.000000,0.000000,29521000.000000,,,,,7887000.000000,10724000.000000,1.000000,41040286.000000,28113000.000000,28113000.000000,0.000000,361819000.000000,0.000000,426000.000000,2480000.000000,12.870000
ARQ,2021-03-31,2021-05-17,2021-03-31,2021-Q1,273557000.000000,2249592984.000000,2025-05-14,50000.000000,328353000.000000,,306354000.000000,21999000.000000,,6.650000,-436000.000000,32260000.000000,32260000.000000,0.000000,-50444000.000000,9.341000,0.133000,0.000000,0.000000,0.000000,0.000000,0.000000,79000.000000,0.000000,0.000000,0.000000,-49705000.000000,-49626000.000000,,-49626000.000000,-49705000.000000,-49705000.000000,-1.240000,-1.240000,-1.240000,268386000.000000,,268386000.000000,2217332984.000000,-15.000000,-14.706000,-37905000.000000,-0.939000,1.000000,0.000000,,3736000.000000,0.000000,259560000.000000,,0.000000,269385000.000000,269385000.000000,0.000000,35715000.000000,32797000.000000,2918000.000000,-24011000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13458000.000000,13894000.000000,-37469000.000000,0.000000,-49901000.000000,-49901000.000000,-49901000.000000,0.000000,-543000.000000,,50347000.000000,-50347000.000000,8337000.000000,0.000000,8.382000,-14.837000,-13.926000,3409000.000000,0.000000,54.450000,,,248000.000000,-250735000.000000,0.000000,0.000000,38394000.000000,,,,,9691000.000000,11953000.000000,1.000000,41314839.000000,40359000.000000,40359000.000000,0.000000,324617000.000000,0.000000,196000.000000,2480000.000000,8.043000
ARQ,2021-06-30,2021-08-12,2021-06-30,2021-Q2,225872000.000000,2261205252.000000,2025-05-14,94000.000000,283962000.000000,,259449000.000000,24513000.000000,,5.495000,-819000.000000,52434000.000000,52434000.000000,0.000000,-55062000.000000,7.727000,0.162000,0.000000,0.000000,0.000000,0.000000,0.000000,119000.000000,0.000000,0.000000,0.000000,-54529000.000000,-54410000.000000,,-54410000.000000,-54529000.000000,-54529000.000000,-1.340000,-1.340000,-1.340000,223845000.000000,,223845000.000000,2208771252.000000,-12.000000,-12.383000,-46932000.000000,-1.152000,1.000000,0.000000,,3736000.000000,0.000000,194215000.000000,,0.000000,201730000.000000,201730000.000000,0.000000,36353000.000000,33577000.000000,2776000.000000,20174000.000000,0.000000,70000.000000,0.000000,0.000000,-316000.000000,66603000.000000,67422000.000000,-46113000.000000,0.000000,-54574000.000000,-54574000.000000,-54574000.000000,0.000000,-488000.000000,,55132000.000000,-55132000.000000,8273000.000000,0.000000,10.102000,-12.609000,-11.228000,3446000.000000,0.000000,50.190000,,,5000.000000,-305309000.000000,0.000000,0.000000,44770000.000000,,,,,9919000.000000,10362000.000000,1.000000,45052904.000000,40738000.000000,40738000.000000,0.000000,280226000.000000,0.000000,45000.000000,2480000.000000,6.879000
ARQ,2021-09-30,2021-11-10,2021-09-30,2021-Q3,338150000.000000,3543799652.000000,2025-05-14,32000.000000,435081000.000000,,377565000.000000,57516000.000000,,8.820000,-2661000.000000,44071000.000000,44071000.000000,0.000000,-10492000.000000,9.579000,0.104000,0.000000,0.000000,0.000000,0.000000,0.000000,137000.000000,0.000000,0.000000,0.000000,-4888000.000000,-4751000.000000,,-4751000.000000,-4888000.000000,-4888000.000000,-0.090000,-0.090000,-0.090000,393432000.000000,,393432000.000000,3499728652.000000,-23.000000,-23.546000,-36151000.000000,-0.810000,1.000000,0.000000,,3736000.000000,0.000000,347859000.000000,,0.000000,365310000.000000,325984000.000000,39326000.000000,41085000.000000,39415000.000000,1670000.000000,-8363000.000000,-14320000.000000,166184000.000000,0.000000,0.000000,166570000.000000,-141443000.000000,-124462000.000000,-33490000.000000,0.000000,-4191000.000000,-4191000.000000,-4191000.000000,0.000000,-6301000.000000,,62870000.000000,-62870000.000000,8046000.000000,0.000000,9.007000,-23.789000,-21.430000,5391000.000000,0.000000,78.220000,,,108000.000000,-309500000.000000,0.000000,0.000000,53998000.000000,,,,,7656000.000000,8872000.000000,1.000000,45305544.000000,44609000.000000,44609000.000000,0.000000,431345000.000000,0.000000,-697000.000000,1670000.000000,9.669000
ARQ,2021-12-31,2022-02-24,2021-12-31,2021-Q4,306826000.000000,2319145655.000000,2025-05-14,-125000.000000,454507000.000000,,350770000.000000,103737000.000000,,8.088000,-2191000.000000,62584000.000000,62584000.000000,0.000000,-50095000.000000,7.982000,0.247000,44459000.000000,0.000000,44459000.000000,44459000.000000,0.000000,209000.000000,0.000000,0.000000,0.000000,-49900000.000000,-49691000.000000,,-49691000.000000,-49900000.000000,-49900000.000000,-1.130000,-1.130000,-1.130000,363954000.000000,,363954000.000000,2301020655.000000,-14.000000,-14.519000,-39212000.000000,-0.871000,1.000000,0.000000,,3736000.000000,0.000000,388702000.000000,,0.000000,317668000.000000,280173000.000000,37495000.000000,90025000.000000,43944000.000000,46081000.000000,18513000.000000,0.000000,12267000.000000,0.000000,0.000000,12267000.000000,43267000.000000,45458000.000000,-37021000.000000,0.000000,-50059000.000000,-50059000.000000,-50059000.000000,0.000000,-36000.000000,,48193000.000000,-48193000.000000,11590000.000000,0.000000,6.372000,-14.611000,-13.683000,52839000.000000,0.000000,50.900000,,,4000.000000,-359559000.000000,0.000000,0.000000,38439000.000000,,,,,8471000.000000,9754000.000000,1.000000,45562783.000000,44998000.000000,44998000.000000,0.000000,450771000.000000,0.000000,159000.000000,1622000.000000,10.018000
ARQ,2022-03-31,2022-05-05,2022-03-31,2022-Q1,257797000.000000,1160149524.000000,2025-05-14,-1109000.000000,405677000.000000,,301282000.000000,104395000.000000,,6.969000,-450000.000000,33442000.000000,33442000.000000,0.000000,-59237000.000000,6.928000,0.285000,0.000000,0.000000,0.000000,0.000000,0.000000,344000.000000,0.000000,0.000000,0.000000,-59044000.000000,-58700000.000000,,-58700000.000000,-59044000.000000,-59044000.000000,-1.310000,-1.310000,-1.310000,315298000.000000,,315298000.000000,1126707524.000000,-7.000000,-6.725000,-50646000.000000,-1.119000,1.000000,0.000000,,3736000.000000,0.000000,325014000.000000,,0.000000,294541000.000000,258797000.000000,35744000.000000,90011000.000000,43485000.000000,46526000.000000,-29142000.000000,0.000000,1258000.000000,0.000000,0.000000,1258000.000000,19796000.000000,20246000.000000,-50196000.000000,0.000000,-59077000.000000,-59077000.000000,-59077000.000000,0.000000,-160000.000000,,57879000.000000,-57879000.000000,13163000.000000,0.000000,3.680000,-6.910000,-6.429000,52124000.000000,0.000000,24.880000,,,0.000000,-418636000.000000,0.000000,0.000000,46112000.000000,,,,,10147000.000000,11767000.000000,1.000000,46629804.000000,45244000.000000,45244000.000000,0.000000,401941000.000000,0.000000,33000.000000,1548000.000000,8.884000
